OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
103.5,8140429.0,105.7,2015-12-18,106.9,103.5
106.8,472058.0,106.8,2015-12-21,106.9,106.8
106.8,693441.0,106.8,2015-12-22,106.8,106.0
106.5,532500.0,106.5,2015-12-23,106.5,106.5
106.5,1299300.0,106.5,2015-12-28,106.5,106.5
106.5,328750.0,106.0,2015-12-29,106.5,106.0
106.5,1437750.0,106.5,2016-01-04,106.5,106.5
106.5,1863750.0,106.5,2016-01-05,106.5,106.5
106.8,267318.0,106.5,2016-01-06,106.8,106.5
106.0,2504500.0,106.0,2016-01-08,106.5,106.0
106.8,385288.0,106.8,2016-01-11,106.8,106.7
106.8,6408.0,106.8,2016-01-12,106.8,106.8
106.0,404200.0,106.5,2016-01-13,106.5,106.0
106.5,596400.0,106.5,2016-01-14,106.5,106.5
107.0,1797600.0,107.0,2016-01-15,107.0,107.0
106.5,1065000.0,106.5,2016-01-18,106.5,106.5
107.0,716900.0,107.0,2016-01-19,107.0,107.0
107.0,267500.0,107.0,2016-01-20,107.0,107.0
107.0,288900.0,107.0,2016-01-21,107.0,107.0
106.5,106500.0,106.5,2016-01-22,106.5,106.5
107.5,554630.0,108.0,2016-01-29,108.0,107.0
107.9,108980.0,108.0,2016-02-04,108.0,107.9
107.8,162780.0,108.0,2016-02-05,108.0,107.8
108.0,1193010.0,108.5,2016-02-09,108.5,108.0
109.0,556990.0,109.0,2016-02-11,109.0,109.0
110.9,1109.0,110.9,2016-02-15,110.9,110.9
107.6,268850.0,107.5,2016-02-22,107.6,107.5
110.8,1108.0,110.8,2016-02-29,110.8,110.8
108.8,644530.0,107.0,2016-03-01,108.8,107.0
108.7,2174.0,108.7,2016-03-02,108.7,108.7
107.0,268570.0,107.0,2016-03-08,107.0,107.0
107.1,235581.0,107.9,2016-03-15,107.9,107.0
107.5,268750.0,107.5,2016-03-30,107.5,107.5
107.0,1316460.0,107.5,2016-03-31,107.5,107.0
107.0,107000.0,107.0,2016-04-01,107.0,107.0
107.0,107000.0,107.0,2016-04-04,107.0,107.0
107.0,107000.0,107.0,2016-04-18,107.0,107.0
107.2,16080.0,107.2,2016-04-22,107.2,107.2
108.0,54000.0,108.0,2016-04-25,108.0,108.0
110.0,225900.0,108.0,2016-04-28,110.0,108.0
110.0,550000.0,110.0,2016-05-02,110.0,110.0
109.5,624150.0,109.5,2016-05-03,109.5,109.5
110.0,3849950.0,109.5,2016-05-04,110.0,109.5
110.0,284900.0,110.0,2016-05-05,110.0,110.0
110.0,440000.0,110.0,2016-05-06,110.0,110.0
110.0,440000.0,110.0,2016-05-06,110.0,110.0
110.0,55000.0,110.0,2016-05-10,110.0,110.0
110.0,110000.0,110.0,2016-05-11,110.0,110.0
111.0,27750.0,111.0,2016-05-16,111.0,111.0
111.0,194250.0,111.0,2016-05-17,111.0,111.0
