OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
154.5,772500.0,154.5,2011-09-23,154.5,154.5
231.6,11580.0,231.6,2011-09-29,231.6,231.6
521.0,416800.0,521.0,2011-10-03,521.0,521.0
781.5,312600.0,781.5,2011-10-04,781.5,781.5
1172.0,404260.0,850.0,2011-10-05,1172.0,800.0
782.0,140715.0,781.5,2011-10-06,782.0,781.5
781.5,7815.0,781.5,2011-10-10,781.5,781.5
781.5,31260.0,781.5,2011-10-13,781.5,781.5
781.5,85965.0,781.5,2011-10-14,781.5,781.5
11.7,5850.0,11.7,2011-10-26,11.7,11.7
17.0,973656.0,17.54,2011-10-27,17.54,17.0
25.0,2338820.0,26.3,2011-10-28,26.3,20.0
26.55,1155540.0,39.45,2011-11-02,39.45,26.55
59.15,3439445.0,59.15,2011-11-03,59.15,58.0
78.95,4669458.5,48.05,2011-11-04,78.95,29.8
48.05,806470.0,44.75,2011-11-08,51.0,35.05
38.0,1256890.0,37.0,2011-11-09,39.1,37.0
36.0,114200.0,36.0,2011-11-10,36.0,32.0
37.5,37600.0,37.9,2011-11-11,37.9,37.0
33.0,145665.0,33.05,2011-11-15,33.5,33.0
33.05,173305.0,30.55,2011-11-16,33.05,30.55
30.0,48060.0,30.05,2011-11-17,30.1,30.0
37.0,103780.0,30.1,2011-11-18,37.0,30.05
34.0,62100.0,31.0,2011-11-21,34.0,30.5
29.0,92750.0,30.45,2011-11-22,30.45,26.0
27.0,69005.0,27.5,2011-11-23,29.95,27.0
29.0,72250.0,28.0,2011-11-24,29.0,27.5
29.8,160920.0,29.8,2011-11-25,29.8,29.8
28.0,139070.0,34.9,2011-11-28,38.0,28.0
30.0,257580.0,30.05,2011-11-29,32.0,29.0
32.95,157080.0,29.0,2011-12-01,32.95,29.0
28.0,2800.0,28.0,2011-12-02,28.0,28.0
27.2,128310.0,27.3,2011-12-05,27.35,27.2
30.9,91735.0,27.0,2011-12-06,30.9,27.0
27.0,29700.0,27.0,2011-12-07,27.0,27.0
27.0,110070.0,27.0,2011-12-08,27.0,26.3
27.0,11000.0,28.0,2011-12-13,28.0,27.0
30.0,386350.0,31.0,2011-12-14,36.0,30.0
35.0,476205.0,29.0,2011-12-15,39.0,29.0
27.0,130350.0,32.5,2011-12-16,33.0,27.0
31.8,25490.0,31.9,2011-12-19,31.9,31.8
26.5,5550.0,29.0,2011-12-21,29.0,26.5
25.05,41030.0,30.1,2011-12-22,30.1,25.05
