OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.0,18885600.0,2.6,2015-03-16,4.0,1.0
2.88,3609350.0,2.41,2015-03-17,2.88,2.24
2.41,3086610.0,1.73,2015-03-18,2.41,1.71
1.74,6374610.0,1.4,2015-03-19,1.74,1.29
1.56,11522780.0,1.9,2015-03-20,1.98,1.46
2.06,27442780.0,2.85,2015-03-23,2.85,2.06
3.3,95594130.0,3.95,2015-03-24,4.22,3.24
4.23,48361700.0,3.6,2015-03-25,4.5,3.38
3.55,14756590.0,3.28,2015-03-26,3.55,3.11
3.09,10697280.0,2.94,2015-03-27,3.2,2.86
2.89,48233300.0,3.81,2015-03-30,3.98,2.65
3.97,34899610.0,3.67,2015-03-31,4.14,3.25
3.7,9617020.0,3.75,2015-04-01,3.75,3.35
3.6,11597490.0,3.6,2015-04-06,3.87,3.5
3.59,14952250.0,3.25,2015-04-07,3.59,3.05
3.3,6065620.0,3.1,2015-04-08,3.36,3.0
3.12,3307290.0,3.15,2015-04-10,3.28,3.09
3.24,3392480.0,3.04,2015-04-13,3.24,2.95
2.98,3400000.0,3.0,2015-04-14,3.14,2.85
3.0,2674880.0,2.87,2015-04-15,3.1,2.85
2.94,3801820.0,2.7,2015-04-16,2.94,2.65
2.7,5582880.0,2.6,2015-04-17,2.7,2.36
2.72,39086280.0,3.01,2015-04-20,3.14,2.5
3.15,7191360.0,2.7,2015-04-21,3.15,2.55
2.77,2077760.0,2.57,2015-04-22,2.77,2.51
2.57,845070.0,2.58,2015-04-23,2.66,2.53
2.56,2249300.0,2.6,2015-04-24,2.75,2.5
2.6,24598790.0,2.61,2015-04-27,2.88,2.58
2.63,4650090.0,2.5,2015-04-28,2.69,2.48
2.62,2064630.0,2.45,2015-04-29,2.62,2.45
2.45,740380.0,2.42,2015-04-30,2.58,2.42
2.55,23256850.0,2.4,2015-05-04,2.55,2.4
2.52,1500730.0,2.4,2015-05-05,2.52,2.37
2.36,1234970.0,2.34,2015-05-06,2.38,2.26
2.34,692300.0,2.4,2015-05-07,2.4,2.3
2.31,1484150.0,2.35,2015-05-08,2.4,2.29
2.4,817290.0,2.31,2015-05-11,2.4,2.31
2.3,1783150.0,2.27,2015-05-12,2.33,2.25
2.28,1998970.0,2.25,2015-05-13,2.4,2.15
2.29,665310.0,2.16,2015-05-14,2.29,2.15
2.15,1951660.0,2.32,2015-05-15,2.4,2.15
2.41,1193530.0,2.29,2015-05-18,2.48,2.29
2.29,3621990.0,2.1,2015-05-19,2.29,1.9
2.15,3529170.0,2.28,2015-05-20,2.4,2.06
2.32,12099840.0,2.38,2015-05-21,2.65,2.3
2.38,2910450.0,2.24,2015-05-22,2.54,2.22
2.16,845440.0,2.16,2015-05-25,2.33,2.13
2.28,904960.0,2.14,2015-05-26,2.28,2.09
2.12,473440.0,2.15,2015-05-27,2.23,2.07
2.2,649520.0,2.08,2015-05-28,2.23,2.06
2.1,520240.0,2.1,2015-05-29,2.16,2.08
2.05,470130.0,2.06,2015-06-01,2.16,2.05
2.06,334400.0,2.1,2015-06-02,2.14,2.04
2.12,1525340.0,2.2,2015-06-03,2.35,2.11
2.34,530000.0,2.2,2015-06-04,2.34,2.08
2.14,484810.0,2.2,2015-06-05,2.23,2.13
2.24,773980.0,2.2,2015-06-08,2.24,2.13
2.22,346060.0,2.12,2015-06-09,2.22,2.12
2.12,61640.0,2.18,2015-06-10,2.19,2.11
2.12,5347370.0,2.2,2015-06-11,2.3,2.12
2.16,52199550.0,2.23,2015-06-15,2.3,2.1
2.24,3334940.0,2.44,2015-06-16,2.44,2.2
2.52,16481170.0,2.42,2015-06-17,2.79,2.42
2.48,57060590.0,2.6,2015-06-18,2.63,2.42
2.64,4709310.0,2.52,2015-06-19,2.74,2.51
2.42,52199510.0,2.56,2015-06-22,2.69,2.42
2.6,2178300.0,2.57,2015-06-23,2.68,2.55
2.61,55232840.0,2.68,2015-06-24,2.75,2.57
2.71,2173730.0,2.68,2015-06-25,2.74,2.65
2.71,2173730.0,2.68,2015-06-25,2.74,2.65
2.72,30702400.0,3.39,2015-06-26,3.43,2.72
3.49,44456140.0,3.26,2015-06-29,3.67,3.1
3.2,12578110.0,3.18,2015-06-30,3.3,3.14
3.19,26486770.0,3.52,2015-07-01,3.65,3.19
3.56,19986010.0,3.3,2015-07-02,3.64,3.24
3.29,17587940.0,3.46,2015-07-03,3.46,3.19
3.51,23925270.0,3.43,2015-07-06,3.64,3.43
3.43,29260440.0,2.91,2015-07-07,3.56,2.91
2.95,26590820.0,3.11,2015-07-08,3.12,2.7
3.11,6336840.0,3.04,2015-07-09,3.13,2.87
3.0,7632130.0,2.8,2015-07-10,3.0,2.79
2.84,8928280.0,2.74,2015-07-13,2.85,2.6
2.84,8928280.0,2.74,2015-07-13,2.85,2.6
2.72,10093500.0,2.78,2015-07-14,2.81,2.58
2.73,3334450.0,2.66,2015-07-15,2.79,2.65
2.66,2417360.0,2.76,2015-07-16,2.78,2.61
2.77,8987640.0,3.1,2015-07-20,3.1,2.67
3.1,15186100.0,3.13,2015-07-21,3.27,2.98
3.18,7098410.0,3.1,2015-07-22,3.29,3.1
3.08,4142960.0,3.18,2015-07-23,3.22,3.05
3.08,4142960.0,3.18,2015-07-23,3.22,3.05
