OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
8.05,85906690.0,7.4,2014-08-28,9.0,6.51
7.55,35859028.0,6.01,2014-08-29,7.79,5.65
5.9,13842564.0,5.81,2014-09-01,6.0,5.1
5.78,8388332.0,5.6,2014-09-02,5.78,5.51
5.51,9878909.0,5.76,2014-09-03,6.2,5.51
5.98,3573215.0,5.73,2014-09-04,5.98,5.73
5.76,3172725.0,5.62,2014-09-05,5.85,5.6
5.65,5710996.0,5.25,2014-09-08,5.65,5.19
5.25,5572838.0,4.9,2014-09-09,5.37,4.9
5.0,3979330.0,4.66,2014-09-10,5.0,4.61
4.8,4773330.0,4.61,2014-09-11,4.8,4.6
4.65,3893710.0,4.43,2014-09-12,4.79,4.4
4.4,1800550.0,4.3,2014-09-15,4.6,4.3
4.3,15965450.0,5.08,2014-09-16,5.9,4.3
5.15,2510755.0,5.18,2014-09-17,5.44,5.15
5.2,2284952.0,5.12,2014-09-18,5.4,5.0
5.2,542918.0,5.16,2014-09-22,5.21,5.0
5.28,689708.0,5.21,2014-09-23,5.28,5.07
5.24,1350523.0,5.34,2014-09-24,5.43,5.18
5.45,7715547.0,5.16,2014-09-25,5.7,5.16
5.32,1017377.0,5.18,2014-09-26,5.32,5.1
5.35,373086.0,5.12,2014-09-29,5.35,5.11
5.12,1727026.0,5.09,2014-09-30,5.27,5.09
5.08,766907.0,5.08,2014-10-01,5.15,5.04
5.08,718472.0,5.07,2014-10-02,5.27,5.01
5.07,333185.0,5.04,2014-10-03,5.2,5.04
5.05,368576.0,5.04,2014-10-07,5.06,5.01
5.05,1635887.0,5.04,2014-10-08,5.05,4.89
5.04,297499.0,5.0,2014-10-09,5.04,4.93
5.0,1116453.0,4.88,2014-10-10,5.0,4.86
4.85,381150.0,4.8,2014-10-13,4.99,4.6
4.61,1261960.0,4.6,2014-10-14,4.68,4.3
4.45,727040.0,4.75,2014-10-15,5.0,4.45
4.6,384620.0,4.58,2014-10-16,4.69,4.45
5.21,6556710.0,5.1,2014-10-17,5.49,4.8
5.35,1370236.0,5.0,2014-10-20,5.35,4.89
4.99,1346333.0,4.99,2014-10-21,5.2,4.95
5.0,299590.0,5.15,2014-10-22,5.18,4.99
5.13,374275.0,5.0,2014-10-23,5.13,5.0
5.0,180030.0,5.0,2014-10-24,5.01,4.9
4.9,548730.0,4.98,2014-10-27,5.0,4.79
4.93,484660.0,4.85,2014-10-28,4.93,4.83
4.78,2498110.0,4.72,2014-10-29,4.85,4.72
4.7,1177660.0,4.78,2014-10-30,5.0,4.7
4.9,68560.0,4.9,2014-10-31,4.9,4.86
4.9,278700.0,4.8,2014-11-03,4.9,4.8
4.79,673050.0,4.71,2014-11-04,4.8,4.7
4.7,879150.0,4.7,2014-11-05,4.82,4.68
4.7,2741130.0,4.6,2014-11-06,4.7,4.55
4.55,1311350.0,4.5,2014-11-07,4.6,4.5
4.55,176650.0,4.55,2014-11-10,4.6,4.5
4.5,8553970.0,4.2,2014-11-11,4.5,4.1
4.14,4925420.0,4.03,2014-11-12,4.14,3.95
4.09,1556240.0,4.0,2014-11-13,4.3,3.99
4.0,1645370.0,3.97,2014-11-14,4.0,3.95
3.97,853990.0,3.95,2014-11-17,4.1,3.9
3.96,438450.0,4.05,2014-11-18,4.07,3.94
4.05,1216350.0,3.97,2014-11-19,4.06,3.95
3.97,322890.0,3.99,2014-11-20,4.0,3.96
4.0,2004190.0,4.17,2014-11-21,4.21,4.0
4.01,703320.0,4.01,2014-11-24,4.07,4.0
4.01,9186040.0,4.43,2014-11-25,4.61,4.01
4.43,6713920.0,4.7,2014-11-26,4.7,4.43
4.71,10912890.0,4.88,2014-11-27,5.12,4.7
4.55,7841680.0,4.99,2014-11-28,5.1,4.55
4.91,2304000.0,4.5,2014-12-01,4.91,4.5
4.5,2389400.0,4.3,2014-12-02,4.59,4.3
