OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.3,27600.0,2.3,2009-08-14,2.3,2.3
2.3,4900.0,2.6,2009-08-19,2.6,2.3
2.3,24300.0,2.2,2009-09-18,2.3,2.2
2.4,2400.0,2.4,2009-10-19,2.4,2.4
2.6,159000.0,2.7,2009-10-30,2.7,2.6
2.04,204000.0,2.04,2009-12-18,2.04,2.04
2.1,210000.0,2.1,2009-12-23,2.1,2.1
2.1,1118020.0,2.7,2009-12-29,2.7,2.1
2.7,2700.0,2.7,2010-01-04,2.7,2.7
2.12,294400.0,2.1,2010-01-07,2.12,2.1
2.08,74080.0,2.4,2010-01-08,2.4,2.08
2.06,2060.0,2.06,2010-03-08,2.06,2.06
2.1,168000.0,2.1,2010-04-21,2.1,2.1
2.1,105000.0,2.1,2010-04-22,2.1,2.1
2.12,2120.0,2.12,2010-04-29,2.12,2.12
2.12,105020.0,2.1,2010-05-05,2.12,2.1
2.12,55120.0,2.12,2010-05-24,2.12,2.12
2.1,105000.0,2.1,2010-06-21,2.1,2.1
2.1,105000.0,2.1,2010-06-25,2.1,2.1
2.1,105000.0,2.1,2010-06-29,2.1,2.1
2.1,136500.0,2.1,2010-07-23,2.1,2.1
2.0,12000.0,2.0,2010-09-30,2.0,2.0
2.02,28280.0,2.02,2010-10-04,2.02,2.02
2.3,62100.0,2.3,2010-10-06,2.3,2.3
2.3,226930.0,2.5,2010-10-07,2.58,2.3
2.5,159900.0,2.5,2010-10-08,2.5,2.49
3.0,150000.0,3.0,2010-10-12,3.0,3.0
3.2,603000.0,3.5,2010-10-13,3.5,3.0
3.5,437150.0,4.0,2010-10-14,4.05,3.5
4.0,7282800.0,4.0,2010-10-15,4.0,3.7
4.0,624000.0,4.0,2010-10-18,4.0,4.0
4.0,128700.0,3.9,2010-10-19,4.0,3.85
3.5,1543400.0,4.4,2010-10-22,4.4,3.5
4.5,278350.0,4.75,2010-10-26,4.75,4.5
4.85,48500.0,4.85,2010-10-27,4.85,4.85
4.85,9700.0,4.85,2010-10-28,4.85,4.85
4.75,23900.0,4.8,2010-10-29,4.8,4.75
4.6,4600.0,4.6,2010-11-12,4.6,4.6
4.59,18360.0,4.59,2010-11-17,4.59,4.59
4.5,27000.0,4.5,2010-11-18,4.5,4.5
4.0,4000.0,4.0,2010-11-22,4.0,4.0
4.5,53750.0,4.45,2010-11-23,4.5,4.45
4.0,44000.0,4.0,2010-11-24,4.0,4.0
4.0,8000.0,4.0,2010-12-01,4.0,4.0
4.0,44000.0,4.0,2010-12-06,4.0,4.0
4.0,40000.0,4.0,2010-12-16,4.0,4.0
4.35,154500.0,4.45,2011-01-11,4.45,4.35
4.35,154500.0,4.45,2011-01-11,4.45,4.35
4.45,89000.0,4.45,2011-01-12,4.45,4.45
4.0,400000.0,4.0,2011-01-17,4.0,4.0
4.01,16010.0,4.0,2011-01-19,4.01,4.0
4.01,16010.0,4.0,2011-01-19,4.01,4.0
4.01,8020.0,4.01,2011-01-26,4.01,4.01
4.01,4010.0,4.01,2011-01-27,4.01,4.01
4.01,4010.0,4.01,2011-01-28,4.01,4.01
4.01,4010.0,4.01,2011-01-28,4.01,4.01
4.01,4010.0,4.01,2011-02-01,4.01,4.01
4.01,4010.0,4.01,2011-02-01,4.01,4.01
4.1,4100.0,4.1,2011-02-14,4.1,4.1
4.65,3947100.0,5.5,2011-02-17,5.5,4.5
6.0,1524610.0,6.4,2011-02-18,6.5,5.9
6.4,1501900.0,6.6,2011-02-21,6.6,6.4
6.4,1501900.0,6.6,2011-02-21,6.6,6.4
6.5,1905909.0,6.9,2011-02-22,7.5,6.5
6.5,1905909.0,6.9,2011-02-22,7.5,6.5
6.9,134800.0,7.0,2011-02-23,7.0,6.9
6.9,134800.0,7.0,2011-02-23,7.0,6.9
7.0,63760.0,6.9,2011-02-24,7.0,6.9
7.0,63760.0,6.9,2011-02-24,7.0,6.9
7.1,283637.0,6.9,2011-02-28,7.1,6.9
5.55,64605.0,5.5,2011-03-02,6.0,5.5
5.35,173920.0,5.4,2011-03-03,5.5,5.3
5.16,28624.0,5.4,2011-03-04,5.4,5.16
5.16,28624.0,5.4,2011-03-04,5.4,5.16
5.4,10800.0,5.4,2011-03-07,5.4,5.4
5.4,5400.0,5.4,2011-03-08,5.4,5.4
5.4,5400.0,5.4,2011-03-08,5.4,5.4
5.7,5700.0,5.7,2011-03-11,5.7,5.7
5.7,5700.0,5.7,2011-03-11,5.7,5.7
5.65,5650.0,5.65,2011-03-16,5.65,5.65
5.65,25425.0,5.65,2011-03-21,5.65,5.65
5.65,51510.0,5.4,2011-03-22,5.65,5.4
5.65,5650.0,5.65,2011-03-23,5.65,5.65
5.4,423010.0,5.4,2011-03-24,5.4,4.6
5.4,27000.0,5.4,2011-03-25,5.4,5.4
5.4,108000.0,5.4,2011-03-28,5.4,5.4
5.0,32420690.0,5.4,2011-03-29,6.0,5.0
5.35,323215.0,5.35,2011-03-30,5.35,5.15
5.15,22755.0,5.4,2011-03-31,5.5,5.15
5.45,216365.0,5.45,2011-04-04,5.45,5.45
5.49,12627.0,5.49,2011-04-05,5.49,5.49
5.45,517040.0,5.5,2011-04-06,5.5,5.35
5.65,727300.0,5.6,2011-04-07,5.65,5.4
5.5,165000.0,5.5,2011-04-08,5.5,5.5
5.4,172685.0,5.35,2011-04-11,5.4,5.35
5.35,163098.0,5.01,2011-04-12,5.35,5.01
5.6,170320.0,5.2,2011-04-13,5.6,5.2
5.2,52360.0,5.1,2011-04-14,5.2,5.1
5.11,1192332.0,5.2,2011-04-15,5.2,5.11
5.6,560.0,5.6,2011-04-26,5.6,5.6
5.18,5180000.0,5.18,2011-04-27,5.18,5.18
5.17,6634.0,5.6,2011-05-02,5.6,5.17
5.3,53000.0,5.3,2011-05-03,5.3,5.3
5.3,117660.0,5.3,2011-05-05,5.3,5.3
5.3,159000.0,5.3,2011-05-09,5.3,5.3
5.31,15930.0,5.31,2011-05-10,5.31,5.31
5.3,1448464.0,5.12,2011-05-12,5.3,5.12
5.4,5400.0,5.4,2011-05-13,5.4,5.4
