OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1060.0,5304400.0,1048.0,2014-11-03,1060.0,1048.0
1044.0,1002700.0,1045.0,2014-11-05,1045.0,1044.0
1045.0,52250.0,1045.0,2014-11-07,1045.0,1045.0
1045.0,407550.0,1045.0,2014-11-10,1045.0,1045.0
1010.0,20300000.0,1020.0,2014-11-11,1020.0,1010.0
1040.0,10400.0,1040.0,2014-11-12,1040.0,1040.0
1020.0,106860.0,1020.0,2014-11-18,1020.0,1015.0
1030.0,2083650.0,1045.0,2014-11-19,1045.0,1030.0
1017.0,60965.0,1016.0,2014-11-20,1017.0,1016.0
1040.0,2089700.0,1035.0,2014-11-25,1045.0,1035.0
1035.0,7019440.0,1047.0,2014-11-26,1048.0,1035.0
1030.0,2811900.0,1030.0,2014-11-28,1030.0,1030.0
1030.0,206000.0,1030.0,2014-12-01,1030.0,1030.0
1025.0,61500.0,1025.0,2014-12-02,1025.0,1025.0
1035.0,4140000.0,1035.0,2014-12-03,1035.0,1035.0
1034.0,1085700.0,1034.0,2014-12-05,1034.0,1034.0
1040.0,1482000.0,1040.0,2014-12-09,1040.0,1040.0
1030.0,46350.0,1030.0,2014-12-10,1030.0,1030.0
1030.0,108150.0,1030.0,2014-12-11,1030.0,1030.0
1045.0,2868750.0,1045.0,2014-12-12,1045.0,1040.0
1030.0,1926500.0,1042.0,2014-12-15,1042.0,1030.0
1042.0,10795120.0,1042.0,2014-12-16,1042.0,1042.0
1020.0,12984600.0,1020.0,2014-12-17,1030.0,1020.0
1020.0,51000.0,1020.0,2014-12-18,1020.0,1020.0
1020.0,907800.0,1020.0,2015-01-07,1020.0,1020.0
1020.0,3051500.0,1010.0,2015-01-09,1020.0,1010.0
1010.0,202000.0,1010.0,2015-01-13,1010.0,1010.0
1005.0,50250.0,1005.0,2015-01-19,1005.0,1005.0
1016.0,3149500.0,1015.0,2015-01-22,1016.0,1015.0
1015.0,111650.0,1015.0,2015-01-28,1015.0,1015.0
1016.0,325120.0,1016.0,2015-01-29,1016.0,1016.0
1017.0,1117700.0,1016.0,2015-01-30,1017.0,1016.0
1017.0,20340.0,1017.0,2015-02-02,1017.0,1017.0
1017.0,184610.0,1048.0,2015-02-04,1048.0,1017.0
1017.0,11279550.0,1015.0,2015-02-05,1017.0,1015.0
1013.0,585950.0,1010.0,2015-02-10,1013.0,1010.0
1009.0,322880.0,1009.0,2015-02-11,1009.0,1009.0
1010.0,303000.0,1010.0,2015-02-12,1010.0,1010.0
1011.0,2903850.0,1010.0,2015-02-13,1011.0,1010.0
1010.0,1060500.0,1010.0,2015-02-16,1010.0,1010.0
1010.0,353500.0,1010.0,2015-02-17,1010.0,1010.0
1026.0,41040.0,1026.0,2015-02-20,1026.0,1026.0
1015.0,1964420.0,1026.0,2015-02-23,1026.0,1015.0
1026.0,577360.0,1012.0,2015-02-25,1026.0,1012.0
1012.0,1113200.0,1012.0,2015-02-26,1012.0,1012.0
