OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1050.0,9079620.0,1012.0,2014-11-03,1050.0,1012.0
1030.0,607700.0,1030.0,2014-11-04,1030.0,1030.0
1030.0,1124700.0,1020.0,2014-11-05,1030.0,1020.0
1025.0,41000.0,1025.0,2014-11-06,1025.0,1025.0
1020.0,2346000.0,1020.0,2014-11-07,1020.0,1020.0
1020.0,1865250.0,1025.0,2014-11-10,1025.0,1020.0
1020.0,6322875.0,1015.0,2014-11-11,1020.0,1015.0
1015.0,3100825.0,1015.0,2014-11-12,1015.0,1015.0
1030.0,30900.0,1030.0,2014-11-13,1030.0,1030.0
1020.0,2029800.0,1020.0,2014-11-14,1020.0,1020.0
1016.0,2214880.0,1016.0,2014-11-17,1016.0,1016.0
1017.0,2024470.0,1029.0,2014-11-18,1029.0,1016.0
1020.0,1020000.0,1020.0,2014-11-20,1020.0,1020.0
1030.0,2060000.0,1030.0,2014-11-21,1030.0,1030.0
1030.0,200850.0,1030.0,2014-11-24,1030.0,1030.0
1035.0,843350.0,1050.0,2014-11-25,1050.0,1035.0
1040.0,2346400.0,1030.0,2014-11-27,1040.0,1030.0
1045.0,365750.0,1045.0,2014-11-28,1045.0,1045.0
1040.0,260000.0,1040.0,2014-12-02,1040.0,1040.0
1030.0,538010.0,1050.0,2014-12-03,1050.0,1018.0
1040.0,104000.0,1040.0,2014-12-05,1040.0,1040.0
1040.0,1996800.0,1040.0,2014-12-09,1040.0,1040.0
1040.0,10370800.0,1035.0,2014-12-10,1040.0,1035.0
1031.0,417440.0,1030.0,2014-12-11,1031.0,1030.0
1030.0,1081500.0,1030.0,2014-12-15,1030.0,1030.0
1030.0,4130000.0,1035.0,2014-12-16,1035.0,1030.0
1035.0,12887300.0,1030.0,2014-12-17,1035.0,1030.0
1030.0,20600.0,1030.0,2014-12-18,1030.0,1030.0
1040.0,520000.0,1040.0,2015-01-05,1040.0,1040.0
1040.0,1612000.0,1040.0,2015-01-06,1040.0,1040.0
1040.0,7210140.0,1030.0,2015-01-09,1040.0,1030.0
1030.0,3811000.0,1030.0,2015-01-13,1030.0,1030.0
1030.0,51500.0,1030.0,2015-01-14,1030.0,1030.0
1050.0,157500.0,1050.0,2015-01-20,1050.0,1050.0
1045.0,1985500.0,1045.0,2015-01-21,1045.0,1045.0
1043.0,20860.0,1043.0,2015-01-23,1043.0,1043.0
1040.0,52000.0,1040.0,2015-01-26,1040.0,1040.0
1040.0,26000.0,1040.0,2015-01-27,1040.0,1040.0
1030.0,206000.0,1030.0,2015-01-28,1030.0,1030.0
1030.0,977100.0,1030.0,2015-01-29,1030.0,1025.0
1030.0,142800.0,1016.0,2015-01-30,1030.0,1016.0
1018.0,569800.0,1040.0,2015-02-02,1040.0,1018.0
1030.0,51500.0,1030.0,2015-02-04,1030.0,1030.0
1030.0,4245200.0,1035.0,2015-02-05,1035.0,1030.0
1025.0,769150.0,1033.0,2015-02-09,1033.0,1025.0
1030.0,1604490.0,1020.0,2015-02-11,1030.0,1020.0
1030.0,8843800.0,1020.0,2015-02-13,1030.0,1020.0
1020.0,1779900.0,1020.0,2015-02-16,1020.0,1020.0
1020.0,4184300.0,1030.0,2015-02-17,1030.0,1020.0
1030.0,309000.0,1030.0,2015-02-18,1030.0,1030.0
1030.0,916700.0,1030.0,2015-02-20,1030.0,1030.0
1030.0,9599600.0,1030.0,2015-02-23,1030.0,1030.0
1033.0,516500.0,1033.0,2015-02-24,1033.0,1033.0
1033.0,51650.0,1033.0,2015-02-27,1033.0,1033.0
1034.0,620400.0,1034.0,2015-03-03,1034.0,1034.0
1037.0,186660.0,1037.0,2015-03-04,1037.0,1037.0
1041.0,1892900.0,1060.0,2015-03-05,1060.0,1041.0
1060.0,6218380.0,1065.0,2015-03-06,1065.0,1059.0
1065.0,2401575.0,1065.0,2015-03-09,1065.0,1065.0
1065.0,619200.0,1065.0,2015-03-11,1070.0,1065.0
1070.0,5283265.0,1075.0,2015-03-12,1075.0,1070.0
1075.0,4097450.0,1065.0,2015-03-13,1075.0,1065.0
1075.0,6229625.0,1075.0,2015-03-16,1075.0,1075.0
1075.0,8916750.0,1085.0,2015-03-17,1085.0,1075.0
1080.0,1075525.0,1075.0,2015-03-19,1080.0,1075.0
1080.0,643100.0,1085.0,2015-03-23,1085.0,1080.0
1085.0,8830700.0,1080.0,2015-03-24,1085.0,1080.0
1085.0,11152425.0,1080.0,2015-03-25,1085.0,1080.0
1085.0,179025.0,1085.0,2015-03-26,1085.0,1085.0
1085.0,913475.0,1100.0,2015-03-27,1100.0,1085.0
1080.0,5400000.0,1080.0,2015-03-31,1080.0,1080.0
1100.0,4620000.0,1100.0,2015-04-01,1100.0,1100.0
1100.0,121000.0,1100.0,2015-04-07,1100.0,1100.0
1100.0,22000.0,1100.0,2015-04-08,1100.0,1100.0
1100.0,441100.0,1105.0,2015-04-10,1105.0,1100.0
1100.0,1153150.0,1105.0,2015-04-13,1105.0,1100.0
1070.0,212200.0,1090.0,2015-04-15,1100.0,1070.0
1090.0,678450.0,1070.0,2015-04-16,1090.0,1070.0
1100.0,55000.0,1100.0,2015-04-17,1100.0,1100.0
1098.0,3266800.0,1100.0,2015-04-20,1100.0,1098.0
1100.0,990000.0,1100.0,2015-04-21,1100.0,1100.0
1100.0,1243000.0,1100.0,2015-04-22,1100.0,1100.0
1095.0,1095000.0,1095.0,2015-04-23,1095.0,1095.0
1095.0,1095000.0,1095.0,2015-04-27,1095.0,1095.0
1095.0,219000.0,1095.0,2015-05-04,1095.0,1095.0
