OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
4.5,36000.0,4.5,2009-08-11,4.5,4.5
4.45,1750000.0,4.6,2009-08-25,4.7,4.45
4.65,235000.0,4.75,2009-08-26,4.75,4.65
4.8,24000.0,4.8,2009-09-04,4.8,4.8
4.1,12300.0,4.1,2009-10-01,4.1,4.1
3.9,1430800.0,3.5,2009-10-16,3.9,3.25
3.5,2089800.0,3.15,2009-10-19,3.55,3.0
3.15,252000.0,3.15,2009-10-20,3.15,3.15
3.15,940700.0,3.1,2009-10-21,3.15,2.95
3.05,329400.0,3.05,2009-10-26,3.05,3.05
3.1,3100.0,3.1,2009-10-27,3.1,3.1
3.1,326550.0,3.1,2009-10-28,3.15,3.1
3.1,115250.0,3.1,2009-10-29,3.1,2.95
3.15,3036250.0,3.3,2009-10-30,3.45,3.15
3.35,48850.0,3.25,2009-11-03,3.35,3.25
3.25,1486300.0,3.1,2009-11-04,3.3,3.0
3.15,366900.0,3.05,2009-11-05,3.2,2.95
3.1,1658700.0,3.2,2009-11-06,3.3,2.95
3.05,3050.0,3.05,2009-11-09,3.05,3.05
3.1,813200.0,3.1,2009-11-10,3.2,3.1
3.1,6200.0,3.1,2009-11-11,3.1,3.1
3.25,3250.0,3.25,2009-12-17,3.25,3.25
2.12,45550.0,3.15,2010-01-07,3.15,2.12
2.16,8110.0,3.0,2010-01-13,3.0,2.16
3.15,25550.0,2.8,2010-01-14,3.15,2.8
2.95,2950.0,2.95,2010-01-15,2.95,2.95
2.5,10800.0,2.9,2010-01-19,2.9,2.5
2.55,10400.0,2.8,2010-01-20,2.8,2.5
2.4,26400.0,2.4,2010-01-21,2.4,2.4
2.75,2750.0,2.75,2010-01-22,2.75,2.75
2.7,47500.0,3.0,2010-02-04,3.1,2.7
2.95,385700.0,3.05,2010-02-05,3.1,2.55
2.9,132550.0,2.8,2010-02-08,2.9,2.8
3.0,3000.0,3.0,2010-02-09,3.0,3.0
2.95,2950.0,2.95,2010-04-30,2.95,2.95
3.15,28150.0,3.1,2010-06-22,3.15,3.1
3.2,81700.0,3.33,2010-09-23,3.33,3.2
3.32,3320.0,3.32,2011-04-14,3.32,3.32
3.31,153790.0,2.48,2011-05-13,3.34,2.48
2.15,4300.0,2.15,2011-05-16,2.15,2.15
2.15,20000.0,2.8,2011-06-03,2.8,2.15
2.15,8600.0,2.15,2011-06-06,2.15,2.15
2.1,10500.0,2.1,2011-06-07,2.1,2.1
2.65,298650.0,2.85,2011-06-09,2.85,2.65
2.08,13190.0,2.79,2011-06-17,2.79,2.08
2.09,16660.0,2.08,2011-07-18,2.09,2.08
2.4,24000.0,2.4,2011-07-26,2.4,2.4
2.8,75600.0,2.8,2011-08-02,2.8,2.8
2.8,114800.0,2.8,2011-08-03,2.8,2.8
2.89,2890.0,2.89,2011-08-09,2.89,2.89
2.89,34680.0,2.89,2011-08-15,2.89,2.89
2.9,140830.0,3.04,2011-08-16,3.19,2.9
2.8,2800.0,2.8,2011-09-09,2.8,2.8
2.8,106400.0,2.8,2011-09-23,2.8,2.8
2.1,21000.0,2.1,2011-10-18,2.1,2.1
2.13,87470.0,2.85,2011-10-21,2.85,2.1
2.5,20000.0,2.5,2011-10-24,2.5,2.5
2.5,195000.0,2.5,2011-12-06,2.5,2.5
2.1,4200.0,2.1,2011-12-27,2.1,2.1
2.1,2100.0,2.1,2011-12-29,2.1,2.1
2.67,127620.0,3.0,2012-01-27,3.1,2.48
3.0,3000.0,3.0,2012-02-03,3.0,3.0
2.15,6450.0,2.15,2012-02-08,2.15,2.15
2.15,2150.0,2.15,2012-02-13,2.15,2.15
2.11,4210.0,2.1,2012-03-08,2.11,2.1
2.2,58710.0,2.89,2012-03-12,3.0,2.2
2.89,23230.0,3.0,2012-04-18,3.0,2.89
3.01,3010.0,3.01,2012-05-02,3.01,3.01
2.4,9600.0,2.4,2012-05-03,2.4,2.4
2.41,12050.0,2.41,2012-05-07,2.41,2.41
2.4,21600.0,2.4,2012-05-08,2.4,2.4
2.4,7200.0,2.4,2012-05-18,2.4,2.4
2.88,2880.0,2.88,2012-06-28,2.88,2.88
2.86,462800.0,3.0,2012-06-29,3.0,2.86
3.05,1676280.0,3.4,2012-07-02,3.4,3.05
3.4,633230.0,3.36,2012-07-03,3.4,3.01
2.5,504970.0,3.43,2012-07-04,3.43,2.5
3.4,572170.0,3.45,2012-07-05,3.45,3.4
3.45,613850.0,3.5,2012-07-06,3.5,3.45
3.53,3984420.0,4.0,2012-07-09,4.2,3.53
4.0,981080.0,4.05,2012-07-10,4.19,3.81
4.0,2191130.0,3.82,2012-07-11,4.33,3.8
3.8,261100.0,3.77,2012-07-12,3.87,3.6
3.78,781320.0,3.3,2012-07-13,3.8,3.02
3.35,1476490.0,3.66,2012-07-16,3.66,3.35
3.65,60450.0,3.41,2012-07-17,3.65,3.41
3.33,106300.0,3.45,2012-07-18,3.47,3.29
3.04,37290.0,3.43,2012-07-20,3.43,3.04
3.4,20400.0,3.4,2012-07-23,3.4,3.4
3.4,365240.0,3.56,2012-07-25,3.66,3.2
3.16,264520.0,3.6,2012-07-26,3.6,3.16
3.63,277450.0,3.79,2012-07-27,3.8,3.63
3.47,13460.0,3.38,2012-08-01,3.47,3.3
3.37,33700.0,3.37,2012-08-02,3.37,3.37
3.35,77850.0,3.79,2012-08-03,3.79,3.35
3.75,169510.0,3.9,2012-08-06,4.03,3.75
3.48,1018750.0,3.5,2012-08-08,3.5,3.0
3.12,342870.0,3.5,2012-08-09,3.65,3.12
3.6,72300.0,3.63,2012-08-10,3.63,3.6
3.65,543630.0,3.51,2012-08-16,3.82,3.48
3.22,101960.0,3.53,2012-08-17,3.53,3.1
3.55,293350.0,3.6,2012-08-24,3.6,3.55
3.2,12960.0,3.4,2012-09-18,3.4,3.18
3.42,244460.0,3.45,2012-09-19,3.46,3.42
3.2,32170.0,3.41,2012-09-21,3.41,3.18
3.03,9090.0,3.03,2012-10-08,3.03,3.03
3.48,52200.0,3.48,2012-10-09,3.48,3.48
3.5,51450.0,3.5,2012-10-10,3.6,3.15
3.5,3500.0,3.5,2012-10-15,3.5,3.5
3.0,63000.0,3.0,2012-10-18,3.0,3.0
3.47,6940.0,3.47,2012-10-19,3.47,3.47
3.43,30920.0,3.44,2012-11-07,3.44,3.43
3.47,669500.0,3.1,2012-11-19,3.8,3.0
3.0,205690.0,3.07,2012-11-20,3.07,2.9
3.0,3000.0,3.0,2012-11-22,3.0,3.0
2.4,10350.0,2.9,2012-11-23,2.9,2.4
2.9,2900.0,2.9,2012-11-27,2.9,2.9
2.47,49920.00000000001,2.99,2012-12-04,2.99,2.47
3.1,63080.0,3.21,2012-12-13,3.21,3.1
3.19,1491350.0,4.0,2012-12-18,4.15,3.19
3.6,649700.0,3.32,2012-12-19,4.18,3.3
3.07,235010.0,3.35,2012-12-20,3.5,3.0
3.15,570700.0,3.6,2012-12-21,3.6,3.15
3.55,1406200.0,3.54,2013-01-02,3.6,3.54
2.8,54750.0,2.7,2013-01-07,2.8,2.7
2.81,39340.0,2.81,2013-01-08,2.81,2.81
2.81,27700.0,2.71,2013-01-09,2.81,2.71
2.71,27100.0,2.71,2013-01-11,2.71,2.71
3.05,37730.0,3.49,2013-01-14,3.49,3.05
3.5,3500.0,3.5,2013-01-21,3.5,3.5
2.77,5540.0,2.77,2013-01-22,2.77,2.77
3.39,3390.0,3.39,2013-01-30,3.39,3.39
3.49,3490.0,3.49,2013-02-06,3.49,3.49
2.71,27050.0,2.7,2013-02-14,2.71,2.7
3.1,18600.0,3.1,2013-02-15,3.1,3.1
3.1,66300.0,3.25,2013-02-18,3.25,3.1
2.75,209250.0,3.33,2013-02-26,3.45,2.75
2.8,104090.0,3.29,2013-02-28,3.29,2.8
3.25,117270.0,3.4,2013-03-07,3.4,3.25
2.71,16260.0,2.71,2013-03-15,2.71,2.71
3.2,41600.0,3.2,2013-03-18,3.2,3.2
2.6,37640.0,3.23,2013-03-22,3.23,2.6
2.52,5720.0,3.2,2013-04-01,3.2,2.52
3.19,305520.0,3.28,2013-04-02,3.28,3.19
3.4,3400.0,3.4,2013-04-12,3.4,3.4
3.34,400800.0,3.34,2013-04-23,3.34,3.34
3.3,279600.0,3.38,2013-04-25,3.38,3.3
2.61,13050.0,2.61,2013-05-08,2.61,2.61
3.0,94860.0,3.32,2013-05-09,3.32,3.0
3.0,78000.0,3.0,2013-05-10,3.0,3.0
3.32,67900.0,3.45,2013-05-14,3.5,3.32
3.49,443470.0,3.9,2013-05-15,3.93,3.49
2.7,5400.0,2.7,2013-06-10,2.7,2.7
3.81,3810.0,3.81,2013-06-11,3.81,3.81
3.82,7640.0,3.82,2013-06-13,3.82,3.82
3.83,19250.0,3.87,2013-06-18,3.87,3.83
2.82,453740.0,3.39,2013-06-27,3.5,2.82
3.7,12630.0,2.9,2013-06-28,3.7,2.83
3.0,6000.0,3.0,2013-07-01,3.0,3.0
3.0,3000.0,3.0,2013-07-04,3.0,3.0
3.18,14580.0,2.85,2013-07-05,3.18,2.85
2.82,14100.0,2.82,2013-07-08,2.82,2.82
2.97,68320.0,2.98,2013-07-15,2.98,2.97
2.82,8460.0,2.82,2013-07-19,2.82,2.82
2.99,2990.0,2.99,2013-07-26,2.99,2.99
3.36,20160.0,3.36,2013-08-14,3.36,3.36
3.38,3380.0,3.38,2013-08-15,3.38,3.38
2.7,10800.0,2.7,2013-09-10,2.7,2.7
2.7,2700.0,2.7,2013-09-12,2.7,2.7
2.7,8100.000000000001,2.7,2013-09-17,2.7,2.7
3.0,3000.0,3.0,2013-09-20,3.0,3.0
2.99,519970.0,3.37,2013-10-03,3.38,2.99
2.7,5880.0,3.18,2013-10-04,3.18,2.7
2.71,198550.0,2.72,2013-10-17,2.89,2.69
3.0,8400.0,2.7,2013-10-18,3.0,2.7
2.69,83150.0,2.53,2013-10-21,2.7,2.51
2.53,15130.0,2.52,2013-10-31,2.53,2.52
2.59,33670.0,2.59,2013-11-19,2.59,2.59
2.59,12950.0,2.59,2013-11-20,2.59,2.59
2.59,5180.0,2.59,2013-11-21,2.59,2.59
2.59,7770.0,2.59,2013-11-22,2.59,2.59
2.69,10760.0,2.69,2013-12-06,2.69,2.69
2.7,2700.0,2.7,2013-12-09,2.7,2.7
2.68,53980.0,2.7,2013-12-11,2.7,2.68
2.64,353150.0,2.6,2013-12-27,2.89,2.5
2.86,1420360.0,3.2,2014-01-02,3.4,2.65
3.32,4613440.0,4.0,2014-01-03,4.07,3.32
4.02,4107430.0,4.1,2014-01-06,4.45,3.82
4.11,1879570.0,4.0,2014-01-07,4.28,3.8
3.61,614480.0,3.0,2014-01-08,3.61,3.0
