OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
41.0,1243300.0,41.5,2009-08-04,41.5,41.0
41.5,4150.0,41.5,2009-08-06,41.5,41.5
41.5,20750.0,41.5,2009-08-07,41.5,41.5
42.0,105000.0,42.0,2009-08-10,42.0,42.0
41.5,510450.0,41.5,2009-08-11,41.5,41.5
41.5,373500.0,41.5,2009-08-12,41.5,41.5
41.5,415000.0,41.5,2009-08-13,41.5,41.5
41.5,207500.0,41.5,2009-08-14,41.5,41.5
41.5,323700.0,41.5,2009-08-18,41.5,41.5
41.5,527650.0,42.0,2009-08-19,42.0,41.5
42.0,16800.0,42.0,2009-08-25,42.0,42.0
42.5,63750.0,42.5,2009-09-04,42.5,42.5
42.5,38250.0,42.5,2009-09-17,42.5,42.5
43.0,43000.0,43.0,2009-09-18,43.0,43.0
42.5,268750.0,43.5,2009-10-01,43.5,42.5
43.5,43500.0,43.5,2009-10-02,43.5,43.5
43.5,43500.0,43.5,2009-10-06,43.5,43.5
43.5,43500.0,43.5,2009-10-07,43.5,43.5
43.0,258500.0,43.5,2009-10-08,43.5,43.0
42.0,21100.0,42.5,2009-10-12,42.5,42.0
42.5,335750.0,42.5,2009-10-13,42.5,42.5
43.0,30000.0,42.5,2009-10-14,43.0,42.5
42.0,289800.0,42.0,2009-10-16,42.0,42.0
43.5,43500.0,43.5,2009-10-19,43.5,43.5
43.0,12800.0,42.5,2009-10-20,43.0,42.5
43.0,43000.0,43.0,2009-10-21,43.0,43.0
43.5,1853000.0,45.0,2009-10-22,45.0,43.5
45.5,744050.0,46.5,2009-10-23,46.5,45.0
46.5,345150.0,47.0,2009-10-26,47.0,46.5
47.0,65300.0,46.5,2009-10-27,47.0,46.5
47.0,47000.0,47.0,2009-10-28,47.0,47.0
47.0,97600.0,46.0,2009-10-29,47.0,46.0
45.5,668750.0,50.0,2009-10-30,50.0,45.5
50.0,555000.0,50.5,2009-11-03,51.0,50.0
50.0,25000.0,50.0,2009-11-04,50.0,50.0
49.0,103600.0,50.0,2009-11-05,50.0,49.0
50.0,50000.0,50.0,2009-11-06,50.0,50.0
49.5,49500.0,49.5,2009-11-09,49.5,49.5
50.0,25000.0,50.0,2009-11-10,50.0,50.0
48.0,19600.0,50.0,2009-11-11,50.0,48.0
54.0,42157500.0,54.0,2009-12-15,54.0,53.5
53.5,21146400.0,55.0,2009-12-16,55.0,53.0
53.5,48310300.0,56.0,2009-12-17,56.0,53.5
54.5,742950.0,58.0,2009-12-18,58.0,54.5
57.0,5700.0,57.0,2009-12-21,57.0,57.0
57.0,62600.0,56.0,2009-12-23,57.0,56.0
57.5,299000.0,57.5,2009-12-29,57.5,57.5
57.5,11500.0,57.5,2010-01-05,57.5,57.5
54.0,22200.0,56.5,2010-01-06,57.5,54.0
55.5,5550.0,55.5,2010-01-07,55.5,55.5
57.0,11400.0,57.0,2010-01-08,57.0,57.0
57.0,5700.0,57.0,2010-01-11,57.0,57.0
57.5,5750.0,57.5,2010-01-12,57.5,57.5
57.0,22550.0,57.0,2010-01-13,57.5,54.0
57.0,11400.0,57.0,2010-01-14,57.0,57.0
57.0,11400.0,57.0,2010-01-15,57.0,57.0
57.0,22600.0,56.0,2010-01-18,57.0,56.0
56.0,11200.0,56.0,2010-01-19,56.0,56.0
56.0,11200.0,56.0,2010-01-20,56.0,56.0
54.0,39300.0,57.0,2010-01-21,57.0,54.0
56.0,5600.0,56.0,2010-01-25,56.0,56.0
58.0,11600.0,58.0,2010-01-28,58.0,58.0
57.5,11500.0,57.5,2010-01-29,57.5,57.5
57.0,11400.0,57.0,2010-02-01,57.0,57.0
56.0,11200.0,56.0,2010-02-02,56.0,56.0
56.0,11200.0,56.0,2010-02-03,56.0,56.0
54.0,65000.0,56.0,2010-02-04,56.0,54.0
56.0,16800.0,56.0,2010-02-05,56.0,56.0
55.0,16600.0,56.0,2010-02-08,56.0,55.0
55.0,11000.0,55.0,2010-02-09,55.0,55.0
56.0,11200.0,56.0,2010-02-10,56.0,56.0
56.0,11200.0,56.0,2010-02-11,56.0,56.0
55.5,11100.0,55.5,2010-03-08,55.5,55.5
56.0,17494300.0,55.5,2010-03-12,56.0,55.5
55.0,110000.0,55.0,2010-03-15,55.0,55.0
55.0,11000.0,55.0,2010-03-16,55.0,55.0
55.0,121000.0,55.0,2010-03-17,55.0,55.0
53.5,10700.0,53.5,2010-03-31,53.5,53.5
52.0,113900.0,52.0,2010-04-20,52.0,51.5
52.5,10500.0,52.5,2010-04-21,52.5,52.5
52.5,5250.0,52.5,2010-04-22,52.5,52.5
53.0,21000.0,52.0,2010-04-23,53.0,52.0
51.0,123450.0,52.0,2010-04-29,52.0,51.0
52.0,296400.0,52.0,2010-04-30,52.0,52.0
53.0,296800.0,53.0,2010-05-04,53.0,53.0
53.0,185500.0,53.0,2010-05-05,53.0,53.0
52.5,46950.0,51.5,2010-05-13,52.5,51.5
51.5,10300.0,51.5,2010-05-14,51.5,51.5
51.5,56650.0,51.5,2010-05-17,51.5,51.5
51.5,257500.0,51.5,2010-05-18,51.5,51.5
51.0,56100.0,51.0,2010-05-19,51.0,51.0
51.0,10200.0,51.0,2010-05-20,51.0,51.0
50.5,15150.0,50.5,2010-05-21,50.5,50.5
51.0,5100.0,51.0,2010-05-24,51.0,51.0
50.5,35350.0,50.5,2010-05-25,50.5,50.5
50.5,50500.0,50.5,2010-05-26,50.5,50.5
50.0,50000.0,50.0,2010-05-27,50.0,50.0
49.5,54450.0,49.5,2010-05-28,49.5,49.5
49.0,74900.0,51.5,2010-05-31,51.5,49.0
51.5,195700.0,51.5,2010-06-02,51.5,51.5
51.5,314150.0,51.5,2010-06-03,51.5,51.5
51.5,5150.0,51.5,2010-06-07,51.5,51.5
51.5,98200.0,52.0,2010-06-08,52.0,51.5
52.0,223600.0,52.0,2010-06-09,52.0,52.0
52.0,5200.0,52.0,2010-06-10,52.0,52.0
55.0,11000.0,55.0,2010-06-11,55.0,55.0
55.0,11000.0,55.0,2010-06-15,55.0,55.0
54.0,10800.0,54.0,2010-06-16,54.0,54.0
54.0,5400.0,54.0,2010-06-21,54.0,54.0
54.5,10900.0,54.5,2010-06-22,54.5,54.5
54.5,10900.0,54.5,2010-06-23,54.5,54.5
54.0,16250.0,54.5,2010-06-24,54.5,54.0
54.0,54000.0,54.0,2010-06-25,54.0,54.0
54.0,243000.0,54.0,2010-06-28,54.0,54.0
54.0,5400.0,54.0,2010-06-29,54.0,54.0
55.0,11000.0,55.0,2010-07-01,55.0,55.0
55.0,11000.0,55.0,2010-07-02,55.0,55.0
52.0,15750.0,53.5,2010-07-06,53.5,52.0
53.5,10650.0,53.0,2010-07-07,53.5,53.0
53.0,10600.0,53.0,2010-07-08,53.0,53.0
53.0,10600.0,53.0,2010-07-09,53.0,53.0
53.0,10600.0,53.0,2010-07-13,53.0,53.0
51.0,51400.0,53.0,2010-07-14,53.0,51.0
52.0,172600.0,50.0,2010-07-15,52.0,50.0
51.5,180250.0,51.5,2010-07-16,51.5,51.5
51.5,169950.0,51.5,2010-07-19,51.5,51.5
53.0,21200.0,53.0,2010-07-20,53.0,53.0
52.5,15850.0,53.0,2010-07-21,53.0,52.5
52.5,169500.0,53.0,2010-07-22,53.0,52.5
52.0,371100.0,54.0,2010-07-23,54.0,52.0
51.5,15450.0,51.5,2010-09-21,51.5,51.5
51.5,184204.0,51.0,2010-09-22,53.6,51.0
51.5,4120.0,51.5,2010-09-23,51.5,51.5
51.75,413482.5,51.75,2010-09-24,51.75,51.75
53.0,10600.0,53.0,2010-09-27,53.0,53.0
53.1,29736.0,53.1,2010-09-30,53.1,53.1
53.25,66280.0,53.5,2010-10-06,53.5,53.25
53.5,86165.0,54.0,2010-10-07,54.0,53.5
53.0,26500.0,53.0,2010-10-12,53.0,53.0
52.0,14560.0,52.0,2010-10-13,52.0,52.0
52.0,520.0,52.0,2010-10-14,52.0,52.0
52.0,135120.0,53.0,2010-10-15,53.0,52.0
53.0,78750.0,52.0,2010-10-19,53.0,52.0
52.0,6760.0,52.0,2010-10-20,52.0,52.0
52.1,106790.0,52.0,2010-10-22,52.1,52.0
55.0,55000.0,55.0,2010-10-27,55.0,55.0
56.0,661090.0,62.0,2010-10-28,62.0,56.0
62.0,2925650.0,63.0,2010-10-29,64.0,62.0
61.0,1069000.0,63.0,2010-11-02,63.0,61.0
63.0,1292390.0,64.0,2010-11-03,64.0,63.0
63.0,207900.0,63.0,2010-11-04,63.0,63.0
63.1,642620.0,63.0,2010-11-08,63.1,63.0
63.0,714940.0,62.0,2010-11-09,63.0,62.0
63.0,1385500.0,64.0,2010-11-10,65.0,63.0
64.0,332350.0,63.0,2010-11-11,64.0,63.0
63.0,628110.0,63.0,2010-11-12,63.0,63.0
63.0,63000.0,63.0,2010-11-17,63.0,63.0
63.0,507780.0,63.0,2010-11-18,63.0,63.0
63.0,153090.0,63.0,2010-11-19,63.0,63.0
63.0,189000.0,63.0,2010-11-22,63.0,63.0
63.0,126500.0,63.5,2010-11-23,63.5,63.0
63.5,207645.0,63.5,2010-11-24,63.5,63.5
63.5,139650.0,63.0,2010-11-25,63.5,63.0
63.3,1266.0,63.3,2010-12-01,63.3,63.3
63.25,48070.0,63.25,2010-12-02,63.25,63.25
63.25,12650.0,63.25,2010-12-03,63.25,63.25
63.0,63000.0,63.0,2010-12-06,63.0,63.0
63.15,126300.0,63.15,2010-12-07,63.15,63.15
63.15,252600.0,63.15,2010-12-08,63.15,63.15
63.5,419100.0,63.5,2010-12-16,63.5,63.5
63.5,519430.0,63.5,2010-12-22,63.5,63.5
64.5,167650.0,64.0,2010-12-29,64.5,64.0
64.5,167650.0,64.0,2010-12-29,64.5,64.0
64.0,3186560.0,64.0,2011-01-03,64.0,64.0
64.0,3186560.0,64.0,2011-01-03,64.0,64.0
64.0,3186560.0,64.0,2011-01-03,64.0,64.0
64.0,640000.0,64.0,2011-01-04,64.0,64.0
64.0,978560.0,64.0,2011-01-05,64.0,64.0
64.0,960000.0,64.0,2011-01-06,64.0,64.0
64.0,960000.0,64.0,2011-01-07,64.0,64.0
64.0,967040.0,64.0,2011-01-10,64.0,64.0
64.0,43520.0,64.0,2011-01-11,64.0,64.0
64.0,43520.0,64.0,2011-01-11,64.0,64.0
64.0,960000.0,64.0,2011-01-12,64.0,64.0
64.0,640000.0,64.0,2011-01-13,64.0,64.0
64.0,325120.0,64.0,2011-01-14,64.0,64.0
64.0,640000.0,64.0,2011-01-17,64.0,64.0
64.0,640000.0,64.0,2011-01-18,64.0,64.0
64.0,409600.0,64.0,2011-01-19,64.0,64.0
64.0,409600.0,64.0,2011-01-19,64.0,64.0
64.0,640000.0,64.0,2011-01-25,64.0,64.0
64.0,70400.0,64.0,2011-01-26,64.0,64.0
64.0,295692.5,64.25,2011-01-27,64.25,64.0
64.0,2565.0,64.5,2011-01-28,64.5,64.0
64.0,2565.0,64.5,2011-01-28,64.5,64.0
64.0,3200.0,64.0,2011-02-01,64.0,64.0
64.0,3200.0,64.0,2011-02-01,64.0,64.0
64.0,129920.0,64.0,2011-02-03,64.0,64.0
64.0,96000.0,64.0,2011-02-16,64.0,64.0
64.0,96000.0,64.0,2011-02-16,64.0,64.0
64.0,264320.0,64.0,2011-02-17,64.0,64.0
64.0,1275000.0,63.5,2011-02-18,64.0,63.5
64.0,490880.0,64.0,2011-02-21,64.0,64.0
64.0,490880.0,64.0,2011-02-21,64.0,64.0
63.0,18900.0,63.0,2011-02-25,63.0,63.0
63.25,107525.0,63.25,2011-03-02,63.25,63.25
63.25,170142.5,63.25,2011-03-03,63.25,63.25
63.25,882827.5,63.0,2011-03-07,63.25,63.0
63.0,1499400.0,63.0,2011-03-08,63.0,63.0
63.0,1499400.0,63.0,2011-03-08,63.0,63.0
63.0,630.0,63.0,2011-03-11,63.0,63.0
63.0,630.0,63.0,2011-03-11,63.0,63.0
63.0,30870.0,63.0,2011-03-16,63.0,63.0
63.0,630000.0,63.0,2011-03-17,63.0,63.0
63.0,723900.0,62.6,2011-03-18,63.0,62.6
63.0,1445000.0,62.0,2011-03-21,63.0,62.0
62.5,625000.0,62.5,2011-03-22,62.5,62.5
62.5,625000.0,62.5,2011-03-23,62.5,62.5
62.5,637500.0,62.5,2011-03-24,62.5,62.5
62.5,625000.0,62.5,2011-03-25,62.5,62.5
62.5,625000.0,62.5,2011-03-28,62.5,62.5
62.5,209375.0,62.5,2011-03-29,62.5,62.5
63.0,11980.0,63.5,2011-03-31,63.5,63.0
62.75,25100.0,62.75,2011-04-01,62.75,62.75
62.75,5647.5,62.75,2011-04-05,62.75,62.75
62.75,205820.0,62.75,2011-04-08,62.75,62.75
62.5,48125.0,62.5,2011-04-11,62.5,62.5
62.6,125200.0,62.6,2011-05-05,62.6,62.6
62.5,3125.0,62.5,2011-05-09,62.5,62.5
62.5,180798.0,62.6,2011-05-10,62.6,62.5
62.6,3130.0,62.6,2011-05-11,62.6,62.6
62.6,2504.0,62.6,2011-05-12,62.6,62.6
63.0,141120.0,63.0,2011-05-16,63.0,63.0
63.0,497937.0,63.05,2011-05-17,63.05,63.0
63.5,317500.0,63.5,2011-05-18,63.5,63.5
63.5,127000.0,63.5,2011-05-20,63.5,63.5
62.6,3130.0,62.6,2011-05-23,62.6,62.6
62.6,6260.0,62.6,2011-05-31,62.6,62.6
62.6,124478.0,62.5,2011-06-01,62.6,62.5
62.6,627876.0,62.6,2011-06-10,62.6,62.5
61.0,174612306.0,62.5,2011-06-14,62.5,57.7
62.5,47175.0,63.5,2011-06-15,63.5,62.5
63.5,431315.0,64.0,2011-06-16,64.0,63.5
64.0,486460.0,64.2,2011-06-17,64.2,64.0
64.0,332860.0,64.3,2011-06-22,64.3,64.0
64.0,9520.0,63.0,2011-06-23,64.0,63.0
63.0,609840.0,64.5,2011-06-24,64.5,63.0
63.0,736592.5,64.0,2011-06-30,64.0,63.0
63.5,227530.0,63.0,2011-07-05,63.5,63.0
64.0,64000.0,64.0,2011-07-06,64.0,64.0
64.0,384500.0,64.5,2011-07-08,64.5,64.0
64.5,654140.0,65.0,2011-07-11,65.0,64.5
63.5,90400.0,65.0,2011-07-12,65.0,63.5
64.95,6495.0,64.95,2011-07-13,64.95,64.95
65.0,325942.0,65.5,2011-07-14,65.5,65.0
65.5,393500.0,66.0,2011-07-20,66.0,65.5
63.5,419150.0,67.5,2011-07-27,67.5,63.5
68.5,3425.0,68.5,2011-08-01,68.5,68.5
70.0,57400.0,70.0,2011-08-02,70.0,70.0
67.0,481730.0,67.0,2011-08-08,67.0,67.0
66.0,24590.0,67.0,2011-08-11,67.0,66.0
67.0,63650.0,67.0,2011-08-15,67.0,67.0
67.0,50250.0,67.0,2011-08-16,67.0,67.0
67.5,3375.0,67.5,2011-08-18,67.5,67.5
69.0,6900.0,69.0,2011-08-24,69.0,69.0
68.0,680000.0,68.0,2011-08-25,68.0,68.0
69.0,690.0,69.0,2011-08-26,69.0,69.0
70.0,10600.0,71.0,2011-09-05,71.0,70.0
69.0,162150.0,69.0,2011-09-06,69.0,69.0
69.0,4140.0,69.0,2011-09-08,69.0,69.0
69.0,358110.0,69.0,2011-09-12,69.0,69.0
70.0,72100.0,70.0,2011-09-13,70.0,70.0
70.0,140700.0,70.0,2011-09-15,70.0,70.0
70.0,11200.0,70.0,2011-09-16,70.0,70.0
69.0,6900.0,69.0,2011-09-19,69.0,69.0
70.0,236600.0,70.0,2011-09-20,70.0,70.0
70.0,385000.0,70.0,2011-09-21,70.0,70.0
70.0,217000.0,70.0,2011-09-22,70.0,70.0
70.0,290500.0,70.0,2011-09-23,70.0,70.0
70.0,280000.0,70.0,2011-09-28,70.0,70.0
70.0,717450.0,70.0,2011-10-03,70.0,69.5
70.0,1134000.0,70.0,2011-10-04,70.0,70.0
70.0,710500.0,70.0,2011-10-05,70.0,70.0
70.0,448000.0,70.0,2011-10-06,70.0,70.0
70.0,357700.0,70.0,2011-10-10,70.0,70.0
71.0,124960.0,71.0,2011-10-11,71.0,71.0
70.0,116900.0,70.0,2011-10-27,70.0,70.0
70.2,63882.0,70.2,2011-11-09,70.2,70.2
70.2,178218.0,70.1,2011-11-17,70.2,70.1
70.1,68610.0,70.0,2011-11-24,70.1,70.0
70.0,21700.0,70.0,2011-11-28,70.0,70.0
70.0,1593200.0,70.0,2011-11-29,70.0,70.0
70.0,60200.0,70.0,2011-12-01,70.0,70.0
70.0,700.0,70.0,2011-12-02,70.0,70.0
70.0,53900.0,70.0,2011-12-05,70.0,70.0
70.0,28700.0,70.0,2011-12-07,70.0,70.0
70.0,24520.0,72.0,2011-12-08,72.0,70.0
70.0,161700.0,70.0,2011-12-12,70.0,70.0
70.0,700.0,70.0,2011-12-16,70.0,70.0
70.0,809200.0,73.5,2011-12-19,73.5,70.0
72.5,697075.0,75.5,2011-12-20,75.5,72.5
73.0,258600.0,77.0,2011-12-21,77.0,73.0
77.0,154000.0,77.0,2011-12-22,77.0,77.0
72.5,222720.0,77.0,2011-12-23,77.0,72.0
77.0,1358440.0,78.0,2011-12-26,78.0,77.0
79.0,23700.0,79.0,2011-12-27,79.0,79.0
78.5,7709996.0,85.0,2011-12-29,85.0,72.0
72.5,53650.0,72.5,2012-01-03,72.5,72.5
72.5,58725.0,72.5,2012-01-09,72.5,72.5
73.0,369800.0,72.5,2012-01-10,73.0,72.5
72.3,170606.0,72.3,2012-01-11,72.3,72.25
72.3,2470958.0,72.0,2012-01-12,72.3,71.8
73.0,771455.0,75.0,2012-01-13,78.0,72.5
73.0,2190.0,73.0,2012-01-16,73.0,73.0
73.0,702260.0,73.0,2012-01-17,73.0,73.0
74.0,734555.0,73.0,2012-01-18,74.0,73.0
73.5,69825.0,73.5,2012-01-25,73.5,73.5
76.95,13089.0,77.0,2012-01-26,77.0,76.95
74.0,5180.0,74.0,2012-01-27,74.0,74.0
74.05,8145.5,74.05,2012-01-31,74.05,74.05
73.5,161700.0,73.5,2012-02-01,73.5,73.5
