OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
287.5,849275.0,285.0,2009-08-03,287.5,285.0
287.5,9353825.0,290.0,2009-08-04,290.0,282.5
290.0,3237700.0,295.0,2009-08-06,295.0,290.0
295.0,1047575.0,290.0,2009-08-07,295.0,287.5
287.5,1971475.0,290.0,2009-08-10,290.0,285.0
290.0,13968825.0,295.0,2009-08-11,295.0,290.0
292.5,564050.0,295.0,2009-08-12,295.0,290.0
295.0,18819300.0,300.0,2009-08-13,300.0,295.0
300.0,128638050.0,300.0,2009-08-14,300.0,295.0
300.0,64050750.0,290.0,2009-08-17,300.0,290.0
282.5,3856225.0,287.5,2009-08-18,287.5,282.5
292.5,3623250.0,297.5,2009-08-19,297.5,292.5
297.5,34599700.0,335.0,2009-08-20,340.0,297.5
330.0,8243975.0,345.0,2009-08-24,350.0,330.0
345.0,5602875.0,335.0,2009-08-25,345.0,335.0
340.0,3204575.0,337.5,2009-08-26,340.0,335.0
332.5,10080750.0,330.0,2009-09-03,335.0,330.0
330.0,9989025.0,325.0,2009-09-04,335.0,325.0
335.0,5228675.0,330.0,2009-09-16,337.5,325.0
332.5,1158875.0,330.0,2009-09-17,332.5,327.5
327.5,5289025.0,332.5,2009-09-18,332.5,327.5
330.0,3079225.0,332.5,2009-09-22,332.5,330.0
330.0,5395975.0,340.0,2009-09-23,340.0,330.0
332.5,15673825.0,327.5,2009-09-30,335.0,327.5
332.5,2636300.0,337.5,2009-10-01,337.5,327.5
327.5,624125.0,330.0,2009-10-02,330.0,327.5
327.5,2515250.0,330.0,2009-10-05,330.0,327.5
330.0,1273200.0,330.0,2009-10-06,330.0,327.5
330.0,32026775.0,330.0,2009-10-07,335.0,330.0
330.0,16321825.0,330.0,2009-10-08,330.0,327.5
330.0,2660600.0,322.5,2009-10-09,330.0,322.5
325.0,690675.0,327.5,2009-10-12,330.0,325.0
327.5,399650.0,327.5,2009-10-13,330.0,327.5
325.0,130000.0,325.0,2009-10-14,325.0,325.0
322.5,5933350.0,322.5,2009-10-15,322.5,320.0
320.0,571500.0,325.0,2009-10-16,325.0,320.0
327.5,1405075.0,325.0,2009-10-19,327.5,322.5
325.0,1984575.0,317.5,2009-10-20,325.0,317.5
317.5,64925.0,325.0,2009-10-21,325.0,317.5
320.0,4158025.0,327.5,2009-10-22,327.5,320.0
330.0,24393150.0,345.0,2009-10-23,357.5,330.0
340.0,3560325.0,335.0,2009-10-26,340.0,330.0
335.0,15107125.0,330.0,2009-10-27,335.0,327.5
327.5,91700.0,327.5,2009-10-28,327.5,327.5
325.0,3013050.0,322.5,2009-10-29,325.0,322.5
322.5,436625.0,327.5,2009-10-30,327.5,322.5
312.5,3895975.0,320.0,2009-11-03,330.0,312.5
320.0,4846000.0,315.0,2009-11-04,320.0,315.0
310.0,1577900.0,310.0,2009-11-05,310.0,310.0
320.0,1642175.0,315.0,2009-11-06,325.0,315.0
320.0,18094000.0,315.0,2009-11-09,320.0,310.0
317.5,498750.0,315.0,2009-11-10,320.0,315.0
315.0,4841275.0,315.0,2009-11-11,315.0,312.5
307.5,3265650.0,307.5,2009-12-15,307.5,307.5
307.5,630375.0,307.5,2009-12-16,307.5,307.5
305.0,1814775.0,305.0,2009-12-17,307.5,305.0
307.5,553500.0,307.5,2009-12-18,307.5,307.5
302.5,6071375.0,302.5,2009-12-21,307.5,300.0
302.5,2141250.0,307.5,2009-12-22,307.5,302.5
307.5,115925.0,305.0,2009-12-23,307.5,305.0
315.0,5329500.0,312.5,2009-12-29,315.0,300.0
312.5,1211850.0,307.5,2010-01-04,312.5,307.5
307.5,722625.0,307.5,2010-01-05,307.5,307.5
307.5,11177625.0,307.5,2010-01-06,307.5,307.5
310.0,1982500.0,310.0,2010-01-07,310.0,307.5
310.0,334800.0,310.0,2010-01-08,310.0,310.0
307.5,7014075.0,307.5,2010-01-11,307.5,307.5
307.5,8821525.0,305.0,2010-01-12,307.5,305.0
310.0,2137200.0,307.5,2010-01-13,310.0,307.5
305.0,790050.0,305.0,2010-01-15,307.5,305.0
302.5,4878550.0,300.0,2010-01-18,302.5,300.0
300.0,499550.0,300.0,2010-01-19,300.0,297.5
300.0,1779000.0,300.0,2010-01-20,300.0,300.0
300.0,816000.0,300.0,2010-01-21,300.0,300.0
297.5,2014425.0,295.0,2010-01-25,300.0,295.0
