OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
61.0,61000.0,61.0,2009-09-22,61.0,61.0
57.0,28500.0,57.0,2009-10-15,57.0,57.0
54.0,27000.0,54.0,2009-10-16,54.0,54.0
52.0,26000.0,52.0,2009-10-19,52.0,52.0
70.0,35000.0,70.0,2009-12-17,70.0,70.0
71.0,146000.0,75.0,2009-12-23,75.0,71.0
78.0,78000.0,78.0,2009-12-29,78.0,78.0
65.0,65000.0,65.0,2010-03-31,65.0,65.0
62.0,62000.0,62.0,2010-05-04,62.0,62.0
62.0,62000.0,62.0,2010-05-28,62.0,62.0
58.0,29000.0,58.0,2010-06-08,58.0,58.0
58.0,87000.0,58.0,2010-06-11,58.0,58.0
65.0,130000.0,65.0,2010-10-08,65.0,65.0
70.0,58100.0,70.0,2010-10-28,70.0,70.0
70.0,140000.0,70.0,2010-12-02,70.0,70.0
75.0,37500.0,75.0,2011-02-25,75.0,75.0
75.0,37500.0,75.0,2011-03-03,75.0,75.0
75.0,75000.0,75.0,2011-03-11,75.0,75.0
75.0,75000.0,75.0,2011-03-11,75.0,75.0
75.0,37500.0,75.0,2011-04-01,75.0,75.0
80.0,80000.0,80.0,2011-04-29,80.0,80.0
80.0,80000.0,80.0,2011-05-20,80.0,80.0
78.0,78000.0,78.0,2011-06-17,78.0,78.0
52.0,15600000.0,52.0,2011-07-29,52.0,52.0
56.0,22400000.0,56.0,2011-08-11,56.0,56.0
57.0,34200000.0,57.0,2011-08-19,57.0,57.0
60.0,30000000.0,60.0,2011-08-26,60.0,60.0
60.0,60000000.0,60.0,2011-09-12,60.0,60.0
60.0,60000000.0,60.0,2011-09-16,60.0,60.0
61.0,18300000.0,61.0,2011-09-23,61.0,61.0
55.0,5500000.0,55.0,2011-09-29,55.0,55.0
58.0,58000.0,58.0,2011-12-23,58.0,58.0
58.0,29000.0,58.0,2011-12-26,58.0,58.0
58.0,29000.0,58.0,2011-12-29,58.0,58.0
58.0,116000.0,58.0,2012-04-19,58.0,58.0
61.0,61000.0,61.0,2012-06-14,61.0,61.0
61.0,18300000.0,61.0,2012-06-25,61.0,61.0
58.0,58000.0,58.0,2012-08-08,58.0,58.0
62.0,124000.0,62.0,2012-12-17,62.0,62.0
63.0,315000.0,63.0,2012-12-19,63.0,63.0
64.0,320000.0,64.0,2012-12-21,64.0,64.0
65.0,130000.0,65.0,2012-12-28,65.0,65.0
68.0,136000.0,68.0,2013-01-09,68.0,68.0
68.0,68000.0,68.0,2013-02-20,68.0,68.0
72.0,18000000.0,72.0,2013-02-26,72.0,72.0
77.0,11550000.0,77.0,2013-12-02,77.0,77.0
