OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
7.8,61176400.0,7.9,2009-08-03,7.9,7.8
7.9,119946100.0,8.0,2009-08-04,8.0,7.8
7.9,73654500.0,7.9,2009-08-06,8.0,7.8
8.1,604370600.0,9.0,2009-08-07,9.0,8.1
9.1,554352500.0,9.9,2009-08-10,10.0,9.1
10.0,1461717300.0,10.75,2009-08-11,11.0,9.9
10.5,227394650.0,10.75,2009-08-12,10.75,10.25
11.0,303506500.0,10.75,2009-08-13,11.25,10.5
10.75,380926950.0,10.25,2009-08-14,10.75,10.25
10.5,377163620.0,10.0,2009-08-17,10.5,9.8
9.8,290638600.0,9.8,2009-08-18,9.9,9.5
10.0,236681250.0,10.25,2009-08-19,10.25,10.0
10.25,178698150.0,10.0,2009-08-20,10.25,9.8
10.0,130968750.0,10.25,2009-08-24,10.25,10.0
10.0,20056475.0,10.25,2009-08-25,10.25,10.0
10.25,158729750.0,10.25,2009-08-26,10.5,10.25
10.25,30158950.0,10.25,2009-09-03,10.25,10.0
10.25,130436425.0,10.5,2009-09-04,10.5,10.25
9.9,34903300.0,10.0,2009-09-16,10.0,9.9
10.0,84910700.0,9.9,2009-09-17,10.0,9.8
9.8,50039400.0,9.9,2009-09-18,9.9,9.8
9.9,62445900.0,9.7,2009-09-22,9.9,9.6
9.7,47288800.0,9.7,2009-09-23,9.7,9.6
8.8,109444300.0,8.7,2009-09-30,8.9,8.7
8.7,109234600.0,8.6,2009-10-01,8.8,8.6
8.5,38786500.0,8.6,2009-10-02,8.6,8.4
8.6,13566300.0,8.6,2009-10-05,8.6,8.5
8.6,53511500.0,8.7,2009-10-06,8.7,8.6
8.8,474434300.0,9.1,2009-10-07,9.1,8.8
9.1,158841400.0,9.3,2009-10-08,9.3,9.1
9.3,81552000.0,9.1,2009-10-09,9.3,9.0
9.0,90280400.0,9.1,2009-10-12,9.1,9.0
9.1,81928400.0,9.0,2009-10-13,9.1,8.9
9.0,81348100.0,9.0,2009-10-14,9.0,8.9
9.0,105038700.0,9.0,2009-10-15,9.1,8.9
9.0,41629600.0,9.0,2009-10-16,9.0,8.9
9.0,32869200.0,9.0,2009-10-19,9.0,8.7
9.0,191112200.0,9.0,2009-10-20,9.0,8.9
9.0,61893500.0,9.1,2009-10-21,9.1,9.0
9.0,428554700.0,9.5,2009-10-22,9.5,9.0
9.5,47890900.0,9.6,2009-10-23,9.7,9.5
9.6,380262100.0,10.0,2009-10-26,10.25,9.6
9.9,68838000.0,9.9,2009-10-27,10.0,9.8
9.8,464415950.0,10.5,2009-10-28,10.5,9.8
10.5,459092400.0,10.75,2009-10-29,10.75,10.0
11.25,1446733700.0,11.5,2009-10-30,11.75,11.0
11.5,4637642875.0,13.0,2009-11-03,13.0,11.5
13.0,464930675.0,12.75,2009-11-04,13.25,12.5
12.75,1031542925.0,13.25,2009-11-05,13.25,12.25
13.5,260359900.0,13.5,2009-11-06,13.75,13.25
14.0,798514550.0,15.75,2009-11-09,15.75,14.0
16.5,1311444175.0,18.0,2009-11-10,18.0,16.5
18.5,1675549825.0,19.5,2009-11-11,19.5,18.25
16.0,113180850.0,16.25,2009-12-15,16.5,15.5
16.0,47848450.0,16.0,2009-12-16,16.25,15.75
15.75,34354275.0,15.5,2009-12-17,16.0,15.5
15.25,78732875.0,15.5,2009-12-18,15.5,15.0
15.25,98587550.0,15.75,2009-12-21,15.75,15.0
15.25,91788900.0,15.75,2009-12-22,15.75,15.25
15.25,295031675.0,15.75,2009-12-23,15.75,15.25
15.75,198238925.0,16.0,2009-12-29,16.0,15.5
15.75,11248175.0,15.5,2010-01-04,15.75,15.25
15.5,30902500.0,15.25,2010-01-05,15.5,15.25
15.0,55685950.0,14.5,2010-01-06,15.0,14.5
14.5,29309200.0,15.0,2010-01-07,15.0,14.5
15.0,27939050.0,14.5,2010-01-08,15.0,14.25
14.5,26000700.0,14.25,2010-01-11,14.5,14.0
14.0,24625575.0,14.5,2010-01-12,14.5,14.0
14.5,27752925.0,14.5,2010-01-13,14.5,14.0
14.5,20214175.0,14.5,2010-01-14,14.5,14.0
14.25,60309100.0,14.75,2010-01-15,14.75,14.25
14.75,17016550.0,14.75,2010-01-18,14.75,14.25
14.75,29649000.0,14.5,2010-01-19,14.75,14.25
14.5,71533550.0,14.5,2010-01-20,14.5,14.25
14.5,10202375.0,14.75,2010-01-21,14.75,14.25
14.5,95910250.0,14.75,2010-01-22,15.0,14.5
14.5,53353700.0,14.0,2010-01-25,14.5,13.25
14.0,42185175.0,13.75,2010-01-26,14.25,13.5
13.75,16866100.0,13.5,2010-01-27,13.75,13.0
13.25,64223175.0,14.0,2010-01-28,14.0,13.0
13.25,91125500.0,14.0,2010-01-29,14.0,13.25
13.75,13344250.0,13.75,2010-02-01,13.75,13.5
13.75,15888850.0,13.5,2010-02-02,13.75,13.25
13.25,21716500.0,13.5,2010-02-03,13.5,13.0
13.25,15761250.0,13.5,2010-02-04,13.75,13.25
13.5,15964375.0,13.25,2010-02-05,13.5,12.75
13.0,11124200.0,13.25,2010-02-08,13.25,13.0
13.25,44937375.0,12.75,2010-02-09,13.25,12.5
13.0,23604075.0,13.25,2010-02-10,13.25,13.0
13.25,11541975.0,13.5,2010-02-11,13.5,13.0
14.0,27569150.0,14.0,2010-03-08,14.0,13.75
13.5,19580575.0,13.5,2010-03-12,13.75,13.25
13.5,10321425.0,13.25,2010-03-15,13.5,13.25
13.0,5770475.0,13.25,2010-03-16,13.25,13.0
13.25,6909350.0,13.25,2010-03-17,13.25,13.0
13.5,22745050.0,13.5,2010-03-31,13.5,13.25
13.25,44236700.0,13.0,2010-04-20,13.25,12.75
13.0,6178300.0,13.0,2010-04-21,13.0,12.75
12.75,44581450.0,12.75,2010-04-22,13.0,12.5
12.5,5001725.0,12.75,2010-04-23,12.75,12.5
12.75,40580375.0,12.5,2010-04-29,12.75,12.25
12.5,34656900.0,12.25,2010-04-30,12.5,12.25
12.5,14790275.0,12.5,2010-05-04,12.75,12.5
12.25,40253800.0,12.0,2010-05-05,12.25,11.75
12.25,75010500.0,12.25,2010-05-13,12.5,12.0
12.25,32261675.0,12.0,2010-05-14,12.25,11.75
11.75,39657350.0,11.5,2010-05-17,12.0,11.5
11.5,23760700.0,11.25,2010-05-18,11.5,11.0
11.0,18087850.0,11.0,2010-05-19,11.0,10.75
10.75,5541000.0,11.0,2010-05-20,11.0,10.5
