OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
3.0,55656440.0,8.6,2011-09-12,13.0,3.0
10.0,122068699.0,9.96,2011-09-13,11.98,9.2
10.5,87459216.0,7.5,2011-09-14,10.7,7.5
7.6,36298417.0,6.45,2011-09-15,7.9,5.2
6.45,28388653.0,7.0,2011-09-16,7.7,5.7
7.25,15918370.0,7.02,2011-09-19,7.28,6.5
6.88,7861039.0,6.5,2011-09-20,7.0,6.4
6.87,4285515.0,6.6,2011-09-21,6.9,6.55
6.61,5537302.0,6.29,2011-09-22,6.61,6.28
6.0,9653153.0,5.45,2011-09-23,6.0,5.4
5.45,4684765.0,4.48,2011-09-26,5.45,4.0
4.7,4656680.0,5.08,2011-09-28,5.3,4.7
5.08,2022298.0,5.26,2011-09-29,5.26,4.96
5.5,1975987.0,5.6,2011-10-03,5.7,5.3
5.49,1424172.0,5.58,2011-10-04,5.65,5.3
5.72,1227694.0,5.69,2011-10-05,5.72,5.6
5.95,3549015.0,6.0,2011-10-06,6.28,5.9
6.1,2971719.0,6.0,2011-10-07,6.3,6.0
6.1,782214.0,6.1,2011-10-10,6.2,6.1
6.3,3863354.0,6.2,2011-10-11,6.32,6.1
6.2,1930970.0,6.1,2011-10-12,6.2,6.1
6.15,1860753.0,6.15,2011-10-13,6.2,6.1
6.1,1445758.0,6.15,2011-10-14,6.25,6.02
6.2,4987893.0,6.45,2011-10-17,6.58,6.1
6.5,3145511.0,6.5,2011-10-18,6.54,6.45
6.58,1239431.0,6.31,2011-10-19,6.6,6.3
6.28,686188.0,6.31,2011-10-20,6.35,6.28
6.21,787345.0,6.3,2011-10-21,6.3,6.21
6.3,551251.0,6.27,2011-10-24,6.32,6.25
6.3,1353330.0,6.36,2011-10-25,6.36,6.3
6.3,528594.0,6.36,2011-10-26,6.36,6.3
6.5,664651.0,6.5,2011-10-27,6.5,6.36
6.5,1231958.0,6.38,2011-10-28,6.5,6.36
6.3,3464064.0,6.2,2011-11-02,6.3,6.17
6.14,4419278.0,6.3,2011-11-03,6.3,6.14
6.3,4399308.0,6.55,2011-11-04,7.0,6.3
6.54,2408403.0,6.55,2011-11-08,6.55,6.3
6.5,817182.0,6.51,2011-11-09,6.6,6.5
6.3,745686.0,6.32,2011-11-10,6.32,6.3
6.5,3089147.0,6.56,2011-11-11,6.57,6.32
6.9,9312725.0,6.95,2011-11-14,7.4,6.8
7.0,2824461.0,7.15,2011-11-15,7.2,6.95
7.2,2314809.0,7.12,2011-11-16,7.2,7.0
7.01,949507.0,7.01,2011-11-17,7.14,7.0
7.01,8008621.0,7.1,2011-11-18,7.38,7.01
7.1,2758984.0,6.9,2011-11-21,7.24,6.9
6.9,3091370.0,6.8,2011-11-22,6.9,6.5
6.8,716730.0,6.8,2011-11-23,6.81,6.8
6.8,3297249.0,6.7,2011-11-24,6.81,6.7
6.59,4841138.0,6.8,2011-11-25,6.85,6.59
6.6,3154855.0,7.0,2011-11-28,7.0,6.6
6.95,2414122.0,7.1,2011-11-29,7.1,6.95
7.4,1889584.0,7.1,2011-12-01,7.4,7.0
7.1,3447592.0,7.15,2011-12-02,7.15,7.07
7.09,1071626.0,7.15,2011-12-05,7.15,6.91
7.15,795980.0,7.01,2011-12-06,7.15,7.01
7.0,2992697.0,6.99,2011-12-07,7.14,6.89
7.0,10142068.0,7.4,2011-12-08,7.49,6.99
7.42,2190261.0,7.49,2011-12-09,7.59,7.3
7.4,2041883.0,7.31,2011-12-12,7.5,7.31
7.31,670102.0,7.28,2011-12-13,7.4,7.28
7.3,3670170.0,7.07,2011-12-14,7.3,7.05
7.07,3142225.0,7.01,2011-12-15,7.2,6.91
7.1,1688335.0,7.0,2011-12-16,7.1,6.9
7.04,161196.0,7.04,2011-12-19,7.04,7.0
7.05,681582.0,7.12,2011-12-20,7.19,7.05
7.06,1054742.0,7.1,2011-12-21,7.2,7.06
7.12,192757.0,7.08,2011-12-22,7.12,7.01
7.1,386950.0,7.1,2011-12-23,7.1,7.1
7.1,153162.0,7.1,2011-12-26,7.1,7.08
7.1,222538.0,7.08,2011-12-27,7.1,7.08
7.08,224740.0,7.13,2011-12-28,7.13,7.02
7.03,1036286.0,7.02,2011-12-29,7.05,7.02
7.03,3370738.0,7.1,2012-01-02,7.19,7.03
7.2,3069016.0,7.45,2012-01-03,7.69,7.2
7.32,1387477.0,7.54,2012-01-04,7.65,7.32
7.54,12695656.0,8.33,2012-01-05,8.41,7.54
8.2,6922109.0,8.69,2012-01-06,8.8,8.02
8.7,11216430.0,9.06,2012-01-09,9.42,8.5
9.08,6492545.0,8.83,2012-01-10,9.25,8.82
8.85,2298504.0,9.0,2012-01-11,9.18,8.83
9.0,1425993.0,8.9,2012-01-12,9.0,8.86
8.9,7638016.0,9.2,2012-01-13,9.5,8.9
9.2,8065949.0,9.45,2012-01-16,9.62,9.2
9.45,35933293.0,9.97,2012-01-17,10.0,9.45
9.97,8894726.0,9.5,2012-01-18,9.97,9.47
9.5,2777963.0,9.61,2012-01-19,9.7,9.47
9.7,12430061.0,9.81,2012-01-20,10.02,9.7
9.85,1079630.0,9.65,2012-01-24,9.85,9.5
9.55,2530513.0,9.75,2012-01-25,9.8,9.55
9.7,29058252.0,10.0,2012-01-26,10.4,9.7
10.28,4095836.0,10.0,2012-01-27,10.44,9.98
10.1,2645798.0,9.9,2012-01-30,10.28,9.9
9.9,1187350.0,10.0,2012-01-31,10.1,9.9
10.0,4488250.0,9.6,2012-02-01,10.0,9.5
9.8,2141105.0,9.55,2012-02-02,9.8,9.55
9.55,27995246.0,10.66,2012-02-03,10.66,9.55
10.68,11497172.0,9.92,2012-02-06,10.72,9.92
9.94,2689952.0,9.94,2012-02-07,10.14,9.8
10.2,3012636.0,10.2,2012-02-08,10.3,10.0
10.12,1894398.0,10.0,2012-02-09,10.12,9.98
9.98,4341520.0,10.1,2012-02-10,10.4,9.96
10.2,283090.0,10.1,2012-02-13,10.2,10.0
10.4,2015410.0,10.1,2012-02-14,10.5,10.1
10.2,2233518.0,10.0,2012-02-15,10.28,9.96
10.28,1737802.0,10.0,2012-02-16,10.28,10.0
10.18,29039180.0,10.72,2012-02-17,10.8,10.18
10.78,30206352.0,11.26,2012-02-20,11.42,10.72
11.26,14487426.0,11.88,2012-02-21,11.88,11.1
11.98,45243626.0,13.22,2012-02-22,13.6,11.88
13.42,19412564.0,12.2,2012-02-23,13.7,12.0
12.24,24197626.0,12.0,2012-02-24,12.98,11.5
12.16,12807378.0,12.5,2012-02-27,12.6,11.94
12.8,7659238.0,12.62,2012-02-28,12.86,12.4
12.64,9423980.0,12.8,2012-02-29,12.82,12.5
12.78,24076712.0,12.9,2012-03-01,13.0,12.6
12.8,13275080.0,13.2,2012-03-02,13.4,12.8
13.2,14814956.0,13.48,2012-03-05,13.6,13.0
13.48,25672750.0,13.5,2012-03-06,14.18,13.44
13.4,10712938.0,13.3,2012-03-07,13.5,13.0
13.8,4409180.0,13.3,2012-03-08,13.8,13.3
13.5,5459068.0,13.3,2012-03-09,13.5,13.28
13.5,3933338.0,13.28,2012-03-12,13.5,13.28
13.22,9701418.0,12.68,2012-03-13,13.26,12.68
12.6,13152044.0,12.22,2012-03-14,13.0,12.2
12.18,25180504.0,11.5,2012-03-15,12.18,11.0
11.52,4096860.0,11.9,2012-03-16,12.0,11.38
11.8,1854064.0,12.24,2012-03-19,12.24,11.8
12.26,2377886.0,12.24,2012-03-20,12.62,12.24
12.24,2542378.0,12.0,2012-03-21,12.24,11.7
11.8,4129716.0,11.7,2012-03-22,12.0,11.64
11.8,4955558.0,11.8,2012-03-23,11.98,11.7
11.8,655642.0,11.8,2012-03-26,11.92,11.7
11.8,1762326.0,11.9,2012-03-27,11.9,11.6
12.0,1551910.0,11.9,2012-03-28,12.0,11.8
11.7,751902.0,11.8,2012-03-29,11.9,11.5
11.8,2224288.0,11.7,2012-03-30,11.88,11.6
11.6,2363870.0,11.9,2012-04-02,11.9,11.58
11.6,2029460.0,12.1,2012-04-03,12.2,11.6
11.62,127960.0,11.8,2012-04-04,12.08,11.62
12.1,1035276.0,11.8,2012-04-10,12.1,11.6
11.6,1610860.0,11.8,2012-04-11,11.8,11.5
11.56,1174168.0,11.7,2012-04-12,11.7,11.54
11.5,1140066.0,11.66,2012-04-13,11.66,11.4
11.68,9963222.0,11.4,2012-04-16,11.68,11.16
11.42,2552092.0,11.4,2012-04-17,11.42,11.1
11.3,2233310.0,11.6,2012-04-18,11.6,11.3
11.58,18729470.0,12.3,2012-04-19,12.38,11.58
12.4,4750782.0,12.4,2012-04-20,12.48,12.36
12.36,32043342.0,13.8,2012-04-23,14.12,12.36
14.3,67545036.0,16.2,2012-04-24,16.2,13.84
17.5,157880028.0,24.3,2012-04-25,24.3,17.5
28.5,384007290.0,33.0,2012-04-26,35.0,27.0
30.0,175822820.0,28.5,2012-04-27,30.9,28.25
27.9,214161535.0,23.8,2012-04-30,27.9,23.05
22.45,227293160.0,21.0,2012-05-02,23.95,20.3
22.0,216019090.0,27.0,2012-05-03,27.0,22.0
28.1,221860175.0,25.9,2012-05-04,29.0,25.0
25.9,50964830.0,27.15,2012-05-07,27.8,24.0
27.0,63980790.0,28.35,2012-05-08,28.4,26.5
28.0,69320570.0,27.3,2012-05-09,28.7,25.75
26.7,42143200.0,25.9,2012-05-10,27.0,24.9
25.9,37941425.0,24.85,2012-05-11,26.1,23.8
24.75,30156575.0,23.95,2012-05-14,24.75,23.0
23.5,23339855.0,24.5,2012-05-15,25.5,23.3
25.7,105031470.0,27.6,2012-05-16,28.5,25.4
28.0,164967625.0,30.85,2012-05-17,31.3,28.0
30.0,144979515.0,31.3,2012-05-18,33.0,29.7
31.2,98216005.0,34.0,2012-05-21,34.5,31.0
35.1,107990345.0,34.9,2012-05-22,35.9,33.0
34.0,43878445.0,32.5,2012-05-23,34.55,31.9
32.3,121918860.0,35.5,2012-05-24,35.65,32.3
36.0,91430885.0,37.65,2012-05-25,37.65,35.5
38.0,116910825.0,40.4,2012-05-28,40.4,37.55
40.7,82191040.0,42.2,2012-05-29,42.9,40.7
42.6,153175585.0,40.8,2012-05-30,42.7,39.2
40.0,195003835.0,41.0,2012-05-31,42.0,38.95
41.8,59106425.0,40.9,2012-06-01,41.8,39.65
39.9,46774165.0,36.8,2012-06-04,40.0,36.5
37.4,22894450.0,36.7,2012-06-05,37.4,35.3
36.0,40962550.0,37.85,2012-06-06,38.25,36.0
39.0,47147165.0,40.05,2012-06-07,40.3,37.95
40.0,62946170.0,38.45,2012-06-08,40.0,36.85
38.95,11815160.0,38.75,2012-06-11,39.45,37.65
38.8,16362170.0,39.0,2012-06-13,39.2,37.9
38.65,13395695.0,37.1,2012-06-14,38.7,37.05
37.1,25885935.0,36.0,2012-06-15,37.6,36.0
36.25,36971525.0,39.0,2012-06-18,39.5,36.25
39.0,43806930.0,39.6,2012-06-19,39.6,38.5
39.65,79922065.0,41.5,2012-06-20,42.1,39.1
41.35,44607755.0,38.8,2012-06-21,41.35,38.7
38.2,22209795.0,39.25,2012-06-22,39.85,37.5
40.0,48682865.0,40.7,2012-06-25,41.4,39.35
