OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.0,14000.0,2.0,2009-08-14,2.0,2.0
2.2,22000.0,2.2,2009-08-18,2.2,2.2
2.0,4000.0,2.0,2009-08-24,2.0,2.0
2.0,24320.0,2.16,2009-08-26,2.16,2.0
1.9,104500.0,1.9,2009-09-17,1.9,1.9
2.06,2060.0,2.06,2009-10-01,2.06,2.06
1.82,41860.0,1.82,2009-10-05,1.82,1.82
1.9,1900.0,1.9,2009-10-21,1.9,1.9
1.08,3240.0,1.08,2010-01-28,1.08,1.08
1.58,1580.0,1.58,2010-05-14,1.58,1.58
1.5,15000.0,1.5,2010-06-10,1.5,1.5
0.95,950.0,0.95,2010-06-23,0.95,0.95
1.1,3300.0,1.1,2010-10-05,1.1,1.1
1.64,1640.0,1.64,2010-10-12,1.64,1.64
1.64,82000.0,1.64,2010-10-13,1.64,1.64
1.5,9000.0,1.5,2010-11-22,1.5,1.5
1.5,6000.0,1.5,2010-11-23,1.5,1.5
1.5,1500.0,1.5,2010-12-08,1.5,1.5
1.11,1110.0,1.11,2011-01-05,1.11,1.11
1.12,1120.0,1.12,2011-01-14,1.12,1.12
1.11,4440.0,1.11,2011-01-17,1.11,1.11
1.4,1400.0,1.4,2011-01-18,1.4,1.4
1.2,1200.0,1.2,2011-02-01,1.2,1.2
1.2,1200.0,1.2,2011-02-01,1.2,1.2
1.15,5750.0,1.15,2011-02-28,1.15,1.15
1.11,5550.0,1.11,2011-05-05,1.11,1.11
1.11,5550.0,1.11,2011-05-27,1.11,1.11
1.11,4440.0,1.11,2011-05-31,1.11,1.11
1.11,22200.0,1.11,2011-06-16,1.11,1.11
1.11,2220.0,1.11,2011-06-22,1.11,1.11
1.12,54400.0,1.11,2011-06-23,1.12,1.11
1.11,3330.0,1.11,2011-08-04,1.11,1.11
1.11,1110.0,1.11,2011-09-13,1.11,1.11
1.11,11100.0,1.11,2011-09-22,1.11,1.11
1.11,11100.0,1.11,2011-09-23,1.11,1.11
1.1,22000.0,1.1,2011-09-26,1.1,1.1
1.1,22000.0,1.1,2011-09-28,1.1,1.1
1.1,22000.0,1.1,2011-10-03,1.1,1.1
1.1,22000.0,1.1,2011-10-04,1.1,1.1
1.14,22800.0,1.14,2011-10-05,1.14,1.14
1.14,22800.0,1.14,2011-10-06,1.14,1.14
1.14,31920.0,1.14,2011-10-11,1.14,1.14
1.6,284800.0,1.6,2011-10-18,1.6,1.6
1.6,1600.0,1.6,2011-10-19,1.6,1.6
1.11,142080.0,1.11,2011-11-10,1.11,1.11
1.25,20650.0,1.6,2011-11-15,1.6,1.25
1.6,1600.0,1.6,2011-11-17,1.6,1.6
1.6,6400.0,1.6,2011-11-21,1.6,1.6
1.6,17600.0,1.6,2011-11-24,1.6,1.6
1.88,104200.0,2.0,2011-11-28,2.0,1.88
2.0,18100.0,2.1,2011-12-06,2.1,2.0
2.05,2050.0,2.05,2011-12-07,2.05,2.05
1.26,2520.0,1.26,2011-12-13,1.26,1.26
1.3,2600.0,1.3,2011-12-14,1.3,1.3
1.3,9100.0,1.3,2011-12-15,1.3,1.3
1.8,10750.0,1.79,2011-12-19,1.8,1.79
1.95,1950.0,1.95,2011-12-22,1.95,1.95
1.95,58500.0,1.95,2011-12-23,1.95,1.95
1.6,1600.0,1.6,2011-12-27,1.6,1.6
1.64,49200.0,1.64,2011-12-29,1.64,1.64
1.58,40630.0,1.3,2012-01-03,1.58,1.3
1.5,10710.0,1.6,2012-01-04,1.6,1.5
1.26,1260.0,1.26,2012-01-05,1.26,1.26
1.85,7400.0,1.85,2012-01-26,1.85,1.85
1.85,34130.0,1.32,2012-02-01,2.49,1.32
1.5,1500.0,1.5,2012-02-03,1.5,1.5
1.34,202340.0,1.34,2012-02-06,1.34,1.34
1.34,4020.0,1.34,2012-02-09,1.34,1.34
1.34,3030.0,1.69,2012-02-10,1.69,1.34
1.34,4020.0,1.34,2012-02-13,1.34,1.34
1.34,2680.0,1.34,2012-02-16,1.34,1.34
1.98,359240.0,2.01,2012-02-20,2.01,1.95
2.1,4200.0,2.1,2012-02-27,2.1,2.1
2.1,2100.0,2.1,2012-03-08,2.1,2.1
2.1,2100.0,2.1,2012-03-21,2.1,2.1
2.1,44260.0,2.6,2012-03-22,2.6,2.1
2.1,49750.0,1.95,2012-03-23,2.1,1.95
1.9,9500.0,1.9,2012-03-26,1.9,1.9
2.4,88240.0,2.85,2012-03-27,2.85,2.4
2.85,154460.0,2.5,2012-03-28,2.85,2.5
2.84,29940.0,3.2,2012-03-29,3.2,2.84
2.7,8100.000000000001,2.7,2012-04-02,2.7,2.7
2.55,7650.0,2.55,2012-04-10,2.55,2.55
2.55,7649.999999999999,2.55,2012-04-11,2.55,2.55
2.55,43350.0,2.55,2012-04-18,2.55,2.55
2.5,173060.0,2.5,2012-04-20,2.5,2.28
2.85,5700.0,2.85,2012-04-23,2.85,2.85
2.4,2400.0,2.4,2012-05-02,2.4,2.4
2.28,41040.0,2.28,2012-05-11,2.28,2.28
2.2,2200.0,2.2,2012-05-14,2.2,2.2
1.5,105000.0,1.5,2012-05-17,1.5,1.5
1.61,12810.0,1.6,2012-05-28,1.61,1.6
1.53,3060.0,1.53,2012-05-29,1.53,1.53
1.51,3020.0,1.51,2012-06-04,1.51,1.51
1.51,1510.0,1.51,2012-06-13,1.51,1.51
1.51,3020.0,1.51,2012-06-25,1.51,1.51
2.24,98980.0,2.25,2012-06-28,2.25,2.24
2.25,2250.0,2.25,2012-07-16,2.25,2.25
2.25,2250.0,2.25,2012-07-17,2.25,2.25
2.25,13500.0,2.25,2012-07-26,2.25,2.25
1.51,1510.0,1.51,2012-08-02,1.51,1.51
1.61,1610.0,1.61,2012-08-23,1.61,1.61
1.7,11900.0,1.7,2012-08-29,1.7,1.7
1.65,1650.0,1.65,2012-09-13,1.65,1.65
1.7,13610.0,1.7,2012-09-20,1.71,1.7
1.7,22100.0,1.7,2012-09-25,1.7,1.7
1.7,1700.0,1.7,2012-09-28,1.7,1.7
1.68,1680.0,1.68,2012-10-01,1.68,1.68
1.9,3890.0,1.99,2012-10-10,1.99,1.9
2.4,374400.0,2.4,2012-10-18,2.4,2.4
2.4,55200.0,2.4,2012-10-19,2.4,2.4
2.4,19200.0,2.4,2012-10-22,2.4,2.4
2.3,9200.0,2.3,2012-10-23,2.3,2.3
2.3,13800.0,2.3,2012-10-24,2.3,2.3
2.3,23000.0,2.3,2012-10-25,2.3,2.3
2.2,2200.0,2.2,2012-10-29,2.2,2.2
3.28,508419.99999999994,3.3,2012-12-06,3.3,3.28
3.5,10500.0,3.5,2012-12-12,3.5,3.5
3.09,102290.0,3.1,2012-12-19,3.1,3.09
3.0,6000.0,3.0,2012-12-20,3.0,3.0
3.1,58900.0,3.1,2012-12-21,3.1,3.1
2.1,333200.0,2.15,2012-12-26,2.15,2.1
2.17,44600.0,2.25,2012-12-27,2.25,2.17
2.25,45000.0,2.25,2013-01-17,2.25,2.25
2.25,22500.0,2.25,2013-01-21,2.25,2.25
2.22,26940.0,2.25,2013-01-22,2.25,2.22
2.25,67500.0,2.25,2013-01-23,2.25,2.25
2.25,78800.0,2.26,2013-01-25,2.26,2.25
2.26,18080.0,2.26,2013-01-30,2.26,2.26
2.25,2250.0,2.25,2013-02-01,2.25,2.25
2.26,15819.999999999998,2.26,2013-02-05,2.26,2.26
2.25,29330.0,2.26,2013-02-07,2.26,2.25
2.26,22599.999999999996,2.26,2013-02-12,2.26,2.26
2.26,22599.999999999996,2.26,2013-02-20,2.26,2.26
2.26,15819.999999999998,2.26,2013-02-22,2.26,2.26
2.38,57270.0,2.39,2013-02-26,2.39,2.38
2.39,2390.0,2.39,2013-03-05,2.39,2.39
2.27,13569.999999999998,2.26,2013-03-06,2.27,2.26
2.28,20520.0,2.28,2013-03-08,2.28,2.28
