OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.5,18000.0,1.5,2009-08-17,1.5,1.5
1.5,3000.0,1.5,2009-08-18,1.5,1.5
1.5,37500.0,1.5,2009-08-25,1.5,1.5
1.5,1500.0,1.5,2009-09-03,1.5,1.5
1.8,7200.0,1.8,2009-09-22,1.8,1.8
1.5,31500.0,1.5,2009-09-30,1.5,1.5
1.5,30000.0,1.5,2009-10-02,1.5,1.5
1.5,30000.0,1.5,2009-10-05,1.5,1.5
1.8,5400.0,1.8,2009-10-22,1.8,1.8
1.8,1800.0,1.8,2009-10-23,1.8,1.8
1.8,54000.0,1.8,2009-10-26,1.8,1.8
1.8,3600.0,1.8,2009-10-27,1.8,1.8
1.7,85000.0,1.7,2009-10-29,1.7,1.7
1.7,22100.0,1.7,2009-10-30,1.7,1.7
1.68,20160.0,1.68,2009-11-03,1.68,1.68
1.3,2600.0,1.3,2009-11-05,1.3,1.3
1.78,40940.0,1.78,2009-11-06,1.78,1.78
1.42,48060.0,1.36,2009-12-16,1.42,1.36
1.4,28000.0,1.4,2009-12-22,1.4,1.4
1.6,17600.0,1.6,2009-12-23,1.6,1.6
1.6,81600.0,1.6,2009-12-29,1.6,1.6
1.6,6400.0,1.6,2010-01-06,1.6,1.6
1.6,1600.0,1.6,2010-01-07,1.6,1.6
1.6,5166400.0,1.6,2010-01-12,1.6,1.6
1.6,200000.0,1.6,2010-01-14,1.6,1.6
1.6,505600.0,1.6,2010-01-15,1.6,1.6
1.62,1620.0,1.62,2010-01-22,1.62,1.62
1.6,9600.0,1.6,2010-01-25,1.6,1.6
1.6,80000.0,1.6,2010-01-27,1.6,1.6
1.3,26000.0,1.3,2010-02-04,1.3,1.3
1.52,3040.0,1.52,2010-02-11,1.52,1.52
1.6,9600.0,1.6,2010-03-12,1.6,1.6
1.6,40000.0,1.6,2010-03-15,1.6,1.6
1.56,23400.0,1.56,2010-05-21,1.56,1.56
1.6,3208000.0,1.6,2010-05-26,1.6,1.6
1.5,16500.0,1.5,2010-06-08,1.5,1.5
1.5,3000.0,1.5,2010-06-11,1.5,1.5
1.52,51680.0,1.52,2010-06-21,1.52,1.52
1.6,32000.0,1.6,2010-07-23,1.6,1.6
1.7,3400.0,1.7,2010-09-20,1.7,1.7
2.0,20000.0,2.0,2010-09-21,2.0,2.0
1.8,585400.0,2.0,2010-09-28,2.0,1.8
2.0,212000.0,2.0,2010-09-30,2.0,2.0
1.9,188100.0,1.9,2010-10-01,1.9,1.9
1.92,42400.0,2.0,2010-10-05,2.0,1.92
1.92,23000.0,1.9,2010-10-06,1.92,1.9
1.9,91200.0,1.9,2010-10-08,1.9,1.9
2.0,42000.0,2.0,2010-10-15,2.0,2.0
2.0,24000.0,2.0,2010-10-18,2.0,2.0
1.8,180000.0,1.8,2010-10-19,1.8,1.8
1.8,108000.0,1.8,2010-10-20,1.8,1.8
1.8,1800.0,1.8,2010-10-27,1.8,1.8
1.8,32400.0,1.8,2010-11-04,1.8,1.8
2.0,36000.0,2.0,2010-11-09,2.0,2.0
1.98,1980.0,1.98,2010-11-11,1.98,1.98
2.0,30000.0,2.0,2010-11-15,2.0,2.0
2.0,74080.0,1.9,2010-11-17,2.0,1.9
1.9,90380.0,1.88,2010-11-18,1.9,1.88
1.86,124620.0,1.86,2010-11-19,1.86,1.86
1.86,39040.0,1.84,2010-11-22,1.86,1.84
1.84,36800.0,1.84,2010-12-02,1.84,1.84
1.86,187800.0,1.88,2010-12-08,1.88,1.86
1.8,912600.0,1.8,2010-12-29,1.8,1.8
1.8,912600.0,1.8,2010-12-29,1.8,1.8
1.7,17000.0,1.7,2011-01-04,1.7,1.7
1.8,126000.0,1.8,2011-01-05,1.8,1.8
1.8,180000.0,1.8,2011-01-06,1.8,1.8
1.8,356400.0,1.8,2011-01-07,1.8,1.8
1.8,9000.0,1.8,2011-01-10,1.8,1.8
1.8,59400.0,1.8,2011-01-19,1.8,1.8
1.8,59400.0,1.8,2011-01-19,1.8,1.8
1.8,90000.0,1.8,2011-01-24,1.8,1.8
1.8,180000.0,1.8,2011-01-25,1.8,1.8
1.8,16200.0,1.8,2011-02-14,1.8,1.8
1.8,54000.0,1.8,2011-02-23,1.8,1.8
1.8,54000.0,1.8,2011-02-23,1.8,1.8
1.8,1800.0,1.8,2011-03-04,1.8,1.8
1.8,1800.0,1.8,2011-03-04,1.8,1.8
1.8,90000.0,1.8,2011-03-17,1.8,1.8
1.8,1800.0,1.8,2011-03-31,1.8,1.8
1.9,104500.0,1.9,2011-04-27,1.9,1.9
1.9,66500.0,1.9,2011-05-18,1.9,1.9
1.9,20900.0,1.9,2011-05-24,1.9,1.9
1.8,14400.0,1.8,2011-06-28,1.8,1.8
1.8,16200.0,1.8,2011-06-30,1.8,1.8
1.8,77400.0,1.8,2011-07-06,1.8,1.8
1.8,34200.0,1.8,2011-07-07,1.8,1.8
1.8,7200.0,1.8,2011-07-13,1.8,1.8
1.8,54000.0,1.8,2011-07-15,1.8,1.8
1.8,27000.0,1.8,2011-07-26,1.8,1.8
1.8,18000.0,1.8,2011-07-27,1.8,1.8
1.8,201600.0,1.8,2011-07-28,1.8,1.8
1.95,109380.0,2.0,2011-08-16,2.0,1.95
2.0,30000.0,2.0,2011-08-17,2.0,2.0
1.81,1810.0,1.81,2011-08-22,1.81,1.81
2.1,525000.0,2.1,2011-08-23,2.1,2.1
2.3,4260.0,1.96,2011-08-25,2.3,1.96
1.83,1830.0,1.83,2011-09-05,1.83,1.83
2.0,109530.0,2.74,2011-09-07,2.74,2.0
4.1,331350.0,2.75,2011-09-08,4.1,2.75
2.01,2010.0,2.01,2011-09-09,2.01,2.01
2.02,59520.0,2.3,2011-09-12,2.3,2.02
2.73,2730.0,2.73,2011-09-13,2.73,2.73
2.31,2310.0,2.31,2011-09-14,2.31,2.31
2.73,2730.0,2.73,2011-09-15,2.73,2.73
2.74,2740.0,2.74,2011-09-16,2.74,2.74
2.5,24640.0,2.46,2011-09-20,2.5,2.4
2.5,178240.0,3.0,2011-09-28,3.0,2.5
3.15,57770.0,3.1,2011-09-29,3.2,2.9
3.0,12000.0,3.0,2011-10-03,3.0,3.0
2.8,65410.0,2.51,2011-10-05,2.8,2.5
2.99,2990.0,2.99,2011-10-07,2.99,2.99
2.99,74680.0,2.96,2011-10-17,3.0,2.96
2.51,115020.0,2.49,2011-10-18,2.51,2.49
2.49,29880.0,2.49,2011-10-19,2.49,2.49
2.55,7650.0,2.55,2011-10-20,2.55,2.55
2.55,15300.0,2.55,2011-10-21,2.55,2.55
