OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.5,194900.0,0.48,2009-08-03,0.5,0.48
0.49,584000.0,0.47,2009-08-04,0.49,0.47
0.47,28200.0,0.47,2009-08-06,0.47,0.47
0.47,155100.0,0.47,2009-08-07,0.47,0.47
0.5,2430900.0,0.5,2009-08-10,0.52,0.49
0.51,1413300.0,0.5,2009-08-11,0.51,0.5
0.49,593900.0,0.5,2009-08-12,0.5,0.49
0.49,402000.0,0.49,2009-08-13,0.5,0.49
0.49,348600.0,0.49,2009-08-14,0.5,0.49
0.48,23600.0,0.47,2009-08-17,0.48,0.47
0.47,630100.0,0.47,2009-08-18,0.47,0.45
0.47,145700.0,0.47,2009-08-19,0.47,0.47
0.48,38400.0,0.48,2009-08-24,0.48,0.48
0.48,744900.0,0.47,2009-08-25,0.48,0.46
0.47,623300.0,0.48,2009-08-26,0.48,0.47
0.49,377300.0,0.49,2009-09-03,0.49,0.49
0.48,772400.0,0.48,2009-09-04,0.48,0.47
0.52,266200.0,0.51,2009-09-16,0.52,0.5
0.53,53000.0,0.53,2009-09-17,0.53,0.53
0.51,208600.0,0.51,2009-09-18,0.51,0.5
0.5,5000.0,0.5,2009-09-22,0.5,0.5
0.49,465500.0,0.5,2009-09-23,0.51,0.49
0.5,5000.0,0.5,2009-09-30,0.5,0.5
0.48,273600.0,0.48,2009-10-02,0.48,0.48
0.47,195300.0,0.47,2009-10-05,0.48,0.47
0.48,190100.0,0.49,2009-10-06,0.49,0.48
0.49,68900.0,0.5,2009-10-07,0.5,0.49
0.5,50000.0,0.5,2009-10-08,0.5,0.5
0.49,331900.0,0.51,2009-10-09,0.51,0.49
0.5,378600.0,0.49,2009-10-12,0.5,0.49
0.49,58800.0,0.49,2009-10-13,0.49,0.49
0.49,151900.0,0.49,2009-10-14,0.49,0.49
0.49,364700.0,0.5,2009-10-15,0.5,0.49
0.51,624600.0,0.5,2009-10-16,0.53,0.5
0.52,110400.0,0.5,2009-10-19,0.52,0.5
0.5,40000.0,0.5,2009-10-20,0.5,0.5
0.49,19600.0,0.49,2009-10-21,0.49,0.49
0.5,70000.0,0.5,2009-10-22,0.5,0.5
0.5,755000.0,0.5,2009-10-23,0.5,0.5
0.52,9094200.0,0.57,2009-10-26,0.63,0.52
0.57,6349800.0,0.61,2009-10-27,0.65,0.55
0.61,1971000.0,0.55,2009-10-28,0.62,0.55
0.55,3617700.0,0.51,2009-10-29,0.56,0.5
0.54,803900.0,0.53,2009-10-30,0.54,0.53
0.53,519400.0,0.53,2009-11-03,0.53,0.53
0.51,591600.0,0.51,2009-11-04,0.51,0.51
0.52,1141400.0,0.54,2009-11-06,0.56,0.52
0.56,1452400.0,0.58,2009-11-09,0.6,0.56
0.6,3766500.0,0.59,2009-11-10,0.61,0.58
0.59,727100.0,0.58,2009-11-11,0.59,0.58
0.59,41300.0,0.59,2009-12-15,0.59,0.59
0.57,532300.0,0.58,2009-12-18,0.58,0.57
0.57,114000.0,0.57,2009-12-21,0.57,0.57
0.57,159600.0,0.57,2009-12-22,0.57,0.57
0.56,11200.0,0.56,2009-12-23,0.56,0.56
0.55,93500.0,0.55,2010-01-04,0.55,0.55
0.56,556400.0,0.57,2010-01-06,0.58,0.56
0.59,616800.0,0.57,2010-01-07,0.59,0.57
0.58,253800.0,0.57,2010-01-08,0.58,0.56
0.56,161700.0,0.58,2010-01-11,0.58,0.56
0.58,121800.0,0.58,2010-01-12,0.58,0.58
0.58,127600.0,0.58,2010-01-13,0.58,0.58
0.58,104400.0,0.58,2010-01-15,0.58,0.58
0.56,174700.0,0.56,2010-01-19,0.57,0.56
0.57,918400.0,0.5,2010-01-22,0.57,0.5
0.5,15000.0,0.5,2010-01-25,0.5,0.5
0.52,756600.0,0.52,2010-01-26,0.53,0.52
0.54,383000.0,0.52,2010-01-27,0.54,0.51
0.52,10400.0,0.52,2010-01-28,0.52,0.52
0.57,85500.0,0.57,2010-01-29,0.57,0.57
0.55,115200.0,0.52,2010-02-01,0.55,0.52
0.53,396900.0,0.54,2010-02-02,0.54,0.53
0.54,140400.0,0.54,2010-02-03,0.54,0.54
0.55,11000.0,0.55,2010-02-04,0.55,0.55
0.54,36600.0,0.52,2010-02-05,0.54,0.52
0.52,5200.0,0.52,2010-02-08,0.52,0.52
0.53,138000.0,0.54,2010-02-11,0.54,0.53
0.54,102600.0,0.54,2010-03-08,0.54,0.54
0.54,398400.0,0.54,2010-03-12,0.54,0.53
0.55,599000.0,0.58,2010-03-15,0.59,0.55
0.55,1248800.0,0.59,2010-03-16,0.6,0.55
0.58,7477900.0,0.6,2010-03-17,0.64,0.58
0.61,457700.0,0.62,2010-03-31,0.62,0.61
0.67,1140000.0,0.69,2010-04-20,0.7,0.67
0.69,496800.0,0.69,2010-04-21,0.69,0.69
0.7,1166400.0,0.7,2010-04-22,0.7,0.69
0.71,491600.0,0.7,2010-04-23,0.71,0.7
0.83,11299100.0,0.84,2010-04-29,0.85,0.82
0.85,4540600.0,0.86,2010-04-30,0.86,0.84
0.86,4610800.0,0.83,2010-05-04,0.86,0.83
0.82,3055100.0,0.79,2010-05-05,0.82,0.78
0.84,17372600.0,0.92,2010-05-13,0.93,0.84
0.93,23334900.0,0.99,2010-05-14,1.04,0.93
0.98,11988200.0,1.04,2010-05-17,1.08,0.98
1.1,10522500.0,1.04,2010-05-18,1.12,1.04
