OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
9.1,44980300.0,9.2,2009-08-03,9.3,9.0
9.2,45734600.0,9.2,2009-08-04,9.3,9.2
9.1,49948800.0,9.1,2009-08-06,9.1,9.0
9.0,32918300.0,9.0,2009-08-07,9.1,9.0
9.2,14441500.0,9.1,2009-08-10,9.3,9.1
9.1,4758600.0,9.1,2009-08-11,9.1,9.0
9.1,3518200.0,9.1,2009-08-12,9.1,9.0
9.1,5536000.0,9.1,2009-08-13,9.2,9.1
9.1,7431900.0,9.2,2009-08-14,9.2,9.0
9.1,19332200.0,8.6,2009-08-17,9.1,8.5
8.5,19606200.0,8.5,2009-08-18,8.7,8.2
8.6,16011400.0,8.8,2009-08-19,8.9,8.6
8.9,7505300.0,8.8,2009-08-20,8.9,8.8
9.0,42145000.0,9.7,2009-08-24,9.7,9.0
9.9,82904950.0,10.0,2009-08-25,10.5,9.9
10.0,37051750.0,10.5,2009-08-26,10.5,10.0
10.0,91371100.0,9.9,2009-09-03,10.0,9.9
10.0,25455500.0,10.0,2009-09-04,10.0,9.9
10.0,134969725.0,9.9,2009-09-16,10.25,9.9
10.0,112622500.0,10.0,2009-09-17,10.25,10.0
10.0,33690000.0,10.0,2009-09-18,10.0,10.0
10.0,91198300.0,9.8,2009-09-22,10.0,9.7
10.0,178303250.0,10.25,2009-09-23,10.25,10.0
10.25,120438750.0,10.5,2009-09-30,10.75,10.25
10.5,89284150.0,11.25,2009-10-01,11.25,10.5
10.75,60733375.0,11.0,2009-10-02,11.0,10.5
11.0,72879700.0,11.75,2009-10-05,11.75,11.0
12.5,107374400.0,12.25,2009-10-06,13.0,12.0
12.5,108377525.0,13.0,2009-10-07,13.0,12.0
12.75,54101900.0,12.75,2009-10-08,13.0,12.25
12.75,68739850.0,12.25,2009-10-09,12.75,11.75
12.0,19903425.0,12.0,2009-10-12,12.25,11.5
12.0,89221600.0,12.0,2009-10-13,12.5,12.0
12.25,54779050.0,12.5,2009-10-14,12.5,12.0
12.5,73545700.0,12.25,2009-10-15,12.5,12.0
12.0,10728225.0,11.75,2009-10-16,12.25,11.75
11.75,14267800.0,12.0,2009-10-19,12.0,11.75
11.75,124393775.0,11.75,2009-10-20,12.0,11.5
11.75,74521650.0,11.75,2009-10-21,11.75,11.5
11.5,55969350.0,11.75,2009-10-22,11.75,11.5
12.25,85719875.0,12.75,2009-10-23,12.75,12.0
12.75,34269000.0,12.75,2009-10-26,13.0,12.5
12.5,48506400.0,12.25,2009-10-27,12.5,12.0
12.5,261084400.0,12.0,2009-10-28,12.5,11.75
11.75,145182450.0,11.75,2009-10-29,12.0,11.5
12.0,328270250.0,12.25,2009-10-30,12.25,11.75
12.0,83249125.0,12.0,2009-11-03,12.25,11.75
11.75,94815025.0,12.0,2009-11-04,12.0,11.75
11.75,66058875.0,12.0,2009-11-05,12.0,11.75
12.0,68205325.0,11.75,2009-11-06,12.0,11.75
12.0,126333000.0,12.0,2009-11-09,12.0,11.75
12.0,67579850.0,12.25,2009-11-10,12.75,11.75
12.25,16437400.0,12.5,2009-11-11,12.75,12.25
13.25,48838825.0,13.0,2009-12-15,13.25,13.0
13.25,19540625.0,13.25,2009-12-16,13.25,12.75
13.25,40586050.0,13.0,2009-12-17,13.25,13.0
13.0,87605725.0,12.75,2009-12-18,13.0,12.75
12.75,9995650.0,13.0,2009-12-21,13.0,12.75
13.25,16761925.0,13.0,2009-12-22,13.25,12.75
13.0,140400.0,13.0,2009-12-23,13.0,13.0
13.0,7425525.0,13.0,2009-12-29,13.0,12.75
13.0,26195200.0,12.75,2010-01-04,13.25,12.75
12.75,9426850.0,13.0,2010-01-05,13.25,12.75
13.0,69028700.0,13.0,2010-01-06,13.0,13.0
13.0,14329900.0,13.0,2010-01-07,13.0,13.0
13.0,17479825.0,13.0,2010-01-08,13.25,13.0
13.0,12983100.0,13.0,2010-01-11,13.0,13.0
13.0,37805625.0,13.25,2010-01-12,13.25,13.0
13.25,34050575.0,13.25,2010-01-13,13.25,13.0
13.25,303499625.0,13.25,2010-01-14,13.75,13.25
13.5,4205425.0,13.5,2010-01-15,13.5,13.25
13.5,1485625.0,13.25,2010-01-18,13.5,13.25
13.25,65843475.0,13.25,2010-01-19,13.25,13.0
13.25,68665200.0,13.25,2010-01-20,13.25,13.0
13.25,12068250.0,13.25,2010-01-21,13.25,13.0
