OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.33,5475300.0,0.33,2009-08-03,0.36,0.32
0.35,3729700.0,0.36,2009-08-04,0.36,0.35
0.35,3179000.0,0.37,2009-08-06,0.37,0.35
0.37,23872900.0,0.37,2009-08-07,0.4,0.37
0.39,13275200.0,0.43,2009-08-10,0.44,0.39
0.44,4319600.0,0.4,2009-08-11,0.44,0.4
0.41,650200.0,0.4,2009-08-12,0.41,0.4
0.41,1612200.0,0.4,2009-08-13,0.41,0.4
0.39,2444100.0,0.38,2009-08-14,0.39,0.38
0.37,37000.0,0.37,2009-08-17,0.37,0.37
0.35,782400.0,0.37,2009-08-18,0.37,0.34
0.38,7410500.0,0.43,2009-08-19,0.43,0.38
0.43,10438200.0,0.42,2009-08-20,0.43,0.41
0.43,1309900.0,0.42,2009-08-24,0.44,0.42
0.4,711400.0,0.42,2009-08-25,0.42,0.4
0.42,806800.0,0.43,2009-08-26,0.43,0.41
0.41,194000.0,0.4,2009-09-03,0.41,0.4
0.4,16000.0,0.4,2009-09-04,0.4,0.4
0.4,4000.0,0.4,2009-09-16,0.4,0.4
0.39,99000.0,0.4,2009-09-18,0.4,0.39
0.4,20000.0,0.4,2009-09-22,0.4,0.4
0.4,200000.0,0.4,2009-09-23,0.4,0.4
0.4,64000.0,0.4,2009-09-30,0.4,0.4
0.39,39000.0,0.39,2009-10-02,0.39,0.39
0.39,975000.0,0.39,2009-10-05,0.39,0.39
0.4,600000.0,0.4,2009-10-06,0.4,0.4
0.4,8000.0,0.4,2009-10-07,0.4,0.4
0.4,2230100.0,0.43,2009-10-08,0.46,0.4
0.43,25800.0,0.43,2009-10-09,0.43,0.43
0.42,29900.0,0.43,2009-10-12,0.43,0.42
0.41,41000.0,0.41,2009-10-13,0.41,0.41
0.4,160000.0,0.4,2009-10-14,0.4,0.4
0.4,77800.0,0.41,2009-10-16,0.41,0.4
0.43,110700.0,0.42,2009-10-19,0.44,0.42
0.43,114100.0,0.42,2009-10-20,0.43,0.42
0.43,13753300.0,0.44,2009-10-21,0.47,0.42
0.46,26487500.0,0.52,2009-10-22,0.52,0.44
0.52,12234700.0,0.5,2009-10-23,0.53,0.48
0.48,3459700.0,0.5,2009-10-26,0.5,0.48
0.5,1946000.0,0.49,2009-10-27,0.5,0.49
0.49,2715900.0,0.49,2009-10-28,0.49,0.48
0.49,1685200.0,0.49,2009-10-29,0.49,0.48
0.5,14883400.0,0.55,2009-10-30,0.55,0.5
0.56,2765800.0,0.51,2009-11-03,0.56,0.5
0.51,5076200.0,0.52,2009-11-04,0.52,0.51
0.51,4631300.0,0.54,2009-11-05,0.56,0.51
0.54,2462700.0,0.52,2009-11-06,0.54,0.52
0.53,1361500.0,0.51,2009-11-09,0.53,0.51
0.52,2309200.0,0.52,2009-11-10,0.53,0.52
0.52,1069000.0,0.51,2009-11-11,0.52,0.51
0.72,8273600.0,0.7,2009-12-15,0.74,0.7
0.71,11618000.0,0.73,2009-12-16,0.73,0.71
0.73,14473100.0,0.72,2009-12-17,0.73,0.71
0.71,5794700.0,0.7,2009-12-18,0.71,0.7
0.69,1592700.0,0.7,2009-12-21,0.7,0.69
0.69,8096200.0,0.71,2009-12-22,0.71,0.69
0.72,6147000.0,0.71,2009-12-23,0.72,0.71
0.74,19344700.0,0.74,2009-12-29,0.76,0.73
0.74,1625000.0,0.73,2010-01-04,0.74,0.73
