OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
7.7,44400440.0,4.9,2012-05-11,7.71,4.02
5.09,11151330.0,3.75,2012-05-14,5.15,3.65
3.73,4453120.0,3.05,2012-05-15,3.73,2.51
3.16,7338960.0,2.6,2012-05-16,3.3,2.6
2.7,9508840.0,3.48,2012-05-17,3.6,2.7
3.39,8366350.0,3.6,2012-05-18,4.0,3.13
3.6,3482390.0,3.7,2012-05-21,3.9,3.6
3.7,3109140.0,3.55,2012-05-22,3.89,3.5
3.55,855230.0,3.48,2012-05-23,3.55,3.39
3.55,1449670.0,3.3,2012-05-24,3.6,3.28
3.46,2270670.0,3.23,2012-05-25,3.5,3.23
3.25,1674550.0,3.14,2012-05-28,3.25,3.12
3.15,1991500.0,3.15,2012-05-29,3.37,3.14
3.16,2461060.0,3.1,2012-05-30,3.17,3.0
3.2,2268570.0,3.02,2012-05-31,3.2,3.0
3.0,2151730.0,3.15,2012-06-01,3.35,3.0
3.15,392690.0,3.14,2012-06-04,3.15,3.04
3.14,265450.0,3.06,2012-06-05,3.14,3.05
3.06,1907400.0,3.2,2012-06-06,3.25,3.06
3.25,1192120.0,3.18,2012-06-07,3.25,3.18
3.16,292220.0,3.15,2012-06-08,3.16,3.1
3.24,414250.0,3.16,2012-06-11,3.24,3.12
3.2,565370.0,3.12,2012-06-13,3.2,3.12
3.14,197930.0,3.12,2012-06-14,3.19,3.12
3.16,264540.0,3.08,2012-06-15,3.18,3.08
3.16,207860.0,3.1,2012-06-18,3.16,3.1
3.05,421380.0,3.09,2012-06-19,3.1,3.05
3.1,1241790.0,3.09,2012-06-20,3.12,3.07
3.08,1390730.0,3.08,2012-06-21,3.11,3.08
3.08,502640.0,3.08,2012-06-22,3.09,3.07
3.08,981560.0,3.08,2012-06-25,3.1,3.07
3.08,187900.0,3.08,2012-06-26,3.09,3.08
3.07,338070.0,3.07,2012-06-27,3.09,3.06
3.09,1191210.0,3.13,2012-06-28,3.25,3.05
3.13,747170.0,3.1,2012-06-29,3.13,3.08
