OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.9,2900.0,2.9,2009-08-03,2.9,2.9
3.0,18000.0,3.0,2009-08-12,3.0,3.0
3.0,6000.0,3.0,2009-08-13,3.0,3.0
3.0,30000.0,3.0,2009-08-20,3.0,3.0
2.9,20300.0,2.9,2009-08-24,2.9,2.9
3.3,13400.0,3.5,2009-09-16,3.5,3.3
3.5,7000.0,3.5,2009-09-17,3.5,3.5
3.1,19000.0,3.5,2009-09-23,3.5,3.1
3.1,34500.0,3.5,2009-09-30,3.5,3.1
3.4,6900.0,3.5,2009-10-01,3.5,3.4
3.3,894500.0,3.3,2009-10-05,3.5,3.3
3.3,46400.0,3.5,2009-10-06,3.5,3.3
3.5,24500.0,3.5,2009-10-07,3.5,3.5
3.4,10200.0,3.4,2009-10-09,3.4,3.4
3.5,20400.0,3.4,2009-10-12,3.5,3.3
3.2,9900.0,3.5,2009-10-14,3.5,3.2
3.4,44200.0,3.4,2009-10-15,3.4,3.4
3.2,55700.0,3.3,2009-10-16,3.4,3.2
3.2,160350.0,3.35,2009-10-19,3.35,3.2
3.4,291400.0,3.5,2009-10-20,3.5,3.4
3.15,93150.0,3.45,2009-10-23,3.45,3.15
3.45,69000.0,3.45,2009-10-26,3.45,3.45
3.4,27200.0,3.4,2009-10-28,3.4,3.4
3.3,103100.0,3.35,2009-10-30,3.35,3.3
2.55,141700.0,3.1,2009-11-05,3.1,2.55
3.1,261500.0,3.1,2009-11-06,3.2,2.85
3.0,38000.0,2.9,2009-11-09,3.0,2.9
2.8,14000.0,2.8,2009-11-10,2.8,2.8
2.85,42750.0,2.85,2009-12-16,2.85,2.85
2.85,22550.0,2.8,2009-12-17,2.85,2.8
2.9,58000.0,2.9,2009-12-18,2.9,2.9
3.1,56150.0,3.15,2010-01-08,3.15,3.1
3.25,9750.0,3.25,2010-01-12,3.25,3.25
3.25,26000.0,3.25,2010-01-13,3.25,3.25
3.3,38400.0,3.1,2010-01-14,3.3,3.1
3.1,3100.0,3.1,2010-01-20,3.1,3.1
3.1,3100.0,3.1,2010-01-21,3.1,3.1
3.15,3150.0,3.15,2010-01-25,3.15,3.15
3.15,6300.0,3.15,2010-01-26,3.15,3.15
3.15,142700.0,3.1,2010-01-27,3.15,3.1
2.8,5600.0,2.8,2010-03-08,2.8,2.8
2.6,62400.0,2.6,2010-05-04,2.6,2.6
2.55,2550.0,2.55,2010-05-26,2.55,2.55
2.55,5100.0,2.55,2010-05-27,2.55,2.55
2.6,7800.0,2.6,2010-05-28,2.6,2.6
2.6,10400.0,2.6,2010-06-01,2.6,2.6
2.6,10300.0,2.55,2010-06-02,2.6,2.55
2.55,12750.0,2.55,2010-06-15,2.55,2.55
2.6,10500.0,2.65,2010-06-21,2.65,2.6
2.55,2550.0,2.55,2010-06-22,2.55,2.55
2.55,5100.0,2.55,2010-06-24,2.55,2.55
2.55,84150.0,2.55,2010-06-29,2.55,2.55
2.6,15600.0,2.6,2010-07-21,2.6,2.6
2.95,8850.0,2.95,2010-09-21,2.95,2.95
2.93,11810.0,2.96,2010-09-22,2.96,2.93
2.96,88510.0,2.95,2010-09-24,2.96,2.95
2.95,70800.0,2.95,2010-09-29,2.95,2.95
2.95,2950.0,2.95,2010-10-04,2.95,2.95
2.91,127810.0,2.9,2010-10-07,2.91,2.9
3.01,177090.0,3.0,2010-10-13,3.01,3.0
3.07,7570.0,4.5,2010-10-15,4.5,3.07
3.5,25500.0,4.0,2010-10-18,4.0,3.5
3.94,530960.0,3.9,2010-10-19,3.94,3.5
3.6,183600.0,3.6,2010-10-20,3.6,3.6
3.5,21640.0,3.65,2010-10-22,3.69,3.5
3.6,3600.0,3.6,2010-10-26,3.6,3.6
3.6,7240.0,3.64,2010-10-27,3.64,3.6
