OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
56.0,1813082446.5,56.5,2013-11-11,57.3,53.6
57.05,1216367546.0,59.0,2013-11-12,59.0,57.05
59.0,1040228658.5,59.9,2013-11-13,60.5,59.0
60.0,214962762.5,59.6,2013-11-14,60.2,59.0
59.6,254458496.0,58.7,2013-11-15,60.0,58.7
59.0,199802337.5,58.95,2013-11-18,59.95,58.2
58.95,450310085.5,59.5,2013-11-19,59.7,58.6
59.0,463026381.5,58.1,2013-11-20,59.0,58.0
58.2,521843453.0,57.95,2013-11-21,58.5,57.8
57.8,306356041.5,57.85,2013-11-22,57.95,57.8
57.85,140917458.0,57.65,2013-11-25,57.9,57.65
57.7,436235448.5,58.0,2013-11-26,58.05,57.65
58.0,306162903.5,57.2,2013-11-27,58.05,57.2
57.2,58770102.5,57.1,2013-11-28,57.2,57.0
57.1,155187037.5,56.15,2013-11-29,57.1,55.5
56.1,88641713.0,56.0,2013-12-02,56.15,55.75
56.0,137394945.5,56.5,2013-12-03,56.5,55.95
56.2,81960584.0,55.8,2013-12-04,56.55,55.8
55.8,203604788.0,55.2,2013-12-05,55.8,54.0
55.0,77713091.0,55.0,2013-12-06,55.15,54.85
54.9,35034051.0,54.95,2013-12-09,55.0,54.9
55.0,216947429.5,54.95,2013-12-10,55.0,54.9
55.0,101969724.0,54.0,2013-12-11,55.0,54.0
53.9,91372288.0,50.0,2013-12-12,53.9,50.0
50.0,414169708.5,50.1,2013-12-13,50.9,48.0
50.0,290955741.5,51.0,2013-12-16,52.8,49.8
51.3,290465269.0,52.5,2013-12-17,52.8,51.3
52.55,41856600.0,53.7,2013-12-18,54.95,52.4
55.0,59321951.0,57.3,2013-12-19,58.0,54.25
57.0,101868794.0,56.95,2013-12-20,57.0,55.0
56.95,2853195.0,56.95,2013-12-23,56.95,56.95
56.95,11486122.5,56.9,2013-12-26,56.95,55.05
56.9,10586147.0,55.2,2013-12-27,57.0,55.1
57.2,48382227.5,58.0,2014-01-02,58.45,57.2
58.0,57592844.0,58.1,2014-01-03,58.5,58.0
58.1,226268661.0,58.1,2014-01-06,59.0,58.0
58.1,41171112.0,58.0,2014-01-07,58.35,57.95
58.0,26461780.0,58.1,2014-01-08,58.2,58.0
58.1,57083984.0,58.0,2014-01-09,58.1,57.95
58.0,21180547.5,58.0,2014-01-10,58.0,57.7
57.75,21874675.0,58.0,2014-01-13,58.0,57.5
58.25,17562319.0,58.0,2014-01-14,58.25,57.0
58.0,75513235.5,58.2,2014-01-15,60.2,58.0
57.5,2829370.0,58.0,2014-01-16,58.0,57.5
58.0,1628825.0,58.25,2014-01-17,58.25,58.0
58.0,22521976.0,57.1,2014-01-20,58.0,57.1
56.6,67471714.5,57.05,2014-01-21,57.1,56.45
57.1,140395124.0,58.0,2014-01-22,58.5,57.1
58.15,70178193.5,58.3,2014-01-23,59.0,58.15
57.7,13694823.0,58.3,2014-01-24,58.7,57.65
58.2,71774489.0,58.85,2014-01-27,59.0,58.0
58.8,16265153.0,58.3,2014-01-28,58.8,58.1
58.6,189564004.5,59.85,2014-01-29,60.5,58.6
59.8,158770306.0,59.5,2014-01-30,59.8,59.1
59.5,143499764.0,58.95,2014-02-03,59.5,58.95
58.9,89323715.5,57.95,2014-02-04,58.9,57.0
58.5,143492315.5,57.6,2014-02-05,58.5,57.05
57.6,227639111.5,57.6,2014-02-06,57.7,57.4
