OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
11.38,2517512680.0,11.26,2013-11-05,11.46,11.26
11.26,313692420.0,11.28,2013-11-06,11.32,11.26
11.3,297743574.0,11.34,2013-11-07,11.44,11.28
11.34,180296004.0,11.28,2013-11-08,11.34,11.28
11.28,270950464.0,11.08,2013-11-11,11.3,11.0
11.14,172443144.0,11.26,2013-11-12,11.26,11.1
11.28,75082736.0,11.28,2013-11-13,11.38,11.26
11.3,137438642.0,11.28,2013-11-14,11.32,11.28
11.28,146301470.0,11.26,2013-11-15,11.32,11.26
11.26,265861224.0,11.22,2013-11-18,11.28,11.22
11.24,88752556.0,11.12,2013-11-19,11.24,11.1
11.1,146893284.0,10.84,2013-11-20,11.1,10.82
10.84,129512356.0,10.48,2013-11-21,10.86,10.48
10.5,69593304.0,10.64,2013-11-22,10.74,10.44
10.66,124066456.0,10.5,2013-11-25,10.66,10.44
10.48,100744634.0,10.22,2013-11-26,10.48,10.22
10.2,195499498.0,10.26,2013-11-27,10.52,10.16
10.28,90122128.0,10.26,2013-11-28,10.34,10.24
10.3,74574010.0,10.44,2013-11-29,10.68,10.26
10.42,67210046.0,10.6,2013-12-02,10.76,10.4
10.62,122086378.0,10.74,2013-12-03,11.0,10.6
10.66,258709256.0,11.08,2013-12-04,11.18,10.66
11.12,19486406.0,10.94,2013-12-05,11.12,10.9
10.84,20927226.0,10.72,2013-12-06,10.84,10.68
10.72,39667480.0,10.6,2013-12-09,10.9,10.58
10.6,25111268.0,10.22,2013-12-10,10.6,10.1
10.14,28895120.0,10.12,2013-12-11,10.24,10.12
10.1,20100418.0,9.96,2013-12-12,10.1,9.85
9.95,62167023.0,10.0,2013-12-13,10.1,9.6
10.0,56427718.0,10.04,2013-12-16,10.28,9.98
10.06,13846668.0,10.12,2013-12-17,10.2,10.04
10.12,44555288.0,10.6,2013-12-18,10.76,10.12
10.8,31426462.0,10.68,2013-12-19,10.92,10.4
10.5,11184626.0,10.3,2013-12-20,10.5,10.1
10.48,8111812.0,10.24,2013-12-23,10.48,10.24
10.24,7242380.0,10.38,2013-12-26,10.38,10.2
10.4,15650516.0,10.28,2013-12-27,10.46,10.22
10.28,31504004.0,10.2,2014-01-02,10.38,10.18
10.14,35744362.0,10.54,2014-01-03,10.62,10.14
10.52,39763420.0,10.56,2014-01-06,10.86,10.22
10.52,12694068.0,10.5,2014-01-07,10.56,10.34
10.5,28783918.0,10.46,2014-01-08,10.52,10.38
10.46,12192262.0,10.4,2014-01-09,10.46,10.36
10.4,31398690.0,10.2,2014-01-10,10.4,10.2
10.2,51021440.0,10.16,2014-01-13,10.38,10.14
10.1,17697236.0,10.16,2014-01-14,10.18,10.06
10.12,13818152.0,9.88,2014-01-15,10.2,9.88
9.9,108188267.0,10.0,2014-01-16,10.2,9.8
10.0,19441070.0,10.0,2014-01-17,10.2,9.98
10.0,2258825.0,9.95,2014-01-20,10.08,9.92
9.95,5067141.0,10.02,2014-01-21,10.04,9.94
10.0,58371770.0,9.96,2014-01-22,10.06,9.9
10.0,20752587.0,9.95,2014-01-23,10.0,9.95
9.94,10121148.0,10.18,2014-01-24,10.2,9.92
10.1,31968148.0,10.0,2014-01-27,10.1,9.96
10.0,3537455.0,9.88,2014-01-28,10.0,9.86
9.99,50914045.0,9.9,2014-01-29,10.06,9.9
9.86,11064984.0,9.88,2014-01-30,9.9,9.81
9.99,3704464.0,9.85,2014-02-03,9.99,9.79
9.78,18199552.0,9.56,2014-02-04,9.78,9.41
9.56,15421773.0,9.4,2014-02-05,9.58,9.36
9.5,16813691.0,9.6,2014-02-06,9.7,9.5
9.7,16341499.0,9.82,2014-02-07,9.9,9.65
9.82,3684836.0,9.71,2014-02-10,9.82,9.7
9.6,108058283.0,9.81,2014-02-11,10.0,9.6
9.9,79262638.0,9.8,2014-02-12,9.9,9.79
9.8,3602133.0,9.6,2014-02-13,9.8,9.6
9.6,34865637.0,9.42,2014-02-14,9.6,9.36
9.42,28395102.0,9.33,2014-02-17,9.42,9.33
9.32,57252725.0,9.2,2014-02-18,9.42,9.2
9.22,62677621.0,9.45,2014-02-19,9.6,9.22
9.45,104667789.0,9.57,2014-02-20,9.78,9.45
9.57,89845542.0,9.55,2014-02-21,9.68,9.5
9.55,129772378.0,9.55,2014-02-24,9.65,9.5
9.55,19222380.0,9.42,2014-02-25,9.55,9.42
9.45,27667709.0,9.68,2014-02-26,9.68,9.45
9.75,14939399.0,9.56,2014-02-27,9.81,9.55
9.6,64508769.0,9.47,2014-02-28,9.6,9.42
9.47,28353892.0,9.35,2014-03-03,9.49,9.32
9.3,65917080.0,9.22,2014-03-04,9.46,9.17
9.23,148273996.0,9.6,2014-03-05,9.74,9.22
9.7,81839334.0,9.77,2014-03-06,9.89,9.61
9.88,107359113.0,9.97,2014-03-07,10.1,9.8
10.06,109674104.0,9.9,2014-03-10,10.2,9.88
9.9,15704037.0,9.86,2014-03-11,10.0,9.86
9.95,126544193.0,9.95,2014-03-12,10.1,9.95
9.98,187514470.0,10.16,2014-03-13,10.34,9.95
10.14,28685584.0,9.91,2014-03-14,10.22,9.91
9.87,4874520.0,9.81,2014-03-17,10.0,9.81
9.81,56735090.0,9.89,2014-03-18,10.04,9.7
10.0,63180116.0,10.0,2014-03-19,10.18,9.99
9.69,83844772.0,9.46,2014-03-20,9.69,9.42
9.4,166644562.0,8.9,2014-03-21,9.59,8.9
8.9,57959645.0,8.71,2014-03-24,8.98,8.67
8.75,195710881.0,8.9,2014-03-25,8.97,8.75
8.98,84800644.0,8.74,2014-03-26,9.05,8.69
8.74,24236126.0,8.73,2014-03-27,8.74,8.6
8.73,35607411.0,8.89,2014-03-28,8.89,8.63
8.94,73033872.0,9.0,2014-03-31,9.09,8.88
9.01,4689923.0,9.01,2014-04-01,9.05,8.93
9.05,24728465.0,9.1,2014-04-02,9.13,9.05
9.14,14924182.0,8.97,2014-04-03,9.15,8.92
9.0,91693141.0,9.0,2014-04-04,9.15,8.98
9.04,10308114.0,9.02,2014-04-07,9.1,9.0
9.01,112775735.0,9.02,2014-04-08,9.03,9.0
9.08,23542088.0,9.0,2014-04-10,9.15,9.0
9.0,113373957.0,9.0,2014-04-11,9.1,8.91
9.0,47149559.0,9.2,2014-04-14,9.2,9.0
9.2,131229298.0,9.16,2014-04-15,9.24,9.13
9.15,13858425.0,9.13,2014-04-16,9.16,9.13
9.11,111060588.0,9.48,2014-04-21,9.48,9.11
9.46,30998110.0,9.45,2014-04-22,9.5,9.39
9.45,73806749.0,9.65,2014-04-23,9.67,9.45
9.66,71781400.0,9.7,2014-04-24,9.85,9.63
9.7,31420576.0,9.59,2014-04-25,9.7,9.56
9.59,17976540.0,9.48,2014-04-28,9.69,9.36
9.48,144635811.0,9.85,2014-04-29,9.85,9.48
9.87,210118946.0,10.1,2014-04-30,10.16,9.87
10.1,37190496.0,10.1,2014-05-02,10.2,10.02
10.02,41416093.0,9.85,2014-05-05,10.02,9.82
9.85,44295010.0,9.83,2014-05-06,9.92,9.83
9.83,61067195.0,9.73,2014-05-07,9.83,9.69
9.74,8050670.0,9.76,2014-05-08,9.82,9.74
9.86,60045720.0,9.85,2014-05-09,10.06,9.71
9.85,30144894.0,9.82,2014-05-12,9.88,9.77
9.88,20670575.0,9.82,2014-05-13,9.9,9.75
9.83,30978033.0,9.7,2014-05-14,9.85,9.68
9.7,16957511.0,9.68,2014-05-15,9.82,9.55
9.78,38757443.0,9.4,2014-05-16,9.78,9.4
9.4,18386457.0,9.52,2014-05-19,9.7,9.4
9.52,16785387.0,9.29,2014-05-20,9.52,9.27
9.3,12852724.0,9.05,2014-05-21,9.3,9.01
9.06,15211165.0,9.15,2014-05-22,9.25,9.06
9.2,27514092.0,9.14,2014-05-23,9.2,9.1
9.25,4241522.0,9.18,2014-05-26,9.25,9.1
9.24,8442280.0,9.11,2014-05-27,9.25,9.11
9.15,8855994.0,9.08,2014-05-28,9.15,9.06
9.08,46785292.0,9.09,2014-05-29,9.1,9.05
9.09,58075294.0,9.0,2014-05-30,9.09,9.0
9.0,21621656.0,9.0,2014-06-02,9.03,8.99
9.0,82069557.0,9.0,2014-06-03,9.1,8.95
9.07,90637725.0,9.22,2014-06-04,9.33,9.06
9.26,401361137.0,9.5,2014-06-05,9.68,9.26
9.5,115691616.0,9.71,2014-06-06,9.9,9.5
9.76,40342695.0,9.5,2014-06-09,9.83,9.5
9.63,5544134.0,9.58,2014-06-10,9.65,9.45
9.58,43976987.0,9.13,2014-06-11,9.65,9.09
9.2,64720884.0,9.22,2014-06-13,9.55,9.05
9.45,36951325.0,9.26,2014-06-16,9.49,9.24
9.27,60715103.0,9.38,2014-06-17,9.45,9.23
9.39,79312217.0,9.22,2014-06-18,9.45,9.21
9.3,115571451.0,9.27,2014-06-19,9.4,9.21
9.31,10917768319.0,9.2,2014-06-20,9.47,9.08
9.27,18604445.0,9.1,2014-06-23,9.29,9.09
9.15,257843911.0,9.0,2014-06-24,9.15,8.94
9.0,54968001.0,8.98,2014-06-25,9.1,8.98
9.0,68055971.0,8.99,2014-06-26,9.06,8.99
8.99,121048457.0,8.95,2014-06-27,9.04,8.91
8.95,62332729.0,8.91,2014-06-30,9.0,8.9
8.96,24110232.0,8.9,2014-07-01,9.0,8.89
8.9,180324337.0,8.74,2014-07-02,8.93,8.67
8.8,53590348.0,8.8,2014-07-03,9.0,8.72
8.95,30643348.0,8.77,2014-07-04,8.95,8.75
8.77,235547377.0,8.8,2014-07-07,8.92,8.7
9.0,93774011.0,8.8,2014-07-08,9.0,8.8
8.8,35256421.0,8.77,2014-07-09,8.87,8.77
8.88,40278495.0,8.82,2014-07-10,9.2,8.77
8.97,2026847.0,8.88,2014-07-11,8.97,8.86
