OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
4.12,48022720.0,4.12,2015-08-10,4.12,4.12
5.0,940425890.0,5.6,2015-08-11,6.18,4.55
5.71,259956316.0,5.36,2015-08-12,6.04,5.3
5.2,180613956.0,5.49,2015-08-13,5.64,5.05
5.49,48362409.0,5.26,2015-08-14,5.58,5.25
5.3,73066289.0,4.88,2015-08-17,5.38,4.87
4.88,38466130.0,4.67,2015-08-18,4.97,4.56
4.67,48679320.0,5.0,2015-08-19,5.0,4.4
5.1,36466876.0,5.14,2015-08-20,5.27,5.05
4.5,30464077.0,4.44,2015-08-24,4.8,4.44
4.16,11923330.0,4.45,2015-08-25,4.62,4.16
4.55,16511720.0,4.52,2015-08-26,4.65,4.45
4.67,37343730.0,4.83,2015-08-27,4.9,4.58
4.91,28596370.0,4.84,2015-08-28,5.1,4.81
4.8,11162110.0,4.8,2015-09-01,4.95,4.75
4.66,11359850.0,4.78,2015-09-02,4.86,4.56
4.87,89433520.0,5.2,2015-09-03,5.2,4.83
5.36,99252192.0,5.18,2015-09-04,5.55,5.18
5.16,58445652.0,5.1,2015-09-07,5.42,5.03
5.09,24702219.0,5.24,2015-09-08,5.24,5.09
5.35,31977288.0,5.24,2015-09-09,5.42,5.24
5.24,18685362.0,5.16,2015-09-10,5.33,5.1
5.18,116323133.0,5.61,2015-09-11,5.62,5.18
5.67,83043188.0,5.65,2015-09-14,5.84,5.55
5.65,28617903.0,5.61,2015-09-15,5.74,5.53
5.65,28617903.0,5.61,2015-09-15,5.74,5.53
5.65,28617903.0,5.61,2015-09-15,5.74,5.53
5.73,187113086.0,6.0,2015-09-16,6.12,5.66
6.11,179291650.0,6.38,2015-09-17,6.66,6.11
6.65,99506234.0,6.64,2015-09-18,6.71,6.4
6.54,169324106.0,7.23,2015-09-21,7.26,6.35
7.33,236794604.0,6.75,2015-09-22,7.63,6.75
6.65,131196107.0,6.62,2015-09-23,6.9,6.37
6.65,83696902.0,7.11,2015-09-24,7.25,6.65
7.18,52183598.0,6.94,2015-09-28,7.34,6.88
6.78,45811150.0,6.75,2015-09-29,7.09,6.63
7.2,91760176.0,6.62,2015-09-30,7.2,6.6
6.75,32857255.0,6.71,2015-10-01,6.83,6.65
6.75,52850078.0,6.4,2015-10-02,6.83,6.35
6.5,46135129.0,6.7,2015-10-05,6.89,6.4
6.84,30434301.0,6.6,2015-10-06,6.92,6.55
6.6,24461430.0,6.55,2015-10-07,6.7,6.41
6.62,12203708.0,6.6,2015-10-08,6.78,6.59
6.7,87142767.0,7.03,2015-10-09,7.05,6.57
7.08,46901461.0,7.03,2015-10-12,7.24,6.9
7.05,24066769.0,7.05,2015-10-13,7.14,6.84
7.01,56363115.0,6.77,2015-10-14,7.22,6.77
6.8,22011186.0,6.7,2015-10-15,6.88,6.65
6.8,21798504.0,6.61,2015-10-16,6.8,6.58
6.6,31717287.0,6.5,2015-10-19,6.65,6.4
6.5,11952086.0,6.46,2015-10-20,6.55,6.4
6.55,18970037.0,6.6,2015-10-21,6.66,6.52
6.63,13859969.0,6.55,2015-10-22,6.8,6.55
6.55,16056173.0,6.52,2015-10-23,6.77,6.51
6.52,50628954.0,6.35,2015-10-26,6.64,6.31
6.37,30659259.0,6.25,2015-10-27,6.4,6.22
6.26,58031898.0,6.5,2015-10-28,6.54,6.11
6.58,8151820.0,6.32,2015-10-29,6.59,6.31
6.32,14769731.0,6.4,2015-10-30,6.59,6.31
6.5,2431389.0,6.37,2015-11-02,6.5,6.37
6.45,6999099.0,6.3,2015-11-03,6.45,6.26
6.4,12269289.0,6.23,2015-11-04,6.41,6.2
6.27,6538028.0,6.27,2015-11-05,6.34,6.2
6.39,16762154.0,6.4,2015-11-06,6.53,6.31
6.36,13934093.0,6.23,2015-11-09,6.45,6.2
6.23,27238894.0,6.14,2015-11-10,6.3,6.11
6.14,6022641.0,6.15,2015-11-11,6.24,6.11
6.3,8320185.0,6.19,2015-11-12,6.4,6.18
6.2,43570425.0,5.84,2015-11-13,6.2,5.78
5.8,57400212.0,5.57,2015-11-16,5.8,5.5
5.58,13103463.0,5.65,2015-11-17,5.83,5.58
5.7,16276142.0,5.54,2015-11-20,5.7,5.5
5.55,9229166.0,5.5,2015-11-23,5.55,5.5
5.53,18204363.0,5.52,2015-11-24,5.75,5.47
5.54,7828409.0,5.5,2015-11-25,5.58,5.5
5.56,2229484.0,5.58,2015-11-26,5.6,5.51
5.63,3113919.0,5.54,2015-11-27,5.63,5.53
5.53,23035286.0,6.01,2015-12-01,6.09,5.53
6.02,36767122.0,6.46,2015-12-02,6.47,6.01
6.5,28495445.0,6.39,2015-12-03,6.64,6.25
6.39,8196044.0,6.32,2015-12-04,6.48,6.32
6.35,5568836.0,6.12,2015-12-07,6.35,6.12
6.11,16124739.0,6.2,2015-12-08,6.4,6.1
6.2,3335487.0,6.16,2015-12-09,6.3,6.16
6.15,4165753.0,6.11,2015-12-10,6.16,6.0
6.12,11148327.0,6.0,2015-12-11,6.12,6.0
5.99,6649465.0,5.81,2015-12-14,5.99,5.77
5.94,2424640.0,5.9,2015-12-15,5.94,5.83
5.93,7611967.0,6.08,2015-12-16,6.14,5.93
6.09,8656718.0,6.1,2015-12-17,6.19,6.07
6.1,4765538.0,5.92,2015-12-18,6.1,5.88
5.9,3800648.0,5.99,2015-12-21,6.08,5.8
6.0,13061347.0,6.2,2015-12-22,6.35,5.98
6.3,5866994.0,6.14,2015-12-23,6.3,6.14
6.14,1410729.0,6.08,2015-12-28,6.14,6.05
6.02,5772708.0,6.18,2015-12-29,6.27,6.02
6.18,5936211.0,6.0,2016-01-04,6.18,5.95
5.92,5438651.0,5.95,2016-01-05,5.98,5.88
5.89,6864128.0,5.85,2016-01-06,5.95,5.79
5.85,54789698.0,5.5,2016-01-07,5.97,5.35
5.4,5802654.0,5.2,2016-01-08,5.6,5.08
5.2,14387537.0,4.6,2016-01-11,5.2,4.6
4.59,7923580.0,4.74,2016-01-12,5.15,4.59
4.75,7591450.0,4.95,2016-01-13,5.14,4.75
4.8,3663210.0,4.86,2016-01-14,4.9,4.72
4.88,3695390.0,4.75,2016-01-15,4.95,4.7
4.62,7493140.0,4.5,2016-01-18,4.68,4.46
4.49,15111980.0,4.95,2016-01-19,5.0,4.49
4.94,5899860.0,4.82,2016-01-20,5.03,4.8
4.76,5248460.0,4.74,2016-01-21,4.78,4.62
4.68,11346500.0,4.82,2016-01-22,4.85,4.68
4.85,10181350.0,4.8,2016-01-25,4.99,4.78
4.78,9631880.0,4.5,2016-01-26,4.88,4.5
4.7,3088900.0,4.7,2016-01-27,4.71,4.57
4.71,3611570.0,4.82,2016-01-28,4.84,4.7
4.84,10655660.0,5.0,2016-01-29,5.1,4.78
5.1,16806978.0,5.2,2016-02-01,5.39,4.95
5.2,5220207.0,5.05,2016-02-02,5.2,5.02
5.02,4490639.0,4.92,2016-02-03,5.02,4.85
4.92,4213010.0,5.0,2016-02-04,5.09,4.9
5.04,6201204.0,5.06,2016-02-05,5.13,4.98
4.99,3328517.0,5.02,2016-02-09,5.02,4.83
5.04,5393224.0,5.13,2016-02-10,5.14,4.99
5.14,7134324.0,5.27,2016-02-11,5.3,5.14
