OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
39.0,354400.0,40.0,2009-08-03,40.0,39.0
41.0,4558250.0,40.5,2009-08-04,42.0,40.5
41.0,1002650.0,41.0,2009-08-06,41.0,39.5
40.0,8520000.0,40.0,2009-08-07,40.0,40.0
40.0,278400.0,40.0,2009-08-10,40.0,39.5
40.0,405150.0,40.5,2009-08-11,40.5,40.0
40.0,44122750.0,40.0,2009-08-12,40.0,39.5
40.0,4558750.0,39.5,2009-08-13,40.0,39.5
39.5,1847350.0,39.0,2009-08-14,39.5,39.0
38.5,1699000.0,39.0,2009-08-17,39.0,38.0
38.5,1754200.0,39.0,2009-08-18,39.0,38.5
43.0,4121050.0,40.5,2009-08-19,43.0,40.0
40.5,234700.0,40.5,2009-08-20,40.5,40.0
40.5,109350.0,40.5,2009-08-24,40.5,40.5
40.5,1344400.0,40.5,2009-08-25,40.5,40.0
39.5,5369300.0,39.0,2009-09-03,39.5,38.5
39.5,17227400.0,38.5,2009-09-04,39.5,38.0
38.5,604450.0,38.5,2009-09-16,38.5,38.5
38.5,1355200.0,38.5,2009-09-17,38.5,38.5
38.5,570050.0,39.0,2009-09-18,39.0,38.5
38.5,7788550.0,38.5,2009-09-22,38.5,38.5
38.5,22260700.0,38.5,2009-09-23,38.5,38.5
38.5,1140600.0,39.0,2009-09-30,39.0,38.5
38.5,392700.0,38.5,2009-10-01,38.5,38.5
38.0,30191000.0,38.0,2009-10-02,38.0,38.0
38.0,190000.0,38.0,2009-10-05,38.0,38.0
38.0,125150.0,38.0,2009-10-06,38.0,37.5
38.0,839800.0,38.0,2009-10-07,38.0,38.0
37.5,840000.0,37.5,2009-10-08,37.5,37.5
38.0,4696800.0,38.0,2009-10-09,38.0,38.0
38.5,1848000.0,38.5,2009-10-13,38.5,38.5
38.5,2367500.0,39.0,2009-10-14,39.0,38.5
39.5,1738000.0,39.5,2009-10-15,39.5,39.5
39.5,6057850.0,41.0,2009-10-16,42.0,39.5
41.0,7343100.0,41.0,2009-10-19,41.0,41.0
41.0,5789350.0,40.5,2009-10-20,41.0,40.5
40.0,200000.0,40.0,2009-10-21,40.0,40.0
40.0,2300450.0,40.5,2009-10-22,41.0,40.0
41.0,4485900.0,41.0,2009-10-23,41.5,41.0
40.5,716850.0,40.5,2009-10-26,40.5,40.5
40.5,2836400.0,40.0,2009-10-27,40.5,40.0
39.5,829500.0,39.5,2009-10-28,39.5,39.5
39.5,1354850.0,39.5,2009-10-29,39.5,39.5
39.5,2572500.0,40.0,2009-10-30,40.0,39.5
39.0,117000.0,39.0,2009-11-03,39.0,39.0
39.0,81900.0,39.0,2009-11-04,39.0,39.0
38.5,423500.0,38.5,2009-11-05,38.5,38.5
39.5,456500.0,39.0,2009-11-06,39.5,39.0
39.0,156000.0,39.0,2009-11-09,39.0,39.0
39.0,31200.0,39.0,2009-11-10,39.0,39.0
39.0,526500.0,39.0,2009-11-11,39.0,39.0
49.5,423750.0,50.0,2009-12-15,50.0,49.5
50.0,9355850.0,50.0,2009-12-16,50.0,49.5
49.5,6979500.0,49.5,2009-12-17,49.5,49.5
49.0,4826400.0,50.0,2009-12-18,50.0,49.0
50.0,1881500.0,49.5,2009-12-21,50.0,49.5
50.0,15147000.0,50.0,2009-12-22,50.0,49.5
49.5,1191000.0,51.0,2009-12-23,51.0,49.5
52.0,8835450.0,55.0,2009-12-29,55.0,51.5
54.5,1924500.0,55.0,2010-01-04,55.0,54.5
56.0,59835750.0,54.0,2010-01-05,56.5,54.0
54.0,4064500.0,53.0,2010-01-06,54.0,52.5
53.0,4937950.0,52.5,2010-01-07,53.5,52.5
53.0,30263000.0,53.0,2010-01-08,53.0,53.0
53.0,1662900.0,52.0,2010-01-11,53.0,52.0
52.5,582750.0,52.5,2010-01-12,52.5,52.5
52.5,273000.0,52.5,2010-01-13,52.5,52.5
52.5,1425800.0,52.0,2010-01-14,52.5,52.0
52.0,603200.0,52.0,2010-01-15,52.0,52.0
52.0,1099100.0,52.0,2010-01-18,52.0,51.5
52.0,3385200.0,52.0,2010-01-19,52.0,52.0
51.5,337750.0,52.0,2010-01-20,52.0,51.5
51.5,732700.0,52.0,2010-01-21,52.0,51.5
51.5,2126450.0,52.0,2010-01-22,52.0,51.5
51.5,4069150.0,50.0,2010-01-25,51.5,50.0
50.0,1270000.0,50.0,2010-01-26,50.0,50.0
50.0,7230000.0,50.0,2010-01-27,50.0,50.0
50.0,3400000.0,50.0,2010-01-28,50.0,50.0
50.0,2071750.0,49.0,2010-01-29,50.0,48.5
48.5,4120000.0,47.5,2010-02-01,48.5,47.5
48.0,2615250.0,47.5,2010-02-02,48.0,47.5
47.5,12472600.0,47.0,2010-02-03,47.5,47.0
47.0,5029000.0,47.0,2010-02-04,47.0,47.0
46.5,1871750.0,48.0,2010-02-05,48.0,46.0
47.5,52250.0,47.5,2010-02-09,47.5,47.5
47.5,118750.0,47.5,2010-02-10,47.5,47.5
47.5,1567500.0,47.5,2010-02-11,47.5,47.5
60.0,3423250.0,59.0,2010-03-08,60.0,58.5
59.5,3603000.0,59.5,2010-03-12,59.5,59.0
59.5,3068500.0,60.0,2010-03-15,60.0,59.5
60.0,351700.0,59.5,2010-03-16,60.0,59.0
59.0,3482250.0,58.5,2010-03-17,59.0,58.5
59.5,13842900.0,60.0,2010-03-31,60.0,59.0
70.5,2815950.0,70.0,2010-04-20,70.5,69.5
70.5,4322100.0,72.5,2010-04-21,72.5,70.5
72.5,10793500.0,73.0,2010-04-22,73.5,72.0
72.5,5544000.0,72.5,2010-04-23,72.5,72.0
73.5,26997800.0,78.0,2010-04-29,78.5,73.5
78.0,89709350.0,77.5,2010-04-30,79.5,77.0
79.5,15708800.0,78.0,2010-05-04,79.5,77.0
77.0,24707750.0,75.5,2010-05-05,77.0,75.0
81.0,10850350.0,80.0,2010-05-13,81.0,80.0
80.0,10353900.0,79.5,2010-05-14,80.0,79.0
78.0,10646750.0,79.5,2010-05-17,79.5,78.0
80.5,6974000.0,79.0,2010-05-18,80.5,78.5
78.5,3576850.0,79.0,2010-05-19,80.0,78.5
79.0,34890150.0,78.5,2010-05-20,79.0,78.0
77.5,62496550.0,77.5,2010-05-21,77.5,77.0
76.0,4977350.0,72.0,2010-05-24,76.0,71.0
72.5,9695150.0,71.0,2010-05-25,72.5,68.5
70.0,15003550.0,69.0,2010-05-26,70.5,67.5
67.5,61353500.0,69.5,2010-05-27,70.0,67.0
70.5,9959050.0,71.5,2010-05-28,71.5,70.0
70.0,21069200.0,73.0,2010-05-31,73.0,70.0
73.5,7468000.0,73.0,2010-06-01,73.5,73.0
73.0,10344250.0,74.5,2010-06-02,74.5,72.5
75.0,9649750.0,75.5,2010-06-03,75.5,75.0
75.5,14090600.0,76.0,2010-06-04,76.0,75.0
74.5,5453650.0,74.5,2010-06-07,75.0,74.5
74.0,29675550.0,77.5,2010-06-08,78.0,74.0
78.5,17830950.0,78.5,2010-06-09,80.0,78.0
78.5,3562500.0,77.0,2010-06-10,78.5,77.0
77.0,18604500.0,78.0,2010-06-11,78.5,77.0
78.0,45448200.0,77.5,2010-06-15,78.0,77.0
78.0,15906650.0,77.0,2010-06-16,78.0,77.0
78.0,46929500.0,77.5,2010-06-21,78.0,77.5
77.5,124131300.0,80.0,2010-06-22,80.0,77.5
80.0,109221000.0,90.0,2010-06-23,90.0,80.0
90.5,91975200.0,89.0,2010-06-24,92.0,86.5
85.0,16548400.0,85.5,2010-06-25,85.5,84.0
85.5,9547700.0,85.0,2010-06-28,85.5,84.0
84.0,8364900.0,85.0,2010-06-29,85.0,83.5
83.5,8679550.0,84.0,2010-07-01,84.0,83.0
83.5,35189400.0,84.0,2010-07-02,84.0,80.0
83.0,112527950.0,89.0,2010-07-06,89.0,83.0
90.0,130588200.0,95.0,2010-07-07,96.0,90.0
96.0,71939150.0,98.0,2010-07-08,101.0,96.0
98.0,8930050.0,98.0,2010-07-09,99.0,95.0
96.0,41182000.0,97.0,2010-07-13,97.0,95.5
97.0,30409500.0,97.0,2010-07-14,97.0,97.0
96.5,13580050.0,94.0,2010-07-15,96.5,94.0
94.0,21274500.0,93.0,2010-07-16,94.0,91.0
91.5,150077250.0,96.0,2010-07-19,96.5,91.5
94.0,25756300.0,96.0,2010-07-20,97.5,94.0
95.5,106758750.0,98.5,2010-07-21,98.5,95.5
98.5,148529550.0,106.0,2010-07-22,107.0,98.5
107.0,141767110.0,112.0,2010-07-23,113.0,106.0
139.0,80377827.0,143.0,2010-09-20,145.0,139.0
144.0,62797130.0,141.0,2010-09-21,145.0,140.0
141.0,37454347.0,140.5,2010-09-22,141.0,139.0
141.0,22972055.0,143.0,2010-09-23,143.0,141.0
140.0,72483517.0,138.0,2010-09-24,141.0,136.0
138.0,84956320.0,138.0,2010-09-27,141.0,138.0
140.4,11583255.0,137.0,2010-09-28,140.4,137.0
139.0,97429451.0,135.1,2010-09-29,139.0,135.0
135.6,116896909.0,130.2,2010-09-30,135.6,127.5
131.0,43145890.0,138.0,2010-10-01,138.5,131.0
139.0,54833333.0,142.5,2010-10-04,142.5,139.0
144.7,375104675.0,151.5,2010-10-05,155.0,144.0
153.2,114475357.0,156.4,2010-10-06,156.5,153.1
157.6,144277366.0,155.2,2010-10-07,157.9,154.8
155.2,192006468.0,158.0,2010-10-08,160.0,155.2
158.7,199540772.0,157.9,2010-10-12,162.5,157.9
157.8,174590997.0,157.9,2010-10-13,158.9,157.7
159.0,21263387.0,157.9,2010-10-14,160.0,157.0
158.1,10923461.0,157.2,2010-10-15,158.1,157.0
157.2,32381950.0,156.0,2010-10-18,157.2,156.0
155.0,38152103.0,152.0,2010-10-19,155.0,150.0
150.0,67960459.0,152.0,2010-10-20,152.0,148.0
152.0,27639076.0,153.0,2010-10-21,153.0,151.9
160.0,239937477.0,170.0,2010-10-22,172.0,160.0
170.0,50137541.0,171.0,2010-10-26,172.0,169.0
170.0,18855630.0,169.8,2010-10-27,170.0,166.0
167.1,78801490.0,169.9,2010-10-28,170.0,167.1
169.9,55173497.0,171.8,2010-10-29,174.5,169.9
171.8,37593854.0,179.8,2010-11-02,180.0,171.8
179.8,103965858.0,191.0,2010-11-03,193.0,179.0
189.0,75401825.0,188.0,2010-11-04,189.0,187.0
190.0,80808582.0,180.3,2010-11-08,190.0,179.8
180.1,40045226.0,175.9,2010-11-09,180.3,175.5
175.0,57989648.0,175.0,2010-11-10,175.9,168.0
180.0,25096596.0,174.9,2010-11-11,180.0,163.0
174.8,57089982.0,169.5,2010-11-12,174.8,168.0
169.0,36057658.0,169.9,2010-11-15,174.0,163.0
169.7,28548891.0,168.5,2010-11-17,169.9,168.3
170.0,47930208.0,166.5,2010-11-18,170.0,165.0
166.8,63847332.0,170.0,2010-11-19,172.0,166.8
175.0,49954871.0,170.0,2010-11-22,179.0,169.6
173.5,42790275.0,168.5,2010-11-23,173.5,166.0
167.1,100629508.0,164.7,2010-11-24,168.0,160.0
166.1,54974454.0,165.5,2010-11-25,167.0,165.4
165.5,28143418.0,165.0,2010-11-26,165.5,163.0
160.0,33593780.0,164.0,2010-11-30,165.0,159.0
164.0,20349474.0,162.0,2010-12-01,164.1,161.2
165.0,97768150.0,170.0,2010-12-02,172.0,165.0
169.9,48439229.0,169.0,2010-12-03,171.0,168.0
169.1,19103998.0,170.0,2010-12-06,171.5,168.1
170.0,49316612.0,178.8,2010-12-07,180.0,169.8
178.9,35230081.0,183.0,2010-12-08,183.0,177.0
183.0,117124734.0,180.0,2010-12-16,183.0,179.0
181.5,35088616.0,182.0,2010-12-22,183.5,181.5
181.7,54849297.0,185.0,2010-12-23,186.0,181.5
185.0,47181940.0,185.9,2010-12-28,186.4,185.0
185.0,47181940.0,185.9,2010-12-28,186.4,185.0
185.0,47181940.0,185.9,2010-12-28,186.4,185.0
185.0,47181940.0,185.9,2010-12-28,186.4,185.0
185.0,47181940.0,185.9,2010-12-28,186.4,185.0
185.0,47181940.0,185.9,2010-12-28,186.4,185.0
185.0,47181940.0,185.9,2010-12-28,186.4,185.0
185.0,47181940.0,185.9,2010-12-28,186.4,185.0
185.0,47181940.0,185.9,2010-12-28,186.4,185.0
185.0,47181940.0,185.9,2010-12-28,186.4,185.0
185.0,47181940.0,185.9,2010-12-28,186.4,185.0
185.0,47181940.0,185.9,2010-12-28,186.4,185.0
185.0,47181940.0,185.9,2010-12-28,186.4,185.0
185.0,47181940.0,185.9,2010-12-28,186.4,185.0
185.0,47181940.0,185.9,2010-12-28,186.4,185.0
185.0,47181940.0,185.9,2010-12-28,186.4,185.0
185.0,47181940.0,185.9,2010-12-28,186.4,185.0
185.0,47181940.0,185.9,2010-12-28,186.4,185.0
185.0,47181940.0,185.9,2010-12-28,186.4,185.0
185.0,47181940.0,185.9,2010-12-28,186.4,185.0
185.0,47181940.0,185.9,2010-12-28,186.4,185.0
186.0,101342874.0,187.5,2010-12-29,189.0,186.0
186.0,101342874.0,187.5,2010-12-29,189.0,186.0
187.0,31706844.0,183.8,2011-01-03,187.0,183.8
187.0,31706844.0,183.8,2011-01-03,187.0,183.8
187.0,31706844.0,183.8,2011-01-03,187.0,183.8
180.0,322195943.0,189.5,2011-01-04,194.5,180.0
191.9,303065817.0,192.6,2011-01-05,198.0,190.6
194.0,188751975.0,193.7,2011-01-06,199.0,193.2
195.0,73129940.0,189.6,2011-01-07,195.0,189.0
189.6,43415413.0,186.0,2011-01-10,190.0,183.0
186.2,124157915.0,183.5,2011-01-11,186.2,183.5
186.2,124157915.0,183.5,2011-01-11,186.2,183.5
183.5,251076692.0,193.0,2011-01-12,194.0,183.5
194.1,209003954.0,206.0,2011-01-13,206.0,192.1
206.0,155455066.0,214.0,2011-01-14,214.8,205.0
214.0,124678620.0,211.8,2011-01-17,215.0,209.0
212.2,155971856.0,211.8,2011-01-18,212.4,209.6
211.8,140612406.0,207.4,2011-01-19,212.0,201.0
211.8,140612406.0,207.4,2011-01-19,212.0,201.0
207.4,145304362.0,207.4,2011-01-20,209.4,203.0
207.4,145304362.0,207.4,2011-01-20,209.4,203.0
200.0,113470121.0,196.3,2011-01-24,200.0,194.0
191.3,76788971.0,197.5,2011-01-25,198.5,191.3
197.0,103906556.0,194.8,2011-01-26,197.0,194.8
193.0,218607809.0,199.0,2011-01-27,200.0,193.0
199.0,129395576.0,198.6,2011-01-28,204.0,197.0
199.0,129395576.0,198.6,2011-01-28,204.0,197.0
198.0,72673302.0,198.9,2011-01-31,200.4,197.1
198.0,72673302.0,198.9,2011-01-31,200.4,197.1
200.0,55406402.0,196.9,2011-02-01,202.6,195.0
200.0,55406402.0,196.9,2011-02-01,202.6,195.0
197.0,90516286.0,198.0,2011-02-02,200.0,197.0
198.0,116800552.0,205.2,2011-02-03,212.0,198.0
205.0,53914682.0,206.2,2011-02-14,206.4,205.0
207.0,41341022.0,206.2,2011-02-16,207.0,205.8
207.0,41341022.0,206.2,2011-02-16,207.0,205.8
208.0,51459174.0,208.8,2011-02-17,211.8,206.2
210.0,26057204.0,207.8,2011-02-18,210.0,207.4
208.0,11081476.0,205.0,2011-02-21,208.0,205.0
208.0,11081476.0,205.0,2011-02-21,208.0,205.0
205.0,138917844.0,198.9,2011-02-22,205.0,198.6
205.0,138917844.0,198.9,2011-02-22,205.0,198.6
198.4,122830058.0,200.0,2011-02-23,200.8,197.2
198.4,122830058.0,200.0,2011-02-23,200.8,197.2
200.0,166460004.0,199.7,2011-02-24,200.0,199.4
200.0,166460004.0,199.7,2011-02-24,200.0,199.4
199.7,186387133.0,199.6,2011-02-25,200.0,199.6
199.6,50015244.0,204.6,2011-02-28,204.6,198.0
204.0,28587327.0,200.0,2011-03-02,204.0,198.6
200.0,123763998.0,201.0,2011-03-03,201.0,200.0
202.2,64255584.0,205.8,2011-03-04,208.2,202.2
202.2,64255584.0,205.8,2011-03-04,208.2,202.2
208.0,72281726.0,203.8,2011-03-07,208.0,203.6
203.6,227308554.0,214.2,2011-03-08,220.0,203.6
203.6,227308554.0,214.2,2011-03-08,220.0,203.6
221.0,18154202.0,221.0,2011-03-11,221.0,215.0
221.0,18154202.0,221.0,2011-03-11,221.0,215.0
228.6,154840108.0,231.0,2011-03-16,232.6,227.0
231.0,90673476.0,229.0,2011-03-17,231.0,226.0
230.0,195704154.0,239.4,2011-03-18,241.0,230.0
240.0,23102380.0,238.0,2011-03-21,240.0,238.0
240.0,206380188.0,234.0,2011-03-22,244.0,230.0
234.0,118249750.0,227.0,2011-03-23,235.0,227.0
226.0,315572286.0,216.2,2011-03-24,226.0,214.4
216.0,74990072.0,222.0,2011-03-25,224.0,215.4
222.0,105847600.0,227.0,2011-03-28,230.4,222.0
229.6,112940466.0,228.2,2011-03-29,230.0,228.0
228.2,199080614.0,222.4,2011-03-30,228.2,222.0
222.8,66495206.0,226.8,2011-03-31,228.0,222.6
227.0,145649902.0,226.0,2011-04-01,232.2,225.8
234.0,43088686.0,229.0,2011-04-04,236.0,229.0
229.0,29305324.0,228.0,2011-04-05,229.0,227.0
228.0,49756040.0,231.4,2011-04-06,231.8,228.0
234.0,164790016.0,232.0,2011-04-07,237.0,230.0
231.8,64287340.0,229.2,2011-04-08,231.8,226.0
231.0,140325294.0,233.0,2011-04-11,236.0,228.0
235.0,59909384.0,232.0,2011-04-12,236.0,231.0
230.0,543183052.0,218.0,2011-04-13,230.0,218.0
219.0,189536008.0,215.2,2011-04-14,220.0,215.2
217.8,171583502.0,212.0,2011-04-15,218.0,210.0
215.8,103351290.0,212.0,2011-04-26,215.8,212.0
213.2,173151534.0,217.2,2011-04-27,219.8,213.2
222.0,236313742.0,220.8,2011-04-28,227.0,220.8
224.0,139876532.0,218.0,2011-04-29,225.0,218.0
223.0,68430742.0,221.0,2011-05-02,223.0,220.0
222.8,50579806.0,221.0,2011-05-03,222.8,219.2
217.2,217592060.0,215.0,2011-05-04,221.0,214.8
218.0,50773696.0,217.0,2011-05-05,218.0,216.4
215.0,61856854.0,215.4,2011-05-06,216.0,212.6
215.6,74433672.0,214.0,2011-05-09,216.0,213.6
214.0,23425230.0,214.0,2011-05-10,215.0,213.8
214.4,82944410.0,214.0,2011-05-11,215.2,213.4
214.0,68938592.0,213.6,2011-05-12,217.0,213.6
214.0,68874936.0,212.8,2011-05-13,214.8,212.8
214.2,54276282.0,212.6,2011-05-16,215.0,212.6
212.6,13437098.0,216.0,2011-05-17,217.0,212.6
216.0,61392700.0,221.6,2011-05-18,222.0,216.0
224.0,78412832.0,224.0,2011-05-19,225.0,222.2
224.6,55728348.0,222.8,2011-05-20,225.0,222.0
223.8,33527504.0,221.8,2011-05-23,225.0,221.4
210.0,37590008.0,211.0,2011-05-24,213.0,206.0
214.0,34533624.0,211.0,2011-05-25,214.0,209.8
213.0,55544758.0,209.0,2011-05-26,213.0,208.6
210.6,44399384.0,212.0,2011-05-27,213.0,210.0
212.0,28721496.0,210.0,2011-05-30,212.8,210.0
210.2,70098624.0,213.0,2011-05-31,214.2,210.0
213.0,67180154.0,212.6,2011-06-01,213.0,211.0
212.0,23156562.0,210.6,2011-06-03,214.0,210.6
210.6,14967628.0,211.0,2011-06-06,212.0,209.0
210.0,38482894.0,209.0,2011-06-07,211.0,208.0
209.0,39782244.0,208.0,2011-06-08,211.4,207.0
208.0,48033530.0,206.0,2011-06-09,208.0,206.0
206.0,52304262.0,204.0,2011-06-10,206.0,203.2
201.0,99536870.0,198.0,2011-06-13,201.0,196.5
198.0,115689938.0,192.6,2011-06-14,198.0,187.0
197.0,137516906.0,199.8,2011-06-15,200.6,197.0
197.8,97343688.0,201.0,2011-06-16,201.6,197.2
201.2,241556086.0,216.6,2011-06-17,216.6,201.0
213.0,125019404.0,208.2,2011-06-21,213.0,206.8
208.8,101913554.0,210.0,2011-06-22,212.0,208.2
210.0,262287544.0,214.0,2011-06-23,216.0,210.0
214.0,61725114.0,214.0,2011-06-24,214.4,213.4
213.8,36063670.0,210.0,2011-06-27,213.8,206.0
210.8,25933004.0,210.0,2011-06-28,211.0,209.8
210.4,16033968.0,210.0,2011-06-29,210.4,207.2
210.0,86612876.0,213.4,2011-06-30,214.0,210.0
214.0,113131972.0,213.0,2011-07-01,214.0,212.2
213.0,138736454.0,213.0,2011-07-04,214.0,212.4
214.0,175082774.0,217.4,2011-07-05,220.0,213.4
218.0,131426970.0,216.2,2011-07-06,218.0,215.6
216.2,39475874.0,213.8,2011-07-07,216.2,213.0
213.8,61131956.0,214.8,2011-07-08,215.0,213.8
214.4,78135640.0,214.4,2011-07-11,215.0,214.0
214.4,44465182.0,213.0,2011-07-12,214.4,212.0
213.0,195235740.0,215.0,2011-07-13,216.0,212.2
