OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
42.5,8149700.0,43.5,2009-08-03,43.5,42.5
44.0,12635700.0,44.0,2009-08-04,45.0,44.0
45.0,12031900.0,44.5,2009-08-06,45.5,44.0
44.5,10843400.0,44.0,2009-08-07,44.5,44.0
44.0,4680000.0,44.0,2009-08-10,44.5,44.0
44.0,1729200.0,44.0,2009-08-11,44.0,44.0
44.0,893200.0,44.0,2009-08-12,44.0,44.0
44.0,1038800.0,44.0,2009-08-13,44.5,44.0
44.0,3326400.0,44.0,2009-08-14,44.0,44.0
44.0,1775950.0,44.0,2009-08-17,44.0,43.5
43.0,4978950.0,44.0,2009-08-18,44.0,43.0
44.0,6846400.0,44.0,2009-08-19,44.0,44.0
44.0,13226700.0,43.5,2009-08-20,44.0,43.5
44.0,1920200.0,44.5,2009-08-24,45.0,44.0
44.5,11666750.0,44.5,2009-08-25,44.5,44.0
44.5,102509550.0,46.0,2009-08-26,46.0,44.0
48.5,6730700.0,48.0,2009-09-03,49.0,47.0
48.0,47570450.0,49.5,2009-09-04,50.0,48.0
55.5,75546350.0,54.5,2009-09-16,56.5,54.5
55.0,28697100.0,54.5,2009-09-17,55.5,54.0
54.0,62562850.0,54.0,2009-09-18,54.0,53.5
54.0,18974450.0,54.0,2009-09-22,55.0,53.0
54.0,74132300.0,55.0,2009-09-23,55.0,53.0
53.0,9226550.0,54.5,2009-09-30,54.5,53.0
54.0,11427400.0,54.0,2009-10-01,54.5,53.0
53.5,68999350.0,53.5,2009-10-02,54.0,53.5
53.5,23137850.0,53.5,2009-10-05,53.5,52.5
54.0,72969700.0,54.0,2009-10-06,54.0,53.0
54.0,70902950.0,55.0,2009-10-07,55.0,54.0
55.0,24105650.0,54.5,2009-10-08,55.0,54.0
54.0,10976900.0,54.0,2009-10-09,54.0,53.5
54.0,8929000.0,54.0,2009-10-12,54.0,53.5
54.0,16681150.0,54.0,2009-10-13,54.0,53.5
54.0,29750450.0,54.0,2009-10-14,54.0,53.5
54.0,61965050.0,54.0,2009-10-15,54.5,54.0
54.0,30829800.0,54.0,2009-10-16,54.0,53.5
54.0,26438900.0,54.0,2009-10-19,54.5,54.0
54.5,52436150.0,55.0,2009-10-20,55.0,54.5
55.0,14552950.0,54.5,2009-10-21,55.0,54.0
54.5,40363500.0,55.0,2009-10-22,55.0,54.0
56.0,178594750.0,60.5,2009-10-23,61.0,56.0
61.0,60501000.0,60.0,2009-10-26,62.0,59.5
59.5,44690800.0,62.0,2009-10-27,62.5,59.0
62.5,171592700.0,64.0,2009-10-28,64.5,62.5
63.5,162776250.0,62.0,2009-10-29,63.5,61.0
55.0,37209850.0,56.0,2009-10-30,56.0,55.0
55.0,54644100.0,53.0,2009-11-03,55.5,53.0
52.0,41646250.0,51.5,2009-11-04,52.0,50.5
