OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
6.0,17400.0,6.0,2011-07-04,6.0,6.0
5.5,34100.0,5.5,2011-07-05,5.5,5.5
4.4,103840.0,4.4,2011-07-07,4.4,4.4
3.65,13150.0,3.0,2011-07-11,3.65,3.0
3.0,6000.0,3.0,2011-07-12,3.0,3.0
2.2,46200.0,2.2,2011-07-13,2.2,2.2
1.5,30000.0,1.5,2011-07-14,1.5,1.5
1.5,21300.0,1.8,2011-07-15,1.8,1.5
1.99,25950.0,2.0,2011-07-18,2.0,1.99
1.9,54400.0,2.05,2011-07-19,2.05,1.9
2.05,50350.0,3.0,2011-07-21,3.0,2.05
3.0,118510.0,2.25,2011-07-22,3.0,2.1
2.96,20820.0,2.98,2011-07-25,2.98,2.96
1.98,99480.0,1.9,2011-07-28,1.98,1.51
1.85,18580.0,1.86,2011-07-29,1.86,1.85
2.4,2400.0,2.4,2011-08-01,2.4,2.4
2.65,28210.0,1.98,2011-08-02,2.65,1.92
1.98,64560.0,1.98,2011-08-03,1.98,1.7
1.7,20580.0,1.98,2011-08-09,1.98,1.68
1.68,10080.0,1.68,2011-08-11,1.68,1.68
1.96,11760.0,1.96,2011-08-16,1.96,1.96
1.5,15300.0,1.8,2011-08-18,1.8,1.5
1.5,225640.0,2.29,2011-08-19,2.29,1.5
2.0,20000.0,2.0,2011-08-22,2.0,2.0
2.0,19600.0,1.56,2011-08-23,2.0,1.56
1.87,5610.0,1.87,2011-08-24,1.87,1.87
1.5,1500.0,1.5,2011-08-25,1.5,1.5
1.55,13600.0,1.5,2011-08-31,1.55,1.5
1.85,18500.0,1.85,2011-09-02,1.85,1.85
1.86,18550.0,1.85,2011-09-05,1.86,1.85
1.52,25840.0,1.52,2011-09-08,1.52,1.52
1.6,83200.0,1.6,2011-09-09,1.6,1.6
1.6,86900.0,1.61,2011-09-12,1.61,1.6
1.6,64000.0,1.6,2011-09-13,1.6,1.6
1.52,29780.0,1.61,2011-09-16,1.61,1.52
1.62,16200.0,1.62,2011-09-19,1.62,1.62
1.52,31920.0,1.52,2011-09-22,1.52,1.52
1.52,15200.0,1.52,2011-09-23,1.52,1.52
1.5,15000.0,1.5,2011-09-26,1.5,1.5
1.5,21000.0,1.5,2011-10-04,1.5,1.5
1.3,1300.0,1.3,2011-10-07,1.3,1.3
1.3,70420.0,1.16,2011-10-17,1.3,1.15
1.1,49800.0,1.25,2011-10-18,1.25,1.1
1.1,23800.0,1.07,2011-10-19,1.1,1.07
1.29,10320.0,1.29,2011-10-24,1.29,1.29
1.08,97010.0,1.1,2011-10-25,1.11,1.07
1.15,180390.0,1.1,2011-10-26,1.19,1.1
1.15,69830.0,1.15,2011-10-27,1.15,1.11
1.1,290400.0,1.1,2011-10-28,1.1,1.1
1.01,14210.0,1.1,2011-11-02,1.1,1.01
1.06,195460.0,1.01,2011-11-03,1.06,1.0
1.02,123380.0,1.02,2011-11-04,1.02,1.01
1.02,5100.0,1.02,2011-11-08,1.02,1.02
1.0,10000.0,1.0,2011-11-09,1.0,1.0
1.0,73780.0,0.98,2011-11-10,1.0,0.98
0.96,55680.0,0.96,2011-11-11,0.96,0.96
1.0,50980.0,0.98,2011-11-14,1.0,0.98
0.98,167660.0,0.9,2011-11-15,0.98,0.9
0.9,110350.0,0.95,2011-11-16,0.95,0.9
1.0,6900.0,0.98,2011-11-17,1.0,0.98
0.98,8820.0,0.98,2011-11-21,0.98,0.98
1.0,40000.0,1.0,2011-11-22,1.0,1.0
1.0,6990.0,0.99,2011-11-23,1.0,0.99
0.99,24750.0,0.99,2011-11-28,0.99,0.99
0.99,8910.0,0.99,2011-12-02,0.99,0.99
0.87,870.0,0.87,2011-12-05,0.87,0.87
0.99,41060.0,1.0,2011-12-06,1.1,0.99
1.0,9880.0,0.94,2011-12-07,1.0,0.94
0.88,5360.0,0.9,2011-12-08,0.9,0.88
0.9,9500.0,1.0,2011-12-09,1.0,0.9
0.95,9500.0,0.95,2011-12-12,0.95,0.95
1.0,7000.0,1.0,2011-12-13,1.0,1.0
1.0,9000.0,1.0,2011-12-15,1.0,1.0
1.04,5050.0,1.0,2011-12-16,1.04,1.0
1.0,48900.0,0.96,2011-12-19,1.0,0.94
0.94,1880.0,0.94,2011-12-20,0.94,0.94
0.94,55180.0,1.0,2011-12-21,1.0,0.9
1.28,12240.0,1.2,2011-12-22,1.28,1.2
0.94,27700.0,1.15,2011-12-26,1.15,0.94
1.05,46400.0,1.1,2012-01-02,1.1,1.05
0.9,9000.0,0.9,2012-01-03,0.9,0.9
0.92,8280.0,0.92,2012-01-04,0.92,0.92
1.04,48690.0,1.0,2012-01-05,1.04,0.96
1.0,230970.0,0.97,2012-01-06,1.0,0.97
0.97,6120.0,1.07,2012-01-09,1.07,0.97
1.04,104990.0,1.05,2012-01-10,1.05,1.04
1.05,2050.0,1.0,2012-01-11,1.05,1.0
0.96,2880.0,0.96,2012-01-12,0.96,0.96
0.98,5180.0,1.05,2012-01-13,1.05,0.98
