OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
3.75,112500.0,3.75,2010-09-20,3.75,3.75
5.62,11240.0,5.62,2010-09-21,5.62,5.62
8.43,8430.0,8.43,2010-09-23,8.43,8.43
12.64,12640.0,12.64,2010-09-24,12.64,12.64
18.96,56880.0,18.96,2010-09-27,18.96,18.96
28.4,113600.0,28.4,2010-09-28,28.4,28.4
42.6,340800.0,42.6,2010-09-29,42.6,42.6
63.8,265550.0,60.0,2010-10-01,63.8,60.0
59.5,189315.0,55.5,2010-10-04,59.5,54.0
50.0,36600.0,42.0,2010-10-05,50.0,42.0
42.5,27150.0,48.0,2010-10-07,48.0,42.5
41.0,4100.0,41.0,2010-10-08,41.0,41.0
41.0,3690.0,41.0,2010-10-12,41.0,41.0
55.0,124540.0,61.45,2010-10-13,61.45,55.0
61.5,29780.0,65.0,2010-10-14,65.0,60.0
63.5,6325.0,63.0,2010-10-15,63.5,63.0
60.0,209163.0,83.9,2010-10-18,94.0,57.0
83.0,25980.0,70.0,2010-10-19,83.0,70.0
69.0,106860.0,80.0,2010-10-20,80.0,60.0
90.0,144990.0,65.0,2010-10-21,95.0,65.0
64.5,130325.0,69.0,2010-10-22,69.0,55.0
57.0,69950.0,60.0,2010-10-26,65.0,57.0
61.0,1880.0,65.0,2010-10-27,65.0,61.0
57.0,71040.0,65.0,2010-10-29,65.0,57.0
53.0,4240.0,53.0,2010-11-03,53.0,53.0
97.5,127725.0,97.5,2010-11-18,97.5,97.5
112.1,106164.0,145.0,2010-11-19,145.0,110.0
195.0,397480.0,217.4,2010-11-22,217.4,195.0
326.0,133660.0,326.0,2011-05-31,326.0,326.0
489.0,498780.0,489.0,2011-06-01,489.0,489.0
1100.0,2298490.0,1049.0,2011-06-03,1100.0,1000.0
760.0,274600.0,700.0,2011-06-06,760.0,700.0
700.0,184200.0,600.0,2011-06-07,700.0,600.0
580.5,550250.0,700.0,2011-06-08,700.0,540.0
750.0,95900.0,740.0,2011-06-09,750.0,720.0
670.0,20100.0,670.0,2011-06-10,670.0,670.0
670.0,120850.0,570.5,2011-06-13,670.0,570.5
580.5,271250.0,610.0,2011-06-14,610.0,550.0
591.5,112975.0,600.0,2011-06-16,600.0,580.0
600.0,42000.0,600.0,2011-06-22,600.0,600.0
600.0,58500.0,570.0,2011-06-23,600.0,570.0
578.0,139500.0,560.0,2011-06-27,578.0,540.0
579.5,5795.0,579.5,2011-06-30,579.5,579.5
560.0,107020.0,530.0,2011-07-04,560.0,530.0
520.5,218520.0,520.0,2011-07-06,520.5,500.0
501.5,111195.0,609.5,2011-07-08,609.5,500.0
498.2,10182.0,520.0,2011-07-11,520.0,498.2
500.0,35000.0,500.0,2011-07-13,500.0,500.0
500.0,15000.0,500.0,2011-07-14,500.0,500.0
500.0,25000.0,500.0,2011-07-15,500.0,500.0
589.0,35530.0,595.0,2011-07-18,595.0,589.0
505.5,50540.0,505.0,2011-07-21,506.0,505.0
600.0,6000.0,600.0,2011-07-22,600.0,600.0
558.0,11160.0,558.0,2011-07-25,558.0,558.0
530.0,15900.0,530.0,2011-07-28,530.0,530.0
554.5,16625.0,553.5,2011-07-29,554.5,553.5
530.0,10600.0,530.0,2011-08-03,530.0,530.0
501.0,29960.0,491.0,2011-08-08,501.0,491.0
495.0,106370.0,480.2,2011-08-09,495.0,480.0
483.0,4830.0,483.0,2011-08-10,483.0,483.0
485.2,9704.0,485.2,2011-08-12,485.2,485.2
599.5,5995.0,599.5,2011-08-15,599.5,599.5
599.5,346990.0,799.5,2011-08-16,850.0,599.5
779.0,38950.0,779.0,2011-08-17,779.0,779.0
550.0,600530.0,500.0,2011-08-18,550.0,500.0
550.0,33600.0,580.0,2011-08-19,580.0,550.0
650.0,12500.0,600.0,2011-08-22,650.0,600.0
599.5,184245.0,501.0,2011-08-23,600.0,500.0
597.5,29890.0,598.0,2011-08-24,598.0,597.5
605.0,36380.0,607.0,2011-08-31,607.0,605.0
550.0,358905.0,516.0,2011-09-01,550.0,515.0
525.0,4238350.0,520.0,2011-09-02,530.0,516.0
516.0,1575480.0,520.0,2011-09-06,520.0,516.0
516.5,41270.0,515.5,2011-09-12,516.5,515.5
599.5,5995.0,599.5,2011-09-15,599.5,599.5
519.0,103225.0,514.0,2011-09-20,519.0,514.0
515.0,30900.0,515.0,2011-09-23,515.0,515.0
514.0,41055.0,512.5,2011-09-26,514.0,512.5
516.0,46370.0,515.0,2011-09-28,516.0,515.0
515.0,10300.0,515.0,2011-09-29,515.0,515.0
513.0,51140.0,510.0,2011-10-03,513.0,510.0
509.0,61005.0,508.0,2011-10-04,509.0,508.0
512.0,45830.0,508.0,2011-10-10,512.0,508.0
507.5,297260.0,501.0,2011-10-12,507.5,501.0
505.5,5055.0,505.5,2011-11-02,505.5,505.5
503.0,5030.0,503.0,2011-11-14,503.0,503.0
540.0,5400.0,540.0,2011-11-16,540.0,540.0
513.0,30620.0,509.0,2011-11-22,513.0,509.0
510.0,10200.0,510.0,2011-11-23,510.0,510.0
510.0,85890.0,503.0,2011-12-12,510.0,503.0
501.5,15045.0,501.5,2011-12-13,501.5,501.5
503.0,50175.0,500.5,2011-12-23,503.0,500.5
510.0,10200.0,510.0,2011-12-27,510.0,510.0
530.0,15900.0,530.0,2012-01-02,530.0,530.0
505.5,30195.0,501.0,2012-01-03,505.5,501.0
530.0,10600.0,530.0,2012-01-05,530.0,530.0
530.0,42400.0,530.0,2012-01-09,530.0,530.0
526.0,10520.0,526.0,2012-01-13,526.0,526.0
520.0,286440.0,522.0,2012-01-17,522.0,520.0
510.0,20400.0,510.0,2012-01-18,510.0,510.0
520.0,10400.0,520.0,2012-01-19,520.0,520.0
635.0,6350.0,635.0,2012-01-26,635.0,635.0
567.0,11340.0,567.0,2012-02-07,567.0,567.0
522.0,10440.0,522.0,2012-02-15,522.0,522.0
500.5,45040.0,500.0,2012-02-16,500.5,500.0
522.0,10440.0,522.0,2012-02-21,522.0,522.0
501.0,15030.0,501.0,2012-02-27,501.0,501.0
500.0,30000.0,500.0,2012-03-01,500.0,500.0
500.0,25000.0,500.0,2012-03-07,500.0,500.0
520.0,10400.0,520.0,2012-03-27,520.0,520.0
522.0,168250.0,610.0,2012-03-28,610.0,522.0
595.0,17750.0,590.0,2012-03-29,595.0,590.0
520.0,5200.0,520.0,2012-03-30,520.0,520.0
500.0,10030.0,503.0,2012-04-03,503.0,500.0
480.0,77300.0,480.0,2012-04-11,485.0,480.0
460.0,27600.0,460.0,2012-04-13,460.0,460.0
490.0,49000.0,490.0,2012-04-16,490.0,490.0
490.0,9800.0,490.0,2012-04-17,490.0,490.0
445.0,8900.0,445.0,2012-05-04,445.0,445.0
445.0,13350.0,445.0,2012-05-15,445.0,445.0
500.0,10000.0,500.0,2012-06-15,500.0,500.0
490.0,9800.0,490.0,2012-06-21,490.0,490.0
490.0,9800.0,490.0,2012-06-25,490.0,490.0
440.0,60700.0,425.0,2012-06-26,440.0,425.0
425.0,4250.0,425.0,2012-06-28,425.0,425.0
450.0,9000.0,450.0,2012-07-06,450.0,450.0
430.0,17600.0,450.0,2012-07-11,450.0,430.0
470.0,14100.0,470.0,2012-07-16,470.0,470.0
430.0,133800.0,450.0,2012-07-19,450.0,430.0
450.0,45000.0,450.0,2012-08-10,450.0,450.0
449.0,54460.0,478.0,2012-08-28,478.0,449.0
460.0,9200.0,460.0,2012-09-05,460.0,460.0
460.0,46000.0,460.0,2012-09-07,460.0,460.0
495.0,44550.0,495.0,2012-09-10,495.0,495.0
520.0,37100.0,550.0,2012-09-11,550.0,520.0
500.0,10000.0,500.0,2012-09-24,500.0,500.0
