OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
67.0,2089445342.5,67.2,2016-11-03,67.2,66.6
67.4,486383756.0,69.5,2016-11-04,69.5,67.25
70.0,333802453.0,70.6,2016-11-07,70.8,69.7
70.95,279589151.0,72.0,2016-11-08,72.15,70.6
72.1,250979626.5,69.8,2016-11-09,73.0,68.4
70.3,152293715.5,70.75,2016-11-10,71.2,70.3
70.75,174416714.0,69.5,2016-11-11,70.75,69.3
69.55,49924521.5,69.0,2016-11-14,69.55,68.0
69.0,98831416.0,68.8,2016-11-15,69.4,68.2
69.2,93494888.5,68.95,2016-11-16,69.2,68.7
68.95,59080463.0,68.5,2016-11-17,69.0,68.25
68.5,13113127.5,68.5,2016-11-18,68.7,68.1
68.5,25250241.5,68.4,2016-11-21,68.5,68.2
68.3,142799655.5,67.0,2016-11-22,69.1,67.0
67.5,139937855.0,67.4,2016-11-23,68.2,67.2
67.4,67319138.5,67.6,2016-11-24,68.0,67.1
67.4,67319138.5,67.6,2016-11-24,68.0,67.1
67.4,67319138.5,67.6,2016-11-24,68.0,67.1
67.6,41608325.0,67.6,2016-11-25,67.75,67.35
67.6,62786074.0,67.4,2016-11-28,67.6,67.25
67.5,63519134.5,67.0,2016-11-29,67.5,67.0
68.0,109194942.0,68.35,2016-12-01,68.35,67.8
68.4,84563882.0,68.1,2016-12-02,68.5,67.5
68.1,62124826.0,67.15,2016-12-05,68.1,67.0
67.15,18724961.5,67.65,2016-12-06,67.7,67.1
67.65,47948339.5,67.5,2016-12-07,67.65,67.35
67.5,38697093.5,67.75,2016-12-08,67.8,67.4
67.75,39907980.5,67.7,2016-12-09,67.75,67.4
67.7,193793562.5,68.05,2016-12-12,68.4,67.6
68.0,37163176.5,68.0,2016-12-13,68.0,67.3
68.0,59111573.5,68.2,2016-12-14,68.3,67.9
68.1,62190496.5,68.25,2016-12-15,68.25,67.9
68.25,154301653.0,70.0,2016-12-16,70.0,68.1
69.9,55497019.5,69.6,2016-12-19,69.9,69.0
69.7,34258892.0,69.6,2016-12-20,69.7,69.05
69.6,50280919.0,69.5,2016-12-21,70.0,69.25
69.5,20953824.5,69.15,2016-12-22,69.5,69.05
69.15,77981941.5,69.8,2016-12-23,69.8,69.05
69.75,91587462.0,69.65,2016-12-27,69.85,69.05
69.7,50977821.0,69.7,2016-12-28,69.8,69.6
69.2,102663776.5,69.8,2016-12-29,70.0,69.2
69.8,117051564.5,70.65,2017-01-03,70.65,69.5
70.55,52148884.5,70.85,2017-01-04,71.2,70.15
71.1,127472879.5,71.95,2017-01-05,72.05,71.0
71.95,57528536.0,71.45,2017-01-06,71.95,71.05
71.45,75680566.5,71.4,2017-01-09,71.55,71.15
71.4,83738164.0,72.5,2017-01-10,72.7,71.4
72.45,251197744.5,75.3,2017-01-11,75.35,72.45
75.25,93972627.5,74.3,2017-01-12,75.25,74.0
