OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.38,162840.0,1.38,2009-08-03,1.38,1.38
1.38,714800.0,1.4,2009-08-04,1.4,1.38
1.42,198800.0,1.42,2009-08-07,1.42,1.42
1.38,189060.0,1.38,2009-08-10,1.38,1.38
1.38,383460.0,1.4,2009-08-11,1.4,1.38
1.4,247780.0,1.4,2009-08-12,1.4,1.38
1.38,227700.0,1.38,2009-08-13,1.38,1.38
1.4,54600.0,1.4,2009-08-14,1.4,1.4
1.36,187800.0,1.36,2009-08-17,1.4,1.36
1.36,195840.0,1.36,2009-08-18,1.36,1.36
1.38,166080.0,1.38,2009-08-19,1.38,1.36
1.38,223000.0,1.42,2009-08-20,1.48,1.38
1.44,1079220.0,1.68,2009-08-24,1.68,1.44
1.68,110260.0,1.66,2009-08-25,1.68,1.66
1.68,240400.0,1.7,2009-08-26,1.7,1.68
1.6,22400.0,1.6,2009-09-03,1.6,1.6
1.64,186760.0,1.72,2009-09-16,1.72,1.64
1.68,1680.0,1.68,2009-09-18,1.68,1.68
1.66,46480.0,1.66,2009-09-22,1.66,1.66
1.68,155940.0,1.68,2009-09-23,1.68,1.66
1.74,3480.0,1.74,2009-09-30,1.74,1.74
1.68,11760.0,1.68,2009-10-01,1.68,1.68
1.68,436900.0,1.7,2009-10-05,1.7,1.68
1.7,318920.0,1.72,2009-10-06,1.72,1.7
1.72,83320.0,1.74,2009-10-07,1.74,1.72
1.7,17181900.0,1.7,2009-10-08,1.7,1.7
1.7,6800.0,1.7,2009-10-09,1.7,1.7
1.72,503300.0,1.72,2009-10-12,1.72,1.7
1.72,34400.0,1.72,2009-10-13,1.72,1.72
1.7,40800.0,1.7,2009-10-14,1.7,1.7
1.72,1720.0,1.72,2009-10-15,1.72,1.72
1.8,41400.0,1.8,2009-10-16,1.8,1.8
1.78,12220.0,1.74,2009-10-20,1.78,1.74
1.74,87000.0,1.74,2009-10-21,1.74,1.74
1.74,41960.0,1.76,2009-10-22,1.76,1.74
1.76,1760.0,1.76,2009-10-23,1.76,1.76
1.78,94340.0,1.78,2009-10-26,1.78,1.78
1.74,87000.0,1.74,2009-10-27,1.74,1.74
1.74,1740.0,1.74,2009-10-29,1.74,1.74
1.74,321900.0,1.74,2009-10-30,1.74,1.74
1.72,29240.0,1.72,2009-11-05,1.72,1.72
