OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1370.0,570100.0,1500.0,2009-08-03,1500.0,1370.0
1535.0,698050.0,1580.0,2009-08-04,1580.0,1535.0
1580.0,15800.0,1580.0,2009-08-06,1580.0,1580.0
1580.0,710600.0,1500.0,2009-08-07,1580.0,1500.0
1480.0,488400.0,1480.0,2009-08-11,1480.0,1480.0
1440.0,993350.0,1440.0,2009-08-12,1440.0,1435.0
1400.0,1128850.0,1425.0,2009-08-13,1425.0,1400.0
1430.0,614900.0,1430.0,2009-08-17,1430.0,1430.0
1425.0,1127400.0,1430.0,2009-08-19,1430.0,1425.0
1425.0,42750.0,1425.0,2009-08-24,1425.0,1425.0
1400.0,168250.0,1425.0,2009-08-26,1425.0,1400.0
1250.0,529900.0,1300.0,2009-09-03,1300.0,1250.0
1250.0,562700.0,1340.0,2009-09-04,1340.0,1250.0
1300.0,559000.0,1300.0,2009-09-16,1300.0,1300.0
1300.0,52000.0,1300.0,2009-09-17,1300.0,1300.0
1280.0,115200.0,1280.0,2009-09-18,1280.0,1280.0
1300.0,507000.0,1300.0,2009-09-22,1300.0,1300.0
1300.0,910500.0,1310.0,2009-09-23,1310.0,1300.0
1330.0,342900.0,1310.0,2009-09-30,1330.0,1310.0
1290.0,129000.0,1290.0,2009-10-05,1290.0,1290.0
1290.0,116100.0,1290.0,2009-10-06,1290.0,1290.0
1300.0,923000.0,1300.0,2009-10-07,1300.0,1300.0
1300.0,351000.0,1300.0,2009-10-08,1300.0,1300.0
1250.0,51000.0,1300.0,2009-10-12,1300.0,1250.0
1320.0,26400.0,1320.0,2009-10-13,1320.0,1320.0
1310.0,261000.0,1290.0,2009-10-15,1310.0,1290.0
1280.0,153600.0,1280.0,2009-10-16,1280.0,1280.0
1305.0,2364950.0,1330.0,2009-10-19,1350.0,1305.0
1330.0,146300.0,1330.0,2009-10-20,1330.0,1330.0
1300.0,117000.0,1300.0,2009-10-21,1300.0,1300.0
1285.0,64250.0,1285.0,2009-10-22,1285.0,1285.0
1250.0,37500.0,1250.0,2009-10-23,1250.0,1250.0
1250.0,801000.0,1300.0,2009-10-26,1300.0,1250.0
1300.0,169000.0,1300.0,2009-10-27,1300.0,1300.0
1225.0,169750.0,1200.0,2009-10-29,1225.0,1200.0
1250.0,37500.0,1250.0,2009-10-30,1250.0,1250.0
1300.0,277000.0,1250.0,2009-11-03,1300.0,1250.0
1300.0,1300000.0,1300.0,2009-11-04,1300.0,1300.0
1280.0,128000.0,1280.0,2009-11-05,1280.0,1280.0
1300.0,537700.0,1270.0,2009-11-06,1300.0,1270.0
1250.0,99400.0,1230.0,2009-11-09,1250.0,1230.0
1240.0,520800.0,1240.0,2009-11-10,1240.0,1240.0
1220.0,97600.0,1220.0,2009-11-11,1220.0,1220.0
1240.0,636400.0,1200.0,2009-12-15,1240.0,1200.0
1200.0,563500.0,1200.0,2009-12-16,1200.0,1195.0
1200.0,504000.0,1200.0,2009-12-17,1200.0,1200.0
1100.0,220000.0,1100.0,2009-12-21,1100.0,1100.0
1200.0,2388000.0,1200.0,2009-12-23,1200.0,1200.0
1220.0,24400.0,1220.0,2010-01-05,1220.0,1220.0
1260.0,500100.0,1250.0,2010-01-06,1260.0,1250.0
1250.0,616600.0,1260.0,2010-01-07,1260.0,1250.0
1255.0,188250.0,1255.0,2010-01-08,1255.0,1255.0
1260.0,441000.0,1260.0,2010-01-11,1260.0,1260.0
1290.0,3075000.0,1350.0,2010-01-12,1350.0,1290.0
1300.0,130000.0,1300.0,2010-01-20,1300.0,1300.0
1280.0,244200.0,1280.0,2010-01-21,1300.0,1280.0
1280.0,76800.0,1280.0,2010-01-25,1280.0,1280.0
1250.0,843300.0,1280.0,2010-01-29,1280.0,1250.0
1250.0,75000.0,1250.0,2010-02-02,1250.0,1250.0
1250.0,350000.0,1250.0,2010-02-03,1250.0,1250.0
1250.0,1088500.0,1250.0,2010-02-04,1260.0,1250.0
1150.0,195500.0,1150.0,2010-02-05,1150.0,1150.0
1150.0,57500.0,1150.0,2010-02-09,1150.0,1150.0
1150.0,57500.0,1150.0,2010-02-10,1150.0,1150.0
1150.0,115000.0,1150.0,2010-02-11,1150.0,1150.0
1265.0,741400.0,1275.0,2010-03-08,1300.0,1265.0
1315.0,145000.0,1350.0,2010-03-12,1350.0,1315.0
1320.0,264000.0,1320.0,2010-03-16,1320.0,1320.0
1350.0,526500.0,1350.0,2010-03-17,1350.0,1350.0
1255.0,702800.0,1255.0,2010-04-21,1255.0,1255.0
1330.0,744800.0,1330.0,2010-04-22,1330.0,1330.0
1330.0,39900.0,1330.0,2010-04-23,1330.0,1330.0
1300.0,104000.0,1300.0,2010-04-29,1300.0,1300.0
1280.0,1391000.0,1280.0,2010-05-13,1320.0,1270.0
1280.0,255000.0,1270.0,2010-05-17,1280.0,1270.0
1260.0,12600.0,1260.0,2010-05-19,1260.0,1260.0
1200.0,96000.0,1200.0,2010-05-24,1200.0,1200.0
1260.0,12600.0,1260.0,2010-05-28,1260.0,1260.0
1200.0,552000.0,1200.0,2010-05-31,1200.0,1200.0
1200.0,336000.0,1200.0,2010-06-01,1200.0,1200.0
1220.0,1092700.0,1230.0,2010-06-02,1230.0,1220.0
1230.0,86100.0,1230.0,2010-06-03,1230.0,1230.0
1200.0,1502400.0,1260.0,2010-06-04,1260.0,1200.0
1200.0,708000.0,1200.0,2010-06-08,1200.0,1200.0
1200.0,192000.0,1200.0,2010-06-09,1200.0,1200.0
1250.0,12500.0,1250.0,2010-06-10,1250.0,1250.0
1210.0,230300.0,1250.0,2010-06-11,1250.0,1210.0
1225.0,858550.0,1245.0,2010-06-16,1270.0,1225.0
1220.0,1845300.0,1270.0,2010-06-22,1270.0,1220.0
1300.0,994300.0,1235.0,2010-06-23,1300.0,1235.0
1225.0,196600.0,1235.0,2010-06-25,1235.0,1225.0
1230.0,950950.0,1240.0,2010-06-28,1240.0,1230.0
1200.0,108000.0,1200.0,2010-06-29,1200.0,1200.0
1200.0,288000.0,1200.0,2010-07-01,1200.0,1200.0
1200.0,94600.0,1180.0,2010-07-02,1200.0,1180.0
1190.0,154700.0,1190.0,2010-07-06,1190.0,1190.0
1200.0,276000.0,1200.0,2010-07-07,1200.0,1200.0
1190.0,334000.0,1200.0,2010-07-08,1210.0,1190.0
1220.0,408400.0,1200.0,2010-07-15,1220.0,1200.0
1200.0,607900.0,1180.0,2010-07-16,1200.0,1160.0
1200.0,35900.0,1195.0,2010-07-19,1200.0,1195.0
1190.0,47300.0,1180.0,2010-07-20,1190.0,1180.0
1180.0,802400.0,1180.0,2010-07-22,1180.0,1180.0
1200.0,142000.0,1180.0,2010-07-23,1200.0,1180.0
1110.0,11100.0,1110.0,2010-09-20,1110.0,1110.0
1110.0,361775.0,1115.0,2010-09-21,1115.0,1110.0
1120.0,621600.0,1120.0,2010-09-22,1120.0,1120.0
1100.0,211325.0,1125.0,2010-09-23,1125.0,1100.0
1100.0,11000.0,1100.0,2010-09-24,1100.0,1100.0
1125.0,251225.0,1125.0,2010-09-27,1125.0,1115.0
1120.0,168250.0,1125.0,2010-09-28,1125.0,1120.0
1121.0,228610.0,1110.0,2010-09-29,1121.0,1110.0
1115.0,22300.0,1115.0,2010-09-30,1115.0,1115.0
1105.0,143650.0,1105.0,2010-10-01,1105.0,1105.0
1110.0,342775.0,1105.0,2010-10-04,1110.0,1105.0
1105.0,22120.0,1107.0,2010-10-05,1107.0,1105.0
1106.0,159610.0,1100.0,2010-10-06,1106.0,1100.0
1120.0,154725.0,1100.0,2010-10-07,1125.0,1095.0
