OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.8,8000.0,0.8,2009-08-12,0.8,0.8
0.78,15600.0,0.78,2009-08-13,0.78,0.78
0.78,62400.0,0.78,2009-08-14,0.78,0.78
0.76,76000.0,0.76,2009-08-18,0.76,0.76
0.75,75000.0,0.75,2009-08-20,0.75,0.75
0.75,108700.0,0.8,2009-08-24,0.8,0.75
0.8,56000.0,0.8,2009-08-25,0.8,0.8
0.87,26200.0,0.88,2009-08-26,0.88,0.87
0.8,8000.0,0.8,2009-09-04,0.8,0.8
0.8,256000.0,0.8,2009-09-16,0.8,0.8
0.88,141800.0,0.89,2009-09-18,0.89,0.88
0.9,179000.0,0.85,2009-09-22,0.9,0.85
0.84,84000.0,0.84,2009-09-23,0.84,0.84
0.81,89200.0,0.82,2009-09-30,0.82,0.81
0.83,65000.0,0.81,2009-10-01,0.83,0.81
0.8,56000.0,0.8,2009-10-02,0.8,0.8
0.84,84000.0,0.84,2009-10-07,0.84,0.84
0.8,24000.0,0.8,2009-10-08,0.8,0.8
0.8,8000.0,0.8,2009-10-15,0.8,0.8
0.79,15700.0,0.78,2009-10-16,0.79,0.78
0.78,78000.0,0.78,2009-10-21,0.78,0.78
0.79,7900.0,0.79,2009-10-26,0.79,0.79
0.82,8200.0,0.82,2009-10-28,0.82,0.82
0.79,39500.0,0.79,2009-10-29,0.79,0.79
0.79,15800.0,0.79,2009-11-03,0.79,0.79
0.79,7900.0,0.79,2009-11-06,0.79,0.79
0.73,95700.0,0.74,2009-11-10,0.74,0.73
0.74,74000.0,0.74,2009-11-11,0.74,0.74
0.75,171300.0,0.74,2009-12-15,0.75,0.74
0.74,51800.0,0.74,2009-12-22,0.74,0.74
0.8,48600.0,0.82,2009-12-23,0.82,0.8
0.82,164000.0,0.82,2009-12-29,0.82,0.82
0.84,184800.0,0.84,2010-01-05,0.84,0.84
0.8,80000.0,0.8,2010-01-06,0.8,0.8
0.79,158000.0,0.79,2010-01-07,0.79,0.79
0.78,156000.0,0.78,2010-01-08,0.78,0.78
0.76,76000.0,0.76,2010-01-11,0.76,0.76
0.76,76000.0,0.76,2010-01-12,0.76,0.76
0.79,7900.0,0.79,2010-01-15,0.79,0.79
0.79,7900.0,0.79,2010-01-18,0.79,0.79
0.8,16000.0,0.8,2010-01-19,0.8,0.8
0.79,7900.0,0.79,2010-01-20,0.79,0.79
0.79,118500.0,0.79,2010-01-27,0.79,0.79
0.77,7700.0,0.77,2010-01-29,0.77,0.77
0.76,7600.0,0.76,2010-02-01,0.76,0.76
0.7,140000.0,0.7,2010-03-08,0.7,0.7
0.7,83500.0,0.8,2010-03-12,0.8,0.7
0.78,635100.0,0.86,2010-03-15,0.86,0.78
0.81,177000.0,0.8,2010-03-16,0.81,0.8
0.76,15200.0,0.76,2010-04-22,0.76,0.76
0.77,77000.0,0.77,2010-04-23,0.77,0.77
0.77,526500.0,0.78,2010-04-29,0.79,0.77
0.75,519000.0,0.74,2010-04-30,0.75,0.74
0.73,73000.0,0.73,2010-05-04,0.73,0.73
0.8,363900.0,0.78,2010-05-13,0.83,0.77
0.75,300000.0,0.75,2010-05-17,0.75,0.75
0.78,214200.0,0.74,2010-05-18,0.78,0.74
0.72,298500.0,0.75,2010-05-20,0.75,0.72
0.74,7400.0,0.74,2010-05-28,0.74,0.74
0.76,38000.0,0.76,2010-06-03,0.76,0.76
0.71,92300.0,0.71,2010-06-15,0.71,0.71
0.76,91400.0,0.78,2010-06-22,0.78,0.76
0.74,22100.0,0.73,2010-06-24,0.74,0.73
0.74,244200.0,0.74,2010-06-25,0.74,0.74
0.73,36500.0,0.73,2010-06-28,0.73,0.73
0.74,322500.0,0.75,2010-06-29,0.75,0.73
0.72,93600.0,0.72,2010-07-01,0.72,0.72
0.72,50400.0,0.72,2010-07-02,0.72,0.72
0.72,72000.0,0.72,2010-07-06,0.72,0.72
0.71,255600.0,0.71,2010-07-08,0.71,0.71
0.74,74000.0,0.74,2010-07-09,0.74,0.74
0.74,455900.0,0.77,2010-07-15,0.77,0.74
0.77,154100.0,0.78,2010-07-16,0.78,0.77
0.77,501500.0,0.77,2010-07-20,0.78,0.77
0.79,220900.0,0.8,2010-07-21,0.8,0.78
0.75,166200.0,0.75,2010-07-22,0.78,0.75
0.78,789800.0,0.79,2010-07-23,0.79,0.78
2.22,7008510.0,2.17,2010-09-20,2.22,2.1
2.24,12408280.0,2.1,2010-09-21,2.24,2.1
2.15,15938810.0,2.09,2010-09-22,2.15,2.04
2.13,12531270.0,2.05,2010-09-23,2.15,2.02
2.06,9295270.0,2.03,2010-09-24,2.08,1.99
2.06,9248420.0,2.05,2010-09-27,2.12,2.04
2.07,4797590.0,2.04,2010-09-28,2.09,2.02
2.08,7606670.0,2.02,2010-09-29,2.11,2.0
