OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
330.0,59994650.0,330.0,2009-08-03,332.5,325.0
335.0,109239750.0,342.5,2009-08-04,342.5,335.0
342.5,59045250.0,330.0,2009-08-06,342.5,327.5
325.0,88201975.0,317.5,2009-08-07,330.0,317.5
327.5,42889725.0,325.0,2009-08-10,330.0,322.5
325.0,29614800.0,327.5,2009-08-11,327.5,325.0
327.5,19984125.0,317.5,2009-08-12,327.5,317.5
315.0,12308475.0,322.5,2009-08-13,325.0,315.0
325.0,27154975.0,325.0,2009-08-14,327.5,322.5
322.5,18169425.0,317.5,2009-08-17,325.0,317.5
317.5,4988475.0,317.5,2009-08-18,320.0,312.5
322.5,18371475.0,322.5,2009-08-19,322.5,317.5
322.5,75758350.0,312.5,2009-08-20,322.5,312.5
320.0,153258325.0,330.0,2009-08-24,332.5,320.0
330.0,73792350.0,325.0,2009-08-25,330.0,325.0
325.0,74377800.0,327.5,2009-08-26,327.5,325.0
320.0,31267625.0,320.0,2009-09-03,320.0,315.0
320.0,37203025.0,322.5,2009-09-04,322.5,320.0
317.5,32052225.0,317.5,2009-09-16,320.0,317.5
320.0,98230550.0,322.5,2009-09-17,322.5,320.0
322.5,120132875.0,322.5,2009-09-18,322.5,320.0
322.5,66465675.0,325.0,2009-09-22,325.0,320.0
325.0,158759200.0,327.5,2009-09-23,327.5,325.0
325.0,96308900.0,325.0,2009-09-30,325.0,322.5
325.0,32997500.0,325.0,2009-10-01,327.5,325.0
325.0,82873725.0,327.5,2009-10-02,327.5,322.5
325.0,71339975.0,325.0,2009-10-05,327.5,325.0
327.5,179572700.0,325.0,2009-10-06,327.5,325.0
327.5,134648900.0,325.0,2009-10-07,327.5,325.0
325.0,304803725.0,325.0,2009-10-08,327.5,322.5
325.0,33505025.0,322.5,2009-10-09,325.0,322.5
325.0,2020750.0,322.5,2009-10-12,325.0,320.0
325.0,75992275.0,325.0,2009-10-13,325.0,322.5
322.5,201664675.0,322.5,2009-10-14,322.5,317.5
322.5,41990250.0,322.5,2009-10-15,322.5,320.0
322.5,28893025.0,320.0,2009-10-16,322.5,320.0
322.5,103398875.0,317.5,2009-10-19,322.5,317.5
320.0,522488650.0,315.0,2009-10-20,320.0,315.0
315.0,195793575.0,300.0,2009-10-21,315.0,300.0
295.0,999491125.0,295.0,2009-10-22,297.5,290.0
300.0,358548100.0,307.5,2009-10-23,310.0,300.0
307.5,59111775.0,315.0,2009-10-26,315.0,307.5
312.5,76831150.0,320.0,2009-10-27,320.0,312.5
317.5,88080475.0,317.5,2009-10-28,320.0,315.0
315.0,24641650.0,315.0,2009-10-29,315.0,312.5
320.0,84340150.0,315.0,2009-10-30,325.0,307.5
