OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
64.0,10776400.0,65.0,2009-08-03,65.0,63.0
66.0,6548900.0,65.5,2009-08-04,66.0,65.0
65.0,7841000.0,66.0,2009-08-06,66.0,65.0
66.5,5288250.0,65.0,2009-08-07,66.5,65.0
65.0,7557100.0,65.0,2009-08-10,65.5,64.5
64.0,10800150.0,65.0,2009-08-11,65.5,64.0
65.0,6230850.0,65.0,2009-08-12,65.5,64.5
65.0,5882500.0,65.0,2009-08-13,65.0,65.0
64.5,4045100.0,65.5,2009-08-14,65.5,64.5
64.5,7697000.0,65.0,2009-08-17,65.0,64.0
63.5,6567400.0,64.0,2009-08-18,64.0,63.0
64.0,9988500.0,64.0,2009-08-19,64.5,63.5
64.0,8037300.0,64.0,2009-08-20,64.5,63.5
65.0,7501500.0,65.0,2009-08-24,65.5,65.0
65.0,4022150.0,65.5,2009-08-25,65.5,65.0
65.0,4095000.0,65.0,2009-08-26,65.0,65.0
64.5,14975850.0,65.0,2009-09-03,65.5,64.0
65.5,14958700.0,66.0,2009-09-04,66.5,65.5
66.5,18379400.0,66.5,2009-09-16,67.0,66.5
67.0,31318200.0,67.0,2009-09-17,67.5,67.0
67.5,41625300.0,68.5,2009-09-18,69.0,67.5
68.5,19082600.0,68.0,2009-09-22,69.5,67.5
67.5,9257800.0,67.5,2009-09-23,67.5,67.0
66.0,7750450.0,66.0,2009-09-30,66.5,66.0
66.0,4672850.0,66.0,2009-10-01,66.0,65.0
65.5,3943100.0,65.5,2009-10-02,65.5,65.5
66.0,7647600.0,66.0,2009-10-05,67.5,66.0
66.0,2679600.0,66.0,2009-10-06,66.0,66.0
66.0,4565100.0,65.5,2009-10-07,66.0,65.5
65.5,923550.0,65.5,2009-10-08,65.5,65.5
65.5,2580700.0,65.5,2009-10-09,65.5,65.5
65.5,6569250.0,65.5,2009-10-12,65.5,65.0
65.0,6111200.0,65.5,2009-10-13,66.0,65.0
65.5,5968650.0,66.0,2009-10-14,66.5,65.5
66.0,1260600.0,66.0,2009-10-15,66.0,66.0
66.0,6771600.0,66.5,2009-10-16,66.5,65.5
66.0,2225800.0,66.5,2009-10-19,66.5,66.0
66.5,2670350.0,66.0,2009-10-20,66.5,65.5
65.5,5121600.0,66.0,2009-10-21,66.0,65.5
65.5,1900500.0,66.0,2009-10-22,66.0,65.5
66.0,5381400.0,66.0,2009-10-23,66.0,65.5
65.5,1395900.0,66.0,2009-10-26,66.0,65.5
65.5,13547400.0,66.0,2009-10-27,66.5,65.0
66.0,1509650.0,66.0,2009-10-28,66.0,65.5
65.5,1724500.0,65.5,2009-10-29,65.5,65.0
63.0,1428250.0,65.5,2009-10-30,65.5,63.0
66.0,1728700.0,65.0,2009-11-03,66.0,65.0
65.0,2565500.0,64.5,2009-11-04,65.0,64.5
64.0,8156900.0,66.5,2009-11-05,67.0,64.0
66.5,7125500.0,66.5,2009-11-06,66.5,65.5
65.5,2493550.0,65.0,2009-11-09,65.5,65.0
65.0,7527300.0,65.5,2009-11-10,65.5,65.0
65.5,5569650.0,65.5,2009-11-11,65.5,65.0
69.0,4309300.0,69.0,2009-12-15,69.0,68.5
68.5,3022300.0,68.5,2009-12-16,69.0,68.5
68.5,1356300.0,68.5,2009-12-17,68.5,68.5
68.5,8895850.0,68.5,2009-12-18,68.5,68.0
68.5,363050.0,68.5,2009-12-21,68.5,68.5
68.5,7679500.0,68.5,2009-12-22,68.5,68.0
68.5,1890600.0,68.5,2009-12-23,68.5,68.5
68.5,2074900.0,68.5,2009-12-29,69.0,68.5
69.0,3610900.0,68.0,2010-01-04,69.0,68.0
68.0,4797550.0,67.5,2010-01-05,68.0,67.5
67.5,5399050.0,67.0,2010-01-06,67.5,66.5
70.5,44930300.0,72.0,2010-01-07,72.0,70.5
72.0,20224950.0,72.0,2010-01-08,72.5,72.0
72.0,15026400.0,72.0,2010-01-11,72.0,72.0
72.0,4291250.0,72.5,2010-01-12,72.5,72.0
72.5,15156250.0,72.0,2010-01-13,72.5,72.0
72.0,37382400.0,72.0,2010-01-14,72.0,72.0
72.0,6192000.0,72.0,2010-01-15,72.0,72.0
72.0,13377600.0,72.0,2010-01-18,72.0,72.0
72.0,7672800.0,71.5,2010-01-19,72.0,71.5
71.5,3649400.0,71.5,2010-01-20,72.0,71.5
72.0,6331000.0,72.0,2010-01-21,72.0,71.5
72.0,9640150.0,72.0,2010-01-22,72.0,71.5
71.5,33447700.0,71.5,2010-01-25,71.5,71.5
72.0,26056350.0,71.5,2010-01-26,72.0,71.5
71.5,593450.0,71.5,2010-01-27,71.5,71.5
71.5,5820100.0,71.5,2010-01-28,71.5,71.5
71.0,3523000.0,71.5,2010-01-29,71.5,71.0
71.0,16159700.0,71.0,2010-02-01,71.5,71.0
71.0,4011850.0,70.5,2010-02-02,71.0,70.5
71.0,8621650.0,71.5,2010-02-03,71.5,71.0
71.5,2638350.0,71.5,2010-02-04,71.5,71.5
71.5,13072600.0,71.0,2010-02-05,71.5,71.0
71.5,19477800.0,71.0,2010-02-08,71.5,71.0
71.0,21126100.0,70.0,2010-02-09,71.0,70.0
70.0,22149000.0,70.0,2010-02-10,71.0,70.0
70.0,15400250.0,70.5,2010-02-11,70.5,70.0
71.0,16904600.0,71.0,2010-03-08,71.5,71.0
74.0,28580300.0,73.5,2010-03-12,74.0,73.5
74.0,14733200.0,74.0,2010-03-15,74.5,74.0
74.0,8406400.0,74.0,2010-03-16,74.0,74.0
74.0,3574200.0,74.0,2010-03-17,74.0,74.0
74.0,2890350.0,74.0,2010-03-31,74.0,73.5
74.5,2255300.0,74.0,2010-04-20,75.0,74.0
74.0,2123800.0,74.0,2010-04-21,74.0,74.0
74.0,868300.0,73.5,2010-04-22,74.0,73.5
74.0,2186950.0,73.5,2010-04-23,74.0,73.5
74.0,3032500.0,73.5,2010-04-29,74.0,73.5
73.5,8019700.0,74.0,2010-04-30,74.0,73.5
73.5,2829750.0,73.5,2010-05-04,73.5,73.5
73.5,7901050.0,73.5,2010-05-05,73.5,73.0
73.5,352800.0,73.5,2010-05-13,73.5,73.5
73.5,10642800.0,73.5,2010-05-14,73.5,73.5
73.5,3939200.0,73.0,2010-05-17,73.5,73.0
73.5,3391800.0,73.0,2010-05-18,73.5,73.0
72.5,3192150.0,72.0,2010-05-19,73.0,72.0
72.5,500250.0,72.5,2010-05-20,72.5,72.5
72.5,3657700.0,72.0,2010-05-21,72.5,72.0
72.0,2522300.0,71.0,2010-05-24,72.0,71.0
71.0,3692650.0,70.5,2010-05-25,71.5,70.0
70.0,2006300.0,70.0,2010-05-26,70.5,69.5
70.0,792900.0,70.5,2010-05-27,70.5,70.0
71.0,4890050.0,72.5,2010-05-28,72.5,69.5
72.0,7132050.0,74.0,2010-05-31,74.0,72.0
74.0,999000.0,74.0,2010-06-01,74.0,74.0
74.0,855750.0,74.0,2010-06-02,74.0,73.5
74.0,1702000.0,74.0,2010-06-03,74.0,73.5
74.0,807650.0,73.5,2010-06-04,74.0,73.0
73.5,2703750.0,73.0,2010-06-07,73.5,72.0
73.0,1796250.0,72.5,2010-06-08,73.0,72.5
72.5,422650.0,72.5,2010-06-09,73.0,72.5
72.5,1655850.0,72.5,2010-06-10,72.5,72.0
72.5,1172500.0,72.5,2010-06-11,73.5,72.5
72.5,217500.0,72.5,2010-06-15,72.5,72.5
72.5,319000.0,72.5,2010-06-16,72.5,72.5
71.0,28496500.0,71.0,2010-06-21,71.0,70.5
71.0,3263300.0,71.0,2010-06-22,71.0,70.5
71.0,1227900.0,70.5,2010-06-23,71.0,70.5
70.5,2564400.0,70.0,2010-06-24,71.0,70.0
70.0,4410000.0,70.0,2010-06-25,70.0,70.0
70.0,2650900.0,70.0,2010-06-28,70.0,69.5
70.0,3491250.0,70.0,2010-06-29,71.0,70.0
70.0,454950.0,70.0,2010-07-01,70.0,69.5
69.5,2173900.0,69.0,2010-07-02,69.5,69.0
68.5,2783250.0,68.0,2010-07-06,68.5,68.0
68.0,1335650.0,67.5,2010-07-07,68.0,67.5
67.5,2206800.0,67.5,2010-07-08,68.0,67.0
67.5,2177550.0,67.0,2010-07-09,68.0,67.0
68.0,4205700.0,68.0,2010-07-13,68.5,68.0
68.0,2361600.0,69.0,2010-07-14,69.5,68.0
69.0,8347650.0,68.5,2010-07-15,69.0,67.5
68.0,3188900.0,68.0,2010-07-16,68.0,67.5
68.0,2479000.0,68.0,2010-07-19,68.0,67.5
68.0,749950.0,67.5,2010-07-20,68.0,67.5
67.5,2193750.0,67.5,2010-07-21,67.5,67.5
67.5,3938800.0,67.0,2010-07-22,67.5,67.0
