OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
75.0,52184995.0,75.0,2012-09-28,75.1,74.9
75.0,9431250.0,75.0,2012-10-01,75.0,75.0
75.0,2969585.0,74.9,2012-10-02,75.0,74.9
75.0,299975.0,74.95,2012-10-03,75.0,74.95
75.0,4416730.0,75.0,2012-10-04,75.0,74.95
75.0,4425750.0,75.0,2012-10-05,75.0,75.0
74.95,102349222.5,75.0,2012-10-08,75.0,74.95
75.0,76962686.5,74.95,2012-10-09,75.0,74.95
75.0,148793700.0,75.0,2012-10-10,75.15,75.0
75.0,51110094.5,75.0,2012-10-11,75.0,74.95
75.0,61596000.0,75.0,2012-10-12,75.0,75.0
75.0,30304250.0,75.0,2012-10-15,75.0,74.95
75.0,32661000.0,75.0,2012-10-16,75.0,75.0
75.0,103036500.0,75.0,2012-10-17,75.0,75.0
75.0,28854475.0,74.95,2012-10-18,75.0,74.95
75.0,152264950.0,75.0,2012-10-19,75.0,74.9
75.0,8450330.0,75.0,2012-10-22,75.0,74.85
75.0,55400900.0,75.0,2012-10-23,75.0,74.95
75.0,16250205.0,75.0,2012-10-24,75.0,74.95
75.0,235903500.0,75.0,2012-10-25,75.0,75.0
75.0,26593985.0,74.95,2012-10-29,75.0,74.95
74.95,15279733.5,75.0,2012-10-30,75.0,74.95
75.0,202065730.0,75.0,2012-10-31,75.0,74.95
75.0,11685000.0,75.0,2012-11-05,75.0,75.0
75.0,2700000.0,75.0,2012-11-06,75.0,75.0
75.0,167252250.0,75.0,2012-11-07,75.0,75.0
75.0,8171800.0,75.0,2012-11-08,75.0,74.95
74.9,203900950.0,75.0,2012-11-09,75.0,74.9
75.0,10495905.0,75.0,2012-11-12,75.0,74.95
75.0,6201000.0,75.0,2012-11-13,75.0,75.0
75.0,7807115.0,74.95,2012-11-14,75.0,74.9
75.0,30326250.0,75.0,2012-11-15,75.0,75.0
75.0,151780500.0,75.0,2012-11-16,75.0,75.0
75.0,19398000.0,75.0,2012-11-19,75.0,75.0
75.0,10387622.5,74.9,2012-11-20,75.0,74.9
74.95,90987497.5,75.0,2012-11-21,75.0,74.95
75.0,65496000.0,75.0,2012-11-22,75.0,75.0
75.0,327084500.0,75.0,2012-11-23,75.0,74.95
75.0,48783000.0,75.0,2012-11-26,75.0,75.0
75.0,21786600.0,75.0,2012-11-27,75.0,74.95
75.0,15322060.0,74.95,2012-11-28,75.0,74.95
75.0,233824395.5,74.95,2012-11-29,75.0,74.95
75.0,52766185.0,75.0,2012-12-03,75.0,74.95
75.0,16778990.0,75.0,2012-12-04,75.0,74.95
75.0,39128000.0,75.0,2012-12-05,75.0,74.95
75.0,131228000.0,75.0,2012-12-06,75.0,74.95
75.0,206856750.0,75.0,2012-12-07,75.0,75.0
75.0,35879675.0,74.95,2012-12-10,75.0,74.95
75.0,26326500.0,75.0,2012-12-11,75.0,75.0
74.95,40608965.0,75.0,2012-12-12,75.0,74.95
75.0,57579123.5,75.0,2012-12-13,75.0,74.95
75.0,400463250.0,75.0,2012-12-14,75.0,75.0
74.95,5540040.0,74.85,2012-12-17,74.95,74.85
74.85,4595504.999999999,74.75,2012-12-18,74.85,74.75
74.8,24923530.5,74.85,2012-12-19,74.9,74.8
74.85,9730.5,74.85,2012-12-20,74.85,74.85
74.5,13446578.5,74.95,2012-12-21,74.95,74.5
74.75,15618086.5,74.95,2012-12-26,74.95,74.75
74.95,5291470.0,74.95,2012-12-27,74.95,74.95
74.75,34898973.0,75.0,2012-12-28,75.0,74.75
74.9,1979685.0,75.0,2013-01-02,75.0,74.9
75.0,18542250.0,75.0,2013-01-03,75.0,75.0
75.0,50452450.0,74.9,2013-01-04,75.0,74.9
74.9,3286132.5,74.75,2013-01-07,75.0,74.75
