OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
75.0,60615.0,80.0,2012-09-28,80.0,74.5
81.5,129950.0,80.0,2012-10-02,81.5,80.0
79.85,226525.0,76.5,2012-10-04,79.85,76.5
76.5,229500.0,76.5,2012-10-05,76.5,76.5
76.5,737500.0,78.5,2012-10-08,78.5,76.5
78.0,570950.0,78.45,2012-10-09,78.5,78.0
78.0,314920.0,78.5,2012-10-10,78.5,77.0
78.75,942500.0,78.5,2012-10-12,78.75,78.5
80.0,159740.0,79.8,2012-10-16,80.0,79.8
78.6,17989160.0,78.5,2012-10-17,78.6,78.5
77.0,770.0,77.0,2012-10-19,77.0,77.0
76.5,128910.0,75.25,2012-10-23,76.5,75.25
75.25,75250.0,75.25,2012-10-29,75.25,75.25
75.25,3988250.0,75.25,2012-10-30,75.25,75.25
75.25,3372335.0,75.5,2012-11-07,75.5,75.0
75.5,124575.0,75.5,2012-11-08,75.5,75.5
75.25,15050.0,75.25,2012-11-09,75.25,75.25
75.5,755.0,75.5,2012-11-20,75.5,75.5
75.25,301000.0,75.25,2012-11-21,75.25,75.25
75.25,2596125.0,75.25,2012-11-23,75.25,75.25
75.5,554925.0,75.5,2012-11-27,75.5,75.5
75.5,755.0,75.5,2012-12-04,75.5,75.5
75.5,72480.0,75.5,2012-12-05,75.5,75.5
75.5,539350.0,76.0,2012-12-07,76.0,75.5
75.85,37691.0,75.25,2012-12-10,75.85,75.25
75.35,2905277.5,75.2,2012-12-13,75.35,75.2
75.25,1730812.5,75.25,2012-12-14,75.25,75.2
74.5,163880.0,74.4,2012-12-17,74.5,74.4
73.95,488809.5,73.95,2012-12-18,73.95,73.95
73.95,2459528.0,74.1,2012-12-19,74.1,73.95
74.1,355680.0,74.1,2012-12-20,74.1,74.1
74.1,478939.0,74.2,2012-12-21,74.2,74.1
74.2,554274.0,74.2,2012-12-26,74.2,74.2
74.25,979357.5,74.25,2012-12-27,74.25,74.25
75.0,15000.0,75.0,2012-12-28,75.0,75.0
75.0,1995000.0,75.0,2013-01-03,75.0,75.0
