OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
75.0,3187350.0,75.0,2012-09-28,76.0,75.0
75.2,2947672.0,75.0,2012-10-01,75.2,75.0
75.0,16197000.0,75.0,2012-10-02,75.0,75.0
75.0,7364235.0,74.8,2012-10-03,75.0,74.8
75.0,1621257.0,74.9,2012-10-04,75.0,74.8
75.0,5579250.0,75.0,2012-10-05,75.0,75.0
75.0,2762250.0,75.0,2012-10-08,75.0,75.0
75.0,45387000.0,75.0,2012-10-09,75.0,75.0
75.0,83009625.0,75.5,2012-10-10,75.5,75.0
75.5,258965.0,75.5,2012-10-11,75.5,75.5
75.2,1358080.0,75.3,2012-10-12,75.5,75.2
75.3,752650.0,75.25,2012-10-15,75.3,75.25
75.3,5141399.0,75.2,2012-10-16,75.3,75.2
75.25,10547625.0,75.0,2012-10-17,75.25,75.0
75.2,3449700.0,75.0,2012-10-18,75.25,75.0
75.05,3754.5,75.25,2012-10-19,75.25,75.05
75.25,6917307.5,75.0,2012-10-22,75.25,75.0
75.25,11609421.0,75.2,2012-10-23,75.25,75.0
75.25,2000108.0,75.25,2012-10-24,75.25,75.0
75.2,4037372.0,75.2,2012-10-25,75.25,75.2
75.25,2934750.0,75.25,2012-10-29,75.25,75.25
75.25,1708175.0,75.25,2012-10-30,75.25,75.25
75.25,2106325.0,75.25,2012-10-31,75.25,75.2
75.4,1332904.0,75.4,2012-11-05,76.2,75.4
75.35,13262353.5,75.35,2012-11-06,75.35,75.35
75.3,77560.5,75.35,2012-11-07,75.35,75.3
75.4,2230332.0,75.4,2012-11-08,75.4,75.4
75.4,2378870.0,75.4,2012-11-09,75.4,75.4
75.5,3670655.0,75.1,2012-11-12,75.5,75.1
75.1,346280.0,75.3,2012-11-14,75.3,75.1
75.3,2037618.0,75.3,2012-11-15,75.3,75.3
75.3,749948.0,75.25,2012-11-16,75.3,75.25
75.3,1966850.0,75.4,2012-11-19,75.4,75.3
75.4,3091400.0,75.4,2012-11-20,75.4,75.4
75.4,3118544.0,75.4,2012-11-21,75.4,75.4
75.4,395096.0,75.4,2012-11-22,75.4,75.4
75.4,150800.0,75.4,2012-11-23,75.4,75.4
75.4,8271641.0,75.35,2012-11-26,75.4,75.3
75.4,1309329.5,75.4,2012-11-27,75.4,75.35
75.4,3742613.0,75.45,2012-11-28,75.45,75.35
75.45,302730.0,75.5,2012-11-29,75.5,75.45
75.5,1545485.0,75.5,2012-12-03,75.5,75.5
75.5,5270805.0,75.5,2012-12-04,75.55,75.45
75.6,4668994.0,75.75,2012-12-05,75.75,75.5
75.75,7903475.0,76.0,2012-12-06,76.2,75.6
76.0,1558760.0,76.0,2012-12-07,76.0,76.0
76.3,190750.0,76.3,2012-12-10,76.3,76.3
76.5,1598125.0,76.6,2012-12-11,76.6,76.5
76.6,827950.0,77.9,2012-12-12,77.9,76.6
77.85,2770970.0,75.2,2012-12-13,77.85,75.0
77.5,7750.0,77.5,2012-12-14,77.5,77.5
77.5,17068050.0,75.0,2012-12-17,77.5,74.95
75.0,11688775.0,75.0,2012-12-18,75.25,75.0
75.0,10230750.0,75.0,2012-12-19,75.0,75.0
74.9,2255900.0,74.5,2012-12-20,74.9,74.5
74.6,8539455.0,74.5,2012-12-21,74.6,74.5
74.75,2310125.0,75.0,2012-12-26,75.0,74.5
74.9,194740.0,74.9,2012-12-27,74.9,74.9
75.0,1082263.5,74.5,2012-12-28,75.0,74.5
75.0,5567380.0,74.5,2013-01-02,75.0,74.5
75.0,795000.0,75.0,2013-01-03,75.0,75.0
75.0,3516140.5,74.95,2013-01-04,75.0,74.95
75.0,2018701.5,74.8,2013-01-07,75.0,74.8
75.0,6361126.5,74.6,2013-01-08,75.0,74.6
74.8,3987320.0,75.0,2013-01-09,75.0,74.8
75.0,1251750.0,74.95,2013-01-10,75.0,74.95
74.95,4898213.5,74.95,2013-01-11,74.95,74.7
74.95,42840522.5,75.0,2013-01-14,75.0,74.95
75.0,28457250.0,75.0,2013-01-15,75.0,75.0
75.15,232960.00000000003,75.1,2013-01-16,75.15,75.1
75.15,188025.0,75.3,2013-01-17,75.3,75.15
75.5,2042450.0,75.3,2013-01-18,75.75,75.3
75.4,6232915.0,75.6,2013-01-21,75.75,75.4
75.6,1277910.5,75.5,2013-01-22,75.6,75.5
75.5,8842515.0,75.7,2013-01-23,75.75,75.5
75.7,4712300.0,75.65,2013-01-24,75.7,75.65
75.75,30567227.0,75.65,2013-01-25,75.8,75.65
75.65,9483105.0,76.0,2013-01-28,76.0,75.65
76.0,25228404.0,76.0,2013-01-29,76.2,75.8
76.2,1019294.5,76.0,2013-01-30,76.25,76.0
76.2,3947160.0,76.2,2013-01-31,76.2,76.2
76.25,10427187.5,76.25,2013-02-01,76.25,76.25
76.25,918665.0,76.45,2013-02-04,76.45,76.25
76.3,152600.0,76.3,2013-02-05,76.3,76.3
76.4,659922.0,76.5,2013-02-06,76.5,76.4
76.45,229430.0,76.5,2013-02-07,76.5,76.45
76.5,11096200.0,76.45,2013-02-08,76.5,76.45
76.5,9927185.0,76.6,2013-02-11,76.6,76.5
76.4,25236725.0,76.5,2013-02-12,76.5,76.0
76.5,2007186.0,76.6,2013-02-13,76.6,76.5
76.5,1197492.5,76.55,2013-02-14,76.6,76.5
76.7,460517.0,76.7,2013-02-15,76.7,76.55
76.75,15618550.0,76.75,2013-02-18,76.75,76.7
76.75,4607516.5,76.75,2013-02-19,76.8,76.75
76.8,3992600.0,76.8,2013-02-20,77.0,76.8
77.0,12433135.0,77.0,2013-02-21,77.0,76.9
77.0,142220.0,76.9,2013-02-22,77.0,76.8
76.9,6720020.0,76.85,2013-02-25,77.5,76.85
77.8,7433151.0,77.8,2013-02-26,77.8,77.75
78.0,2870648.0,76.5,2013-02-27,78.2,76.5
78.0,407160.0,78.0,2013-02-28,78.0,78.0
77.9,46740.0,77.9,2013-03-01,77.9,77.9
77.9,3232363.0,78.05,2013-03-04,78.05,77.8
76.95,4767150.0,78.0,2013-03-05,78.0,76.95
78.0,23050355.0,78.0,2013-03-06,78.0,77.9
78.0,15796685.0,78.0,2013-03-07,78.05,78.0
78.0,2560500.0,79.0,2013-03-08,79.0,78.0
79.0,1682022.5,79.0,2013-03-11,79.25,79.0
79.0,11613000.0,79.0,2013-03-12,79.0,79.0
79.0,120870.0,79.0,2013-03-13,79.0,79.0
79.0,4179100.0,79.0,2013-03-14,79.0,79.0
76.1,509335.0,76.0,2013-03-15,76.1,76.0
76.0,1064000.0,76.0,2013-03-18,76.0,76.0
77.0,3131534.0,77.95,2013-03-19,78.0,77.0
77.0,7622517.5,78.5,2013-03-20,78.5,77.0
78.1,5642460.0,78.0,2013-03-21,78.1,78.0
78.4,654210.0,78.2,2013-03-22,78.4,78.2
78.1,546700.0,78.1,2013-03-25,78.1,78.1
78.1,718520.0,78.1,2013-03-26,78.1,78.1
78.8,3446675.0,78.8,2013-04-01,78.8,78.5
78.9,9470367.0,78.9,2013-04-02,78.9,78.9
79.0,2886300.0,79.0,2013-04-03,79.0,78.0
79.0,3056499.0,79.1,2013-04-04,79.1,78.9
79.1,1130536.0,79.0,2013-04-05,79.1,79.0
79.2,449064.0,79.2,2013-04-08,79.2,79.2
79.2,12157136.0,79.0,2013-04-10,79.2,77.5
79.0,23700.0,79.0,2013-04-11,79.0,79.0
77.8,1563681.0,77.8,2013-04-12,78.0,77.7
79.0,411070.0,78.0,2013-04-15,79.0,78.0
77.9,2798311.0,78.0,2013-04-16,79.0,77.9
77.8,4082746.0,77.7,2013-04-17,78.0,77.7
78.0,505440.0,78.0,2013-04-18,78.0,78.0
77.75,2178005.0,77.7,2013-04-19,77.8,77.7
77.8,1109155.0,77.65,2013-04-22,78.0,77.65
78.0,414242.0,78.2,2013-04-23,78.2,78.0
78.8,1348278.0,78.8,2013-04-24,78.9,78.8
79.0,5921115.0,82.65,2013-04-25,82.65,79.0
82.0,254260.0,82.6,2013-04-26,82.6,82.0
81.0,10993750.0,81.0,2013-04-29,81.5,80.0
81.0,24383000.0,82.0,2013-04-30,82.0,81.0
82.0,19780923.5,81.0,2013-05-02,82.45,81.0
81.0,601139.0,81.45,2013-05-03,82.0,81.0
81.2,6248359.0,81.5,2013-05-06,82.0,81.2
82.0,497898.0,82.35,2013-05-07,82.35,82.0
82.35,1819931.0,83.0,2013-05-08,83.0,82.35
82.05,4675867.5,83.25,2013-05-09,83.25,82.05
83.25,241512.5,83.25,2013-05-10,83.85,83.25
83.5,4221075.0,83.45,2013-05-14,83.5,83.0
83.5,1670000.0,83.5,2013-05-15,83.5,83.5
