OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
80.0,3756510.0,77.0,2015-09-21,80.0,76.0
78.5,19956648.0,78.0,2015-09-22,78.6,78.0
78.0,19750035.0,78.5,2015-09-23,78.5,78.0
78.5,20488280.0,78.0,2015-09-24,78.5,78.0
78.5,6460390.0,78.55,2015-09-28,78.55,78.0
78.5,6609700.0,78.5,2015-09-29,78.5,78.5
78.5,9552418.0,78.5,2015-09-30,78.6,78.5
78.5,6129130.0,78.8,2015-10-01,78.8,78.0
78.8,5876280.0,79.0,2015-10-02,79.0,78.5
78.9,797679.0,78.9,2015-10-05,78.9,78.9
78.7,14550614.0,78.9,2015-10-06,79.0,78.55
78.9,4083030.0,79.0,2015-10-07,79.0,78.9
78.5,6641190.0,79.0,2015-10-08,79.0,78.5
78.9,4542465.0,79.0,2015-10-09,79.0,78.9
79.0,3695624.0,79.2,2015-10-12,79.2,79.0
79.1,3630690.0,79.1,2015-10-14,79.1,79.1
79.0,6522500.0,79.0,2015-10-15,79.0,78.5
79.0,2303255.0,79.0,2015-10-16,79.1,79.0
79.05,2375540.5,79.0,2015-10-21,79.05,79.0
79.0,5253500.0,79.0,2015-10-22,79.0,79.0
79.2,990000.0,79.2,2015-10-23,79.2,79.2
79.05,403405.0,79.1,2015-10-26,79.1,79.05
79.05,120156.0,79.05,2015-10-27,79.05,79.05
79.1,79198900.0,79.2,2015-10-30,79.2,79.1
79.05,55360.0,79.1,2015-11-02,79.1,79.05
79.05,166005.0,79.05,2015-11-03,79.05,79.05
79.05,5369665.0,79.2,2015-11-04,79.2,79.05
79.2,6332292.0,79.05,2015-11-05,79.2,79.05
79.2,1407999.9999999998,79.1,2015-11-06,79.2,79.1
79.0,229280.0,79.1,2015-11-09,79.1,79.0
79.05,4346945.0,79.05,2015-11-10,79.2,79.05
79.0,2516712.5,79.05,2015-11-11,79.15,79.0
79.05,3737738.5,79.2,2015-11-13,79.2,79.05
79.05,727260.0,79.05,2015-11-16,79.05,79.05
79.1,434813.0,79.05,2015-11-17,79.1,79.05
79.05,2450550.0,79.05,2015-11-20,79.05,79.05
79.1,1084210.0,79.15,2015-11-24,79.15,79.1
79.1,4990252.0,79.2,2015-11-25,79.2,79.1
79.2,161058550.00000003,79.25,2015-11-26,79.4,79.2
79.4,595500.0,79.4,2015-11-27,79.4,79.4
79.2,39600.0,79.2,2015-12-01,79.2,79.2
79.2,1584.0,79.2,2015-12-02,79.2,79.2
79.4,1588.0,79.4,2015-12-04,79.4,79.4
79.3,658440.0,79.3,2015-12-07,79.4,79.3
79.3,38064.0,79.3,2015-12-09,79.3,79.3
79.2,79200.0,79.2,2015-12-10,79.2,79.2
78.05,1237076.5,78.0,2015-12-15,78.4,78.0
78.0,116620.0,78.4,2015-12-18,78.4,78.0
78.25,650573.0,78.3,2015-12-21,78.3,78.25
78.05,117961455.0,78.3,2015-12-22,78.3,78.0
78.3,96408.0,78.4,2015-12-23,78.4,78.3
78.3,5008053.0,78.6,2015-12-28,78.6,78.0
79.0,742500.0,85.0,2015-12-29,85.0,79.0
78.0,366600.0,78.0,2016-01-05,78.0,78.0
79.0,1580.0,79.0,2016-01-08,79.0,79.0
78.2,860250.0,78.25,2016-01-11,78.25,78.2
78.2,301070.0,78.2,2016-01-12,78.2,78.2
79.0,916400.0,79.0,2016-01-13,79.0,79.0
79.0,347600.0,79.0,2016-01-14,79.0,79.0
78.3,1526850.0,78.3,2016-01-19,78.3,78.3
78.3,234900.0,78.3,2016-01-20,78.3,78.3
78.2,32463150.0,78.4,2016-01-21,78.4,78.2
78.4,345744.0,78.4,2016-01-22,78.4,78.4
78.4,31822560.000000004,78.4,2016-01-25,78.4,78.4
78.2,80570.0,79.0,2016-01-26,79.0,78.2
79.0,345230.0,79.0,2016-01-27,79.0,79.0
79.0,8668080.0,78.5,2016-02-03,79.0,78.2
78.2,344080.0,78.2,2016-02-04,78.2,78.2
78.5,237320.0,78.75,2016-02-05,78.75,78.5
78.5,93960.0,78.2,2016-02-15,78.5,78.2
78.2,336260.0,78.2,2016-02-16,78.2,78.2
78.2,5207180.0,78.0,2016-02-18,78.2,78.0
78.0,1482000.0,78.0,2016-02-19,78.0,78.0
78.0,21060.0,78.0,2016-02-22,78.0,78.0
78.0,195000.0,78.0,2016-02-23,78.0,78.0
78.1,2586300.0,79.0,2016-02-24,79.0,78.0
78.0,7434960.0,78.0,2016-02-26,78.0,78.0
78.0,79635725.0,78.0,2016-02-29,78.5,78.0
76.5,1017450.0,76.5,2016-03-01,76.5,76.5
76.5,2218500.0,76.5,2016-03-02,76.5,76.5
76.5,22950.0,76.5,2016-03-04,76.5,76.5
76.5,4885525.0,76.5,2016-03-08,76.6,76.5
76.5,1078650.0,76.5,2016-03-09,76.5,76.5
76.55,2715762.5,76.5,2016-03-11,76.55,76.5
76.5,986850.0,76.5,2016-03-14,76.5,76.5
76.5,7007400.0,76.5,2016-03-15,76.5,76.5
75.5,324650.0,75.5,2016-03-16,75.5,75.5
75.6,12461941.0,75.5,2016-03-17,75.6,75.5
75.5,1892030.0,75.5,2016-03-18,75.5,75.5
75.6,2409372.0,75.6,2016-03-21,75.6,75.6
75.7,3786675.0,75.5,2016-03-22,75.7,75.5
75.55,1132080.0,75.35,2016-03-23,75.55,75.35
75.55,30703520.0,75.55,2016-03-30,75.55,75.55
75.55,34172210.0,75.5,2016-03-31,75.55,75.5
75.5,354850.0,75.5,2016-04-01,75.5,75.5
75.6,37800.0,75.6,2016-04-04,75.6,75.6
75.5,2536850.0,75.6,2016-04-06,75.6,75.5
78.0,1337700.0,80.0,2016-04-07,80.0,78.0
79.0,47840.0,80.0,2016-04-08,80.0,79.0
79.0,2370.0,79.0,2016-04-11,79.0,79.0
75.65,611850.0,75.55,2016-04-12,75.65,75.5
75.5,75500.0,75.5,2016-04-13,75.5,75.5
77.0,38500.0,77.0,2016-04-15,77.0,77.0
