OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
78.0,13774090.0,78.0,2015-09-21,78.8,77.5
78.5,25334040.0,78.0,2015-09-22,78.5,76.5
78.0,68281470.0,77.0,2015-09-23,78.5,77.0
77.25,27833075.0,77.5,2015-09-24,77.55,77.25
77.7,19398957.0,78.5,2015-09-28,78.5,77.5
78.5,11683126.5,78.45,2015-09-29,78.5,78.45
78.45,8692010.0,78.45,2015-09-30,78.45,78.4
78.35,13355541.0,78.35,2015-10-01,78.35,78.35
77.5,24371500.0,78.4,2015-10-02,78.4,77.5
78.4,16848150.0,78.5,2015-10-05,78.5,78.4
78.5,9593485.0,78.5,2015-10-06,78.5,78.5
78.9,2985576.0,78.9,2015-10-07,78.9,78.9
78.5,4468450.0,78.8,2015-10-08,78.9,78.5
78.9,12374507.0,78.6,2015-10-09,79.0,78.5
78.9,20142900.0,79.0,2015-10-12,79.0,78.9
79.15,2374500.0,79.15,2015-10-13,79.15,79.15
79.0,4822450.0,79.2,2015-10-14,79.2,79.0
79.2,4460350.0,79.0,2015-10-15,79.2,78.9
79.0,4673056.0,79.0,2015-10-16,79.1,79.0
79.05,5124665.0,78.9,2015-10-20,79.05,78.9
79.05,4307315.0,78.5,2015-10-21,79.1,78.5
79.0,7105500.0,78.9,2015-10-22,79.0,78.9
79.0,8725750.0,79.0,2015-10-23,79.0,78.9
78.9,8056685.0,78.5,2015-10-26,78.9,78.5
78.5,3312700.0,78.5,2015-10-27,78.5,78.5
78.5,9456479.0,78.0,2015-10-28,78.8,78.0
78.5,97756695.0,78.5,2015-10-29,78.8,78.5
78.55,3141735.0,78.5,2015-10-30,78.55,78.5
79.0,79000.0,79.0,2015-11-02,79.0,79.0
79.5,813000.0,79.8,2015-11-04,79.8,79.5
79.0,2954600.0,79.0,2015-11-05,79.0,79.0
79.1,1933390.0,79.5,2015-11-06,79.5,79.1
79.0,2029210.0,79.1,2015-11-09,79.1,79.0
79.0,2246120.0,79.1,2015-11-10,79.1,79.0
79.0,2006838.0,79.2,2015-11-11,79.2,79.0
79.2,1004256.0,79.2,2015-11-12,79.2,79.2
79.0,724761.0,79.25,2015-11-13,79.25,79.0
79.25,737025.0,79.25,2015-11-16,79.25,79.25
79.2,174450.0,79.3,2015-11-17,79.3,79.2
79.8,4462820.0,79.9,2015-11-20,79.9,79.8
79.9,2594976.5,79.95,2015-11-23,79.95,79.9
79.95,527341.5,79.9,2015-11-24,79.95,79.9
79.9,159800.0,79.9,2015-11-25,79.9,79.9
79.9,2049693.0,79.8,2015-11-26,80.0,79.8
79.95,4063950.0,80.0,2015-11-27,80.0,79.95
80.0,327200.0,80.0,2015-12-01,80.0,80.0
79.8,5216492.0,80.0,2015-12-02,80.1,79.8
80.0,960000.0,80.0,2015-12-03,80.0,80.0
79.5,1271000.0,79.5,2015-12-08,79.5,79.3
79.15,3554431.0,78.0,2015-12-09,79.15,78.0
79.5,79500.0,79.5,2015-12-10,79.5,79.5
79.5,2726700.0,79.5,2015-12-11,80.0,79.5
79.5,2723900.0,78.6,2015-12-14,79.5,78.6
78.9,1167630.0,78.85,2015-12-15,78.9,78.85
78.6,78600.0,78.6,2015-12-16,78.6,78.6
78.55,2356.5,78.55,2015-12-18,78.55,78.55
78.5,3925.0,78.5,2015-12-21,78.5,78.5
78.0,42588000.0,78.0,2015-12-22,78.0,78.0
78.35,80700.5,78.35,2015-12-23,78.35,78.35
78.35,78350.0,78.35,2015-12-28,78.35,78.35
78.35,1795250.0,76.0,2015-12-29,78.35,76.0
78.4,1139363.0,78.5,2016-01-05,78.5,78.4
78.5,3421966.0,79.0,2016-01-06,79.0,78.4
79.0,79000.0,79.0,2016-01-08,79.0,79.0
79.0,4757316.0,79.0,2016-01-11,79.0,78.5
78.9,1073060.0,79.0,2016-01-13,79.0,78.9
79.0,276300.0,78.9,2016-01-14,79.0,78.9
79.0,2089550.0,79.0,2016-01-15,79.0,79.0
79.2,224142.0,79.4,2016-01-18,79.4,79.2
79.2,15840.0,79.2,2016-01-20,79.2,79.2
79.0,27541770.0,79.0,2016-01-21,79.0,79.0
78.7,27705893.0,78.5,2016-01-25,78.7,78.4
