OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
80.0,99469937.5,78.0,2015-09-21,80.0,77.1
78.0,119190445.5,78.4,2015-09-22,78.5,78.0
78.5,111399203.0,78.45,2015-09-23,78.5,78.0
78.8,31754451.0,78.65,2015-09-24,78.8,78.5
78.5,70199108.5,78.5,2015-09-28,78.65,78.3
78.55,83219737.5,78.7,2015-09-29,78.7,78.55
78.7,40003880.0,78.9,2015-09-30,78.9,78.7
78.95,102094938.0,79.0,2015-10-01,79.0,78.9
79.0,1797962.0,79.4,2015-10-02,79.5,79.0
79.4,7067744.0,79.4,2015-10-05,79.6,79.4
79.65,21606277.0,79.8,2015-10-06,79.95,79.65
79.8,67196637.0,80.0,2015-10-07,80.0,79.0
80.0,20060238.0,80.0,2015-10-08,80.2,80.0
80.0,20143923.0,79.95,2015-10-09,80.1,79.95
79.95,10861014.0,79.5,2015-10-12,80.05,79.5
79.9,33513750.0,80.0,2015-10-13,80.0,79.9
80.0,75657195.0,79.0,2015-10-14,80.0,79.0
79.95,25792420.0,79.95,2015-10-15,79.95,79.55
79.95,11145609.5,79.95,2015-10-16,79.95,79.9
79.75,41678692.5,80.0,2015-10-19,80.0,79.75
80.0,16883130.0,80.0,2015-10-20,80.0,79.95
79.95,25340625.5,80.0,2015-10-21,80.0,79.95
80.0,22752120.0,80.0,2015-10-22,80.05,79.9
80.0,16912020.0,79.95,2015-10-23,80.0,79.95
80.0,13180000.0,80.0,2015-10-26,80.0,80.0
80.0,11663635.0,80.0,2015-10-27,80.1,80.0
80.05,10491086.0,80.1,2015-10-28,80.1,80.0
80.05,85958974.0,80.0,2015-10-29,80.05,80.0
80.0,6179147.0,80.1,2015-10-30,80.1,79.95
80.0,8043867.0,80.0,2015-11-02,80.0,79.9
80.1,9584650.0,80.0,2015-11-03,80.1,80.0
80.05,11391012.0,80.0,2015-11-04,80.2,80.0
80.1,16443100.0,80.0,2015-11-05,80.1,80.0
80.2,7680819.5,80.0,2015-11-06,80.2,80.0
80.1,8088811.0,80.0,2015-11-09,80.1,80.0
80.1,6510600.0,80.05,2015-11-10,80.1,80.0
80.1,7612040.0,80.15,2015-11-11,80.2,80.05
80.25,2139190.0,80.25,2015-11-12,80.25,80.2
80.3,3060445.0,80.35,2015-11-13,80.35,80.3
80.35,2753993.5,80.3,2015-11-16,80.35,80.3
80.3,4135336.0,80.35,2015-11-17,80.35,80.2
80.35,2749280.0,80.5,2015-11-20,80.5,80.35
80.5,6528453.5,80.5,2015-11-24,80.9,80.5
80.5,163858204.99999997,80.85,2015-11-25,80.85,80.5
80.5,3976875.0,80.8,2015-11-26,80.85,80.5
80.8,1894659.5,80.7,2015-11-27,80.85,80.7
80.8,2119812.0,80.85,2015-12-01,80.85,80.8
80.85,3034407.5,80.65,2015-12-02,80.85,80.65
80.65,4728507.5,80.8,2015-12-03,80.8,80.65
80.7,7616194.0,80.7,2015-12-04,80.8,80.7
80.65,8931059.0,80.8,2015-12-07,80.9,80.65
80.85,6625200.0,80.7,2015-12-08,80.85,80.7
80.8,3172412.5,80.7,2015-12-09,80.8,80.7
80.75,8058907.5,80.85,2015-12-10,80.85,80.5
80.5,8458760.5,80.5,2015-12-11,80.8,80.5
79.9,3160671.0,79.1,2015-12-14,79.9,79.1
79.8,11623001.0,79.95,2015-12-15,80.15,79.0
79.95,12835724.5,80.0,2015-12-16,80.0,79.85
80.0,1158980.0,80.0,2015-12-17,80.0,79.1
79.1,5336506.0,78.6,2015-12-18,79.1,78.5
79.9,163954888.0,78.8,2015-12-21,79.9,78.7
78.7,12435326.0,78.8,2015-12-22,78.8,78.7
79.8,167580.0,79.8,2015-12-23,79.8,79.8
79.3,20618.0,79.3,2015-12-28,79.3,79.3
79.85,1629940.0,79.9,2015-12-29,79.9,79.85
79.9,1216436.0,79.6,2016-01-04,79.9,79.6
79.5,7627340.0,80.0,2016-01-05,80.0,79.5
79.9,2858023.0,79.9,2016-01-06,79.9,79.9
79.8,3192.0,79.8,2016-01-07,79.8,79.8
79.8,9413797.0,79.8,2016-01-08,79.9,79.8
79.8,6898660.0,79.7,2016-01-11,79.8,78.5
79.6,8007957.5,79.6,2016-01-12,79.7,79.15
79.6,6980378.0,79.6,2016-01-13,79.6,79.5
79.6,4206556.0,79.6,2016-01-14,79.6,79.5
79.6,20685144.0,79.5,2016-01-15,79.6,79.2
79.2,1173255.0,79.5,2016-01-18,79.5,79.2
79.5,2155812.5,79.2,2016-01-19,79.5,79.2
79.2,5985574.0,79.4,2016-01-20,79.45,79.0
78.5,11211370.0,78.5,2016-01-21,78.5,78.5
79.0,2760836.0,78.6,2016-01-22,79.0,78.5
78.6,18187236.0,78.8,2016-01-25,78.8,78.5
78.8,779970.0,78.8,2016-01-26,78.8,78.6
78.8,1049328.0,79.0,2016-01-27,79.0,78.8
79.0,4494748.0,79.0,2016-01-28,79.0,78.8
79.0,878480.0,79.0,2016-01-29,79.0,79.0
