OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
75.05,10903955.0,76.0,2016-03-30,76.0,75.05
75.9,7577286.5,75.5,2016-03-31,76.0,75.5
75.7,5697035.5,75.6,2016-04-01,76.0,75.6
76.0,2455450.0,76.0,2016-04-04,76.0,75.7
76.0,16955380.0,76.1,2016-04-05,76.1,76.0
76.3,190750.0,76.3,2016-04-06,76.3,76.3
76.5,2476631.0,77.4,2016-04-07,77.7,76.5
77.0,1540000.0,77.0,2016-04-08,77.0,77.0
76.9,2332170.0,77.0,2016-04-11,77.0,76.9
77.0,4106550.0,77.5,2016-04-12,77.5,77.0
77.4,3517437.0,77.5,2016-04-13,77.5,77.1
77.0,1078000.0,77.0,2016-04-14,77.0,77.0
76.0,1148700.0,77.0,2016-04-18,77.0,76.0
76.8,3495520.0,76.9,2016-04-19,77.0,76.8
77.0,565232.5,76.95,2016-04-20,77.0,75.6
76.2,17025079.0,75.0,2016-04-25,76.2,75.0
76.5,902450.0,76.5,2016-04-26,76.5,76.0
76.85,9202682.5,77.0,2016-04-27,77.0,76.6
77.0,542850.0,77.0,2016-04-28,77.0,77.0
77.0,636790.0,77.0,2016-04-29,77.0,77.0
77.0,47740.0,77.0,2016-05-02,77.0,77.0
77.6,11081527.0,78.0,2016-05-03,78.15,77.5
78.0,1753420.0,78.0,2016-05-05,78.0,77.8
77.95,2394204.0,78.0,2016-05-11,78.0,77.85
78.0,1993680.0,78.0,2016-05-12,78.0,78.0
78.0,4632420.0,78.0,2016-05-17,78.0,78.0
77.0,154000.0,77.0,2016-05-18,77.0,77.0
78.0,1198080.0,78.0,2016-05-19,78.0,78.0
77.0,1078000.0,77.0,2016-05-23,77.0,77.0
77.0,38315550.0,78.0,2016-05-24,78.0,77.0
78.0,3550868.0,78.1,2016-05-25,78.1,78.0
77.5,38750.0,77.5,2016-05-26,77.5,77.5
77.2,1158000.0,77.2,2016-05-27,77.2,77.2
77.5,2121050.0,78.0,2016-05-31,78.0,77.5
78.0,1925820.0,78.0,2016-06-01,78.0,78.0
77.9,1458360.0,77.5,2016-06-02,77.9,77.5
77.9,6168420.0,76.5,2016-06-03,77.9,76.5
77.9,2015200.0,78.0,2016-06-06,78.0,77.05
78.0,112320.0,78.0,2016-06-07,78.0,78.0
77.1,2256995.0,76.55,2016-06-09,77.1,76.55
76.6,2137540.0,76.6,2016-06-13,76.8,76.6
78.0,234000.0,78.0,2016-06-14,78.0,78.0
78.0,19495358.0,78.0,2016-06-15,78.1,78.0
77.95,3878701.5,77.95,2016-06-16,78.0,77.9
77.0,231000.0,77.0,2016-06-17,77.0,77.0
77.0,115500.0,77.0,2016-06-20,77.0,77.0
76.9,2061645.0,76.65,2016-06-21,77.0,76.65
76.65,1954575.0,76.65,2016-06-22,76.65,76.65
77.0,77000.0,77.0,2016-06-23,77.0,77.0
77.5,5488854.0,77.95,2016-06-24,77.95,77.5
77.95,77950.0,77.95,2016-06-27,77.95,77.95
77.95,996980.5,77.95,2016-06-28,77.95,77.95
77.95,21427073.5,78.0,2016-06-29,78.0,77.95
78.0,2262000.0,78.0,2016-06-30,78.0,78.0
78.0,1653600.0,78.0,2016-07-01,78.0,78.0
78.0,5982600.0,78.0,2016-07-05,78.0,78.0
77.95,29611280.0,78.1,2016-07-07,78.1,77.95
77.05,11672295.0,78.3,2016-07-08,78.3,77.05
78.5,6030758.0,78.3,2016-07-12,78.5,78.3
78.3,10890994.0,78.5,2016-07-13,78.55,78.3
78.8,10781005.0,79.0,2016-07-14,79.0,78.8
79.0,10412200.0,79.0,2016-07-15,79.0,79.0
78.0,39000.0,78.0,2016-07-18,78.0,78.0
79.0,996877.5,79.45,2016-07-19,79.5,79.0
79.0,3117550.5,79.0,2016-07-20,79.85,79.0
79.0,3160000.0,79.0,2016-07-21,79.0,79.0
79.4,174680.0,79.4,2016-07-22,79.4,79.4
77.1,433550.0,79.0,2016-07-25,79.0,77.1
79.85,2304260.0,79.0,2016-07-26,79.85,79.0
79.85,996528.0,79.85,2016-07-28,79.85,79.85
79.8,4174508.0,79.9,2016-08-02,79.9,79.0
79.0,285190.0,79.0,2016-08-05,79.0,79.0
79.9,1070660.0,79.9,2016-08-08,79.9,79.9
79.9,396598.0,79.0,2016-08-09,79.9,79.0
79.0,964590.0,79.0,2016-08-10,79.0,79.0
79.0,2828200.0,79.0,2016-08-11,79.0,79.0
79.0,69520.0,79.0,2016-08-15,79.0,79.0
79.8,15960.0,79.8,2016-08-16,79.8,79.8
79.0,109020.0,79.0,2016-08-17,79.0,79.0
78.5,8425350.0,79.0,2016-08-22,79.0,78.5
79.0,2496400.0,79.0,2016-08-25,79.0,79.0
79.0,3199500.0,79.0,2016-09-01,79.0,79.0
79.0,1793300.0,79.0,2016-09-02,79.0,79.0
79.8,1006085.0,79.85,2016-09-05,79.85,79.8
79.8,1006085.0,79.85,2016-09-05,79.85,79.8
79.0,395000.0,79.0,2016-09-06,79.0,79.0
79.5,1323060.0,79.85,2016-09-07,79.85,79.5
79.5,6292275.0,79.0,2016-09-08,79.5,79.0
79.2,77874.0,79.8,2016-09-13,79.8,79.1
79.85,11076840.0,80.0,2016-09-14,80.0,79.85
80.0,800000.0,80.0,2016-09-15,80.0,80.0
79.0,948000.0,79.0,2016-09-16,79.0,79.0
79.4,3976775.0,80.0,2016-09-19,80.0,79.0
79.0,110600.0,79.0,2016-09-20,79.0,79.0
79.05,4092210.0,79.0,2016-09-21,79.05,79.0
79.0,1793300.0,79.0,2016-09-22,79.0,79.0
79.0,10626290.0,79.0,2016-09-23,79.0,79.0
80.0,2000000.0,80.0,2016-09-26,80.0,80.0
80.0,5573949.0,79.05,2016-09-29,80.05,79.05
79.0,54130800.0,79.0,2016-09-30,79.0,79.0
79.0,1185000.0,79.0,2016-10-03,79.0,79.0
79.0,1319300.0,79.0,2016-10-04,79.0,79.0
79.0,940100.0,79.0,2016-10-05,79.0,79.0
79.0,211720.0,79.0,2016-10-07,79.0,79.0
78.0,2431200.0,79.0,2016-10-10,79.0,78.0
79.0,8405600.0,79.0,2016-10-11,79.0,79.0
79.0,845300.0,79.0,2016-10-12,79.0,79.0
79.0,845300.0,79.0,2016-10-12,79.0,79.0
78.85,18207250.0,77.5,2016-10-13,78.85,77.0
79.0,13231460.0,79.0,2016-10-14,79.0,77.0
78.0,345540.0,78.0,2016-10-18,78.0,78.0
79.0,987500.0,79.0,2016-10-21,79.0,79.0
78.5,235500.0,78.5,2016-10-24,78.5,78.5
79.0,355500.0,79.0,2016-10-27,79.0,79.0
79.5,1152750.0,79.5,2016-10-28,79.5,79.5
77.5,255750.0,77.5,2016-11-02,77.5,77.5
77.5,2575130.0,77.05,2016-11-04,77.5,77.05
77.5,1665725.0,77.5,2016-11-08,77.5,77.15
79.95,1993953.0,79.95,2016-11-10,79.95,79.95
79.4,993734.0,79.5,2016-11-14,79.5,79.4
79.5,500850.0,79.5,2016-11-15,79.5,79.5
77.5,38750.0,77.5,2016-11-21,77.5,77.5
79.4,539920.0,79.4,2016-11-22,79.4,79.4
79.5,3951945.0,79.5,2016-11-23,79.5,79.5
79.5,1590000.0,79.5,2016-11-25,79.5,79.5
79.5,792615.0,79.5,2016-11-29,79.5,79.5
79.45,1708175.0,79.45,2016-12-13,79.45,79.45
77.7,10209780.0,77.7,2016-12-14,77.7,77.7
77.0,1155000.0,77.0,2016-12-19,77.0,77.0
77.05,100165.0,77.05,2016-12-20,77.05,77.05
77.05,978535.0,77.05,2016-12-21,77.05,77.05
