OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
75.0,16693635.0,75.0,2016-03-30,75.5,75.0
75.0,21159750.0,75.0,2016-03-31,75.0,75.0
75.0,8512500.0,75.0,2016-04-01,75.05,74.95
75.0,6993750.0,75.0,2016-04-04,75.0,75.0
75.1,13501750.0,75.1,2016-04-05,75.1,75.0
75.1,10709685.5,75.05,2016-04-06,75.1,75.05
75.0,12585025.0,75.0,2016-04-07,75.05,75.0
75.0,8153250.0,75.0,2016-04-08,75.0,75.0
75.0,7305970.0,75.0,2016-04-11,75.05,75.0
75.1,25883751.0,75.0,2016-04-12,75.1,75.0
75.0,19110600.0,75.0,2016-04-13,75.0,74.95
75.0,21421500.0,75.0,2016-04-14,75.0,75.0
75.0,18809580.0,75.0,2016-04-15,75.05,75.0
75.0,17689500.0,75.0,2016-04-18,75.0,75.0
75.0,15109500.0,75.0,2016-04-19,75.0,75.0
75.0,8759869.0,75.05,2016-04-20,75.05,75.0
75.1,10367600.0,75.1,2016-04-21,75.2,75.1
75.1,9932030.0,75.1,2016-04-22,75.1,75.05
75.1,17249960.0,75.1,2016-04-25,75.5,75.1
75.1,20246440.0,75.05,2016-04-26,75.2,75.05
75.6,4095115.0,75.05,2016-04-27,75.6,75.05
75.05,3835175.0,75.5,2016-04-28,75.5,75.05
75.5,14367147.5,75.5,2016-04-29,75.5,75.25
75.1,50849825.0,75.1,2016-05-02,75.15,75.1
75.1,1516110.0,75.05,2016-05-03,75.1,75.05
75.1,8895805.0,75.5,2016-05-04,75.5,75.1
75.5,4329023.0,75.6,2016-05-05,75.6,75.1
75.4,14596431.0,75.05,2016-05-06,75.4,75.0
75.4,14596431.0,75.05,2016-05-06,75.4,75.0
75.0,3171860.0,75.0,2016-05-10,75.05,75.0
75.0,5505000.0,75.0,2016-05-11,75.0,75.0
75.1,6925322.5,75.05,2016-05-12,75.1,75.05
75.05,84470.0,75.5,2016-05-13,75.5,75.05
75.2,9397755.0,75.5,2016-05-16,75.5,75.1
75.2,5867854.0,75.5,2016-05-17,75.5,75.1
