OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
75.3,19379585.0,75.0,2016-03-30,75.3,71.5
75.0,7260750.0,75.0,2016-03-31,75.0,75.0
75.0,28095000.0,75.0,2016-04-01,75.0,75.0
75.0,12453750.0,75.0,2016-04-04,75.0,75.0
75.0,20996130.0,75.0,2016-04-05,75.3,74.9
75.0,4472262.5,75.0,2016-04-06,75.0,74.9
75.0,44889000.0,75.0,2016-04-07,75.0,75.0
75.0,18306750.0,75.0,2016-04-08,75.0,75.0
75.0,20625000.0,75.0,2016-04-11,75.0,75.0
75.05,6754950.0,75.0,2016-04-12,75.05,75.0
75.0,8322000.0,75.0,2016-04-13,75.0,75.0
75.0,7384500.0,75.0,2016-04-14,75.0,75.0
75.0,7411223.0,75.0,2016-04-15,75.05,75.0
75.05,5115830.0,75.0,2016-04-19,75.05,75.0
75.05,7743067.0,75.1,2016-04-20,75.1,75.05
75.1,7505013.5,75.05,2016-04-21,75.1,75.05
75.5,1206134.0,75.1,2016-04-22,75.5,75.1
75.1,4374575.0,75.1,2016-04-25,75.1,75.1
75.1,5540115.0,75.2,2016-04-26,75.2,75.05
75.5,6551011.0,75.1,2016-04-27,75.5,75.1
75.5,2295200.0,75.5,2016-04-28,75.5,75.5
75.5,6067000.0,75.0,2016-04-29,75.5,75.0
75.1,13781340.0,75.0,2016-05-02,75.1,75.0
75.05,379786.0,75.6,2016-05-03,75.6,75.05
75.1,3755150.0,75.1,2016-05-04,75.2,75.1
75.5,52850.0,75.5,2016-05-05,75.5,75.5
75.4,5721762.0,75.15,2016-05-06,75.4,75.15
75.4,5721762.0,75.15,2016-05-06,75.4,75.15
75.5,1905935.0,75.2,2016-05-10,75.5,75.15
75.2,15780720.0,75.2,2016-05-11,75.2,75.2
75.2,52612.0,75.1,2016-05-12,75.2,75.1
75.2,1504.0,75.2,2016-05-13,75.2,75.2
75.6,164808.0,75.6,2016-05-16,75.6,75.6
75.5,1345410.0,75.5,2016-05-17,75.5,75.5
75.7,151957.0,75.6,2016-05-18,75.7,75.6
75.7,2651607.0,75.5,2016-05-19,75.7,75.5
75.8,1322443.0,75.8,2016-05-20,75.8,75.7
75.8,1598060.0,75.8,2016-05-23,75.8,75.6
75.7,4052684.0,75.8,2016-05-24,75.8,75.7
75.8,2331943.0,76.3,2016-05-25,76.3,75.8
76.2,8841200.0,76.3,2016-05-26,76.3,76.2
76.3,5635309.0,76.0,2016-05-27,76.4,76.0
76.5,15949930.0,76.5,2016-05-31,77.0,76.5
77.0,33595640.0,77.0,2016-06-01,77.0,76.8
77.0,2714250.0,77.0,2016-06-02,77.0,77.0
77.0,12413774.5,77.0,2016-06-03,77.1,77.0
77.0,3892020.0,77.0,2016-06-06,77.0,76.8
76.9,1416293.0,77.0,2016-06-07,77.0,76.9
77.0,2343110.0,77.0,2016-06-08,77.0,77.0
77.0,2342340.0,77.0,2016-06-09,77.0,77.0
76.75,7508405.0,76.8,2016-06-10,77.0,76.65
76.75,5571831.5,76.95,2016-06-13,77.0,76.5
76.2,12731878.5,77.0,2016-06-15,77.0,76.0
77.0,26455870.0,77.0,2016-06-16,77.0,75.2
76.95,923400.0,76.95,2016-06-17,76.95,76.95
76.95,2553192.0,76.9,2016-06-21,76.95,76.9
76.5,527850.0,76.5,2016-06-22,76.5,76.5
76.1,10274300.0,76.9,2016-06-23,76.9,76.1
76.95,577100.0,76.95,2016-06-24,76.95,76.9
76.9,1262868.0,76.6,2016-06-27,76.9,76.6
76.6,5886710.0,76.6,2016-06-28,76.6,76.6
76.6,2507241.0,76.7,2016-06-30,76.7,76.6
76.7,9916213.0,76.9,2016-07-01,76.9,76.6
77.0,7646050.0,76.6,2016-07-04,77.0,76.6
76.95,2135362.5,76.95,2016-07-05,76.95,76.95
77.0,3654534.5,77.0,2016-07-07,77.0,76.85
77.0,7961800.0,77.0,2016-07-08,77.0,77.0
77.0,10987900.0,77.0,2016-07-11,77.0,77.0
76.8,8267590.0,77.0,2016-07-12,77.0,76.8
77.0,3897000.0,76.9,2016-07-13,77.0,76.8
76.9,7571830.0,76.95,2016-07-14,76.95,76.9
76.75,15616796.5,76.9,2016-07-15,77.0,76.0
76.6,4533300.0,77.0,2016-07-18,77.0,76.5
77.1,24315440.0,77.0,2016-07-19,77.1,77.0
77.0,44406726.0,76.5,2016-07-20,77.1,76.5
77.0,8218401.0,77.1,2016-07-21,77.1,77.0
76.5,24551883.0,77.0,2016-07-22,77.1,76.5
77.0,16417390.0,77.0,2016-07-25,77.0,76.9
77.0,17208174.0,77.0,2016-07-26,77.2,77.0
77.0,16521030.0,77.1,2016-07-27,77.1,77.0
77.1,4774562.0,77.2,2016-07-28,77.2,77.1
77.1,30707695.0,77.1,2016-07-29,77.2,77.1
77.2,2525812.5,77.25,2016-08-01,77.25,77.2
77.25,8371287.5,77.3,2016-08-02,77.3,77.25
77.25,2499872.0,77.3,2016-08-03,77.3,77.25
77.4,14259655.5,77.3,2016-08-04,77.4,77.3
77.4,8235518.0,77.25,2016-08-05,77.4,77.25
77.4,10024010.0,77.2,2016-08-08,77.4,77.2
77.3,1004900.0,77.3,2016-08-09,77.3,77.3
77.2,1578188.0,77.2,2016-08-10,77.5,77.2
77.5,6114750.0,77.5,2016-08-11,77.5,77.5
77.5,3219350.0,77.5,2016-08-12,77.5,77.5
77.6,4273000.0,77.7,2016-08-15,77.7,77.6
77.7,11140517.5,77.75,2016-08-16,77.8,77.7
77.7,9302410.0,77.8,2016-08-17,77.8,77.7
77.8,4504310.0,77.7,2016-08-18,77.8,77.7
77.7,8486740.0,77.7,2016-08-19,77.8,77.7
77.7,26972080.0,78.0,2016-08-22,78.0,77.7
78.0,1560.0,78.0,2016-08-23,78.0,78.0
77.8,17852418.0,78.0,2016-08-24,78.0,77.7
77.7,8277036.0,78.0,2016-08-25,78.0,77.7
78.5,2790150.0,78.2,2016-08-26,79.0,78.2
78.2,3910.0,78.2,2016-08-30,78.2,78.2
78.2,1062870.0,78.2,2016-08-31,78.5,78.2
78.2,78250.0,78.3,2016-09-01,78.3,78.2
78.3,415778.0,78.8,2016-09-02,78.8,78.3
78.8,3702812.0,78.8,2016-09-05,78.8,78.8
78.8,3702812.0,78.8,2016-09-05,78.8,78.8
78.85,323968.5,78.8,2016-09-06,78.85,78.8
78.85,354675.0,78.8,2016-09-07,78.85,78.8
78.9,12945597.5,79.0,2016-09-08,79.0,78.9
79.1,4409190.0,79.0,2016-09-09,79.15,79.0
78.5,17280.0,79.0,2016-09-13,79.0,78.5
79.0,3313550.0,78.3,2016-09-14,79.0,78.3
79.05,4650990.0,79.1,2016-09-15,79.1,79.05
78.5,997735.0,78.5,2016-09-16,78.5,78.5
78.0,8806200.0,78.0,2016-09-19,78.0,78.0
78.0,5745480.0,78.0,2016-09-20,78.0,78.0
78.0,94408656.0,77.65,2016-09-21,78.0,77.65
78.0,5319600.0,78.0,2016-09-22,78.0,78.0
78.1,5104880.0,78.0,2016-09-23,78.1,78.0
78.0,12600960.0,78.2,2016-09-26,78.2,78.0
78.4,94106418.0,77.7,2016-09-27,78.4,77.7
77.7,52198216.5,78.4,2016-09-28,78.4,77.7
78.0,14351678.0,77.95,2016-09-29,78.0,77.9
