OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
90.5,41826145.0,112.5,2010-12-08,112.5,90.5
95.0,861535.0,95.0,2010-12-22,99.0,95.0
91.0,20013040.0,90.0,2010-12-23,94.9,90.0
90.0,918530.0,90.0,2010-12-28,93.5,89.0
90.0,918530.0,90.0,2010-12-28,93.5,89.0
90.0,918530.0,90.0,2010-12-28,93.5,89.0
90.0,918530.0,90.0,2010-12-28,93.5,89.0
90.0,918530.0,90.0,2010-12-28,93.5,89.0
90.0,918530.0,90.0,2010-12-28,93.5,89.0
90.0,918530.0,90.0,2010-12-28,93.5,89.0
90.0,918530.0,90.0,2010-12-28,93.5,89.0
90.0,918530.0,90.0,2010-12-28,93.5,89.0
90.0,918530.0,90.0,2010-12-28,93.5,89.0
90.0,918530.0,90.0,2010-12-28,93.5,89.0
90.0,918530.0,90.0,2010-12-28,93.5,89.0
90.0,918530.0,90.0,2010-12-28,93.5,89.0
90.0,918530.0,90.0,2010-12-28,93.5,89.0
90.0,918530.0,90.0,2010-12-28,93.5,89.0
90.0,918530.0,90.0,2010-12-28,93.5,89.0
90.0,918530.0,90.0,2010-12-28,93.5,89.0
90.0,918530.0,90.0,2010-12-28,93.5,89.0
90.0,918530.0,90.0,2010-12-28,93.5,89.0
90.0,918530.0,90.0,2010-12-28,93.5,89.0
90.0,918530.0,90.0,2010-12-28,93.5,89.0
90.0,1147329.0,87.0,2010-12-29,90.0,86.05
90.0,1147329.0,87.0,2010-12-29,90.0,86.05
90.0,76375390.0,100.0,2011-01-03,100.0,90.0
90.0,76375390.0,100.0,2011-01-03,100.0,90.0
90.0,76375390.0,100.0,2011-01-03,100.0,90.0
100.0,1144730.0,95.0,2011-01-04,100.0,93.0
92.0,572460.0,91.0,2011-01-05,92.0,91.0
91.0,190230.0,93.0,2011-01-06,93.0,91.0
95.0,204410.0,95.0,2011-01-07,97.0,95.0
90.0,250200.0,90.0,2011-01-10,90.0,90.0
90.0,383400.0,90.0,2011-01-11,90.0,90.0
90.0,383400.0,90.0,2011-01-11,90.0,90.0
87.25,1154300.0,87.5,2011-01-12,91.0,87.25
90.0,420750.0,87.5,2011-01-13,90.0,87.5
90.0,799400.0,88.0,2011-01-14,90.0,87.5
89.0,4407335.0,89.0,2011-01-17,89.0,87.0
88.5,19410.0,88.0,2011-01-18,88.5,88.0
86.25,553905.0,83.0,2011-01-19,86.25,81.0
86.25,553905.0,83.0,2011-01-19,86.25,81.0
82.0,3506062.5,80.0,2011-01-20,82.75,80.0
82.0,3506062.5,80.0,2011-01-20,82.75,80.0
79.0,9484000.0,80.0,2011-01-24,83.0,79.0
80.0,13875570.0,83.0,2011-01-25,85.0,80.0
80.0,8991875.0,83.0,2011-01-26,84.0,80.0
80.5,11381720.0,83.0,2011-01-27,83.0,80.0
83.0,7768125.0,82.0,2011-01-28,83.0,79.5
83.0,7768125.0,82.0,2011-01-28,83.0,79.5
82.0,4596336.0,82.0,2011-01-31,82.0,80.0
82.0,4596336.0,82.0,2011-01-31,82.0,80.0
80.1,1770300.0,80.0,2011-02-01,81.0,80.0
80.1,1770300.0,80.0,2011-02-01,81.0,80.0
80.0,1250400.0,80.0,2011-02-02,80.0,80.0
79.75,891435.0,80.0,2011-02-03,80.0,79.5
77.1,851741.0,80.0,2011-02-14,80.0,77.1
77.5,915250.0,79.9,2011-02-16,79.9,77.5
77.5,915250.0,79.9,2011-02-16,79.9,77.5
80.0,2164515.0,80.0,2011-02-17,80.0,79.5
80.0,259625.0,79.5,2011-02-18,80.0,79.5
79.95,446978.0,80.0,2011-02-21,80.0,79.5
79.95,446978.0,80.0,2011-02-21,80.0,79.5
80.0,16000.0,80.0,2011-02-22,80.0,80.0
80.0,16000.0,80.0,2011-02-22,80.0,80.0
78.3,375512.5,77.05,2011-02-23,78.3,77.05
78.3,375512.5,77.05,2011-02-23,78.3,77.05
77.05,346430.0,79.0,2011-02-24,79.8,77.05
77.05,346430.0,79.0,2011-02-24,79.8,77.05
78.0,425150.0,79.0,2011-02-25,79.0,78.0
79.45,23835.0,79.45,2011-02-28,79.45,79.45
79.0,79602.5,79.0,2011-03-02,79.0,78.5
79.0,11850.0,79.0,2011-03-03,79.0,79.0
79.0,102715.0,79.5,2011-03-04,79.5,78.0
79.0,102715.0,79.5,2011-03-04,79.5,78.0
79.4,674900.0,79.4,2011-03-08,79.4,79.4
79.4,674900.0,79.4,2011-03-08,79.4,79.4
77.0,753980.0,78.0,2011-03-11,78.0,75.0
77.0,753980.0,78.0,2011-03-11,78.0,75.0
76.0,9890.0,77.0,2011-03-16,77.0,76.0
76.0,295369.0,76.9,2011-03-17,76.9,75.0
78.8,788.0,78.8,2011-03-18,78.8,78.8
75.55,11365.0,78.8,2011-03-21,78.8,75.55
79.0,980820.0,76.0,2011-03-22,79.0,75.0
76.0,29640.0,76.0,2011-03-23,76.0,76.0
76.0,76760.0,76.0,2011-03-24,76.0,76.0
76.0,20709830.0,76.0,2011-03-25,76.0,75.5
76.0,11400.0,76.0,2011-03-28,76.0,76.0
75.6,904107.0,76.0,2011-03-29,76.0,75.1
75.2,3109179.0,76.0,2011-03-30,76.0,75.0
75.2,1020192.0,76.0,2011-03-31,76.0,75.2
75.0,452000.0,76.0,2011-04-01,76.0,75.0
75.2,1136000.0,76.0,2011-04-04,76.0,75.2
76.0,795020.0,76.0,2011-04-05,76.0,75.1
75.1,1782306.5,75.95,2011-04-06,75.95,75.1
75.0,797500.0,76.0,2011-04-07,76.0,75.0
76.0,411106.0,76.0,2011-04-08,76.0,75.1
75.5,1289500.0,76.0,2011-04-11,76.0,75.5
75.3,457603.0,76.0,2011-04-12,76.0,75.3
75.0,54750.0,75.0,2011-05-05,75.0,75.0
75.0,876000.0,75.0,2011-05-06,75.0,75.0
75.1,488150.0,75.1,2011-05-09,75.1,75.1
75.1,1907540.0,75.1,2011-05-10,75.1,75.1
76.0,329520.0,75.2,2011-05-11,76.0,75.2
75.25,1581110.0,75.2,2011-05-12,75.25,75.1
75.25,805907.0,75.25,2011-05-13,75.25,75.2
75.25,14297.5,75.25,2011-05-16,75.25,75.25
76.5,445973.0,75.25,2011-05-17,76.5,75.15
75.3,1128779.0,75.25,2011-05-18,75.3,75.25
75.35,1505066.0,75.25,2011-05-20,75.35,75.25
75.0,1404025.0,75.0,2011-05-23,75.5,75.0
75.0,647250.0,75.0,2011-05-24,75.0,75.0
74.5,2410410.0,75.0,2011-05-25,75.0,74.5
74.9,840793.0,74.6,2011-05-26,74.9,74.6
75.0,11280000.0,75.0,2011-05-27,75.0,75.0
75.0,853500.0,75.0,2011-05-30,75.0,75.0
75.0,1847250.0,75.0,2011-06-06,75.0,75.0
74.95,59922.0,74.9,2011-06-07,74.95,74.8
75.0,400458.0,74.7,2011-06-08,75.0,74.7
74.8,7477.5,74.75,2011-06-09,74.8,74.75
75.0,1575000.0,75.0,2011-06-13,75.0,75.0
75.0,8286750.0,75.0,2011-06-14,75.0,75.0
75.0,3031500.0,75.0,2011-06-15,75.0,75.0
74.9,993525.0,75.0,2011-06-16,75.0,74.9
75.0,1020750.0,75.0,2011-06-17,75.0,75.0
75.0,275250.0,75.0,2011-06-22,75.0,75.0
75.0,318750.0,75.0,2011-06-24,75.0,75.0
75.0,15000000.0,75.0,2011-06-27,75.0,75.0
75.0,306000.0,75.0,2011-06-28,75.0,75.0
75.05,11632750.0,75.05,2011-06-29,75.05,75.05
75.05,225150.0,75.05,2011-07-01,75.05,75.05
75.05,1582525.0,75.0,2011-07-04,75.05,75.0
77.0,393875.0,80.0,2011-07-05,80.0,77.0
79.0,46450.0,77.1,2011-07-06,79.0,77.1
75.2,150400.0,75.2,2011-07-08,75.2,75.2
75.3,54205.0,75.25,2011-07-12,75.3,75.25
75.3,37650.0,75.3,2011-07-13,75.3,75.3
75.3,475605.0,75.25,2011-07-14,75.3,75.25
75.35,7535.0,75.35,2011-07-18,75.35,75.35
75.25,451785.0,75.3,2011-07-19,75.3,75.25
75.35,226050.0,75.35,2011-07-22,75.35,75.35
75.25,163302.5,75.35,2011-07-25,75.35,75.25
78.8,3152.0,78.8,2011-07-27,78.8,78.8
75.35,3014.0,75.35,2011-07-28,75.35,75.35
76.0,151400.0,75.4,2011-07-29,76.0,75.4
75.6,780948.0,75.6,2011-08-05,75.6,75.6
75.6,249690.0,75.7,2011-08-08,75.7,75.6
75.75,283146.5,75.75,2011-08-09,75.75,75.7
75.75,27270.0,75.75,2011-08-10,75.75,75.75
75.8,11370.0,75.8,2011-08-11,75.8,75.8
75.8,81880.0,76.0,2011-08-15,76.0,75.8
76.5,2962285.0,77.0,2011-08-16,77.0,76.5
78.0,403107.0,77.1,2011-08-18,78.0,77.1
77.1,1232500.0,77.0,2011-08-19,77.1,77.0
77.0,1584059.5,77.0,2011-08-23,77.5,77.0
76.5,43605.0,76.5,2011-08-24,76.5,76.5
77.0,1218910.0,77.0,2011-08-25,77.0,77.0
77.0,154000.0,77.0,2011-09-01,77.0,77.0
80.0,3200.0,80.0,2011-09-02,80.0,80.0
78.5,317180.0,79.8,2011-09-05,79.8,78.5
79.5,77500.0,77.0,2011-09-06,79.5,77.0
77.5,1550.0,77.5,2011-09-09,77.5,77.5
77.5,782750.0,77.5,2011-09-13,77.5,77.5
78.0,7800.0,78.0,2011-09-15,78.0,78.0
78.0,156000.0,78.0,2011-09-20,78.0,78.0
77.7,77700.0,77.7,2011-09-21,77.7,77.7
77.5,77700.0,78.0,2011-09-22,78.0,77.5
77.3,77300.0,77.3,2011-09-23,77.3,77.3
76.75,15350.0,76.75,2011-09-26,76.75,76.75
77.0,15400.0,77.0,2011-09-28,77.0,77.0
78.0,249970.0,78.5,2011-09-29,78.5,78.0
78.5,78500.0,78.5,2011-10-04,78.5,78.5
78.5,78500.0,78.5,2011-10-06,78.5,78.5
77.05,251782.0,78.5,2011-10-10,78.5,77.05
78.5,785.0,78.5,2011-10-11,78.5,78.5
77.3,169700.0,77.0,2011-10-13,77.3,77.0
76.0,2075560.0,76.0,2011-10-14,76.0,76.0
76.1,278360.0,76.0,2011-10-17,76.1,76.0
76.2,38100.0,76.2,2011-10-18,76.2,76.2
76.2,1506160.0,75.0,2011-10-26,76.2,75.0
76.5,38250.0,76.5,2011-11-04,76.5,76.5
76.5,323595.0,76.5,2011-11-09,76.5,76.5
76.5,1002200.0,77.0,2011-11-10,77.0,76.5
77.0,492800.0,77.0,2011-11-11,77.0,77.0
77.0,1755600.0,77.0,2011-11-14,77.0,77.0
77.0,75460.0,77.0,2011-11-15,77.0,77.0
77.0,815430.0,77.0,2011-11-16,77.0,77.0
77.0,11550.0,77.0,2011-11-17,77.0,77.0
77.0,96250.0,77.0,2011-11-21,77.0,77.0
77.0,108570.0,77.0,2011-11-22,77.0,77.0
77.0,23100.0,77.0,2011-11-23,77.0,77.0
77.0,30800.0,77.0,2011-11-24,77.0,77.0
77.0,68530.0,77.0,2011-11-25,77.0,77.0
77.0,38500.0,77.0,2011-11-28,77.0,77.0
77.0,156325.0,77.5,2011-11-29,77.5,77.0
77.0,302200.0,77.5,2011-12-01,77.5,77.0
77.5,155000.0,77.5,2011-12-05,77.5,77.5
77.2,617600.0,77.2,2011-12-06,77.2,77.2
77.2,353576.0,77.2,2011-12-08,77.2,77.2
77.5,551075.0,77.5,2011-12-12,77.5,77.2
77.6,1888728.0,77.3,2011-12-13,77.95,77.3
77.3,109697.0,79.5,2011-12-14,79.5,77.3
79.5,266409.5,79.9,2011-12-15,79.9,79.5
79.15,40321.5,79.15,2011-12-16,79.15,79.0
79.0,56090.0,79.0,2011-12-19,79.0,79.0
79.65,135770.0,79.95,2011-12-22,79.95,79.65
79.0,7097360.0,79.0,2011-12-23,79.0,79.0
79.9,79900.0,79.9,2011-12-26,79.9,79.9
79.3,2388516.0,79.3,2011-12-27,79.3,79.3
78.5,117750.0,78.5,2012-01-02,78.5,78.5
79.0,109020.0,79.0,2012-01-03,79.0,79.0
79.0,300550.0,79.5,2012-01-04,79.5,79.0
80.0,2109400.0,79.0,2012-01-05,80.0,79.0
78.1,78100.0,78.1,2012-01-06,78.1,78.1
79.5,300219.0,78.15,2012-01-09,79.5,78.15
79.2,792.0,79.2,2012-01-10,79.2,79.2
78.1,2555432.0,78.1,2012-01-12,78.1,78.1
78.0,1749400.0,78.1,2012-01-13,78.1,78.0
78.15,78150.0,78.15,2012-01-16,78.15,78.15
78.15,92960.5,78.1,2012-01-17,78.15,78.1
77.8,432680.0,77.2,2012-01-18,77.8,77.2
77.9,482326.5,77.25,2012-01-19,77.9,77.2
78.15,274274.0,76.6,2012-01-20,78.15,76.6
78.5,78500.0,78.5,2012-01-24,78.5,78.5
77.5,543275.0,77.5,2012-01-26,77.5,77.5
77.8,195285.0,78.5,2012-01-27,78.5,77.8
77.25,1158751.0,77.25,2012-01-30,77.3,77.25
77.55,325510.0,77.5,2012-02-01,77.55,77.5
77.5,875750.0,77.5,2012-02-02,77.5,77.5
77.35,319735.0,78.0,2012-02-03,78.0,77.35
78.0,1163280.0,77.5,2012-02-06,78.0,77.5
77.5,1786311.0,77.55,2012-02-07,78.0,77.5
77.55,147345.0,77.55,2012-02-09,77.55,77.55
77.6,271600.0,77.6,2012-02-10,77.6,77.6
77.6,155976.0,77.6,2012-02-13,77.6,77.6
77.6,1153912.0,77.6,2012-02-14,77.6,77.6
77.0,1190480.0,78.0,2012-02-15,78.0,77.0
77.0,38500.0,77.0,2012-02-17,77.0,77.0
77.5,15500.0,77.5,2012-02-20,77.5,77.5
77.6,776.0,77.6,2012-02-21,77.6,77.6
77.55,949825.0,77.5,2012-02-24,77.55,77.5
77.5,3802225.0,76.7,2012-02-27,77.5,76.7
77.0,562100.0,77.0,2012-02-28,77.0,77.0
77.0,1539800.0,77.0,2012-02-29,77.0,76.8
76.8,2014375.0,76.7,2012-03-01,77.0,76.65
76.7,597493.0,76.7,2012-03-02,76.7,76.7
76.7,1543485.5,76.75,2012-03-05,76.75,76.6
77.0,1694836.0,77.6,2012-03-06,77.6,77.0
77.0,4620000.0,77.0,2012-03-07,77.0,77.0
77.0,477420.0,77.0,2012-03-08,77.0,76.75
