OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
9.7,54030200.0,9.7,2009-08-03,9.8,9.6
9.9,63850200.0,9.6,2009-08-04,10.0,9.6
9.8,104232600.0,9.8,2009-08-06,9.8,9.7
9.8,32171400.0,9.6,2009-08-07,9.8,9.6
9.7,26454000.0,9.8,2009-08-10,9.8,9.6
9.8,11971600.0,9.8,2009-08-11,9.8,9.7
9.7,44866400.0,9.7,2009-08-12,9.7,9.6
9.7,68950300.0,9.6,2009-08-13,9.7,9.6
9.6,113234100.0,9.8,2009-08-14,9.8,9.6
9.7,22880500.0,9.8,2009-08-17,9.8,9.7
9.7,126675100.0,9.6,2009-08-18,9.7,9.6
9.7,197849400.0,9.7,2009-08-19,9.8,9.7
9.7,48280200.0,9.5,2009-08-20,9.7,9.5
9.7,137941500.0,10.25,2009-08-24,10.25,9.7
10.25,133930250.0,10.25,2009-08-25,10.5,10.0
10.5,218482475.0,10.25,2009-08-26,10.5,10.25
9.9,44261800.0,9.9,2009-09-03,9.9,9.8
9.9,55897100.0,9.9,2009-09-04,10.0,9.9
10.0,11330000.0,10.0,2009-09-16,10.0,10.0
10.0,55398500.0,10.25,2009-09-17,10.25,10.0
10.25,38457575.0,10.25,2009-09-18,10.25,10.0
10.25,40843550.0,10.25,2009-09-22,10.25,10.0
10.5,79655550.0,10.75,2009-09-23,10.75,10.5
10.5,57914925.0,10.5,2009-09-30,10.5,10.25
10.25,96193000.0,10.5,2009-10-01,10.5,10.25
10.25,10411700.0,10.25,2009-10-02,10.25,10.0
10.25,48506650.0,10.25,2009-10-05,10.5,10.25
10.25,57317525.0,10.5,2009-10-06,10.5,10.25
10.5,62417925.0,10.75,2009-10-07,10.75,10.25
10.75,10011575.0,10.75,2009-10-08,10.75,10.5
10.75,64690125.0,10.5,2009-10-09,10.75,10.5
10.5,39851975.0,10.5,2009-10-12,10.75,10.5
10.5,13699700.0,10.75,2009-10-13,10.75,10.5
10.75,58599750.0,10.5,2009-10-14,10.75,10.5
10.5,33911175.0,10.5,2009-10-15,10.75,10.5
10.75,62606875.0,10.75,2009-10-16,10.75,10.5
10.75,43528050.0,10.5,2009-10-19,10.75,10.5
10.5,143732450.0,10.5,2009-10-20,10.75,10.5
10.5,103805725.0,10.0,2009-10-21,10.5,10.0
10.0,111175600.0,10.0,2009-10-22,10.25,9.9
10.0,211370750.0,10.0,2009-10-23,10.25,10.0
10.0,3871250.0,10.0,2009-10-26,10.25,10.0
10.0,223750000.0,10.0,2009-10-27,10.0,10.0
10.0,18494250.0,10.25,2009-10-28,10.25,10.0
10.0,32002900.0,10.0,2009-10-29,10.0,9.9
10.0,61587250.0,10.0,2009-10-30,10.25,10.0
9.9,100155800.0,9.6,2009-11-03,9.9,9.6
9.8,27110200.0,9.9,2009-11-04,9.9,9.6
9.8,49263200.0,9.9,2009-11-05,9.9,9.8
9.9,52456800.0,9.8,2009-11-06,10.0,9.8
10.0,11078100.0,9.7,2009-11-09,10.0,9.7
9.9,40429650.0,10.25,2009-11-10,10.25,9.9
10.25,74189550.0,10.25,2009-11-11,10.25,10.0
9.7,108490100.0,9.6,2009-12-15,9.7,9.6
9.6,34233600.0,9.6,2009-12-16,9.6,9.6
9.6,70964100.0,9.6,2009-12-17,9.7,9.6
9.6,52204400.0,9.7,2009-12-18,9.8,9.6
9.8,140324800.0,9.7,2009-12-21,9.8,9.6
9.7,115716700.0,9.8,2009-12-22,9.8,9.7
9.7,18967800.0,9.7,2009-12-23,9.8,9.7
9.9,34039800.0,9.8,2009-12-29,9.9,9.8
9.8,15417000.0,9.7,2010-01-04,9.8,9.6
9.8,40981200.0,9.9,2010-01-05,9.9,9.8
9.8,12393100.0,9.9,2010-01-06,9.9,9.8
9.9,8439100.0,9.8,2010-01-07,9.9,9.8
9.9,17751300.0,9.8,2010-01-08,9.9,9.8
9.9,9181900.0,9.9,2010-01-11,9.9,9.8
9.8,243926300.0,9.8,2010-01-12,9.9,9.8
9.8,27696100.0,9.9,2010-01-13,9.9,9.8
9.8,5493100.0,9.8,2010-01-14,9.9,9.8
9.9,11780400.0,9.8,2010-01-15,9.9,9.8
9.8,4603800.0,9.8,2010-01-18,9.8,9.7
9.8,3628600.0,9.7,2010-01-19,9.8,9.7
9.8,33558300.0,9.6,2010-01-20,9.8,9.6
9.6,11031700.0,9.7,2010-01-21,9.7,9.6
9.5,61172100.0,9.4,2010-01-22,9.5,9.3
9.4,13016900.0,9.3,2010-01-25,9.4,9.2
9.3,43620200.0,9.3,2010-01-26,9.5,9.3
9.3,35528200.0,9.2,2010-01-27,9.3,9.1
9.2,48974400.0,9.5,2010-01-28,9.6,9.2
9.5,58235800.0,9.4,2010-01-29,9.5,9.3
9.4,54079100.0,9.2,2010-02-01,9.4,9.2
9.2,39135900.0,9.2,2010-02-02,9.3,9.1
9.4,19652500.0,9.3,2010-02-03,9.4,9.2
9.3,36002200.0,9.5,2010-02-04,9.6,9.2
9.3,73608300.0,9.2,2010-02-05,9.3,9.2
9.2,61343800.0,8.9,2010-02-08,9.2,8.7
9.0,195299600.0,9.1,2010-02-09,9.1,8.7
9.2,49812200.0,9.4,2010-02-10,9.4,9.2
9.2,109913100.0,9.6,2010-02-11,9.6,9.2
9.5,18276500.0,9.5,2010-03-08,9.5,9.4
9.5,6697600.0,9.5,2010-03-12,9.6,9.5
9.6,7280800.0,9.6,2010-03-15,9.6,9.5
9.5,104623600.0,9.5,2010-03-16,9.6,9.5
9.5,142303900.0,9.6,2010-03-17,9.6,9.5
9.9,79420000.0,9.8,2010-03-31,10.0,9.8
9.7,112993200.0,9.7,2010-04-20,9.8,9.6
9.7,78167000.0,9.7,2010-04-21,9.8,9.7
9.8,81786700.0,9.9,2010-04-22,9.9,9.7
9.8,71808050.0,10.0,2010-04-23,10.25,9.8
10.25,166635200.0,10.25,2010-04-29,10.25,10.0
10.25,201366375.0,10.25,2010-04-30,10.5,10.0
