OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
3.1,24800.0,3.1,2009-08-04,3.1,3.1
3.15,31500.0,3.15,2009-08-06,3.15,3.15
3.2,25600.0,3.2,2009-08-12,3.2,3.2
3.0,122500.0,3.1,2009-08-18,3.1,3.0
3.0,198000.0,3.1,2009-08-19,3.1,3.0
3.0,9000.0,3.0,2009-09-22,3.0,3.0
3.0,36000.0,3.0,2009-10-09,3.0,3.0
3.1,70000.0,3.0,2009-10-12,3.1,3.0
3.05,511200.0,3.1,2009-10-19,3.1,3.05
3.0,27000.0,3.0,2009-10-21,3.0,3.0
3.2,16000.0,3.2,2009-10-29,3.2,3.2
3.4,34000.0,3.4,2010-01-05,3.4,3.4
3.0,30000.0,3.0,2010-01-06,3.0,3.0
3.4,6800.0,3.4,2010-01-07,3.4,3.4
3.35,10100.0,3.4,2010-01-13,3.4,3.35
3.2,16000.0,3.2,2010-01-15,3.2,3.2
3.0,246000.0,3.0,2010-01-19,3.0,3.0
3.2,6400.0,3.2,2010-01-20,3.2,3.2
3.1,18600.0,3.1,2010-01-22,3.1,3.1
3.1,15500.0,3.1,2010-02-08,3.1,3.1
3.05,334500.0,3.1,2010-02-10,3.15,3.05
3.1,9300.0,3.1,2010-03-16,3.1,3.1
3.45,10350.0,3.45,2010-03-31,3.45,3.45
3.4,10200.0,3.4,2010-04-30,3.4,3.4
3.65,18400.0,3.7,2010-05-17,3.7,3.65
3.25,13000.0,3.25,2010-05-19,3.25,3.25
3.25,32500.0,3.25,2010-05-21,3.25,3.25
3.65,11000.0,3.7,2010-05-25,3.7,3.65
3.2,25600.0,3.2,2010-05-26,3.2,3.2
3.2,6400.0,3.2,2010-05-27,3.2,3.2
3.25,45300.0,3.2,2010-06-01,3.25,3.2
3.25,100750.0,3.5,2010-06-02,3.5,3.25
3.5,88250.0,3.55,2010-06-03,3.55,3.5
3.55,35400.0,3.5,2010-06-04,3.6,3.5
3.45,60450.0,3.35,2010-06-09,3.6,3.35
3.4,68000.0,3.4,2010-06-10,3.4,3.4
3.35,16750.0,3.35,2010-06-11,3.35,3.35
3.5,10500.0,3.5,2010-06-21,3.5,3.5
