OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
8.49,1351164739.0,8.01,2014-11-07,8.49,7.99
8.03,266418255.0,7.85,2014-11-10,8.12,7.75
7.89,162336892.0,7.73,2014-11-11,7.89,7.59
7.75,137789870.0,7.89,2014-11-12,7.98,7.64
7.98,165839163.0,8.0,2014-11-13,8.1,7.94
7.99,109573869.0,8.12,2014-11-14,8.15,7.95
8.12,417833279.0,8.51,2014-11-17,8.56,8.12
8.53,203064721.0,8.71,2014-11-18,8.89,8.53
8.79,98860397.0,8.5,2014-11-19,8.88,8.45
8.5,146296558.0,8.72,2014-11-20,8.85,8.45
8.75,52242051.0,8.72,2014-11-21,8.85,8.66
8.73,105803401.0,8.83,2014-11-24,8.98,8.73
8.83,82170265.0,8.68,2014-11-25,8.98,8.6
8.74,76650568.0,8.54,2014-11-26,8.78,8.5
8.54,114952400.0,8.36,2014-11-27,8.55,8.21
8.35,170622757.0,8.7,2014-11-28,8.8,8.3
8.74,70857020.0,8.6,2014-12-01,8.74,8.54
8.59,312290701.0,8.8,2014-12-02,8.86,8.5
8.79,184490569.0,8.75,2014-12-03,8.93,8.69
8.75,261150864.0,8.9,2014-12-04,9.09,8.7
8.9,122438720.0,8.68,2014-12-05,9.0,8.6
8.7,72501001.0,8.94,2014-12-09,9.0,8.7
8.97,215614847.0,9.09,2014-12-10,9.2,8.78
9.05,185788393.0,8.98,2014-12-11,9.07,8.8
8.94,119511846.0,9.15,2014-12-12,9.15,8.94
9.09,47656417.0,9.13,2014-12-15,9.15,8.9
9.14,83920443.0,9.32,2014-12-16,9.4,9.05
9.34,39894575.0,9.13,2014-12-17,9.41,9.0
9.25,188169752.0,9.56,2014-12-18,9.63,9.13
9.75,102418507.0,9.7,2014-12-19,10.12,9.7
9.7,52598301.0,9.94,2014-12-22,9.98,9.64
9.95,74975480.0,9.9,2014-12-23,10.0,9.8
9.99,49556401.0,9.91,2014-12-29,9.99,9.82
9.9,84292933.0,10.08,2015-01-05,10.14,9.83
9.88,16387633.0,9.9,2015-01-06,10.0,9.85
9.93,196232516.0,10.2,2015-01-07,10.3,9.7
10.22,126260710.0,10.64,2015-01-08,10.74,10.2
10.8,132967568.0,10.8,2015-01-09,10.94,10.7
10.86,151463840.0,11.3,2015-01-12,11.6,10.8
11.36,116697304.0,11.26,2015-01-13,11.5,11.26
11.3,129792938.0,11.0,2015-01-14,11.42,11.0
11.04,187034256.0,11.1,2015-01-19,11.4,10.82
11.1,90387858.0,10.78,2015-01-20,11.1,10.76
10.78,236901130.0,10.34,2015-01-21,11.08,10.34
10.34,160436386.0,10.42,2015-01-22,10.7,10.18
10.56,111085652.0,10.96,2015-01-23,11.0,10.52
11.0,260287786.0,11.16,2015-01-26,11.3,10.84
11.16,98675316.0,11.0,2015-01-27,11.3,10.7
11.0,36114280.0,10.86,2015-01-28,11.08,10.8
10.94,148546570.0,10.74,2015-01-29,11.08,10.72
10.76,26930054.0,10.7,2015-01-30,10.88,10.62
10.68,53417552.0,10.38,2015-02-02,10.68,10.3
10.4,67949298.0,10.1,2015-02-03,10.58,10.1
10.3,68034584.0,10.5,2015-02-04,10.76,10.28
10.6,112131350.0,10.44,2015-02-05,10.64,10.42
10.44,39206754.0,10.36,2015-02-06,10.44,10.34
10.38,83221506.0,9.8,2015-02-09,10.38,9.75
9.8,100714604.0,9.75,2015-02-10,10.1,9.75
9.76,99404963.0,9.83,2015-02-11,10.1,9.76
9.84,146716683.0,9.87,2015-02-12,10.04,9.84
9.88,85112406.0,9.8,2015-02-13,10.1,9.8
9.8,92948031.0,9.75,2015-02-16,9.99,9.75
9.76,81889234.0,9.77,2015-02-17,9.85,9.76
9.8,59244571.0,9.78,2015-02-18,9.9,9.5
9.7,38802690.0,9.74,2015-02-20,9.8,9.65
9.75,93085594.0,10.34,2015-02-23,10.4,9.75
10.38,29835124.0,10.36,2015-02-24,10.42,10.3
10.38,45189304.0,10.16,2015-02-25,10.48,10.16
10.16,7179093.0,10.1,2015-02-26,10.22,9.9
10.12,17618160.0,9.95,2015-02-27,10.12,9.9
9.91,50244399.0,10.0,2015-03-02,10.0,9.8
10.0,8292681.0,9.95,2015-03-03,10.18,9.95
9.95,24921124.0,10.32,2015-03-04,10.34,9.93
10.3,12768632.0,10.22,2015-03-05,10.3,10.14
10.24,139352022.0,10.86,2015-03-06,10.86,10.24
10.84,81668506.0,10.8,2015-03-09,10.84,10.5
10.8,90363888.0,10.84,2015-03-10,10.98,10.6
10.8,62528572.0,10.62,2015-03-11,10.8,10.6
10.76,33563224.0,10.68,2015-03-12,10.86,10.6
10.7,155069480.0,10.8,2015-03-13,10.94,10.7
10.82,51459660.0,10.64,2015-03-16,10.82,10.6
10.66,56732034.0,10.72,2015-03-17,10.74,10.48
10.68,74750898.0,10.4,2015-03-18,10.68,10.4
10.4,119552484.0,10.14,2015-03-19,10.6,10.0
10.14,55428440.0,10.4,2015-03-20,10.48,10.14
10.48,83350990.0,10.68,2015-03-23,10.8,10.4
10.72,46830930.0,10.5,2015-03-24,10.8,10.36
10.44,32260124.0,10.32,2015-03-25,10.68,10.26
10.46,30848900.0,10.24,2015-03-26,10.46,10.18
