OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
3.4,237432170.0,3.15,2014-12-01,3.4,3.15
3.17,68533050.0,3.07,2014-12-02,3.27,3.02
3.07,62156160.0,2.8,2014-12-03,3.09,2.77
2.85,43334240.0,2.91,2014-12-04,3.06,2.82
2.93,7625540.0,2.84,2014-12-05,2.99,2.81
2.84,24728110.0,2.72,2014-12-09,2.84,2.69
2.74,18563610.0,2.6,2014-12-10,2.74,2.59
2.56,27229400.0,2.35,2014-12-11,2.56,2.22
2.37,20187600.0,2.63,2014-12-12,2.66,2.37
2.6,7001090.0,2.66,2014-12-15,2.7,2.51
2.62,7700140.0,2.54,2014-12-16,2.68,2.54
2.55,9499290.0,2.42,2014-12-17,2.59,2.38
2.48,2933310.0,2.46,2014-12-18,2.56,2.43
2.5,37415110.0,2.89,2014-12-19,2.94,2.42
3.0,79788250.0,2.97,2014-12-22,3.1,2.95
2.99,15171990.0,2.9,2014-12-23,3.0,2.81
2.92,5997040.0,2.8,2014-12-29,2.98,2.8
2.82,8348890.0,2.8,2015-01-05,2.95,2.8
2.7,13064920.0,2.73,2015-01-06,2.84,2.7
2.68,9616370.0,2.65,2015-01-07,2.69,2.63
2.67,12952220.0,2.74,2015-01-08,2.85,2.67
2.75,9015010.0,2.67,2015-01-09,2.76,2.64
2.7,8082350.0,2.6,2015-01-12,2.73,2.6
2.61,9901990.0,2.69,2015-01-13,2.78,2.61
2.69,11958380.0,2.6,2015-01-14,2.69,2.6
2.6,4989650.0,2.55,2015-01-19,2.61,2.52
2.55,4257220.0,2.53,2015-01-20,2.6,2.52
2.52,5558410.0,2.49,2015-01-21,2.55,2.48
2.49,6941600.0,2.53,2015-01-22,2.6,2.46
2.53,4763980.0,2.61,2015-01-23,2.62,2.53
2.65,4906260.0,2.63,2015-01-26,2.69,2.61
2.63,11519290.0,2.46,2015-01-27,2.63,2.46
2.5,3791600.0,2.52,2015-01-28,2.55,2.5
2.55,4957390.0,2.45,2015-01-29,2.55,2.45
2.44,14805960.0,2.46,2015-01-30,2.52,2.43
2.5,13693930.0,2.56,2015-02-02,2.56,2.44
2.66,28820160.0,2.61,2015-02-03,2.77,2.61
2.65,8131720.0,2.66,2015-02-04,2.73,2.63
2.67,4213170.0,2.65,2015-02-05,2.67,2.58
2.65,15300450.0,2.7,2015-02-06,2.8,2.65
2.73,4856200.0,2.63,2015-02-09,2.73,2.62
2.69,4788590.0,2.7,2015-02-10,2.74,2.63
2.68,2610030.0,2.67,2015-02-11,2.72,2.64
2.67,4867640.0,2.7,2015-02-12,2.78,2.66
2.7,6249210.0,2.7,2015-02-13,2.75,2.67
2.72,17257790.0,2.69,2015-02-16,2.85,2.69
2.69,8750120.0,2.66,2015-02-17,2.76,2.63
2.67,3564560.0,2.69,2015-02-18,2.7,2.66
2.69,2244260.0,2.66,2015-02-20,2.73,2.65
2.66,4645790.0,2.64,2015-02-23,2.67,2.62
2.67,7448320.0,2.6,2015-02-24,2.67,2.55
2.58,4225880.0,2.63,2015-02-25,2.65,2.58
2.63,17287330.0,2.75,2015-02-26,2.81,2.61
2.75,5982760.0,2.68,2015-02-27,2.78,2.66
2.68,7242260.0,2.66,2015-03-02,2.68,2.6
2.66,1473240.0,2.67,2015-03-03,2.74,2.65
2.97,87662430.0,2.9,2015-03-04,3.0,2.87
2.89,11452550.0,2.9,2015-03-05,2.91,2.84
2.9,6973580.0,2.91,2015-03-06,2.93,2.87
2.91,4853720.0,2.88,2015-03-09,2.92,2.86
2.9,2680660.0,2.89,2015-03-10,2.91,2.89
2.89,2759330.0,2.9,2015-03-11,2.92,2.87
2.9,9299760.0,2.9,2015-03-12,2.95,2.89
2.91,3229150.0,2.91,2015-03-13,2.93,2.91
2.91,5582680.0,2.87,2015-03-16,2.91,2.86
2.87,6469920.0,2.82,2015-03-17,2.89,2.81
2.82,2917470.0,2.83,2015-03-18,2.87,2.8
2.83,1333360.0,2.86,2015-03-19,2.9,2.83
2.86,1880320.0,2.88,2015-03-20,2.9,2.86
2.88,1327030.0,2.88,2015-03-23,2.89,2.87
2.88,2493630.0,2.88,2015-03-24,2.88,2.86
2.89,4789540.0,2.92,2015-03-25,2.92,2.88
2.92,7179060.0,2.96,2015-03-26,2.96,2.87
2.97,11366970.0,2.93,2015-03-27,2.97,2.91
2.69,13036710.0,2.61,2015-03-30,2.69,2.59
2.58,4130110.0,2.53,2015-03-31,2.6,2.53
2.54,1316800.0,2.6,2015-04-01,2.62,2.54
2.6,1681970.0,2.55,2015-04-06,2.6,2.52
2.6,2443560.0,2.59,2015-04-07,2.6,2.55
2.55,1916760.0,2.56,2015-04-08,2.6,2.54
2.56,1996470.0,2.55,2015-04-10,2.57,2.54
2.55,2054270.0,2.51,2015-04-13,2.55,2.5
2.51,1118630.0,2.51,2015-04-14,2.54,2.49
2.51,2195180.0,2.47,2015-04-15,2.51,2.46
2.45,768130.0,2.45,2015-04-16,2.5,2.41
2.48,652550.0,2.44,2015-04-17,2.48,2.43
2.44,1432360.0,2.4,2015-04-20,2.44,2.35
2.4,1611650.0,2.36,2015-04-21,2.4,2.36
2.36,666920.0,2.35,2015-04-22,2.43,2.31
2.4,1340870.0,2.41,2015-04-23,2.48,2.39
2.43,648840.0,2.42,2015-04-24,2.47,2.42
2.42,1139020.0,2.4,2015-04-27,2.42,2.38
2.4,2192520.0,2.38,2015-04-28,2.4,2.37
2.35,1448300.0,2.35,2015-04-29,2.38,2.31
2.35,1399220.0,2.32,2015-04-30,2.35,2.31
2.32,666260.0,2.36,2015-05-04,2.4,2.32
2.32,1939450.0,2.33,2015-05-05,2.38,2.32
2.32,7025350.0,2.24,2015-05-06,2.34,2.22
2.26,1651050.0,2.3,2015-05-07,2.31,2.23
2.3,1902950.0,2.3,2015-05-08,2.35,2.28
2.3,1277880.0,2.29,2015-05-11,2.3,2.26
2.26,1693860.0,2.27,2015-05-12,2.3,2.26
2.27,1683850.0,2.27,2015-05-13,2.29,2.23
2.27,816670.0,2.26,2015-05-14,2.27,2.25
2.3,2173620.0,2.35,2015-05-15,2.4,2.3
2.35,675420.0,2.32,2015-05-18,2.35,2.3
2.32,4700440.0,2.43,2015-05-19,2.45,2.32
2.43,1658850.0,2.42,2015-05-20,2.46,2.35
2.42,984420.0,2.36,2015-05-21,2.44,2.3
2.33,912790.0,2.34,2015-05-22,2.4,2.32
2.36,1921530.0,2.28,2015-05-25,2.36,2.28
2.27,1518190.0,2.26,2015-05-26,2.29,2.25
2.29,1163030.0,2.22,2015-05-27,2.29,2.22
2.23,2247140.0,2.19,2015-05-28,2.23,2.18
2.19,556180.0,2.22,2015-05-29,2.22,2.19
2.22,695380.0,2.2,2015-06-01,2.22,2.19
2.21,1024020.0,2.18,2015-06-02,2.22,2.15
2.18,1032390.0,2.18,2015-06-03,2.19,2.15
2.18,1612140.0,2.22,2015-06-04,2.26,2.18
2.22,685340.0,2.19,2015-06-05,2.22,2.18
2.18,705180.0,2.22,2015-06-08,2.26,2.18
2.18,1238120.0,2.19,2015-06-09,2.22,2.15
2.16,820230.0,2.17,2015-06-10,2.18,2.15
2.17,514600.0,2.19,2015-06-11,2.23,2.17
2.19,1446980.0,2.18,2015-06-15,2.19,2.17
2.18,1086960.0,2.19,2015-06-16,2.24,2.18
2.17,5537580.0,2.12,2015-06-17,2.17,2.1
2.07,7795100.0,2.04,2015-06-18,2.09,2.0
2.02,9512290.0,1.97,2015-06-19,2.02,1.95
1.97,2924710.0,2.03,2015-06-22,2.05,1.97
2.04,4498110.0,2.01,2015-06-23,2.14,2.01
2.0,1207770.0,2.06,2015-06-24,2.06,2.0
2.05,685090.0,2.02,2015-06-25,2.06,2.02
2.05,685090.0,2.02,2015-06-25,2.06,2.02
2.05,418710.0,2.03,2015-06-26,2.05,2.01
2.03,2138610.0,2.0,2015-06-29,2.04,2.0
2.0,904940.0,1.98,2015-06-30,2.0,1.98
1.98,1546330.0,1.97,2015-07-01,2.0,1.94
1.97,633890.0,1.96,2015-07-02,1.97,1.96
1.97,801670.0,1.97,2015-07-03,1.97,1.95
1.99,1235070.0,1.96,2015-07-06,2.0,1.95
1.96,1071440.0,2.01,2015-07-07,2.01,1.96
2.02,4926450.0,2.07,2015-07-08,2.11,1.98
2.07,1150480.0,2.09,2015-07-09,2.1,2.03
2.09,3226720.0,2.13,2015-07-10,2.16,2.06
2.15,10847460.0,2.35,2015-07-13,2.35,2.15
2.15,10847460.0,2.35,2015-07-13,2.35,2.15
2.39,8576200.0,2.26,2015-07-14,2.4,2.2
2.26,2051750.0,2.24,2015-07-15,2.31,2.23
2.25,2589070.0,2.35,2015-07-16,2.36,2.23
2.38,10270130.0,2.45,2015-07-20,2.49,2.38
2.46,3730560.0,2.47,2015-07-21,2.5,2.46
2.49,3663140.0,2.41,2015-07-22,2.5,2.38
2.46,1585020.0,2.44,2015-07-23,2.46,2.4
2.46,1585020.0,2.44,2015-07-23,2.46,2.4
2.46,1585020.0,2.44,2015-07-23,2.46,2.4
2.44,1167520.0,2.41,2015-07-24,2.44,2.4
2.42,3534090.0,2.45,2015-07-27,2.49,2.42
2.45,4428250.0,2.35,2015-07-28,2.48,2.35
2.35,3502620.0,2.3,2015-07-29,2.4,2.25
2.26,1223340.0,2.3,2015-07-30,2.35,2.26
2.29,1718340.0,2.26,2015-07-31,2.29,2.26
2.27,1104430.0,2.32,2015-08-03,2.34,2.27
2.33,3359720.0,2.42,2015-08-04,2.44,2.33
2.43,2314130.0,2.39,2015-08-05,2.44,2.35
2.41,920030.0,2.39,2015-08-06,2.41,2.37
2.38,774550.0,2.4,2015-08-07,2.4,2.35
2.4,1630700.0,2.32,2015-08-10,2.4,2.32
2.32,5325470.0,2.22,2015-08-11,2.32,2.2
2.2,2621420.0,2.26,2015-08-12,2.3,2.15
2.24,1277230.0,2.21,2015-08-13,2.25,2.18
2.21,570520.0,2.23,2015-08-14,2.24,2.21
2.24,1761280.0,2.16,2015-08-17,2.24,2.12
2.11,1572000.0,2.07,2015-08-18,2.17,2.04
2.06,896570.0,2.12,2015-08-19,2.18,2.06
2.18,577360.0,2.13,2015-08-20,2.18,2.11
2.12,2543260.0,1.96,2015-08-24,2.12,1.96
1.95,679590.0,2.0,2015-08-25,2.0,1.91
2.08,678350.0,2.03,2015-08-26,2.09,2.02
2.08,571060.0,2.15,2015-08-27,2.15,2.08
2.14,878300.0,2.14,2015-08-28,2.15,2.09
2.12,508610.0,2.05,2015-09-01,2.12,2.04
2.04,887680.0,2.04,2015-09-02,2.05,2.0
2.03,651400.0,2.01,2015-09-03,2.05,2.01
2.03,545170.0,2.02,2015-09-04,2.04,2.02
2.0,546030.0,1.99,2015-09-07,2.03,1.94
1.99,689600.0,1.98,2015-09-08,2.03,1.92
2.04,158940.0,2.0,2015-09-09,2.04,2.0
2.0,390060.0,2.0,2015-09-10,2.01,1.99
2.03,437120.0,2.03,2015-09-11,2.03,1.99
2.03,118899.99999999999,1.99,2015-09-14,2.03,1.99
2.03,712970.0,2.01,2015-09-15,2.09,2.0
2.03,712970.0,2.01,2015-09-15,2.09,2.0
2.03,712970.0,2.01,2015-09-15,2.09,2.0
2.07,229600.0,2.02,2015-09-16,2.07,2.01
2.01,699470.0,2.0,2015-09-17,2.01,1.98
2.0,609750.0,1.99,2015-09-18,2.03,1.97
1.98,970910.0,1.97,2015-09-21,1.99,1.94
1.96,1935000.0,1.99,2015-09-22,2.1,1.96
2.0,1261340.0,1.95,2015-09-23,2.01,1.95
1.95,260950.0,2.0,2015-09-24,2.05,1.95
2.03,538580.0,1.96,2015-09-28,2.03,1.96
1.97,752750.0,1.95,2015-09-29,1.98,1.94
1.99,513020.0,1.95,2015-09-30,1.99,1.95
1.94,970070.0,1.96,2015-10-01,1.97,1.94
1.98,335810.0,2.0,2015-10-02,2.01,1.94
2.0,551120.0,1.99,2015-10-05,2.02,1.98
1.95,203150.0,1.99,2015-10-06,2.0,1.95
1.99,628150.0,1.99,2015-10-07,2.0,1.95
2.01,1862790.0,2.1,2015-10-08,2.12,2.0
2.18,1295670.0,2.12,2015-10-09,2.18,2.07
2.13,842020.0,2.01,2015-10-12,2.13,1.99
2.0,1024070.0,2.05,2015-10-13,2.05,1.99
2.06,1427680.0,2.02,2015-10-14,2.06,2.01
2.01,438510.0,2.0,2015-10-15,2.05,1.99
2.0,303120.0,2.0,2015-10-16,2.05,2.0
2.0,477060.0,1.99,2015-10-19,2.0,1.99
1.99,61690.0,1.99,2015-10-20,1.99,1.99
1.99,173080.0,1.98,2015-10-21,2.0,1.98
1.98,257080.0,1.99,2015-10-22,2.01,1.98
1.99,2432300.0,2.0,2015-10-23,2.0,1.97
2.0,399450.0,2.0,2015-10-26,2.04,1.99
2.01,734180.0,2.0,2015-10-27,2.01,2.0
2.0,1801350.0,2.0,2015-10-28,2.02,1.99
2.03,392420.0,2.02,2015-10-29,2.05,2.01
2.0,1089950.0,2.04,2015-10-30,2.04,2.0
2.01,342110.0,2.04,2015-11-02,2.04,2.0
2.04,2614880.0,2.09,2015-11-03,2.12,2.04
2.11,2602270.0,2.06,2015-11-04,2.18,2.06
2.07,1636080.0,2.07,2015-11-05,2.13,2.01
2.05,534910.0,2.05,2015-11-06,2.08,2.03
2.02,1155070.0,2.01,2015-11-09,2.04,2.01
2.01,1266840.0,1.99,2015-11-10,2.02,1.98
1.99,724370.0,1.99,2015-11-11,2.02,1.98
1.99,482790.0,2.01,2015-11-12,2.05,1.99
1.99,1612610.0,1.94,2015-11-13,2.0,1.94
1.94,1845850.0,1.9,2015-11-16,1.94,1.9
1.92,2454650.0,1.87,2015-11-17,1.98,1.87
1.87,1603680.0,1.83,2015-11-20,1.87,1.81
1.83,1057380.0,1.84,2015-11-23,1.9,1.82
1.82,516220.0,1.81,2015-11-24,1.83,1.8
1.8,437850.0,1.81,2015-11-25,1.84,1.8
1.8,527320.0,1.8,2015-11-26,1.8,1.75
1.79,1836940.0,1.72,2015-11-27,1.79,1.71
1.72,457040.0,1.77,2015-12-01,1.78,1.7
1.77,1135450.0,1.73,2015-12-02,1.77,1.66
1.7,808320.0,1.66,2015-12-03,1.7,1.65
1.66,720340.0,1.74,2015-12-04,1.75,1.66
1.7,295840.0,1.71,2015-12-07,1.75,1.67
1.71,262050.0,1.7,2015-12-08,1.71,1.68
1.75,100000.0,1.72,2015-12-09,1.75,1.66
1.72,211180.0,1.68,2015-12-10,1.72,1.67
1.65,259000.0,1.65,2015-12-11,1.65,1.64
1.61,918720.0,1.6,2015-12-14,1.61,1.6
1.59,267780.0,1.59,2015-12-15,1.62,1.59
1.62,162790.0,1.59,2015-12-16,1.62,1.59
1.61,302790.0,1.61,2015-12-17,1.64,1.61
1.59,351840.0,1.56,2015-12-18,1.59,1.56
1.55,933890.0,1.52,2015-12-21,1.55,1.5
1.51,351040.0,1.48,2015-12-22,1.51,1.45
1.5,1261710.0,1.56,2015-12-23,1.71,1.45
1.56,388020.0,1.6,2015-12-28,1.64,1.56
1.56,539540.0,1.61,2015-12-29,1.63,1.55
