OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
4.0,120000.0,4.0,2009-08-07,4.0,4.0
3.35,83750.0,3.35,2009-08-14,3.35,3.35
3.0,30000.0,3.0,2009-08-18,3.0,3.0
3.25,274500.0,3.5,2009-08-19,3.5,3.25
3.5,35000.0,3.5,2009-08-20,3.5,3.5
3.5,105000.0,3.5,2009-08-24,3.5,3.5
3.5,105000.0,3.5,2009-08-25,3.5,3.5
3.5,293500.0,3.8,2009-08-26,3.8,3.5
3.25,172500.0,3.5,2009-09-18,3.5,3.25
3.5,35000.0,3.5,2009-09-22,3.5,3.5
3.3,33000.0,3.3,2009-10-01,3.3,3.3
3.5,38500.0,3.5,2009-10-16,3.5,3.5
2.55,2550.0,2.55,2009-10-30,2.55,2.55
2.7,283000.0,3.0,2009-11-03,3.0,2.7
2.85,11700.0,3.0,2009-11-04,3.0,2.85
2.8,2800.0,2.8,2009-11-09,2.8,2.8
2.8,59050.0,3.15,2009-11-11,3.15,2.8
1.88,103260.0,2.5,2009-12-22,2.5,1.88
2.5,10000.0,2.5,2010-01-07,2.5,2.5
2.55,571000.0,3.0,2010-01-12,3.0,2.55
3.3,5186050.0,4.5,2010-01-13,4.5,3.3
4.75,23850950.0,4.8,2010-01-14,5.5,4.65
4.65,2757850.0,4.5,2010-01-15,5.0,4.5
4.4,23751250.0,4.65,2010-01-18,4.9,4.4
4.45,9350400.0,4.35,2010-01-19,4.45,4.15
4.15,3880800.0,4.2,2010-01-20,4.3,4.0
4.0,4879500.0,4.2,2010-01-21,4.2,3.8
4.05,1561300.0,4.05,2010-01-22,4.3,4.05
4.0,617250.0,3.7,2010-01-25,4.0,3.7
3.75,423500.0,3.65,2010-01-26,3.8,3.65
3.55,1480800.0,3.4,2010-01-27,3.55,3.4
3.35,320900.0,3.55,2010-01-28,3.95,3.35
3.55,17750.0,3.55,2010-02-01,3.55,3.55
3.4,7000.0,3.6,2010-02-03,3.6,3.4
3.6,1206850.0,3.9,2010-02-04,4.0,3.6
3.9,27250.0,3.85,2010-02-05,3.9,3.85
3.95,23450.0,3.9,2010-02-08,3.95,3.9
4.0,4000.0,4.0,2010-02-09,4.0,4.0
3.95,46850.0,3.9,2010-02-10,3.95,3.9
3.95,7850.0,3.9,2010-02-11,3.95,3.9
3.8,11550.0,3.95,2010-03-12,3.95,3.8
3.6,79200.0,3.6,2010-03-16,3.6,3.6
3.95,7900.0,3.95,2010-03-17,3.95,3.95
4.5,227000.0,4.4,2010-03-31,4.55,4.4
3.95,19200.0,3.9,2010-04-20,3.95,3.75
3.85,19000.0,3.85,2010-04-21,3.85,3.75
3.9,154650.0,3.75,2010-04-22,3.9,3.75
3.75,241550.0,3.7,2010-04-23,3.75,3.7
3.2,71250.0,3.05,2010-04-29,3.2,3.05
3.15,87050.0,3.1,2010-04-30,3.15,3.1
3.35,820350.0,2.8,2010-05-04,3.35,2.8
2.8,475100.0,2.7,2010-05-05,2.9,2.5
2.95,2950.0,2.95,2010-05-13,2.95,2.95
2.8,56000.0,2.8,2010-05-14,2.8,2.8
2.9,23800.0,3.0,2010-05-17,3.0,2.9
2.85,17100.0,2.85,2010-05-18,2.85,2.85
2.85,664200.0,2.5,2010-05-19,2.85,2.5
2.7,2700.0,2.7,2010-05-20,2.7,2.7
2.5,65200.0,2.7,2010-05-21,2.7,2.5
2.85,82850.0,2.5,2010-05-24,2.85,2.5
2.8,2800.0,2.8,2010-05-25,2.8,2.8
2.7,2700.0,2.7,2010-05-26,2.7,2.7
2.65,60950.0,2.65,2010-05-27,2.65,2.65
2.65,36050.0,2.6,2010-05-28,2.65,2.55
2.65,33250.0,2.55,2010-05-31,2.65,2.55
2.65,5300.0,2.65,2010-06-01,2.65,2.65
2.65,173980.0,2.48,2010-06-02,2.65,2.46
2.55,98650.0,2.46,2010-06-03,2.55,2.46
2.65,2650.0,2.65,2010-06-04,2.65,2.65
2.6,2600.0,2.6,2010-06-07,2.6,2.6
2.65,12460.0,2.65,2010-06-08,2.65,2.3
2.6,2600.0,2.6,2010-06-09,2.6,2.6
2.6,390900.0,2.7,2010-06-10,2.7,2.6
2.8,130300.0,2.7,2010-06-11,2.9,2.7
2.8,30900.0,2.9,2010-06-15,2.9,2.8
2.85,419650.0,2.95,2010-06-16,3.1,2.85
2.65,15900.0,2.65,2010-06-22,2.65,2.65
2.65,53000.0,2.65,2010-06-23,2.65,2.65
2.65,13250.0,2.65,2010-06-24,2.65,2.65
2.7,10800.0,2.7,2010-06-25,2.7,2.7
2.7,86400.0,2.7,2010-06-28,2.7,2.7
3.1,51700.0,2.7,2010-07-01,3.1,2.7
2.7,53850.0,2.65,2010-07-02,2.75,2.65
