OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
3.3,582850.0,3.25,2009-08-03,3.3,3.25
3.3,713900.0,3.25,2009-08-04,3.3,3.25
3.25,78200.0,3.3,2009-08-06,3.3,3.25
3.25,357500.0,3.25,2009-08-07,3.25,3.25
3.25,721250.0,3.2,2009-08-10,3.25,3.2
3.2,225750.0,3.25,2009-08-11,3.25,3.2
3.25,388900.0,3.3,2009-08-12,3.3,3.25
3.35,212300.0,3.3,2009-08-13,3.35,3.3
3.2,230000.0,3.3,2009-08-14,3.3,3.2
3.2,656000.0,3.2,2009-08-17,3.2,3.2
3.1,472150.0,3.2,2009-08-18,3.2,3.1
3.15,627900.0,3.2,2009-08-19,3.2,3.15
3.2,728400.0,3.25,2009-08-20,3.35,3.2
3.3,1592850.0,3.3,2009-08-24,3.35,3.3
3.3,2442000.0,3.3,2009-08-25,3.3,3.3
3.3,1174750.0,3.3,2009-08-26,3.3,3.25
3.25,353500.0,3.2,2009-09-03,3.25,3.2
3.2,1179750.0,3.2,2009-09-04,3.25,3.15
3.65,10004200.0,3.65,2009-09-16,3.8,3.65
3.75,2652350.0,3.7,2009-09-17,3.75,3.6
3.75,7185250.0,3.7,2009-09-18,3.75,3.65
3.8,2807800.0,3.75,2009-09-22,3.8,3.7
3.7,3041900.0,3.7,2009-09-23,3.75,3.7
3.5,1936550.0,3.5,2009-09-30,3.6,3.5
3.5,1057750.0,3.4,2009-10-01,3.5,3.35
3.35,1020250.0,3.35,2009-10-02,3.35,3.25
3.3,612000.0,3.3,2009-10-05,3.35,3.3
3.3,985400.0,3.3,2009-10-06,3.3,3.25
3.25,818700.0,3.35,2009-10-07,3.35,3.25
3.3,928900.0,3.35,2009-10-08,3.4,3.3
3.35,473300.0,3.35,2009-10-09,3.35,3.3
3.4,712150.0,3.4,2009-10-12,3.4,3.35
3.4,924650.0,3.4,2009-10-13,3.45,3.35
3.4,119000.0,3.4,2009-10-14,3.4,3.4
3.35,370050.0,3.4,2009-10-15,3.4,3.35
3.35,2211900.0,3.6,2009-10-16,3.6,3.35
3.65,1285600.0,3.6,2009-10-19,3.65,3.4
3.5,441500.0,3.55,2009-10-20,3.55,3.5
3.5,277500.0,3.5,2009-10-21,3.5,3.45
3.35,135500.0,3.5,2009-10-22,3.5,3.35
3.4,889700.0,3.5,2009-10-23,3.5,3.4
3.4,99950.0,3.55,2009-10-26,3.55,3.4
3.5,1066600.0,3.6,2009-10-27,3.6,3.5
3.65,2000550.0,3.65,2009-10-28,3.85,3.5
3.4,1724000.0,3.45,2009-10-29,3.5,3.4
3.35,593500.0,3.4,2009-11-03,3.45,3.35
3.35,1035750.0,3.35,2009-11-04,3.4,3.3
3.35,684250.0,3.35,2009-11-05,3.35,3.3
3.4,300000.0,3.3,2009-11-06,3.4,3.3
3.25,1683200.0,3.3,2009-11-09,3.3,3.2
3.3,167100.0,3.4,2009-11-10,3.4,3.3
3.2,227500.0,3.3,2009-11-11,3.3,3.2
3.0,672000.0,3.0,2009-12-16,3.0,3.0
3.05,189100.0,3.05,2009-12-17,3.05,3.05
3.05,45250.0,3.0,2009-12-18,3.05,3.0
3.05,334000.0,3.0,2009-12-22,3.15,3.0
3.2,747050.0,2.9,2009-12-23,3.4,2.9
3.2,92800.0,3.2,2009-12-29,3.2,3.2
3.2,2983200.0,3.4,2010-01-04,3.45,3.2
3.4,176800.0,3.4,2010-01-05,3.4,3.4
3.4,2729600.0,3.5,2010-01-06,3.5,3.4
3.7,3761550.0,3.5,2010-01-07,3.75,3.5
3.5,2050700.0,3.6,2010-01-08,3.6,3.5
3.75,13646550.0,3.8,2010-01-11,3.9,3.7
3.8,17379100.0,4.0,2010-01-12,4.1,3.8
4.2,46699450.0,4.15,2010-01-13,4.35,4.1
4.15,17957000.0,3.8,2010-01-14,4.25,3.8
3.8,7136650.0,3.7,2010-01-15,3.8,3.6
3.7,1535000.0,3.6,2010-01-18,3.7,3.55
3.6,1461750.0,3.6,2010-01-19,3.65,3.55
3.6,2508450.0,3.5,2010-01-20,3.6,3.45
3.35,588450.0,3.5,2010-01-21,3.5,3.35
3.35,719550.0,3.5,2010-01-22,3.5,3.35
3.35,445750.0,3.45,2010-01-25,3.45,3.35
3.4,486800.0,3.3,2010-01-26,3.4,3.3
3.3,590700.0,3.3,2010-01-27,3.3,3.3
3.3,461250.0,3.3,2010-01-28,3.3,3.25
3.3,313500.0,3.3,2010-01-29,3.3,3.3
3.3,1311750.0,3.3,2010-02-01,3.35,3.3
3.3,767200.0,3.25,2010-02-02,3.3,3.25
3.25,1441350.0,3.2,2010-02-03,3.3,3.2
3.25,792100.0,3.25,2010-02-04,3.3,3.25
3.25,1542100.0,3.2,2010-02-05,3.25,3.15
3.25,201850.0,3.2,2010-02-08,3.25,3.2
3.15,743450.0,3.1,2010-02-09,3.2,3.1
3.2,211200.0,3.2,2010-02-10,3.2,3.2
3.2,260100.0,3.3,2010-02-11,3.3,3.15
3.45,4073300.0,3.55,2010-03-08,3.55,3.45
3.55,177500.0,3.55,2010-03-12,3.55,3.55
3.5,688000.0,3.4,2010-03-15,3.5,3.4
3.45,69250.0,3.45,2010-03-16,3.5,3.45
3.5,231000.0,3.5,2010-03-17,3.5,3.5
3.5,105000.0,3.5,2010-03-31,3.5,3.5
3.3,393550.0,3.25,2010-04-20,3.3,3.25
3.3,16500.0,3.3,2010-04-21,3.3,3.3
3.25,259950.0,3.25,2010-04-22,3.25,3.2
3.2,519500.0,3.25,2010-04-23,3.3,3.2
3.2,831900.0,3.25,2010-04-29,3.25,3.2
3.2,862000.0,3.3,2010-04-30,3.3,3.2
3.25,487500.0,3.25,2010-05-04,3.25,3.25
3.2,224000.0,3.2,2010-05-05,3.2,3.2
3.25,612750.0,3.25,2010-05-13,3.3,3.25
3.2,914750.0,3.3,2010-05-14,3.3,3.2
3.3,85800.0,3.3,2010-05-17,3.3,3.3
3.3,460300.0,3.25,2010-05-18,3.35,3.25
3.25,81250.0,3.25,2010-05-19,3.25,3.25
3.2,288000.0,3.2,2010-05-20,3.2,3.2
