OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.0,100000.0,1.0,2017-12-20,1.0,1.0
1.0,43000.0,1.0,2017-12-28,1.0,1.0
1.0,50000.0,1.0,2018-01-19,1.0,1.0
1.0,2000.0,1.0,2018-01-23,1.0,1.0
1.0,4000.0,1.0,2018-01-25,1.0,1.0
1.0,2000.0,1.0,2018-01-26,1.0,1.0
1.05,24874.0,1.06,2018-02-01,1.06,1.05
1.03,3039.6,1.01,2018-02-05,1.03,1.01
1.01,9090.0,1.01,2018-02-07,1.01,1.01
1.02,98940.0,1.02,2018-02-13,1.02,1.02
1.01,464.6,1.01,2018-02-15,1.01,1.01
1.02,23562.0,1.02,2018-02-27,1.02,1.02
1.02,119401.2,1.02,2018-03-01,1.02,1.02
1.02,3814.8,1.02,2018-03-07,1.02,1.02
1.02,33190.8,1.02,2018-03-08,1.02,1.02
1.03,356202.2,1.02,2018-03-09,1.03,1.02
1.05,525.0,1.05,2018-03-15,1.05,1.05
1.05,25710.0,1.02,2018-03-16,1.05,1.02
1.03,132596.6,1.02,2018-03-21,1.03,1.02
1.02,71400.0,1.02,2018-03-26,1.02,1.02
1.03,18334.0,1.03,2018-04-02,1.03,1.03
1.02,180519.6,1.02,2018-04-04,1.02,1.02
1.02,102530.4,1.02,2018-04-05,1.02,1.02
1.02,71400.0,1.02,2018-04-10,1.02,1.02
1.02,612.0,1.02,2018-04-11,1.02,1.02
1.02,25500.0,1.02,2018-04-12,1.02,1.02
1.02,79743.6,1.02,2018-04-13,1.02,1.02
1.02,143820.0,1.02,2018-04-18,1.02,1.02
1.02,341516.4,1.02,2018-04-25,1.02,1.02
1.02,102000.0,1.02,2018-04-26,1.02,1.02
1.02,123400.0,1.03,2018-04-30,1.03,1.02
1.02,4080.0,1.02,2018-05-02,1.02,1.02
1.03,49852.0,1.03,2018-05-08,1.03,1.03
1.03,52962.6,1.03,2018-05-16,1.03,1.03
1.03,17530.6,1.03,2018-05-18,1.03,1.03
1.02,15300.0,1.02,2018-05-22,1.02,1.02
1.02,2040.0,1.02,2018-05-25,1.02,1.02
1.02,25500.0,1.02,2018-05-30,1.02,1.02
1.02,102000.0,1.02,2018-06-08,1.02,1.02
1.02,2040.0,1.02,2018-07-09,1.02,1.02
1.02,51000.0,1.02,2018-07-10,1.02,1.02
1.02,11220.0,1.02,2018-07-18,1.02,1.02
1.01,12928.0,1.01,2018-07-20,1.01,1.01
1.01,4040.0,1.01,2018-07-24,1.01,1.01
1.01,33532.0,1.01,2018-07-26,1.01,1.01
1.01,6868.0,1.01,2018-07-30,1.01,1.01
1.01,19928.8,1.02,2018-07-31,1.02,1.01
1.02,25090.0,1.0,2018-08-06,1.02,1.0
1.0,189960.0,1.0,2018-08-07,1.0,1.0
1.01,1212.0,1.01,2018-08-15,1.01,1.01
1.01,25916.6,1.01,2018-08-16,1.01,1.01
1.0,1380.0,1.0,2018-08-23,1.0,1.0
1.04,145.6,1.04,2018-08-24,1.04,1.04
1.0,149836.8,1.04,2018-08-30,1.04,1.0
1.0,10000.0,1.0,2018-09-04,1.0,1.0
1.01,98980.0,1.01,2018-09-07,1.01,1.01
1.01,19897.0,1.01,2018-09-12,1.01,1.01
1.01,30300.0,1.01,2018-09-14,1.01,1.01
1.0,18380.0,1.0,2018-09-17,1.0,1.0
1.0,100.0,1.0,2018-09-18,1.0,1.0
0.8,8000.0,0.8,2018-09-20,0.8,0.8
0.99,95790.0,1.0,2018-09-24,1.0,0.99
0.99,95790.0,1.0,2018-09-24,1.0,0.99
1.0,4200.0,1.0,2018-10-03,1.0,1.0
1.01,1373.6,1.01,2018-10-19,1.01,1.01
1.01,4969.2,1.01,2018-10-31,1.01,1.01
1.0,10600.0,1.0,2018-11-05,1.0,1.0
1.0,20.0,1.0,2018-11-06,1.0,1.0
1.0,3960.0,1.0,2018-11-12,1.0,1.0
1.0,28282.2,1.01,2018-11-13,1.01,1.0
1.03,29911.2,1.03,2018-11-14,1.03,1.03
1.01,50078.2,1.01,2018-11-15,1.01,0.98
1.03,29870.0,1.03,2018-11-16,1.03,1.03
1.01,20105.0,1.03,2018-11-20,1.03,1.01
1.03,679.8,1.03,2018-11-22,1.03,1.03
1.03,49996.2,1.03,2018-11-26,1.03,1.03
1.01,25250.0,1.01,2018-11-28,1.01,1.01
1.01,48830.0,1.02,2018-12-05,1.02,1.01
1.01,80.8,1.01,2018-12-12,1.01,1.01
1.01,34340.0,1.01,2018-12-13,1.01,1.01
1.02,19930.8,1.02,2019-01-03,1.02,1.02
1.02,10200.0,1.02,2019-01-04,1.02,1.02
1.01,3030.0,1.01,2019-01-17,1.01,1.01
1.01,484.8,1.01,2019-01-23,1.01,1.01
1.01,90718.2,1.01,2019-01-24,1.01,1.01
1.01,23598.8,1.0,2019-01-31,1.01,1.0
1.0,5000.0,1.0,2019-02-01,1.0,1.0
1.0,2000.0,1.0,2019-02-04,1.0,1.0
1.0,11360.0,1.0,2019-02-06,1.0,1.0
1.0,1000.0,1.0,2019-02-07,1.0,1.0
0.95,9304.0,0.91,2019-02-08,0.95,0.91
1.0,20000.0,1.0,2019-02-14,1.0,1.0
1.0,2300.0,1.0,2019-02-15,1.0,1.0
1.0,6000.0,1.0,2019-02-20,1.0,1.0
1.0,50000.0,1.0,2019-02-26,1.0,1.0
1.0,400.0,1.0,2019-02-27,1.0,1.0
1.0,11640.0,1.0,2019-02-28,1.0,1.0
1.0,5000.0,1.0,2019-03-01,1.0,1.0
1.0,3000.0,1.0,2019-03-04,1.0,1.0
0.9,900.0,0.9,2019-03-05,0.9,0.9
1.0,1500.0,1.0,2019-03-06,1.0,1.0
1.0,1580.0,1.0,2019-03-07,1.0,1.0
0.99,772.2,0.99,2019-03-11,0.99,0.99
0.99,297.0,0.99,2019-03-12,0.99,0.99
0.99,693.0,0.99,2019-03-13,0.99,0.99
0.99,9801.0,0.99,2019-03-15,0.99,0.99
1.0,1900.0,1.0,2019-03-18,1.0,1.0
1.0,140.0,1.0,2019-03-19,1.0,1.0
0.99,19800.0,0.99,2019-03-20,0.99,0.99
1.0,100.0,1.0,2019-03-25,1.0,1.0
1.0,2520.0,1.0,2019-03-27,1.0,1.0
0.99,10890.0,0.99,2019-03-29,0.99,0.99
0.99,297.0,0.99,2019-04-01,0.99,0.99
0.99,1980.0,0.99,2019-04-02,0.99,0.99
0.99,14965.0,0.98,2019-04-03,1.0,0.98
0.98,39102.0,0.98,2019-04-04,0.98,0.98
1.0,154000.0,1.0,2019-04-15,1.0,1.0
1.0,2000.0,1.0,2019-04-16,1.0,1.0
1.0,35980.0,1.0,2019-04-22,1.0,1.0
1.0,580.0,1.0,2019-04-26,1.0,1.0
0.99,9900.0,0.99,2019-05-03,0.99,0.99
0.99,19800.0,0.99,2019-05-06,0.99,0.99
1.0,41700.0,1.0,2019-05-07,1.0,0.99
1.0,78100.0,1.0,2019-05-08,1.0,1.0
1.0,4000.0,1.0,2019-05-09,1.0,1.0
1.0,20000.0,1.0,2019-05-10,1.0,1.0
1.0,13200.0,1.0,2019-05-14,1.0,1.0
1.0,1000.0,1.0,2019-05-15,1.0,1.0
1.0,5000.0,1.0,2019-05-16,1.0,1.0
1.0,53300.0,1.0,2019-05-20,1.0,1.0
1.0,45980.0,1.0,2019-05-21,1.0,1.0
1.0,200720.0,1.0,2019-05-22,1.0,1.0
1.0,35360.0,1.0,2019-05-23,1.0,1.0
1.0,20000.0,1.0,2019-05-28,1.0,1.0
1.0,10000.0,1.0,2019-05-29,1.0,1.0
1.0,20000.0,1.0,2019-06-04,1.0,1.0
1.0,20000.0,1.0,2019-06-06,1.0,1.0
0.99,792.0,0.99,2019-06-11,0.99,0.99
0.97,17460.0,0.97,2019-06-13,0.97,0.97
1.0,200.0,1.0,2019-06-21,1.0,1.0
1.0,199920.0,1.0,2019-06-25,1.0,1.0
1.0,99700.0,1.0,2019-06-26,1.0,1.0
1.0,99779.2,0.99,2019-06-27,1.0,0.99
