OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
7.9,112595801.0,7.95,2011-11-18,8.27,7.81
7.95,47980379.0,7.7,2011-11-21,8.1,7.47
7.41,19387940.0,7.6,2011-11-22,7.8,7.41
7.59,11921732.0,7.68,2011-11-23,7.68,7.56
7.6,8388369.0,7.6,2011-11-24,7.62,7.54
7.6,29028296.0,7.59,2011-11-25,7.6,7.46
7.59,2862278.0,7.6,2011-11-28,7.63,7.41
7.6,2557566.0,7.6,2011-11-29,7.62,7.5
7.66,17323741.0,7.9,2011-12-01,7.9,7.66
7.89,39929337.0,8.18,2011-12-02,8.22,7.81
8.2,9565503.0,8.19,2011-12-05,8.33,8.11
8.2,5038514.0,8.1,2011-12-06,8.2,8.0
8.1,4861244.0,8.13,2011-12-07,8.2,7.95
8.0,3189113.0,8.05,2011-12-08,8.08,7.85
8.08,21051236.0,8.0,2011-12-09,8.08,7.85
8.0,1078464.0,7.85,2011-12-12,8.0,7.85
7.82,5655474.0,8.05,2011-12-13,8.1,7.8
8.03,2175565.0,8.03,2011-12-14,8.05,7.83
7.92,4202034.0,8.01,2011-12-15,8.07,7.92
8.0,2100012.0,8.01,2011-12-16,8.02,7.9
7.91,944645.0,8.0,2011-12-19,8.0,7.91
8.0,1596459.0,8.0,2011-12-20,8.01,7.93
8.0,16757623.0,8.1,2011-12-21,8.12,7.91
8.11,3180280.0,8.1,2011-12-22,8.12,7.95
8.0,1947439.0,8.0,2011-12-23,8.07,7.97
7.95,606645.0,8.0,2011-12-26,8.0,7.92
8.08,713559.0,8.07,2011-12-27,8.08,7.96
8.09,1618883.0,8.05,2011-12-28,8.09,7.99
8.01,15745170.0,8.2,2011-12-29,8.2,8.01
7.95,521323.0,8.15,2012-01-02,8.18,7.95
8.02,2294521.0,8.01,2012-01-03,8.09,8.0
8.0,2514863.0,7.99,2012-01-04,8.08,7.95
7.96,2001014.0,7.94,2012-01-05,7.96,7.9
7.9,1046058.0,7.94,2012-01-06,7.94,7.86
7.86,671511.0,7.9,2012-01-09,7.98,7.86
7.9,557961.0,7.9,2012-01-10,7.9,7.86
8.0,1685768.0,7.88,2012-01-11,8.0,7.85
7.86,943632.0,7.9,2012-01-12,7.9,7.86
7.84,559348.0,7.9,2012-01-13,7.99,7.84
7.98,865264.0,7.9,2012-01-16,7.98,7.82
7.98,962866.0,7.84,2012-01-17,7.98,7.8
7.95,795.0,7.95,2012-01-18,7.95,7.95
7.84,815591.0,7.94,2012-01-19,7.94,7.73
7.71,172065.0,7.9,2012-01-20,7.9,7.71
7.9,337643.0,7.9,2012-01-24,7.9,7.73
7.73,420529.0,7.88,2012-01-25,7.88,7.73
7.72,1051200.0,7.9,2012-01-26,7.9,7.72
7.74,1179285.0,7.89,2012-01-27,7.89,7.71
7.8,93888.0,7.88,2012-01-30,7.88,7.75
7.7,1578510.0,7.86,2012-01-31,7.86,7.62
7.86,2082422.0,7.9,2012-02-01,7.9,7.6
7.88,182482.0,7.9,2012-02-02,7.9,7.7
7.7,144927.0,7.9,2012-02-03,7.9,7.66
7.69,81225.0,7.8,2012-02-07,7.8,7.69
7.7,96763.0,7.8,2012-02-08,7.8,7.7
7.8,861568.0,7.78,2012-02-09,7.8,7.72
7.78,2096574.0,7.96,2012-02-10,7.99,7.76
7.76,1264856.0,7.9,2012-02-13,8.0,7.76
7.77,415507.0,7.95,2012-02-14,7.99,7.77
7.95,625754.0,7.96,2012-02-15,7.99,7.78
7.8,1097701.0,7.95,2012-02-16,7.97,7.76
7.79,544550.0,7.99,2012-02-17,7.99,7.78
8.0,901269.0,8.0,2012-02-20,8.0,7.75
7.75,319440.0,7.94,2012-02-21,7.94,7.75
7.72,476607.0,7.89,2012-02-22,7.98,7.72
7.72,215827.0,7.9,2012-02-23,7.9,7.72
7.85,496785.0,7.9,2012-02-24,7.9,7.78
7.8,1308483.0,7.85,2012-02-27,7.85,7.79
7.84,241397.0,7.92,2012-02-28,7.92,7.84
7.89,1076028.0,8.0,2012-02-29,8.0,7.76
7.97,1595.0,7.98,2012-03-01,7.98,7.97
7.95,382502.0,7.97,2012-03-02,7.97,7.92
7.9,1376297.0,7.8,2012-03-05,7.97,7.8
7.9,263540.0,7.9,2012-03-06,7.95,7.73
7.9,1317662.0,7.95,2012-03-07,7.95,7.9
7.9,1519071.0,7.9,2012-03-08,7.9,7.65
7.63,1067669.0,7.78,2012-03-09,7.8,7.6
7.8,473842.0,7.8,2012-03-12,7.8,7.61
7.79,1558.0,7.79,2012-03-13,7.79,7.79
7.79,17681428.0,8.1,2012-03-14,8.1,7.79
8.1,1605604.0,8.1,2012-03-15,8.14,8.01
8.1,3070512.0,8.22,2012-03-16,8.22,8.05
8.17,4442556.0,8.24,2012-03-19,8.24,8.13
8.22,2639799.0,8.22,2012-03-20,8.22,8.17
8.2,5060005.0,8.25,2012-03-21,8.25,8.15
8.26,570007.0,8.24,2012-03-22,8.26,8.16
8.2,1046746.0,8.18,2012-03-23,8.2,8.13
8.1,1012058.0,8.18,2012-03-26,8.18,8.05
8.12,2328027.0,8.17,2012-03-27,8.18,8.11
8.06,562646.0,8.16,2012-03-28,8.16,8.06
8.16,3310485.0,8.14,2012-03-29,8.16,8.06
8.11,682927.0,8.11,2012-03-30,8.14,8.11
8.1,497289.0,8.13,2012-04-02,8.16,8.07
8.06,1124822.0,8.1,2012-04-03,8.12,8.06
8.06,1697914.0,8.1,2012-04-04,8.1,8.06
8.06,48367.0,8.13,2012-04-10,8.13,8.06
8.12,6038554.0,8.16,2012-04-11,8.2,8.06
8.06,137390.0,8.16,2012-04-12,8.16,8.06
8.16,1515535.0,8.16,2012-04-13,8.16,8.05
8.05,106289.0,8.14,2012-04-16,8.14,8.05
8.14,1507448.0,8.14,2012-04-17,8.16,8.06
8.08,1094111.0,8.11,2012-04-18,8.12,8.06
8.06,411100.0,8.1,2012-04-19,8.1,8.06
8.06,631267.0,8.2,2012-04-20,8.2,8.06
8.19,819.0,8.19,2012-04-23,8.19,8.19
8.19,430093.0,8.19,2012-04-24,8.19,8.07
8.19,622865.0,8.17,2012-04-25,8.19,8.08
8.17,179637.0,8.17,2012-04-26,8.17,8.08
8.1,660309.0,8.2,2012-04-27,8.2,8.08
8.2,819.9999999999999,8.2,2012-04-30,8.2,8.2
8.13,1077260.0,8.1,2012-05-02,8.2,8.08
8.1,178220.0,8.14,2012-05-03,8.14,8.08
8.18,138829.0,8.19,2012-05-04,8.19,8.11
8.08,446222.0,8.2,2012-05-07,8.2,8.08
8.1,78680.0,8.2,2012-05-08,8.2,8.1
8.08,212886.0,8.18,2012-05-09,8.18,8.08
8.06,930415.0,8.19,2012-05-10,8.19,8.0
8.15,4890.0,8.15,2012-05-11,8.15,8.15
8.1,167262.0,8.15,2012-05-14,8.15,8.1
8.12,1826058.0,8.2,2012-05-15,8.2,8.06
8.05,1938717.9999999998,8.2,2012-05-16,8.2,8.05
8.19,1389227.0,8.16,2012-05-18,8.19,8.15
8.15,1312439.0,8.1,2012-05-21,8.15,8.0
8.04,1231524.0,8.1,2012-05-22,8.14,8.04
8.0,166416.0,8.16,2012-05-23,8.16,8.0
8.19,183816.0,8.16,2012-05-24,8.19,8.02
8.05,246830.0,8.18,2012-05-25,8.18,8.02
8.14,936430.0,8.15,2012-05-28,8.18,8.14
8.06,39003.0,8.15,2012-05-29,8.15,8.06
8.15,71312.0,8.0,2012-05-30,8.15,8.0
8.01,25648441.0,8.16,2012-05-31,8.16,8.01
8.16,7317598.0,8.79,2012-06-01,9.0,8.16
8.7,10885957.0,7.7,2012-06-04,9.25,8.52
7.7,3870551.0,8.4,2012-06-05,8.8,7.7
8.3,5075318.0,8.65,2012-06-06,8.66,8.25
8.64,4973440.0,8.79,2012-06-07,8.9,8.4
8.87,1509509.0,9.0,2012-06-08,9.0,8.65
8.54,2249645.0,9.19,2012-06-11,9.2,8.54
9.2,5903792.0,9.18,2012-06-13,9.2,8.82
9.17,339635.0,9.17,2012-06-14,9.18,8.84
9.2,3666455.0,9.25,2012-06-15,9.25,8.85
9.25,583280.0,9.45,2012-06-18,9.5,9.01
9.45,5144678.0,9.64,2012-06-19,9.64,8.95
9.65,4240947.0,9.64,2012-06-20,9.7,9.23
9.55,4085024.0,9.29,2012-06-21,9.55,9.15
9.58,6351493.0,9.22,2012-06-22,9.58,8.72
9.39,332100.0,9.34,2012-06-25,9.45,8.61
9.3,944691.0,9.48,2012-06-26,9.59,9.05
9.48,3734444.0,9.4,2012-06-27,9.5,9.03
9.38,655104.0,9.35,2012-06-28,9.38,8.95
9.04,553722.0,9.28,2012-06-29,9.28,9.04
9.05,1388093.0,9.2,2012-07-02,9.3,8.92
8.72,713961.0,8.99,2012-07-03,9.0,8.7
9.0,44735.0,8.99,2012-07-04,9.4,8.9
9.0,327875.0,9.05,2012-07-05,9.2,8.75
9.05,445825.0,8.99,2012-07-06,9.05,8.71
8.99,214514.0,8.9,2012-07-09,9.05,8.9
8.9,630195.0,8.85,2012-07-10,9.0,8.85
9.1,65213.0,9.1,2012-07-11,9.17,8.78
9.15,251522.0,9.05,2012-07-12,9.15,8.81
9.0,45784.0,9.05,2012-07-13,9.05,8.81
9.09,587132.0,9.12,2012-07-16,9.12,8.81
8.8,350378.0,9.2,2012-07-17,9.25,8.8
9.24,73178.0,9.2,2012-07-18,9.24,9.0
9.2,290376.0,9.3,2012-07-19,9.3,9.2
9.49,61933.0,9.38,2012-07-20,9.49,9.36
9.38,586035.0,8.95,2012-07-23,9.45,8.86
9.45,944.9999999999999,9.45,2012-07-24,9.45,9.45
9.42,2350287.0,9.5,2012-07-25,9.74,9.3
9.7,206316.0,9.6,2012-07-26,9.74,9.15
9.74,742168.0,9.6,2012-07-27,9.74,9.5
9.74,827164.0,9.6,2012-07-30,9.74,9.15
9.6,29774.0,9.74,2012-07-31,9.74,9.6
9.73,74806.0,9.74,2012-08-01,9.74,9.13
9.17,121833.0,9.73,2012-08-03,9.73,9.17
9.2,6544.999999999999,9.73,2012-08-06,9.73,9.2
9.17,5557.0,9.72,2012-08-08,9.72,9.17
9.17,1888.0,9.71,2012-08-09,9.71,9.17
9.3,317822.0,9.7,2012-08-10,9.7,9.3
9.21,393028.0,9.59,2012-08-13,9.64,9.21
9.7,5626.0,9.6,2012-08-14,9.7,9.24
9.7,160827.0,9.7,2012-08-15,9.7,9.23
9.7,862030.0,9.68,2012-08-16,9.7,9.23
9.67,377318.0,9.67,2012-08-17,9.68,9.35
9.7,969.9999999999999,9.7,2012-08-22,9.7,9.7
9.7,97200.0,9.7,2012-08-23,9.7,9.4
9.7,969.9999999999999,9.7,2012-08-24,9.7,9.7
9.7,88180.0,9.69,2012-08-28,9.7,9.69
9.25,187562.0,9.7,2012-08-29,9.7,9.25
9.35,62709.0,9.67,2012-08-30,9.67,9.35
9.7,8562.0,9.68,2012-08-31,9.7,9.3
9.6,144968.0,9.68,2012-09-03,9.68,9.6
9.25,202505.0,9.65,2012-09-04,9.65,9.25
9.68,968.0,9.68,2012-09-05,9.68,9.68
9.25,111965.0,9.65,2012-09-06,9.65,9.25
