OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2545.0,380008000.0,2590.0,2009-08-03,2605.0,2545.0
2620.0,420020300.0,2625.0,2009-08-04,2625.0,2595.0
2620.0,923334800.0,2550.0,2009-08-06,2620.0,2520.0
2500.0,497838450.0,2445.0,2009-08-07,2500.0,2440.0
2500.0,424752750.0,2480.0,2009-08-10,2500.0,2480.0
2480.0,250910450.0,2485.0,2009-08-11,2490.0,2480.0
2485.0,250074050.0,2480.0,2009-08-12,2485.0,2450.0
2500.0,488559000.0,2530.0,2009-08-13,2535.0,2500.0
2530.0,176682650.0,2545.0,2009-08-14,2555.0,2530.0
2505.0,160077150.0,2470.0,2009-08-17,2505.0,2465.0
2440.0,197170300.0,2415.0,2009-08-18,2440.0,2390.0
2415.0,314686150.0,2445.0,2009-08-19,2450.0,2415.0
2450.0,273870950.0,2405.0,2009-08-20,2450.0,2400.0
2460.0,468357300.0,2520.0,2009-08-24,2540.0,2460.0
2520.0,646328050.0,2550.0,2009-08-25,2550.0,2520.0
2540.0,233211800.0,2535.0,2009-08-26,2540.0,2530.0
2440.0,347657500.0,2415.0,2009-09-03,2440.0,2400.0
2470.0,96646500.0,2420.0,2009-09-04,2470.0,2420.0
2385.0,379633600.0,2330.0,2009-09-16,2390.0,2315.0
2335.0,364652100.0,2300.0,2009-09-17,2350.0,2300.0
2300.0,303282450.0,2325.0,2009-09-18,2335.0,2300.0
2325.0,341661200.0,2350.0,2009-09-22,2350.0,2325.0
2365.0,382241000.0,2405.0,2009-09-23,2420.0,2365.0
2410.0,346815400.0,2410.0,2009-09-30,2410.0,2400.0
2410.0,439381650.0,2450.0,2009-10-01,2465.0,2410.0
2405.0,316230900.0,2445.0,2009-10-02,2455.0,2405.0
2440.0,188217750.0,2460.0,2009-10-05,2465.0,2440.0
2520.0,546541450.0,2565.0,2009-10-06,2570.0,2520.0
2615.0,459865800.0,2665.0,2009-10-07,2670.0,2615.0
2660.0,612319150.0,2630.0,2009-10-08,2665.0,2620.0
2630.0,158042250.0,2600.0,2009-10-09,2630.0,2595.0
2600.0,379955700.0,2610.0,2009-10-12,2645.0,2600.0
2645.0,227026550.0,2610.0,2009-10-13,2645.0,2610.0
2610.0,381935600.0,2590.0,2009-10-14,2610.0,2585.0
2620.0,219278750.0,2610.0,2009-10-15,2640.0,2610.0
2610.0,470607150.0,2590.0,2009-10-16,2620.0,2585.0
2590.0,193097800.0,2565.0,2009-10-19,2590.0,2560.0
2565.0,267169550.0,2580.0,2009-10-20,2605.0,2565.0
2580.0,375819500.0,2565.0,2009-10-21,2580.0,2560.0
2565.0,336713150.0,2550.0,2009-10-22,2565.0,2545.0
2570.0,472236450.0,2600.0,2009-10-23,2600.0,2565.0
2560.0,225111900.0,2575.0,2009-10-26,2600.0,2555.0
2570.0,181215050.0,2565.0,2009-10-27,2580.0,2550.0
2560.0,183374300.0,2570.0,2009-10-28,2575.0,2560.0
2550.0,294242200.0,2565.0,2009-10-29,2570.0,2550.0
2600.0,431879400.0,2595.0,2009-10-30,2605.0,2585.0
2590.0,533346250.0,2575.0,2009-11-03,2595.0,2565.0
2585.0,398753000.0,2550.0,2009-11-04,2585.0,2550.0
2550.0,186499800.0,2555.0,2009-11-05,2560.0,2550.0
2570.0,197272450.0,2565.0,2009-11-06,2575.0,2565.0
2450.0,417409100.0,2490.0,2009-11-09,2500.0,2450.0
2490.0,118657400.0,2500.0,2009-11-10,2505.0,2490.0
2500.0,114532250.0,2570.0,2009-11-11,2570.0,2500.0
2640.0,207097650.0,2615.0,2009-12-15,2640.0,2615.0
2615.0,319152400.0,2600.0,2009-12-16,2615.0,2595.0
2610.0,338889850.0,2610.0,2009-12-17,2625.0,2605.0
2600.0,252172300.0,2570.0,2009-12-18,2600.0,2570.0
2570.0,108667050.0,2580.0,2009-12-21,2585.0,2570.0
2580.0,82004050.0,2600.0,2009-12-22,2610.0,2580.0
2605.0,164088950.0,2605.0,2009-12-23,2610.0,2600.0
2620.0,120340500.0,2620.0,2009-12-29,2625.0,2620.0
2620.0,218485150.0,2600.0,2010-01-04,2625.0,2600.0
2600.0,539837000.0,2630.0,2010-01-05,2635.0,2600.0
2640.0,341299600.0,2640.0,2010-01-06,2640.0,2635.0
2640.0,132476200.0,2690.0,2010-01-07,2695.0,2640.0
2690.0,176335850.0,2695.0,2010-01-08,2700.0,2680.0
2695.0,132309950.0,2710.0,2010-01-11,2720.0,2695.0
2715.0,386086500.0,2730.0,2010-01-12,2730.0,2715.0
2730.0,521273400.0,2700.0,2010-01-13,2730.0,2695.0
2700.0,318972800.0,2745.0,2010-01-14,2745.0,2700.0
2740.0,258525550.0,2755.0,2010-01-15,2775.0,2740.0
2750.0,83839550.0,2735.0,2010-01-18,2750.0,2730.0
2745.0,253384600.0,2720.0,2010-01-19,2745.0,2715.0
2755.0,346929900.0,2720.0,2010-01-20,2755.0,2720.0
2720.0,327716150.0,2715.0,2010-01-21,2730.0,2710.0
2700.0,365792450.0,2700.0,2010-01-22,2705.0,2695.0
2700.0,314237750.0,2685.0,2010-01-25,2700.0,2675.0
2685.0,251528850.0,2680.0,2010-01-26,2690.0,2670.0
2680.0,185829150.0,2660.0,2010-01-27,2680.0,2650.0
2660.0,247035450.0,2655.0,2010-01-28,2660.0,2645.0
2655.0,307719450.0,2670.0,2010-01-29,2685.0,2655.0
2665.0,210456550.0,2585.0,2010-02-01,2665.0,2580.0
2600.0,175347850.0,2585.0,2010-02-02,2600.0,2580.0
2590.0,199563400.0,2595.0,2010-02-03,2605.0,2585.0
2590.0,209095250.0,2580.0,2010-02-04,2590.0,2570.0
2550.0,418261150.0,2535.0,2010-02-05,2550.0,2530.0
2535.0,226382900.0,2515.0,2010-02-08,2540.0,2510.0
2500.0,215545700.0,2500.0,2010-02-09,2510.0,2500.0
2550.0,482511200.0,2515.0,2010-02-10,2555.0,2510.0
2515.0,474141100.0,2520.0,2010-02-11,2530.0,2515.0
2670.0,889598350.0,2675.0,2010-03-08,2690.0,2670.0
2660.0,462298850.0,2560.0,2010-03-12,2660.0,2550.0
2555.0,319065100.0,2540.0,2010-03-15,2560.0,2540.0
2530.0,263928300.0,2535.0,2010-03-16,2535.0,2515.0
2540.0,285529850.0,2580.0,2010-03-17,2585.0,2540.0
2475.0,575783150.0,2420.0,2010-03-31,2475.0,2420.0
2505.0,215880700.0,2440.0,2010-04-20,2505.0,2425.0
2445.0,339413300.0,2440.0,2010-04-21,2450.0,2440.0
2440.0,274075850.0,2445.0,2010-04-22,2450.0,2440.0
2445.0,387286450.0,2445.0,2010-04-23,2450.0,2445.0
2485.0,154829250.0,2485.0,2010-04-29,2490.0,2480.0
2510.0,331302250.0,2490.0,2010-04-30,2515.0,2485.0
2525.0,361255700.0,2520.0,2010-05-04,2530.0,2505.0
2510.0,396760550.0,2495.0,2010-05-05,2510.0,2490.0
2490.0,237479950.0,2495.0,2010-05-13,2495.0,2490.0
2495.0,350829550.0,2505.0,2010-05-14,2515.0,2480.0
2500.0,455605850.0,2500.0,2010-05-17,2500.0,2480.0
2500.0,152365600.0,2470.0,2010-05-18,2500.0,2460.0
2450.0,263471250.0,2455.0,2010-05-19,2460.0,2435.0
2430.0,227393750.0,2450.0,2010-05-20,2470.0,2430.0
2450.0,394813950.0,2460.0,2010-05-21,2460.0,2435.0
2460.0,321620600.0,2455.0,2010-05-24,2465.0,2455.0
2445.0,394563750.0,2360.0,2010-05-25,2445.0,2360.0
2400.0,389674850.0,2320.0,2010-05-26,2400.0,2320.0
2335.0,389312750.0,2335.0,2010-05-27,2350.0,2330.0
2400.0,199428250.0,2400.0,2010-05-28,2400.0,2385.0
2400.0,204057000.0,2430.0,2010-05-31,2430.0,2400.0
2440.0,253858400.0,2440.0,2010-06-01,2445.0,2425.0
2430.0,277758200.0,2430.0,2010-06-02,2440.0,2425.0
2445.0,434131850.0,2455.0,2010-06-03,2455.0,2430.0
2455.0,497678100.0,2450.0,2010-06-04,2460.0,2440.0
2430.0,181837100.0,2430.0,2010-06-07,2435.0,2415.0
2425.0,673711750.0,2420.0,2010-06-08,2425.0,2410.0
2420.0,281388650.0,2385.0,2010-06-09,2420.0,2375.0
2375.0,727344300.0,2380.0,2010-06-10,2385.0,2375.0
2400.0,466382500.0,2405.0,2010-06-11,2415.0,2400.0
