OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
10.5,5250.0,10.5,2010-01-18,10.5,10.5
11.0,5500.0,11.0,2010-01-20,11.0,11.0
11.0,1100.0,11.0,2010-04-22,11.0,11.0
11.24,11240.0,11.24,2010-09-27,11.24,11.24
15.0,6000.0,15.0,2010-12-07,15.0,15.0
18.0,3600.0,18.0,2010-12-23,18.0,18.0
13.0,21860.0,12.8,2011-03-31,13.0,12.8
13.0,19260.0,12.8,2011-06-17,13.0,12.8
13.0,2600.0,13.0,2011-06-21,13.0,13.0
13.0,5200.0,13.0,2011-07-01,13.0,13.0
12.6,38760.0,12.5,2011-07-07,12.6,12.5
14.0,151200.0,14.0,2011-07-18,14.0,14.0
14.5,72500.0,14.5,2011-07-21,14.5,14.5
14.5,29000.0,14.5,2011-07-25,14.5,14.5
14.0,218200.0,15.0,2011-07-27,15.0,14.0
15.5,62000.0,15.5,2011-07-29,15.5,15.5
15.5,4650.0,15.5,2011-08-01,15.5,15.5
15.5,476640.0,16.5,2011-08-03,16.5,14.1
16.5,233470.0,17.0,2011-08-04,18.9,16.5
14.5,87000.0,14.5,2011-08-09,14.5,14.5
14.0,7301228.0,14.02,2011-08-10,14.04,14.0
14.02,28002.0,14.0,2011-08-11,14.02,14.0
14.08,1408.0,14.08,2011-08-22,14.08,14.08
14.12,534484.0,14.1,2011-08-23,14.12,14.1
14.12,87240.0,15.0,2011-09-02,15.0,14.12
14.22,1683648.0,14.22,2011-09-07,14.22,14.22
14.2,11360.0,14.2,2011-09-12,14.2,14.2
14.2,1355226.0,14.24,2011-09-15,14.24,14.2
14.24,28480.0,14.24,2011-09-16,14.24,14.24
14.48,65210.0,14.5,2011-09-21,14.5,14.48
14.5,58000.0,14.5,2011-09-22,14.5,14.5
14.5,7250.0,14.5,2011-09-26,14.5,14.5
14.16,1753812.0,14.12,2011-10-03,14.16,14.12
14.18,7814326.0,14.18,2011-10-06,14.18,14.16
14.16,9912.0,14.16,2011-10-13,14.16,14.16
14.16,7080.0,14.16,2011-10-14,14.16,14.16
14.16,5664.0,14.16,2011-10-17,14.16,14.16
14.12,28240.0,14.12,2011-11-03,14.12,14.12
14.14,3871706.0,14.12,2011-11-08,14.14,14.12
15.5,320515.0,15.5,2011-11-14,21.15,15.5
17.0,68566.0,14.16,2011-11-15,17.0,14.16
16.2,180418.0,16.96,2011-11-16,17.0,15.5
