OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
81.0,85558574.5,98.95,2014-01-13,104.9,81.0
97.0,57945977.0,82.1,2014-01-14,97.0,81.2
82.0,47413562.0,70.0,2014-01-15,82.0,66.0
70.1,63672970.5,73.0,2014-01-16,77.9,68.0
72.6,24806594.0,74.9,2014-01-17,76.2,71.15
74.9,28354236.0,77.5,2014-01-20,80.0,72.55
77.5,11045051.0,77.45,2014-01-21,78.0,76.3
77.45,10312208.0,77.3,2014-01-22,78.0,75.55
75.55,12656704.0,75.0,2014-01-23,77.0,75.0
74.25,6837957.5,75.0,2014-01-24,75.0,72.1
72.55,6044272.0,74.0,2014-01-27,74.95,72.5
73.15,7040756.5,73.95,2014-01-28,74.0,72.5
72.35,9818303.5,74.5,2014-01-29,74.5,72.0
72.0,19471421.5,72.0,2014-01-30,72.3,71.95
71.9,7989232.5,71.0,2014-02-03,71.9,70.5
70.2,6651932.0,69.0,2014-02-04,70.2,68.7
68.6,5860413.0,68.0,2014-02-05,68.7,68.0
67.1,7539451.5,70.0,2014-02-06,70.0,67.1
68.0,4343528.0,67.7,2014-02-07,69.9,67.55
67.55,8822963.0,67.0,2014-02-10,67.55,66.5
66.0,12717674.5,65.0,2014-02-11,67.1,65.0
66.0,10912377.5,63.8,2014-02-12,66.5,63.8
63.55,4980794.5,64.0,2014-02-13,65.0,63.5
63.5,5173830.0,65.0,2014-02-14,66.0,63.0
64.0,3148716.5,65.0,2014-02-17,65.0,63.2
65.0,2008642.0,64.0,2014-02-18,65.0,63.5
63.65,5214870.5,64.5,2014-02-19,64.5,63.55
64.0,2833106.0,64.5,2014-02-20,64.5,63.55
64.5,2881181.0,64.5,2014-02-21,64.5,63.55
64.5,4049437.0,65.0,2014-02-24,65.0,63.55
63.7,2925808.0,64.8,2014-02-25,64.9,63.6
64.9,4864733.0,63.6,2014-02-26,64.9,63.6
63.7,9104690.5,62.0,2014-02-27,64.0,62.0
62.0,11466247.5,60.0,2014-02-28,62.6,60.0
