OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.88,77637340.0,1.91,2013-10-30,2.02,1.88
1.92,21606180.0,1.81,2013-10-31,1.94,1.8
1.81,32235570.0,1.82,2013-11-04,1.89,1.81
1.84,5249860.0,1.8,2013-11-05,1.84,1.76
1.78,3197710.0,1.74,2013-11-06,1.8,1.72
1.74,3004720.0,1.71,2013-11-07,1.75,1.7
1.7,7534750.0,1.7,2013-11-08,1.72,1.7
1.7,1744800.0,1.7,2013-11-11,1.72,1.69
1.72,2149310.0,1.78,2013-11-12,1.8,1.72
1.76,1167530.0,1.75,2013-11-13,1.83,1.75
1.77,2620180.0,1.75,2013-11-14,1.79,1.75
1.75,621830.0,1.71,2013-11-15,1.75,1.71
1.71,2295410.0,1.68,2013-11-18,1.71,1.68
1.67,1842840.0,1.62,2013-11-19,1.67,1.62
1.61,2034130.0,1.53,2013-11-20,1.61,1.47
1.47,603840.0,1.48,2013-11-21,1.5,1.47
1.5,789590.0,1.5,2013-11-22,1.53,1.5
1.5,103140.0,1.47,2013-11-25,1.5,1.47
1.47,660900.0,1.44,2013-11-26,1.47,1.32
1.4,248060.0,1.4,2013-11-27,1.44,1.4
1.38,330430.0,1.43,2013-11-28,1.49,1.38
1.44,542820.0,1.46,2013-11-29,1.48,1.4
1.46,636580.0,1.41,2013-12-02,1.46,1.39
1.41,1609690.0,1.33,2013-12-03,1.42,1.32
1.33,116960.0,1.34,2013-12-04,1.36,1.33
1.32,702600.0,1.34,2013-12-05,1.4,1.32
1.4,317930.0,1.38,2013-12-06,1.4,1.33
1.39,1468990.0,1.36,2013-12-09,1.39,1.29
1.36,148500.0,1.3,2013-12-10,1.36,1.3
1.25,101950.0,1.26,2013-12-11,1.3,1.25
1.27,926030.0,1.22,2013-12-12,1.3,1.22
1.21,198440.0,1.21,2013-12-13,1.21,1.21
1.21,138210.0,1.25,2013-12-16,1.25,1.21
1.29,442840.0,1.31,2013-12-17,1.37,1.29
1.34,8020.0,1.33,2013-12-18,1.34,1.33
1.3,883260.0,1.33,2013-12-19,1.34,1.25
1.3,437820.0,1.29,2013-12-20,1.33,1.29
1.27,76960.0,1.24,2013-12-23,1.27,1.23
1.23,527460.0,1.23,2013-12-26,1.25,1.22
1.27,343380.0,1.21,2013-12-27,1.27,1.2
1.21,669310.0,1.28,2014-01-02,1.3,1.2
1.24,606640.0,1.28,2014-01-03,1.36,1.24
1.24,15120.0,1.3,2014-01-06,1.3,1.24
1.29,58050.0,1.29,2014-01-07,1.29,1.29
1.27,63100.0,1.28,2014-01-08,1.28,1.25
1.28,111710.0,1.28,2014-01-09,1.28,1.25
1.28,99280.0,1.24,2014-01-10,1.28,1.24
1.26,140880.0,1.24,2014-01-13,1.26,1.24
1.25,640820.0,1.31,2014-01-14,1.31,1.25
1.28,719980.0,1.32,2014-01-15,1.38,1.28
1.32,746090.0,1.3,2014-01-16,1.35,1.3
1.31,146370.0,1.28,2014-01-17,1.31,1.28
1.32,7720.0,1.28,2014-01-20,1.32,1.28
1.26,532410.0,1.28,2014-01-21,1.28,1.23
1.28,495730.0,1.26,2014-01-22,1.28,1.25
1.25,521700.0,1.29,2014-01-23,1.29,1.23
1.29,431550.0,1.26,2014-01-24,1.29,1.24
1.28,482120.0,1.26,2014-01-27,1.29,1.26
1.26,1244940.0,1.25,2014-01-28,1.26,1.21
1.25,145240.0,1.26,2014-01-29,1.26,1.22
1.25,795380.0,1.28,2014-01-30,1.28,1.25
1.25,21237970.0,1.28,2014-02-03,1.28,1.25
1.28,2655110.0,1.29,2014-02-04,1.34,1.25
1.29,1912570.0,1.33,2014-02-05,1.35,1.28
1.35,7478570.0,1.49,2014-02-06,1.53,1.35
1.51,3866480.0,1.49,2014-02-07,1.57,1.49
1.49,718750.0,1.47,2014-02-10,1.5,1.45
1.47,851580.0,1.49,2014-02-11,1.5,1.46
1.5,2417610.0,1.54,2014-02-12,1.57,1.5
1.58,3434670.0,1.61,2014-02-13,1.61,1.51
1.62,2983050.0,1.68,2014-02-14,1.73,1.62
1.68,899230.0,1.64,2014-02-17,1.7,1.64
1.63,1378150.0,1.65,2014-02-18,1.65,1.6
1.66,1456190.0,1.71,2014-02-19,1.72,1.65
1.72,8707410.0,1.84,2014-02-20,1.87,1.7
1.88,2554450.0,1.81,2014-02-21,1.88,1.79
1.85,3519460.0,1.76,2014-02-24,1.86,1.76
1.8,3074110.0,1.77,2014-02-25,1.82,1.77
1.7,1560590.0,1.75,2014-02-26,1.78,1.7
1.77,194350.0,1.77,2014-02-27,1.78,1.73
1.73,1285130.0,1.77,2014-02-28,1.8,1.73
1.75,3617490.0,1.82,2014-03-03,1.85,1.74
1.84,5274370.0,1.82,2014-03-04,1.88,1.82
1.85,35587370.0,1.85,2014-03-05,1.9,1.85
1.88,4348580.0,1.8,2014-03-06,1.88,1.8
1.88,5081890.0,1.78,2014-03-07,1.88,1.78
1.78,2417650.0,1.74,2014-03-10,1.81,1.74
1.73,768900.0,1.76,2014-03-11,1.78,1.73
1.8,691810.0,1.77,2014-03-12,1.8,1.76
1.75,288300.0,1.76,2014-03-13,1.78,1.75
1.73,221980.0,1.74,2014-03-14,1.79,1.73
1.77,972730.0,1.78,2014-03-17,1.78,1.74
1.74,856070.0,1.78,2014-03-18,1.78,1.74
1.73,2372570.0,1.75,2014-03-19,1.78,1.72
1.76,5888970.0,1.8,2014-03-20,1.84,1.72
1.82,2924680.0,1.8,2014-03-21,1.83,1.8
1.8,877330.0,1.78,2014-03-24,1.81,1.77
1.79,862230.0,1.73,2014-03-25,1.79,1.73
1.74,731230.0,1.75,2014-03-26,1.78,1.74
1.76,2770460.0,1.78,2014-03-27,1.81,1.76
1.75,7522360.0,1.79,2014-03-28,1.84,1.75
