OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
27.5,22445200.0,27.0,2009-08-03,27.5,27.0
27.5,22890550.0,27.0,2009-08-04,27.5,26.5
27.5,17904300.0,27.0,2009-08-06,27.5,27.0
27.0,15692350.0,26.5,2009-08-07,27.0,26.5
27.0,12573900.0,27.0,2009-08-10,27.0,27.0
27.0,1566000.0,27.0,2009-08-11,27.0,27.0
27.0,6107400.0,27.0,2009-08-12,27.0,27.0
27.5,32176350.0,28.0,2009-08-13,28.5,27.5
28.5,8933200.0,28.0,2009-08-14,28.5,28.0
28.0,7287550.0,27.5,2009-08-17,28.0,27.5
27.0,8613900.0,27.0,2009-08-18,27.0,26.5
27.0,6161650.0,27.5,2009-08-19,28.0,27.0
28.0,25284650.0,27.0,2009-08-20,28.0,27.0
27.5,34982600.0,28.5,2009-08-24,29.0,27.5
28.5,9674800.0,29.0,2009-08-25,29.0,28.5
29.0,17421350.0,30.0,2009-08-26,30.0,29.0
29.5,6840350.0,29.5,2009-09-03,29.5,29.0
30.0,8351500.0,30.0,2009-09-04,30.5,30.0
30.5,20398300.0,30.0,2009-09-16,30.5,30.0
30.5,18140700.0,30.5,2009-09-17,30.5,30.0
30.5,5147750.0,31.5,2009-09-18,31.5,30.5
32.0,2314900.0,31.0,2009-09-22,32.0,31.0
31.0,7068450.0,31.0,2009-09-23,31.5,31.0
30.0,446550.0,30.0,2009-09-30,30.0,29.5
29.5,2045200.0,30.0,2009-10-01,30.0,29.5
30.0,4968850.0,29.5,2009-10-02,30.0,29.5
29.5,4643750.0,30.0,2009-10-05,30.0,29.5
30.5,3048100.0,30.5,2009-10-06,30.5,30.0
30.5,7932800.0,31.0,2009-10-07,31.0,30.5
30.5,15013150.0,32.0,2009-10-08,32.0,30.5
32.0,11162600.0,33.0,2009-10-09,33.0,32.0
32.5,7589550.0,33.0,2009-10-12,33.5,32.5
33.5,3624700.0,33.0,2009-10-13,33.5,33.0
32.5,2437500.0,32.5,2009-10-14,32.5,32.5
33.0,7657650.0,33.5,2009-10-15,33.5,33.0
33.0,2431500.0,32.5,2009-10-16,33.0,32.5
32.5,318550.0,33.0,2009-10-19,33.0,32.5
33.0,6377500.0,33.0,2009-10-20,33.5,33.0
33.0,4506850.0,32.5,2009-10-21,33.0,32.5
32.5,13240800.0,33.0,2009-10-22,33.0,32.5
33.0,10593250.0,33.0,2009-10-23,33.5,33.0
33.0,3456100.0,33.5,2009-10-26,33.5,33.0
34.0,20321850.0,34.0,2009-10-27,34.0,33.0
