OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.13,13000.0,0.13,2009-08-04,0.13,0.13
0.13,136500.0,0.13,2009-08-06,0.13,0.13
0.13,132500.0,0.135,2009-08-07,0.135,0.13
0.135,54000.0,0.135,2009-08-10,0.135,0.135
0.125,12500.0,0.125,2009-08-12,0.125,0.125
0.125,125000.0,0.125,2009-08-14,0.125,0.125
0.125,163000.0,0.125,2009-08-18,0.13,0.125
0.125,162500.0,0.125,2009-08-26,0.125,0.125
0.14,1400.0,0.14,2009-09-03,0.14,0.14
0.13,182000.0,0.13,2009-09-04,0.13,0.13
0.12,3600.0,0.12,2009-09-16,0.12,0.12
0.135,5400.0,0.135,2009-09-17,0.135,0.135
0.13,7800.0,0.13,2009-09-18,0.13,0.13
0.13,170000.0,0.12,2009-09-22,0.13,0.12
0.12,26400.0,0.12,2009-09-23,0.12,0.12
0.11,4400.0,0.11,2009-10-01,0.11,0.11
0.11,13200.0,0.11,2009-10-02,0.11,0.11
0.11,13200.0,0.11,2009-10-06,0.11,0.11
0.11,32000.0,0.12,2009-10-07,0.12,0.11
0.125,2500.0,0.125,2009-10-08,0.125,0.125
0.12,8400.0,0.12,2009-10-15,0.12,0.12
0.12,194700.0,0.13,2009-10-16,0.13,0.12
0.135,3850.0,0.125,2009-10-20,0.135,0.125
0.12,36000.0,0.12,2009-10-26,0.12,0.12
0.13,13000.0,0.13,2009-10-27,0.13,0.13
0.12,96000.0,0.12,2009-10-28,0.12,0.12
0.125,626200.0,0.135,2009-10-30,0.14,0.125
0.13,35100.0,0.13,2009-11-03,0.13,0.13
0.12,1200.0,0.12,2009-11-04,0.12,0.12
0.115,2300.0,0.115,2009-11-05,0.115,0.115
0.115,67850.0,0.115,2009-11-11,0.115,0.115
0.1,2000.0,0.1,2009-12-21,0.1,0.1
0.105,10500.0,0.105,2009-12-22,0.105,0.105
0.11,16500.0,0.11,2009-12-29,0.11,0.11
0.0975,14625.0,0.0975,2010-01-04,0.0975,0.0975
0.11,66000.0,0.11,2010-01-05,0.11,0.11
0.115,1150.0,0.115,2010-01-06,0.115,0.115
0.115,75250.0,0.12,2010-01-07,0.12,0.115
0.105,54600.0,0.11,2010-01-19,0.11,0.105
0.105,10500.0,0.105,2010-01-20,0.105,0.105
0.105,42000.0,0.105,2010-01-25,0.105,0.105
0.1,1000.0,0.1,2010-01-29,0.1,0.1
0.11,11000.0,0.11,2010-02-04,0.11,0.11
0.1,10000.0,0.1,2010-02-09,0.1,0.1
0.15,45000.0,0.15,2010-03-15,0.15,0.15
0.15,4500.0,0.15,2010-03-16,0.15,0.15
0.13,6500.0,0.13,2010-03-17,0.13,0.13
0.135,15100.0,0.16,2010-03-31,0.16,0.135
0.14,2800.0,0.14,2010-04-22,0.14,0.14
0.14,344300.0,0.145,2010-04-23,0.145,0.14
0.14,9800.0,0.14,2010-04-30,0.14,0.14
0.14,100200.0,0.135,2010-05-05,0.14,0.135
0.12,120000.0,0.12,2010-05-24,0.12,0.12
0.13,76300.0,0.125,2010-05-26,0.13,0.125
0.125,1250.0,0.125,2010-05-27,0.125,0.125
0.135,245600.0,0.135,2010-05-31,0.135,0.125
0.13,28300.0,0.135,2010-06-07,0.135,0.13
0.13,13000.0,0.13,2010-06-08,0.13,0.13
0.135,13500.0,0.135,2010-06-09,0.135,0.135
0.125,229500.0,0.135,2010-06-10,0.135,0.125
0.14,355550.0,0.13,2010-06-11,0.145,0.13
0.145,2900.0,0.145,2010-06-15,0.145,0.145
0.145,29750.0,0.15,2010-06-21,0.15,0.145
0.13,1300.0,0.13,2010-06-22,0.13,0.13
0.145,132850.0,0.14,2010-06-24,0.145,0.13
0.12,52300.0,0.13,2010-06-25,0.13,0.12
0.13,65000.0,0.13,2010-06-28,0.13,0.13
0.13,198900.0,0.13,2010-06-29,0.13,0.13
0.12,1200.0,0.12,2010-07-01,0.12,0.12
0.125,5000.0,0.125,2010-07-02,0.125,0.125
0.125,50000.0,0.125,2010-07-07,0.125,0.125
0.13,67700.0,0.125,2010-07-09,0.13,0.125
0.13,9900.0,0.12,2010-07-13,0.13,0.12
0.12,2400.0,0.12,2010-07-14,0.12,0.12
0.12,36000.0,0.12,2010-07-15,0.12,0.12
0.12,1200.0,0.12,2010-07-16,0.12,0.12
0.125,12500.0,0.125,2010-07-19,0.125,0.125
0.13,83750.0,0.125,2010-07-20,0.13,0.125
0.13,244400.0,0.13,2010-07-21,0.13,0.13
0.13,481000.0,0.13,2010-07-23,0.13,0.13
