OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.0085,161500.0,0.0085,2009-08-03,0.0085,0.0085
0.0085,370000.0,0.0085,2009-08-04,0.009,0.0085
0.009,2931500.0,0.011,2009-08-06,0.011,0.009
0.011,3300200.0,0.011,2009-08-07,0.012,0.011
0.012,995100.0,0.011,2009-08-10,0.012,0.011
0.011,583100.0,0.01,2009-08-11,0.011,0.01
0.011,2683500.0,0.01,2009-08-12,0.011,0.009
0.01,872500.0,0.01,2009-08-13,0.01,0.0095
0.0095,494000.0,0.0095,2009-08-14,0.01,0.009
0.009,694000.0,0.0095,2009-08-17,0.0095,0.009
0.0085,112500.0,0.009,2009-08-18,0.009,0.0085
0.009,108000.0,0.009,2009-08-20,0.009,0.009
0.0095,101500.0,0.009,2009-08-24,0.0095,0.009
0.0085,895500.0,0.008,2009-08-25,0.0085,0.008
0.008,638000.0,0.009,2009-08-26,0.009,0.008
0.009,9000.0,0.009,2009-09-03,0.009,0.009
0.0095,133000.0,0.0095,2009-09-04,0.0095,0.0095
0.008,633500.0,0.008,2009-09-16,0.0085,0.008
0.0085,246500.0,0.0085,2009-09-17,0.0085,0.0085
0.0085,534500.0,0.0095,2009-09-18,0.0095,0.0085
0.0085,110500.0,0.0085,2009-09-22,0.0085,0.0085
0.0085,234500.0,0.0085,2009-09-23,0.0085,0.008
0.008,128000.0,0.008,2009-09-30,0.008,0.008
0.008,248000.0,0.008,2009-10-01,0.008,0.008
0.0075,112500.0,0.0075,2009-10-05,0.0075,0.0075
0.008,40000.0,0.008,2009-10-07,0.008,0.008
0.0085,297500.0,0.0085,2009-10-08,0.0085,0.0085
0.0085,85000.0,0.0085,2009-10-09,0.0085,0.0085
0.009,549000.0,0.009,2009-10-12,0.009,0.009
0.0085,93500.0,0.0085,2009-10-13,0.0085,0.0085
0.0085,8500.0,0.0085,2009-10-14,0.0085,0.0085
0.0085,284500.0,0.008,2009-10-15,0.0085,0.008
0.008,80000.0,0.008,2009-10-16,0.008,0.008
0.008,24000.0,0.008,2009-10-19,0.008,0.008
0.007,70500.0,0.008,2009-10-20,0.008,0.007
0.008,48000.0,0.008,2009-10-21,0.008,0.008
0.008,40000.0,0.008,2009-10-22,0.008,0.008
0.008,8000.0,0.008,2009-10-23,0.008,0.008
0.008,48000.0,0.008,2009-10-26,0.008,0.008
0.008,176000.0,0.008,2009-10-27,0.008,0.008
0.008,8000.0,0.008,2009-10-28,0.008,0.008
0.008,93500.0,0.008,2009-10-29,0.008,0.0075
0.0075,1510000.0,0.008,2009-10-30,0.008,0.0075
0.0075,135000.0,0.0075,2009-11-03,0.0075,0.0075
0.0075,37500.0,0.0075,2009-11-04,0.0075,0.0075
0.008,129000.0,0.0075,2009-11-05,0.008,0.0075
0.0075,232500.0,0.0075,2009-11-06,0.0075,0.0075
0.008,8131000.0,0.011,2009-11-09,0.011,0.008
0.011,3622700.0,0.009,2009-11-10,0.011,0.009
0.009,315000.0,0.009,2009-11-11,0.009,0.009
0.0075,1162500.0,0.0075,2009-12-16,0.0075,0.0075
0.0075,15000.0,0.0075,2009-12-17,0.0075,0.0075
0.0075,120000.0,0.0075,2009-12-18,0.0075,0.0075
0.0075,30000.0,0.0075,2009-12-21,0.0075,0.0075
0.0075,7500.0,0.0075,2009-12-22,0.0075,0.0075
0.007,49000.0,0.007,2009-12-23,0.007,0.007
0.0075,22500.0,0.0075,2009-12-29,0.0075,0.0075
0.0075,185000.0,0.0075,2010-01-04,0.008,0.0075
0.008,2914500.0,0.009,2010-01-05,0.0095,0.008
0.009,332000.0,0.0085,2010-01-06,0.009,0.0085
0.0085,2005000.0,0.009,2010-01-07,0.0095,0.0085
0.009,1497500.0,0.0085,2010-01-08,0.009,0.0085
0.0085,633500.0,0.009,2010-01-11,0.009,0.0085
0.0085,255000.0,0.0085,2010-01-12,0.0085,0.0085
0.0085,212500.0,0.0085,2010-01-13,0.0085,0.0085
0.008,600000.0,0.008,2010-01-14,0.008,0.008
0.0085,807500.0,0.0085,2010-01-15,0.0085,0.0085
0.008,672000.0,0.008,2010-01-18,0.008,0.008
0.008,64000.0,0.008,2010-01-19,0.008,0.008
0.008,608000.0,0.008,2010-01-20,0.008,0.008
0.008,168000.0,0.008,2010-01-21,0.008,0.008
0.0075,435000.0,0.0075,2010-01-22,0.0075,0.0075
0.0075,495000.0,0.0075,2010-01-25,0.0075,0.0075
0.0075,75000.0,0.0075,2010-01-26,0.0075,0.0075
0.0075,480000.0,0.0075,2010-01-27,0.0075,0.0075
0.0075,15000.0,0.0075,2010-01-28,0.0075,0.0075
0.0075,210000.0,0.0075,2010-01-29,0.0075,0.0075
0.0075,64000.0,0.007,2010-02-01,0.0075,0.007
0.007,28000.0,0.007,2010-02-05,0.007,0.007
0.007,182000.0,0.007,2010-02-08,0.007,0.007
0.007,42000.0,0.007,2010-02-10,0.007,0.007
0.007,7000.0,0.007,2010-02-11,0.007,0.007
0.0075,7500.0,0.0075,2010-03-08,0.0075,0.0075
0.0075,150000.0,0.0075,2010-03-12,0.0075,0.0075
0.0075,15000.0,0.0075,2010-03-15,0.0075,0.0075
0.0075,7500.0,0.0075,2010-03-31,0.0075,0.0075
