OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
8.8,28125700.0,8.9,2009-08-03,8.9,8.8
8.9,51204600.0,9.1,2009-08-04,9.3,8.9
9.1,24677000.0,9.1,2009-08-06,9.1,9.0
9.1,19494600.0,9.0,2009-08-07,9.1,9.0
9.0,7916900.0,9.1,2009-08-10,9.2,9.0
9.1,39223500.0,9.3,2009-08-11,9.4,9.1
9.3,10440300.0,9.3,2009-08-12,9.4,9.3
9.3,9451300.0,9.4,2009-08-13,9.5,9.3
9.4,4382300.0,9.4,2009-08-14,9.5,9.3
9.4,21684700.0,9.2,2009-08-17,9.4,9.1
9.0,26055000.0,9.0,2009-08-18,9.0,8.9
9.0,15758700.0,9.2,2009-08-19,9.2,9.0
9.3,7437000.0,9.3,2009-08-20,9.3,9.2
9.3,14088600.0,9.6,2009-08-24,9.8,9.3
9.7,18657450.0,10.0,2009-08-25,10.5,9.7
10.0,14579750.0,10.25,2009-08-26,10.5,10.0
10.5,17262225.0,10.5,2009-09-03,10.5,10.25
10.5,28830075.0,10.5,2009-09-04,10.75,10.5
10.5,68917225.0,10.75,2009-09-16,11.25,10.5
10.75,26337275.0,11.0,2009-09-17,11.0,10.75
11.0,24303850.0,11.0,2009-09-18,11.0,10.75
11.0,7443700.0,11.0,2009-09-22,11.0,11.0
10.75,49310300.0,11.25,2009-09-23,11.25,10.75
10.75,383250400.0,11.0,2009-09-30,11.25,10.75
11.0,81250275.0,11.5,2009-10-01,11.5,10.75
11.0,38859850.0,11.25,2009-10-02,11.25,11.0
11.25,691750.0,11.25,2009-10-05,11.25,11.0
11.25,14708325.0,11.5,2009-10-06,11.5,11.25
11.75,38021575.0,11.75,2009-10-07,11.75,11.5
11.75,9202300.0,11.75,2009-10-08,11.75,11.5
11.75,20789475.0,11.25,2009-10-09,11.75,11.25
11.25,85693450.0,11.0,2009-10-12,11.5,11.0
11.75,26768025.0,11.25,2009-10-13,11.75,11.25
11.25,8288025.0,11.5,2009-10-14,11.5,11.25
11.5,10940675.0,11.5,2009-10-15,11.75,11.5
11.5,7878800.0,11.25,2009-10-16,11.5,11.25
11.25,11960200.0,11.5,2009-10-19,11.5,11.25
11.75,37580350.0,11.75,2009-10-20,12.0,11.75
11.75,23843150.0,11.75,2009-10-21,12.0,11.75
11.75,37183350.0,11.75,2009-10-22,11.75,11.5
11.75,30365200.0,12.0,2009-10-23,12.5,11.75
12.0,126171175.0,12.0,2009-10-26,12.25,11.75
12.0,10139175.0,12.0,2009-10-27,12.25,12.0
12.25,30333825.0,12.5,2009-10-28,12.5,12.0
12.25,35019400.0,12.25,2009-10-29,12.25,12.0
12.25,14679350.0,12.5,2009-10-30,12.75,12.25
12.5,19720450.0,12.25,2009-11-03,12.5,12.0
12.0,35246100.0,12.0,2009-11-04,12.25,12.0
12.25,41158575.0,12.25,2009-11-05,12.25,12.0
12.25,41311625.0,12.25,2009-11-06,12.25,12.0
12.25,5036350.0,12.5,2009-11-09,12.5,12.0
12.5,14416050.0,12.75,2009-11-10,12.75,12.25
12.75,4802250.0,12.75,2009-11-11,12.75,12.5
15.5,23737375.0,15.75,2009-12-15,15.75,15.25
15.75,28420425.0,15.5,2009-12-16,15.75,15.25
15.25,30923325.0,16.0,2009-12-17,16.0,15.25
16.0,24767100.0,15.75,2009-12-18,16.0,15.75
15.75,22366800.0,16.25,2009-12-21,16.25,15.75
16.5,5718400.0,15.75,2009-12-22,16.5,15.75
15.75,18505550.0,16.0,2009-12-23,16.25,15.75
16.0,39054925.0,16.25,2009-12-29,16.25,16.0
16.25,4453025.0,15.75,2010-01-04,16.25,15.75
15.75,3635225.0,15.5,2010-01-05,16.0,15.5
15.75,153255600.0,17.0,2010-01-06,17.5,15.75
17.0,44983325.0,17.25,2010-01-07,17.5,17.0
17.25,91861650.0,18.0,2010-01-08,18.0,17.25
18.0,77512800.0,18.25,2010-01-11,18.75,17.75
18.5,43440750.0,18.25,2010-01-12,18.5,18.0
18.0,21517025.0,18.0,2010-01-13,18.25,17.75
18.0,120809650.0,17.75,2010-01-14,18.0,17.5
17.75,93728875.0,18.25,2010-01-15,18.5,17.75
18.25,45844375.0,18.0,2010-01-18,18.25,18.0
18.25,17506725.0,17.75,2010-01-19,18.25,17.75
18.0,50856225.0,17.5,2010-01-20,18.0,17.5
17.25,65152125.0,17.5,2010-01-21,17.5,17.25
17.0,29824300.0,17.25,2010-01-22,18.0,17.0
17.5,109682875.0,17.0,2010-01-25,17.75,17.0
17.5,45485625.0,17.25,2010-01-26,17.75,17.25
17.25,15367950.0,17.0,2010-01-27,17.25,16.75
16.75,68976025.0,17.0,2010-01-28,17.25,16.5
17.0,41598600.0,17.0,2010-01-29,17.5,16.75
16.75,30686400.0,16.75,2010-02-01,17.25,16.75
17.0,67392725.0,17.0,2010-02-02,17.0,16.75
17.0,79297000.0,17.25,2010-02-03,17.25,17.0
17.25,126677200.0,17.5,2010-02-04,17.5,17.25
17.25,78541175.0,17.5,2010-02-05,17.5,17.25
17.5,116506350.0,17.75,2010-02-08,18.25,17.5
17.75,9382650.0,17.75,2010-02-09,17.75,17.75
18.0,8178650.0,17.75,2010-02-10,18.0,17.75
17.75,29420975.0,18.0,2010-02-11,18.0,17.75
21.0,70678250.0,21.5,2010-03-08,21.5,21.0
23.0,122727650.0,22.25,2010-03-12,23.0,22.25
22.25,44982200.0,22.25,2010-03-15,22.25,21.75
22.0,106959950.0,21.75,2010-03-16,22.0,21.75
21.75,60418225.0,22.0,2010-03-17,22.25,21.75
25.0,84094875.0,25.0,2010-03-31,25.0,24.75
25.5,35760950.0,25.0,2010-04-20,25.5,24.75
25.0,69469400.0,25.5,2010-04-21,26.0,25.0
25.5,180383700.0,26.5,2010-04-22,27.5,25.5
27.0,44788750.0,25.5,2010-04-23,27.0,25.5
25.5,78185250.0,25.5,2010-04-29,26.0,25.5
25.5,51278050.0,25.5,2010-04-30,26.0,25.5
25.5,9931150.0,25.5,2010-05-04,25.5,25.0
24.75,94014150.0,24.25,2010-05-05,24.75,24.0
25.5,170904450.0,25.5,2010-05-13,26.0,25.0
25.5,42000650.0,25.5,2010-05-14,25.5,25.0
25.5,114472750.0,26.0,2010-05-17,27.0,25.5
26.0,91731300.0,26.0,2010-05-18,26.5,25.5
25.5,46855975.0,25.0,2010-05-19,25.5,24.75
25.0,64947500.0,25.5,2010-05-20,26.0,25.0
25.0,52075025.0,25.0,2010-05-21,25.0,24.5
25.0,26314475.0,24.75,2010-05-24,25.5,24.75
24.75,55269775.0,23.75,2010-05-25,24.75,23.5
23.75,83895850.0,23.25,2010-05-26,24.25,23.25
23.0,56997825.0,23.75,2010-05-27,24.0,23.0
24.5,37661975.0,24.75,2010-05-28,24.75,24.5
24.75,110987575.0,26.0,2010-05-31,26.0,24.75
25.5,141048650.0,26.0,2010-06-01,26.5,25.0
26.0,75438200.0,26.0,2010-06-02,27.0,25.5
26.0,56771600.0,26.5,2010-06-03,27.0,26.0
26.5,252260500.0,28.5,2010-06-04,28.5,26.5
27.0,100916350.0,26.5,2010-06-07,27.5,26.5
26.0,109847050.0,26.5,2010-06-08,26.5,26.0
27.0,86663100.0,26.5,2010-06-09,27.0,26.0
26.5,133997600.0,25.5,2010-06-10,26.5,25.0
26.5,109002400.0,26.5,2010-06-11,26.5,26.0
26.5,67240400.0,26.5,2010-06-15,27.0,26.0
27.0,62504500.0,26.5,2010-06-16,27.0,26.5
27.5,132017500.0,27.5,2010-06-21,28.0,27.5
27.5,53444250.0,27.5,2010-06-22,28.0,27.5
27.5,122428500.0,28.5,2010-06-23,28.5,27.5
28.5,273312450.0,29.5,2010-06-24,30.0,28.0
29.0,133864450.0,29.0,2010-06-25,29.5,28.5
30.0,142948050.0,30.0,2010-06-28,30.5,29.5
30.0,142370050.0,31.0,2010-06-29,31.0,30.0
30.0,134866550.0,29.0,2010-07-01,30.0,29.0
29.0,70159300.0,29.0,2010-07-02,29.0,28.5
29.5,73902150.0,29.5,2010-07-06,29.5,29.0
30.0,84428750.0,28.5,2010-07-07,30.0,28.5
29.5,86372100.0,29.5,2010-07-08,29.5,29.0
29.5,68125300.0,29.0,2010-07-09,29.5,29.0
29.0,28539600.0,29.0,2010-07-13,29.5,29.0
29.0,83588000.0,30.0,2010-07-14,30.0,29.0
30.5,237907200.0,32.0,2010-07-15,32.0,30.5
31.5,185560900.0,32.0,2010-07-16,32.0,31.0
31.5,73412850.0,32.0,2010-07-19,32.5,31.5
32.0,171264250.0,33.0,2010-07-20,33.5,32.0
33.5,110391550.0,33.0,2010-07-21,34.0,32.5
33.5,17757050.0,33.0,2010-07-22,33.5,32.5
33.0,174465800.0,32.5,2010-07-23,33.0,32.5
39.0,116792395.0,39.9,2010-09-20,39.9,38.9
40.0,93641315.0,39.4,2010-09-21,40.4,39.4
39.4,48218185.0,39.3,2010-09-22,39.4,39.1
39.6,210992470.0,40.05,2010-09-23,40.1,39.5
40.05,103262405.0,39.8,2010-09-24,40.05,39.5
40.5,108816995.0,42.0,2010-09-27,42.5,40.0
42.05,139185130.0,41.5,2010-09-28,42.5,41.45
41.45,109332430.0,41.6,2010-09-29,41.6,41.0
41.6,29017730.0,41.5,2010-09-30,41.6,40.9
41.5,25864895.0,41.6,2010-10-01,41.6,41.0
41.6,77081405.0,42.15,2010-10-04,42.3,41.6
42.15,54266685.0,41.55,2010-10-05,42.3,41.0
41.6,97129375.0,42.0,2010-10-06,42.4,41.55
42.1,173415420.0,42.35,2010-10-07,42.5,42.0
42.4,322356690.0,46.65,2010-10-08,46.9,42.4
45.45,61767225.0,45.55,2010-10-12,45.7,45.45
45.6,98233010.0,45.1,2010-10-13,45.6,44.9
45.1,99701030.0,44.95,2010-10-14,45.15,44.9
45.2,21223475.0,45.0,2010-10-15,45.2,44.9
45.0,35251400.0,44.65,2010-10-18,45.0,44.65
44.65,28971385.0,44.75,2010-10-19,44.75,44.6
44.6,63274190.0,44.5,2010-10-20,44.6,44.45
45.0,23627780.0,44.8,2010-10-21,45.0,44.75
44.95,116898610.0,45.0,2010-10-22,45.2,44.9
45.1,44676415.0,44.2,2010-10-26,45.1,44.0
44.0,76929720.0,44.2,2010-10-27,44.3,44.0
44.25,55511240.0,43.15,2010-10-28,44.25,43.0
43.35,172766380.0,43.45,2010-10-29,44.05,43.2
43.5,237763055.0,45.0,2010-11-02,45.5,43.45
45.0,212236850.0,45.5,2010-11-03,45.7,45.0
45.75,113429590.0,45.55,2010-11-04,46.1,42.9
45.5,15899200.0,45.0,2010-11-08,45.5,44.9
45.0,91846425.0,44.8,2010-11-09,45.0,44.7
44.7,15812145.0,44.0,2010-11-10,44.75,43.45
44.1,74867500.0,42.0,2010-11-11,44.1,40.5
41.0,179924340.0,39.4,2010-11-12,41.9,38.5
39.5,43741455.0,41.5,2010-11-15,41.5,39.5
41.0,170066440.0,39.0,2010-11-17,41.0,39.0
39.2,118210865.0,38.3,2010-11-18,39.6,38.1
39.5,255490465.0,39.65,2010-11-19,40.05,39.5
40.1,53244615.0,40.0,2010-11-22,40.1,39.4
40.15,210694135.0,39.35,2010-11-23,41.0,39.35
38.5,160634295.0,37.6,2010-11-24,38.5,37.0
37.85,229534180.0,35.55,2010-11-25,38.0,35.5
35.7,129880940.0,36.4,2010-11-26,36.4,35.65
37.85,163337570.0,36.7,2010-11-30,38.8,35.0
36.7,32704825.0,38.0,2010-12-01,38.1,36.7
38.6,113120140.0,38.8,2010-12-02,38.95,38.3
39.0,50164670.0,39.25,2010-12-03,39.5,38.3
39.25,45011170.0,39.0,2010-12-06,39.5,39.0
39.0,134263985.0,38.95,2010-12-07,39.25,38.9
38.95,32590870.0,38.45,2010-12-08,38.95,38.45
35.5,133216575.0,35.5,2010-12-16,36.6,34.5
35.65,23259875.0,35.65,2010-12-22,36.95,35.55
35.65,77153480.0,36.35,2010-12-23,36.7,35.6
36.3,36872710.0,36.25,2010-12-28,36.85,35.9
36.3,36872710.0,36.25,2010-12-28,36.85,35.9
36.3,36872710.0,36.25,2010-12-28,36.85,35.9
36.3,36872710.0,36.25,2010-12-28,36.85,35.9
36.3,36872710.0,36.25,2010-12-28,36.85,35.9
36.3,36872710.0,36.25,2010-12-28,36.85,35.9
36.3,36872710.0,36.25,2010-12-28,36.85,35.9
36.3,36872710.0,36.25,2010-12-28,36.85,35.9
36.3,36872710.0,36.25,2010-12-28,36.85,35.9
36.3,36872710.0,36.25,2010-12-28,36.85,35.9
36.3,36872710.0,36.25,2010-12-28,36.85,35.9
36.3,36872710.0,36.25,2010-12-28,36.85,35.9
36.3,36872710.0,36.25,2010-12-28,36.85,35.9
36.3,36872710.0,36.25,2010-12-28,36.85,35.9
36.3,36872710.0,36.25,2010-12-28,36.85,35.9
36.3,36872710.0,36.25,2010-12-28,36.85,35.9
36.3,36872710.0,36.25,2010-12-28,36.85,35.9
36.3,36872710.0,36.25,2010-12-28,36.85,35.9
36.3,36872710.0,36.25,2010-12-28,36.85,35.9
36.3,36872710.0,36.25,2010-12-28,36.85,35.9
36.3,36872710.0,36.25,2010-12-28,36.85,35.9
36.25,47417875.0,35.9,2010-12-29,36.25,35.85
36.25,47417875.0,35.9,2010-12-29,36.25,35.85
35.0,24519165.0,35.5,2011-01-03,36.0,35.0
35.0,24519165.0,35.5,2011-01-03,36.0,35.0
35.0,24519165.0,35.5,2011-01-03,36.0,35.0
35.5,160128895.0,34.95,2011-01-04,36.0,34.95
35.0,121229405.0,34.95,2011-01-05,35.1,34.95
35.0,91849355.0,35.8,2011-01-06,35.85,34.95
35.85,55264620.0,34.95,2011-01-07,35.85,34.95
34.9,167842695.0,35.0,2011-01-10,35.1,34.6
35.0,88295495.0,35.4,2011-01-11,35.9,34.9
35.0,88295495.0,35.4,2011-01-11,35.9,34.9
35.4,182944360.0,35.6,2011-01-12,35.75,35.4
36.0,222049680.0,35.9,2011-01-13,36.0,35.8
35.95,56047245.0,36.5,2011-01-14,37.0,35.9
36.75,63784040.0,36.8,2011-01-17,36.95,36.7
37.0,86952610.0,36.7,2011-01-18,37.65,36.6
36.5,70983515.0,36.3,2011-01-19,36.5,36.15
36.5,70983515.0,36.3,2011-01-19,36.5,36.15
36.3,114297410.0,35.8,2011-01-20,37.0,35.8
36.3,114297410.0,35.8,2011-01-20,37.0,35.8
34.9,84290425.0,34.85,2011-01-24,34.9,33.0
34.9,49740825.0,34.7,2011-01-25,34.9,34.5
34.7,31528690.0,33.0,2011-01-26,34.7,33.0
34.0,96412100.0,33.0,2011-01-27,34.0,33.0
33.3,35012655.0,34.55,2011-01-28,34.9,33.3
33.3,35012655.0,34.55,2011-01-28,34.9,33.3
34.55,5596590.0,34.9,2011-01-31,34.9,34.0
34.55,5596590.0,34.9,2011-01-31,34.9,34.0
34.9,40127090.0,34.7,2011-02-01,34.9,34.2
34.9,40127090.0,34.7,2011-02-01,34.9,34.2
34.95,87349545.0,34.7,2011-02-02,34.95,34.6
35.0,38583025.0,34.85,2011-02-03,35.0,34.8
33.6,19030030.0,34.5,2011-02-14,34.8,33.6
34.3,22557785.0,34.1,2011-02-16,34.3,33.5
34.3,22557785.0,34.1,2011-02-16,34.3,33.5
34.15,34942190.0,34.2,2011-02-17,34.3,34.15
34.2,53865560.0,34.15,2011-02-18,34.25,34.15
34.1,317155.0,34.15,2011-02-21,34.15,34.1
34.1,317155.0,34.15,2011-02-21,34.15,34.1
34.0,11776265.0,33.85,2011-02-22,34.0,33.5
