OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.08,340300.0,1.08,2009-08-03,1.1,1.08
1.1,1570800.0,1.1,2009-08-04,1.1,1.1
1.1,933100.0,1.08,2009-08-06,1.12,1.08
1.1,599000.0,1.08,2009-08-07,1.1,1.08
1.08,745600.0,1.08,2009-08-10,1.1,1.08
1.08,576120.0,1.1,2009-08-11,1.1,1.08
1.1,79640.0,1.08,2009-08-12,1.1,1.08
1.08,353760.0,1.08,2009-08-13,1.1,1.08
1.08,578800.0,1.1,2009-08-14,1.1,1.08
1.08,313200.0,1.08,2009-08-17,1.08,1.08
1.08,1078160.0,1.06,2009-08-18,1.08,1.04
1.06,655080.0,1.06,2009-08-19,1.06,1.06
1.06,781420.0,1.06,2009-08-20,1.08,1.06
1.08,2586600.0,1.08,2009-08-24,1.08,1.08
1.08,1539000.0,1.08,2009-08-25,1.08,1.08
1.1,1209940.0,1.08,2009-08-26,1.1,1.08
1.12,873360.0,1.12,2009-09-03,1.14,1.12
1.12,7739760.0,1.1,2009-09-04,1.12,1.1
1.1,1357400.0,1.1,2009-09-16,1.1,1.1
1.1,583000.0,1.1,2009-09-17,1.1,1.1
1.08,2173620.0,1.08,2009-09-18,1.08,1.06
1.08,221400.0,1.08,2009-09-22,1.08,1.08
1.1,1164080.0,1.12,2009-09-23,1.12,1.08
1.08,16200.0,1.08,2009-09-30,1.08,1.08
1.1,1705000.0,1.1,2009-10-01,1.1,1.1
1.1,330000.0,1.1,2009-10-02,1.1,1.1
1.1,101200.0,1.1,2009-10-05,1.1,1.1
1.1,122100.0,1.1,2009-10-06,1.1,1.1
1.1,209000.0,1.1,2009-10-07,1.1,1.1
1.1,2804080.0,1.14,2009-10-08,1.14,1.1
1.12,757140.0,1.12,2009-10-09,1.14,1.12
1.12,425000.0,1.1,2009-10-12,1.12,1.1
1.1,310280.0,1.12,2009-10-13,1.12,1.1
1.12,190400.0,1.12,2009-10-14,1.12,1.12
1.12,292460.0,1.12,2009-10-15,1.14,1.12
1.1,2200.0,1.1,2009-10-16,1.1,1.1
1.12,8685520.0,1.22,2009-10-19,1.28,1.12
1.2,4760000.0,1.2,2009-10-20,1.2,1.16
1.2,575040.0,1.16,2009-10-21,1.2,1.16
1.16,2273900.0,1.16,2009-10-22,1.18,1.14
1.18,487340.0,1.18,2009-10-23,1.18,1.18
1.16,314660.0,1.18,2009-10-26,1.18,1.16
1.18,1177420.0,1.18,2009-10-27,1.18,1.16
1.16,60320.0,1.16,2009-10-28,1.16,1.16
1.16,107400.0,1.16,2009-10-29,1.16,1.14
1.16,1651340.0,1.2,2009-10-30,1.22,1.16
1.18,391760.0,1.18,2009-11-03,1.18,1.18
1.2,38400.0,1.2,2009-11-04,1.2,1.2
1.2,1310400.0,1.2,2009-11-05,1.2,1.2
1.2,655220.0,1.2,2009-11-06,1.22,1.2
1.18,513340.0,1.2,2009-11-09,1.2,1.18
1.2,4505800.0,1.24,2009-11-10,1.24,1.2
1.24,6900680.0,1.32,2009-11-11,1.36,1.24
1.28,2123380.0,1.3,2009-12-15,1.3,1.28
1.3,1107600.0,1.3,2009-12-16,1.3,1.3
1.3,1102400.0,1.3,2009-12-17,1.3,1.3
1.28,42240.0,1.28,2009-12-18,1.28,1.28
1.3,2063100.0,1.3,2009-12-21,1.3,1.3
1.3,228800.0,1.3,2009-12-22,1.3,1.3
1.28,545600.0,1.3,2009-12-23,1.3,1.28
1.28,3424400.0,1.3,2009-12-29,1.3,1.28
1.3,2277600.0,1.3,2010-01-04,1.3,1.3
1.3,1955200.0,1.3,2010-01-05,1.3,1.3
1.28,32000.0,1.28,2010-01-06,1.28,1.28
1.28,656400.0,1.3,2010-01-07,1.3,1.28
1.28,1077760.0,1.28,2010-01-08,1.28,1.28
1.28,672000.0,1.28,2010-01-11,1.28,1.28
1.28,1294100.0,1.3,2010-01-12,1.3,1.28
1.3,1828000.0,1.28,2010-01-13,1.3,1.28
1.28,512000.0,1.28,2010-01-14,1.28,1.28
1.3,1870700.0,1.3,2010-01-15,1.3,1.3
1.28,65280.0,1.28,2010-01-18,1.28,1.28
1.28,430080.0,1.28,2010-01-19,1.28,1.28
1.3,1171300.0,1.3,2010-01-20,1.3,1.3
1.28,862720.0,1.28,2010-01-22,1.28,1.28
1.26,139860.0,1.26,2010-01-25,1.26,1.26
1.28,143360.0,1.28,2010-01-26,1.28,1.28
1.28,632100.0,1.28,2010-01-27,1.28,1.26
1.26,588600.0,1.28,2010-01-28,1.28,1.26
1.28,292340.0,1.26,2010-01-29,1.28,1.26
1.26,522900.0,1.26,2010-02-01,1.26,1.26
1.26,107100.0,1.26,2010-02-03,1.26,1.26
1.28,256000.0,1.28,2010-02-04,1.28,1.28
1.26,1654220.0,1.26,2010-02-05,1.28,1.26
1.26,126000.0,1.26,2010-02-08,1.26,1.26
1.28,994300.0,1.26,2010-02-09,1.28,1.26
1.28,510000.0,1.26,2010-02-10,1.28,1.26
1.44,2808900.0,1.46,2010-03-08,1.48,1.44
1.44,17352840.0,1.44,2010-03-12,1.46,1.42
1.44,2711440.0,1.46,2010-03-15,1.48,1.42
1.46,3812600.0,1.46,2010-03-16,1.48,1.46
1.46,1328060.0,1.44,2010-03-17,1.48,1.44
1.44,1376780.0,1.46,2010-03-31,1.48,1.44
1.5,1065900.0,1.48,2010-04-20,1.5,1.48
1.48,1206660.0,1.5,2010-04-21,1.5,1.48
1.5,303000.0,1.5,2010-04-22,1.5,1.5
1.5,3241500.0,1.5,2010-04-23,1.52,1.5
1.52,1211000.0,1.5,2010-04-29,1.52,1.5
1.5,61540.0,1.52,2010-04-30,1.52,1.5
1.5,757500.0,1.5,2010-05-04,1.5,1.5
1.46,1421240.0,1.46,2010-05-05,1.46,1.44
1.5,361500.0,1.5,2010-05-13,1.5,1.5
