OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.5,35238400.0,2.6,2009-08-03,2.7,2.5
2.7,21759750.0,2.6,2009-08-04,2.7,2.55
2.6,34374800.0,2.6,2009-08-06,2.65,2.55
2.65,54957800.0,2.6,2009-08-07,2.65,2.55
2.6,12063900.0,2.6,2009-08-10,2.65,2.55
2.5,5104800.0,2.6,2009-08-11,2.6,2.5
2.65,6154350.0,2.6,2009-08-12,2.65,2.55
2.7,32473550.0,2.65,2009-08-13,2.9,2.65
2.65,4049350.0,2.6,2009-08-14,2.7,2.6
2.6,35553370.0,2.48,2009-08-17,2.6,2.48
2.42,22324460.0,2.5,2009-08-18,2.55,2.4
2.6,11328500.0,2.6,2009-08-19,2.6,2.55
2.6,16272900.0,2.55,2009-08-20,2.6,2.5
2.55,18757000.0,2.6,2009-08-24,2.65,2.55
2.6,28787200.0,2.6,2009-08-25,2.65,2.55
2.65,83169800.0,2.8,2009-08-26,2.85,2.65
2.6,36132610.0,2.5,2009-09-03,2.6,2.46
2.6,27628550.0,2.55,2009-09-04,2.65,2.55
2.48,80218780.0,2.5,2009-09-16,2.55,2.46
2.5,50127190.0,2.36,2009-09-17,2.55,2.36
2.36,19680080.0,2.48,2009-09-18,2.48,2.36
2.5,2939640.0,2.48,2009-09-22,2.5,2.46
2.48,8399480.0,2.44,2009-09-23,2.48,2.44
2.32,12420340.0,2.32,2009-09-30,2.32,2.3
2.32,14781000.0,2.3,2009-10-01,2.34,2.28
2.24,13031100.0,2.2,2009-10-02,2.24,2.18
2.2,8159780.0,2.16,2009-10-05,2.22,2.14
2.22,15847860.0,2.12,2009-10-06,2.22,2.1
2.14,38033140.0,2.12,2009-10-07,2.18,2.08
2.12,67047560.0,2.28,2009-10-08,2.32,2.12
2.34,47794280.0,2.26,2009-10-09,2.34,2.24
2.24,20709680.0,2.22,2009-10-12,2.26,2.2
2.24,28049660.0,2.18,2009-10-13,2.24,2.18
2.18,17919460.0,2.18,2009-10-14,2.22,2.16
2.2,15176940.0,2.18,2009-10-15,2.22,2.18
2.18,11058740.0,2.18,2009-10-16,2.18,2.14
2.14,10574560.0,2.12,2009-10-19,2.16,2.1
2.14,39820140.0,2.02,2009-10-20,2.14,2.0
2.02,43975620.0,2.1,2009-10-21,2.14,1.98
2.1,36546220.0,2.04,2009-10-22,2.16,2.04
2.04,17142140.0,2.08,2009-10-23,2.1,2.04
2.08,5201360.0,2.04,2009-10-26,2.08,2.02
2.04,18718600.0,2.06,2009-10-27,2.06,2.02
2.04,47289820.0,2.0,2009-10-28,2.04,1.98
1.96,52045820.0,1.9,2009-10-29,1.96,1.88
1.96,76638080.0,1.98,2009-10-30,2.06,1.9
1.98,12678400.0,1.94,2009-11-03,2.0,1.94
1.94,25612140.0,1.98,2009-11-04,2.0,1.94
2.0,48944340.0,2.08,2009-11-05,2.16,2.0
2.1,6117660.0,2.04,2009-11-06,2.12,2.04
2.04,5820500.0,1.98,2009-11-09,2.08,1.98
2.0,19758200.0,2.04,2009-11-10,2.06,2.0
