OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
3.4,3400.0,3.4,2009-08-07,3.4,3.4
3.5,7000.0,3.5,2009-09-18,3.5,3.5
3.5,3500.0,3.5,2009-10-02,3.5,3.5
3.5,14000.0,3.5,2009-10-05,3.5,3.5
3.55,35500.0,3.55,2009-10-29,3.55,3.55
3.55,3550.0,3.55,2009-10-30,3.55,3.55
4.0,87400.0,5.9,2009-12-16,5.9,4.0
4.0,48000.0,4.0,2010-01-13,4.0,4.0
4.0,20000.0,4.0,2010-01-18,4.0,4.0
4.55,4550.0,4.55,2010-06-23,4.55,4.55
4.55,22750.0,4.55,2010-06-24,4.55,4.55
5.7,5700.0,5.7,2010-06-29,5.7,5.7
4.5,22500.0,4.5,2010-09-30,4.5,4.5
6.5,51550.0,4.55,2010-11-09,6.75,4.55
4.55,4550.0,4.55,2010-11-12,4.55,4.55
4.55,157700.0,4.5,2010-11-18,4.55,4.5
4.99,4990.0,4.99,2010-11-19,4.99,4.99
6.0,12000.0,6.0,2010-12-01,6.0,6.0
4.68,2565.0,6.99,2010-12-07,6.99,4.68
4.68,3276.0,4.68,2010-12-28,4.68,4.68
4.68,3276.0,4.68,2010-12-28,4.68,4.68
4.68,3276.0,4.68,2010-12-28,4.68,4.68
4.68,3276.0,4.68,2010-12-28,4.68,4.68
4.68,3276.0,4.68,2010-12-28,4.68,4.68
4.68,3276.0,4.68,2010-12-28,4.68,4.68
4.68,3276.0,4.68,2010-12-28,4.68,4.68
4.68,3276.0,4.68,2010-12-28,4.68,4.68
4.68,3276.0,4.68,2010-12-28,4.68,4.68
4.68,3276.0,4.68,2010-12-28,4.68,4.68
4.68,3276.0,4.68,2010-12-28,4.68,4.68
4.68,3276.0,4.68,2010-12-28,4.68,4.68
4.68,3276.0,4.68,2010-12-28,4.68,4.68
4.68,3276.0,4.68,2010-12-28,4.68,4.68
4.68,3276.0,4.68,2010-12-28,4.68,4.68
4.68,3276.0,4.68,2010-12-28,4.68,4.68
4.68,3276.0,4.68,2010-12-28,4.68,4.68
4.68,3276.0,4.68,2010-12-28,4.68,4.68
4.68,3276.0,4.68,2010-12-28,4.68,4.68
4.68,3276.0,4.68,2010-12-28,4.68,4.68
4.68,3276.0,4.68,2010-12-28,4.68,4.68
5.0,15000.0,5.0,2011-01-18,5.0,5.0
4.68,8025.0,5.02,2011-01-28,5.03,4.68
4.68,8025.0,5.02,2011-01-28,5.03,4.68
4.68,7020.0,4.68,2011-02-14,4.68,4.68
4.68,4680.0,4.68,2011-03-04,4.68,4.68
4.68,4680.0,4.68,2011-03-04,4.68,4.68
4.7,18800.0,4.7,2011-03-29,4.7,4.7
4.7,14100.0,4.7,2011-03-30,4.7,4.7
4.58,4580.0,4.58,2011-05-03,4.58,4.58
5.99,29970.0,6.0,2011-05-10,6.0,5.99
4.58,916.0,4.58,2011-05-26,4.58,4.58
5.0,10000.0,5.0,2011-11-09,5.0,5.0
5.0,4500.0,5.0,2011-11-23,5.0,5.0
5.0,10000.0,5.0,2011-11-28,5.0,5.0
2.55,255.0,2.55,2011-12-13,2.55,2.55
2.55,12750.0,2.55,2011-12-22,2.55,2.55
3.81,18480.0,3.81,2011-12-27,3.81,3.24
2.65,15900.0,2.65,2012-01-12,2.65,2.65
3.97,3970.0,3.97,2012-01-18,3.97,3.97
5.95,11900.0,5.95,2012-01-19,5.95,5.95
5.95,69414.0,5.95,2012-01-20,6.85,5.95
7.0,158465.0,6.0,2012-01-24,7.4,6.0
7.0,1350.0,6.5,2012-01-25,7.0,6.5
6.05,7260.0,6.05,2012-01-26,6.05,6.05
6.15,6150.0,6.15,2012-01-27,6.15,6.15
6.0,54600.0,6.0,2012-02-06,6.0,6.0
6.0,27020.0,6.01,2012-02-07,6.01,6.0
6.01,28848.0,6.01,2012-02-08,6.01,6.01
6.0,394200.0,6.0,2012-02-09,6.0,6.0
5.95,5980.0,6.0,2012-02-10,6.0,5.95
6.0,6836.0,4.6,2012-02-20,6.0,3.68
5.0,5000.0,5.0,2012-02-28,5.0,5.0
5.0,9000.0,5.0,2012-02-29,5.0,5.0
5.0,9000.0,5.0,2012-03-12,5.0,5.0
