OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.0525,4179250.0,0.055,2009-08-03,0.055,0.0525
0.055,99251500.0,0.06,2009-08-04,0.06,0.0525
0.0575,16769500.0,0.06,2009-08-06,0.06,0.0575
0.06,7700500.0,0.06,2009-08-07,0.06,0.0575
0.06,45112500.0,0.0625,2009-08-10,0.0625,0.06
0.0625,169421500.0,0.07,2009-08-11,0.07,0.0625
0.0675,44013000.0,0.0675,2009-08-12,0.07,0.065
0.0675,34369500.0,0.07,2009-08-13,0.07,0.0675
0.07,63665750.0,0.0725,2009-08-14,0.0725,0.07
0.0725,52791000.0,0.075,2009-08-17,0.075,0.07
0.0725,36543500.0,0.075,2009-08-18,0.075,0.07
0.075,52237750.0,0.0775,2009-08-19,0.0775,0.075
0.0775,70853750.0,0.08,2009-08-20,0.08,0.0775
0.0825,39965750.0,0.0825,2009-08-24,0.0825,0.08
0.08,16320500.0,0.0825,2009-08-25,0.0825,0.08
0.0825,22187750.0,0.0825,2009-08-26,0.0825,0.08
0.105,5841900.0,0.105,2009-09-03,0.105,0.1
0.105,54501350.0,0.11,2009-09-04,0.11,0.1
0.135,175186500.0,0.14,2009-09-16,0.14,0.135
0.14,72479450.0,0.14,2009-09-17,0.145,0.135
0.135,171511200.0,0.125,2009-09-18,0.135,0.125
12.5,25184550.0,12.5,2009-09-22,12.5,12.0
12.5,119068300.0,13.0,2009-09-23,13.0,12.25
14.25,297609225.0,14.75,2009-09-30,14.75,14.0
14.75,319510500.0,15.25,2009-10-01,15.25,14.5
15.0,44441150.0,15.0,2009-10-02,15.0,14.75
15.0,94728550.0,15.0,2009-10-05,15.25,14.75
15.0,219680200.0,12.5,2009-10-06,15.0,12.0
12.5,515630000.0,15.0,2009-10-07,15.0,12.0
15.0,179813475.0,15.5,2009-10-08,15.5,14.75
15.5,199091300.0,16.0,2009-10-09,16.0,15.25
16.0,79556300.0,15.75,2009-10-12,16.0,14.5
15.75,117085350.0,15.5,2009-10-13,15.75,15.0
15.0,18884175.0,15.25,2009-10-14,15.5,15.0
15.25,66725625.0,15.5,2009-10-15,15.5,15.0
15.5,50694125.0,15.5,2009-10-16,15.5,15.25
15.25,98638325.0,15.5,2009-10-19,15.5,14.5
15.5,58979425.0,15.5,2009-10-20,15.5,15.25
15.5,24183425.0,15.5,2009-10-21,15.5,15.25
15.5,28246400.0,15.5,2009-10-22,15.5,15.25
15.25,41687775.0,15.5,2009-10-23,15.5,15.25
15.5,42889225.0,15.5,2009-10-26,15.5,15.25
15.5,33059375.0,15.5,2009-10-27,15.5,15.25
15.5,306872675.0,16.5,2009-10-28,16.5,15.25
16.5,65170050.0,16.5,2009-10-29,16.5,16.25
16.5,84932550.0,16.5,2009-10-30,16.5,16.25
16.5,205361125.0,17.25,2009-11-03,17.25,16.25
17.25,104457050.0,17.5,2009-11-04,17.5,17.0
17.25,134538300.0,18.0,2009-11-05,18.0,17.25
18.0,69465925.0,18.25,2009-11-06,18.25,17.75
18.25,78324700.0,18.5,2009-11-09,18.5,18.25
18.5,101195300.0,18.5,2009-11-10,18.5,18.25
18.5,184474650.0,18.75,2009-11-11,18.75,18.0
18.25,10696475.0,18.25,2009-12-15,18.25,17.75
18.0,6613600.0,18.25,2009-12-16,18.25,17.75
18.25,15033825.0,17.75,2009-12-17,18.25,17.5
17.75,73028025.0,17.75,2009-12-18,18.25,17.75
17.75,2912025.0,17.25,2009-12-21,17.75,17.25
17.25,3983750.0,16.75,2009-12-22,17.25,16.5
16.75,388065850.0,18.5,2009-12-23,18.5,16.75
18.25,45718775.0,18.5,2009-12-29,18.5,18.0
18.25,10186825.0,18.0,2010-01-04,18.25,17.75
18.0,7461300.0,18.25,2010-01-05,18.25,18.0
18.25,5621550.0,18.25,2010-01-06,18.25,17.5
18.0,25033225.0,18.25,2010-01-07,18.25,18.0
18.25,15263750.0,18.25,2010-01-08,18.25,18.0
18.25,6437050.0,18.25,2010-01-11,18.25,18.0
18.25,17998200.0,18.25,2010-01-12,18.25,18.0
18.0,1660600.0,18.0,2010-01-13,18.25,17.75
18.0,9380000.0,18.0,2010-01-14,18.0,17.75
18.0,7072725.0,17.75,2010-01-15,18.0,17.75
17.75,7839675.0,17.75,2010-01-18,18.0,17.75
17.75,17526275.0,17.75,2010-01-19,18.0,17.5
17.75,3939150.0,17.5,2010-01-20,17.75,17.25
17.5,11287525.0,17.5,2010-01-21,17.75,17.25
17.5,1470375.0,17.0,2010-01-22,17.5,17.0
17.0,2415000.0,16.5,2010-01-25,17.0,16.0
16.5,17583050.0,16.75,2010-01-26,17.0,16.25
16.75,5384025.0,16.25,2010-01-27,16.75,15.75
16.25,6086975.0,16.5,2010-01-28,16.5,16.0
16.5,6028675.0,16.25,2010-01-29,16.5,16.0
16.0,3131950.0,16.0,2010-02-01,16.25,16.0
16.0,13092750.0,16.0,2010-02-02,16.25,15.75
16.0,9416200.0,16.0,2010-02-03,16.0,15.75
16.0,4959400.0,16.0,2010-02-04,16.0,15.5
15.5,2993350.0,15.75,2010-02-05,15.75,15.25
