OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.125,61750.0,0.13,2009-08-03,0.13,0.125
0.13,617550.0,0.12,2009-08-04,0.13,0.12
0.13,273700.0,0.12,2009-08-06,0.13,0.12
0.125,125000.0,0.125,2009-08-07,0.125,0.125
0.125,63650.0,0.12,2009-08-10,0.125,0.12
0.12,487500.0,0.13,2009-08-11,0.13,0.12
0.13,305400.0,0.12,2009-08-12,0.13,0.12
0.125,150050.0,0.13,2009-08-13,0.13,0.125
0.12,336300.0,0.115,2009-08-14,0.13,0.11
0.115,33350.0,0.115,2009-08-17,0.115,0.115
0.12,42000.0,0.12,2009-08-19,0.12,0.12
0.12,89850.0,0.12,2009-08-24,0.12,0.115
0.12,7250.0,0.125,2009-08-25,0.125,0.12
0.12,68400.0,0.12,2009-08-26,0.12,0.12
0.11,2300.0,0.12,2009-09-03,0.12,0.11
0.12,281200.0,0.11,2009-09-04,0.12,0.11
0.115,28750.0,0.115,2009-09-17,0.115,0.115
0.115,17250.0,0.115,2009-09-22,0.115,0.115
0.11,1100.0,0.11,2009-09-23,0.11,0.11
0.1,252000.0,0.1,2009-09-30,0.1,0.1
0.1,90000.0,0.1,2009-10-01,0.1,0.1
0.1,10000.0,0.1,2009-10-02,0.1,0.1
0.1,10000.0,0.1,2009-10-05,0.1,0.1
0.105,32500.0,0.11,2009-10-06,0.11,0.105
0.105,100800.0,0.105,2009-10-07,0.105,0.105
0.1,24000.0,0.1,2009-10-09,0.1,0.1
0.11,121000.0,0.11,2009-10-16,0.11,0.11
0.11,29700.0,0.11,2009-10-19,0.11,0.11
0.12,96550.0,0.115,2009-10-20,0.12,0.115
0.115,59800.0,0.115,2009-10-26,0.115,0.115
0.11,225000.0,0.115,2009-10-27,0.115,0.11
0.11,156200.0,0.11,2009-10-28,0.11,0.11
0.11,9900.0,0.11,2009-10-29,0.11,0.11
0.115,335800.0,0.115,2009-10-30,0.115,0.115
0.11,83600.0,0.115,2009-11-05,0.115,0.11
0.115,80500.0,0.115,2009-11-10,0.115,0.115
0.115,94300.0,0.11,2009-11-11,0.115,0.11
0.1,266500.0,0.115,2009-12-15,0.115,0.1
0.11,33000.0,0.11,2009-12-16,0.11,0.11
0.105,3150.0,0.105,2009-12-17,0.105,0.105
0.1,6000.0,0.1,2009-12-21,0.1,0.1
0.1,20000.0,0.1,2009-12-23,0.1,0.1
0.12,36000.0,0.12,2010-01-04,0.12,0.12
0.12,61200.0,0.12,2010-01-05,0.12,0.12
0.1,71200.0,0.12,2010-01-06,0.12,0.1
0.11,187850.0,0.115,2010-01-07,0.115,0.11
0.11,39500.0,0.115,2010-01-08,0.115,0.11
0.11,7800.0,0.115,2010-01-11,0.115,0.11
0.11,108200.0,0.115,2010-01-12,0.115,0.11
0.11,253000.0,0.11,2010-01-13,0.11,0.11
0.11,27500.0,0.11,2010-01-14,0.11,0.11
0.11,13200.0,0.11,2010-01-15,0.11,0.11
0.11,65500.0,0.105,2010-01-20,0.11,0.105
0.105,4200.0,0.105,2010-01-21,0.105,0.105
0.11,60750.0,0.1,2010-01-22,0.11,0.1
0.11,11000.0,0.11,2010-01-25,0.11,0.11
